#,NAME,NAME ARABIC,TYPE EN,TYPE AR,SUBTYPE EN,SUBTYPE AR,BLOCK,POINT_X_Longitude,POINT_Y_Latitude
1,AL BARAKA KINDERGARTEN,روضة البركة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,202,50.62139684,26.2610714899999
2,AL BARAKA KINDERGARTEN,روضة البركة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1203,50.49658972,26.1344583399999
3,AL BAWASIM KINDERGARTEN,روضة البواسم,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,233,50.62684962,26.28675493
4,AL BUDOOR KINDERGARTEN,روضة البدور,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1205,50.4985227,26.12962711
5,AL BURAQ KINDERGARTEN,روضة البراق,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,404,50.54735309,26.22418005
6,AL DANA KINDERGARTEN,روضة الدانة ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,312,50.5662348899999,26.22012539
7,AL DANA KINDERGARTEN,روضة الدانة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,916,50.5494868299999,26.1344105499999
8,AL DANA KINDERGARTEN,روضة الدانة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,925,50.56814863,26.1289209199999
9,AL EHSAN KINDERGARTEN,روضة الإحسان,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,244,50.64304287,26.24713746
10,AL EMAM AL HASAN MODEL KINDERGARTEN,روضة الإمام الحسن النموذجية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1048,50.5054084,26.06593262
11,AL EMAM AL HUSSAIN KINDERGARTEN,روضة الإمام الحسين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,745,50.58047286,26.1440532499999
12,AL EMAM MUHAMMAD BIN SAʻUD KINDERGARTEN,روضة الإمام محمد بن سعود,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,911,50.5805417799999,26.1180370199999
13,AL FARDOUS KINDERGARTEN,روضة الفردوس,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,925,50.57000337,26.13030836
