zona_division_politico_adminisrativa;nombre_zona;nit;dane_anterior;dane_establecimiento;consecutivo_dane;nombre_sede;tipo_sede;comuna;nombre_comuna;nucleo;numero_oficial;prestacion_servicio;sector;zona_sineb;zona_georeferenciado;barrio;vereda;direccion_sede;telefono_sede;ano_registro
1;ZONA NORORIENTAL;811020962-8;105001000001;105001000001;10500100000101;INSTITUCION EDUCATIVA FE Y ALEGRIA JOSE MARIA VELAZ;PRINCIPAL;2;SANTA CRUZ;915;12;OFICIAL;Oficial;URBANA;Urbana;La Isla;0;CL 121 48 67;4644146;2022.0
1;ZONA NORORIENTAL;811017900-0;105001000043;105001000043;10500100004301;INSTITUCION EDUCATIVA BARRIO SANTA CRUZ;PRINCIPAL;2;SANTA CRUZ;915;13;OFICIAL;Oficial;URBANA;Urbana;Moscú No.1;0;CL 103 43 A 45;5294058;2022.0
3;ZONA CENTRO ORIENTAL;811017377-8;105001000108;105001000108;10500100010801;INSTITUCION EDUCATIVA CENTRO FORMATIVO DE ANTIOQUIA -CEFA;PRINCIPAL;10;LA CANDELARIA;928;138;OFICIAL;Oficial;URBANA;Urbana;BOSTON;0;CL 50 41 55;217 53 37;2022.0
6;ZONA SUROCCIDENTAL;811045489-3;105001000132;105001000132;10500100013201;INSTITUCION EDUCATIVA JOSE MARIA BERNAL;PRINCIPAL;16;BELÉN;935;179;OFICIAL;Oficial;URBANA;Urbana;LAS PLAYAS;0;CR 70 A 13 A 19;3432086/3454793;2022.0
1;ZONA NORORIENTAL;811019503-9;105001000141;105001000141;10500100014101;INSTITUCION EDUCATIVA PRESBITERO CAMILO TORRES RESTREPO;PRINCIPAL;4;ARANJUEZ;917;37;OFICIAL;Oficial;URBANA;Urbana;CAMPO VALDÉS No 1;0;CR 49 83 34;5163058- 300 4124789;2022.0
1;ZONA NORORIENTAL;811018352-9;105001000175;105001000175;10500100017501;INSTITUCION EDUCATIVA GABRIEL RESTREPO MORENO;PRINCIPAL;3;MANRIQUE;916;22;OFICIAL;Oficial;URBANA;Urbana;LAS GRANJAS;0;CR 39 A 85 59;2631645;2022.0
1;ZONA NORORIENTAL;"";105001002852;105001000175;10500100017502;SECCION ESCUELA SANTA BERNARDITA;SEDE;3;MANRIQUE;916;22;OFICIAL;Oficial;URBANA;Urbana;LAS GRANJAS;0;CR 40    85A-20;2632428;2022.0
1;ZONA NORORIENTAL;811040150-1;105001000205;105001000205;10500100020501;INSTITUCION EDUCATIVA SAN AGUSTIN;PRINCIPAL;4;ARANJUEZ;918;46;OFICIAL;Oficial;URBANA;Urbana;ARANJUEZ;0;CL 88 A 51 B 91;2630607;2022.0
3;ZONA CENTRO ORIENTAL;811017835-1;105001000256;105001000256;10500100025601;INSTITUCION EDUCATIVA HECTOR ABAD GOMEZ;PRINCIPAL;10;LA CANDELARIA;928;139;OFICIAL;Oficial;URBANA;Urbana;BOSTON;0;CL 50 39 65;2161258-2163805;2022.0
3;ZONA CENTRO ORIENTAL;"";105001026158;105001000256;10500100025602;SECCION ESCUELA DARIO LONDOÑO CARDONA;SEDE;10;LA CANDELARIA;928;139;OFICIAL;Oficial;URBANA;Urbana;BOMBONÁ No1;0;CL 44 43 96;262 35 88;2022.0
3;ZONA CENTRO ORIENTAL;811039153-1;105001000353;105001000353;10500100035301;INSTITUCION EDUCATIVA JUAN DE LA CRUZ POSADA;PRINCIPAL;8;VILLA HERMOSA;924;108;OFICIAL;Oficial;URBANA;Urbana;San Miguel;0;CL 62 39 22;2549659;2022.0
