nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
META,VILLAVICENCIO,LAS MALVINAS,LOTE NO. 8
LA GUAJIRA,RIOHACHA,NUEVO JARDIN,KM. VIA MAICAO
RISARALDA,PEREIRA,CENT EDUC VILLA ALVAREZ,CORREG LA FLORIDA
VALLE DEL CAUCA,BUENAVENTURA,INSTITUTO EDUCATIVO GENESIS,KR 60 11 A 51
GUAVIARE,CALAMAR,I.E. LA UNION,VDA. LA UNION
ANTIOQUIA,ANDES,I.E. NUEVO HORIZONTE,IND VDA. SANTA ANA
VALLE DEL CAUCA,CALI,JARDIN INFANTIL AGUACATICO,CL 15 OESTE 10 A 71
VALLE DEL CAUCA,CANDELARIA,JARDIN INFANTIL LOS ANGELES DE LA ALDEA,CL 18 11 09
ANTIOQUIA,MEDELLÍN,PREESCOLAR AMIGOS DE LA CIENCIA,KR 96 47 A 33
NARIÑO,SAMANIEGO,CENTRO EDUCATIVO MONTEBLANCO,VDA. MONTEBLANCO
VALLE DEL CAUCA,BUENAVENTURA,MILAGROSO DE BUGA,KR 72 4 S 3
ANTIOQUIA,ITAGUI,C.E. KINDER GARDEN BEATIFULL GUYS,KR 50 A 33 66
SANTANDER,CONCEPCIÓN,INSTITUTO TECNICO AGROPECUARIO FELIPE CORDERO,VEREDA BARBULA
ANTIOQUIA,LA PINTADA,INSTITUTO ARQUIDIOCESANO URBANO Y RURAL - IAUR,CRA. 48B  55-11
ANTIOQUIA,LA CEJA,I. E. FRANCISCO MARIA CARDONA,CORREG. SAN JOSE
VALLE DEL CAUCA,EL CAIRO,IE LA PRESENTACION,CR 4 NO 7-46
ANTIOQUIA,FRONTINO,I.E. LOS MADRIGALES                                                                    ,CRA 30 Nº 34-58
CUNDINAMARCA,MADRID,COLEGIO CAMPESTRE DE LA SABANA,DG 2 3 69
ANTIOQUIA,ANDES,C. E. R. LA MANUELA,VDA. LA MANUELA
VALLE DEL CAUCA,PRADERA,INST EDUC MI SEGUNDO HOGAR YESUA,CL 8 9 60
BOYACÁ,BUENAVISTA,I.E. LA GRANJA,VDA CAMPOALEGRE  KM 18 VIA A COPER
CALDAS,CHINCHINÁ,JARDIN DIVINO NIÑO,KR 5 7 A 23
NORTE DE SANTANDER,TIBÚ,INST EDUCATIVA INTEGRADO LA LLANA,CORREG LA LLANA
NARIÑO,PASTO,CENTRO EDUCATIVO BOLIVARIANO,KR 28 18 89
CUNDINAMARCA,SOPÓ,LIC INTEGRADO FRAY FRANCISCO CHACON                          ,KR 5 1 05 SUR UR MONTANA
NORTE DE SANTANDER,OCAÑA,JARD INF WINNY POOH,CL 4 46-58
RISARALDA,PEREIRA,JARD INF LA RANA VERDE,CR 6 NO 30-11
NARIÑO,PUPIALES,INSTITUCION EDUCATIVA NORMAL SUPERIOR PIO XII,KR 2 A 6 77
SANTANDER,OIBA,INSTITUCION EDUCATIVA EDUARDO RUEDA BARRERA,CORREGIMIENTO PUENTE LLANO
NORTE DE SANTANDER,CÚCUTA,JARD INF VENTANITAS HACIA EL FUTURO ,MZ 14E LOTE 17
BOYACÁ,TUNJA,COLEGIO SENDERO DE LOS SABIOS,CALLE 2BNO.12B-02
CALDAS,PÁCORA,INSTITUCION EDUCATIVA LAS COLES,CORREGIMIENTO LAS COLES
SANTANDER,BUCARAMANGA,I  E ANDRES PAEZ DE SOTOMAYOR,CL 37 1 97
CUNDINAMARCA,UNE,INSTITUCION EDUCATIVA DEPARTAMENTAL FIDEL LEAL Y BERNABE RIVEROS,CARRERA 4 NO. 2 - 58 SUR
SANTANDER,BUCARAMANGA,COL  ASED                                                                                           ,KR 27 19 40
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO SANTA ROSA,KR 56 C 44 S 21
VALLE DEL CAUCA,FLORIDA,LICEO TOMAS CARRASQUILLA,CL 7 10 40
BOLÍVAR,CÓRDOBA,I.E. OSWALDO OCHOA BECERRA,CLL 8 # 6-36
CAUCA,SANTA ROSA,I.E. SANTA MARTA ANTES (C.E. SANTA MARTA),KM 27 VIA MOCOA - PITALITO
CESAR,VALLEDUPAR,COL SAN AGUSTIN,MANZANA 88 CASA 4
NARIÑO,TÚQUERRES,INSTITUCION EDUCATIVA INSTITUTO TERESIANO,CL 15 14 13
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST DE BTO TEC COMERCIAL PITAGORAS                                                                 ,KR 5 11 67
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMNASIO INFANTIL FEDERICO FROEBEL,CL 32 SUR 52 A 54
ANTIOQUIA,BELLO,CE MICHELIN,CRA 53 NO 64-119
BOLÍVAR,CARTAGENA,ASPAEN PRE-ESCOLAR ALBORADA,KR 1 11 82 BR BOCAGRANDE
NORTE DE SANTANDER,CÚCUTA,INST EDUC COL MPAL AEROPUERTO,CL 9 3 60
SANTANDER,BUCARAMANGA,COL SAN VICENTE FERRER                                                                              ,CL 12 18 69
VALLE DEL CAUCA,CALI,COLEGIO IDEAS,IND PROLONGA. AV GUADALUPE - LOS MANGOS
ANTIOQUIA,ENVIGADO,GIMNASIO INTEGRAL SANTA ANA                                 ,CARRERA 38  NRO. 45 A SUR 102
CAUCA,POPAYÁN,LICEO BELLO HORIZONTE,CL 67 13 30
VALLE DEL CAUCA,PALMIRA,IE DE TABLONES,CORREG TABLONES
CÓRDOBA,LORICA,INSTITUTO CIUDAD LORICA,CLL 7 NØ 19 - 62
ANTIOQUIA,MARINILLA,I. E. R. MARIA DEL ROSARIO,VDA. EL POZO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMNASIO INFANTIL LOS NIÑOS DEL MAÑANA,CL 134 D 47 27
QUINDIO,LA TEBAIDA,GABRIELA MISTRAL,KR 10 CL 17 19
ANTIOQUIA,MEDELLÍN,INST DE EDUC FORMAL COMPUESTUDIO,KR 45 49 60
ANTIOQUIA,BELMIRA,I.E. PBRO. RICARDO LUIS GUTIERREZ TOBON,KR 21 15 71
BOLÍVAR,CARTAGENA,INSTITUCION EDUCATIVA LAS GAVIOTAS,TV 65 31 111
CUNDINAMARCA,SOACHA,LICEO MAYOR DE SOACHA BIENESTAR PARA TODOS,CL 38 4 30 ESTE
META,VILLAVICENCIO,JARDIN INFANTIL LOS CUENTOS DE MILONGA,CL 25 25 57
ANTIOQUIA,YARUMAL,C. E. R. LOS POMOS,CL.  20   18-17
META,VILLAVICENCIO,COLEGIO GIMNASIO MAYOR,CL 2 A 31 32
CÓRDOBA,SAN BERNARDO DEL VIENTO,INSTITUCION EDUCATIVA PASO NUEVO,CORR. PASO NUEVO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO FRANCISCO PRIMERO S.S. (IED),KR 28 63 64
CAUCA,POPAYÁN,I.E. DEL RESGUARDO DE QUINTANA,VDA. LAS PIEDRAS
CAUCA,TORIBIO,I.E. TECNICA EDUARDO SANTOS,VEREDA LA BETULIA
PUTUMAYO,ORITO,I. ETNOEDUC RUR PUERTO RICO,VDA. LOS GUADUALES
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL SAN JUAN VIANETH                                                                                ,KR 2 C 3 18 SUR
CAUCA,PUERTO TEJADA,C.E. LAS BRISAS,VEREDA LAS  BRISAS
VALLE DEL CAUCA,CALI,LIC. INF. LA CASITA DE ANGIE,CARRERA 73 NO. 11-A47
SANTANDER,BUCARAMANGA,COL TORDECILLAS                                                                                     ,KR 29 55 31
ANTIOQUIA,MEDELLÍN,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,CL 93 40 42
CUNDINAMARCA,SOPÓ,GIMN CLAUDIO MONTEVERDI                                             ,CALLE 2 SUR NO.5-25
CAUCA,EL TAMBO,C.E. BARAYA,CORREGIMIENTO BARAYA
ANTIOQUIA,TARAZÁ,C. E. R. CARLOS ARTURO QUINTERO,VDA. LAS DELICIAS
CAQUETÁ,FLORENCIA,DOMINGO SAVIO,CL 25 CON KR 10 EQ TORASSO BR DIRECCION
NORTE DE SANTANDER,ABREGO,CENT EDUC RUR LA SIERRA,VDA LA SIERRA
RISARALDA,PEREIRA,JARDIN INFANTIL PINCELADAS DE SUEÑOS,KR 8 35 71
NORTE DE SANTANDER,CÚCUTA,JARD INF LA PUERTA DEL SABER,AV 8 21 23
CUNDINAMARCA,SOACHA,COLEGIO SAN LUIS,KR 5 17 33
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL SAN PATRICIO                                                                                    ,KR 80 137 02
VALLE DEL CAUCA,CALI,LICEO RISAS INFANTILES.,IND AV 2 B 1 # 73 N 35
CÓRDOBA,LORICA,IE EL RODEO,CORREG EL RODEO
NARIÑO,LINARES,CENTRO EDUCATIVO LA TOLA,VEREDA LA TOLA
CAUCA,SANTANDER DE QUILICHAO,INSTITUCION EDUCATIVA LA ARROBLEDA,CORREGIMIENTO LA ARROBLEDA
NORTE DE SANTANDER,CÚCUTA,COL GABRIEL GARCIA MARQUEZ,CL 21 2 05
CÓRDOBA,CHINÚ,IE DIVINO NIÑO DE TIERRA GRATA,CORREG. DE TIERRA GRATA
SANTANDER,LEBRIJA,COLEGIO INTEGRADO NUESTRA SE¿ORA DE LAS MERCEDES,CALLE 8  NO. 11 - 21
ANTIOQUIA,SABANETA,JARDIN INFANTIL MADRE PETRA                                                                         ,CLL 75BS  35-85
CHOCÓ,JURADÓ,IE INDÍGENA ARMANDO ACHITO LUBIASA DE NUSSI PURRÚ,DOS BOCA
