SEMEL_MOSAD,SHEM_MOSAD,ITM_X,ITM_Y,UTM_X,UTM_Y,RAMAT_DIYUK_MIKUM
1362,גן שלוה,209506,739146,35.0975647218044,32.7464934060436,בינונית
1792,נשי אגודת ישראל,168056,634143,34.6609761237608,31.7984875139262,גבוהה מאוד
2840,גן שתולים 1,180725,661643,34.7936512704733,32.0469839727977,גבוהה מאוד
5389,אש דת,167118,634327,34.6510617137065,31.8001041565073,גבוהה
5561,אגודת ישראל,188744,665718,34.8784253113595,32.0839786666151,גבוהה מאוד
6106,נשי אגוי,185183,666865,34.8406655897655,32.0942194307101,גבוהה מאוד
9266,הבשורה,228710,733968,35.3024214923702,32.6998102362388,נמוכה
9704,"אל אנואר,עמר אנתסאר",222844,765294,35.2399756766007,32.9823080507525,נמוכה
9787,"אלסנאפר, קזאל מונה",238225,755127,35.4043200235601,32.8904796498253,נמוכה
9803,"פרחים, הגננת פרג' ג'",222844,765294,35.2399756766007,32.9823080507525,נמוכה
9878,"אל פרשת, רודיה פארס",232754,769067,35.3460503045199,33.0162528875715,נמוכה
10231,מרכז תורני רעננה,188363,677797,34.8739970557595,32.1928941870232,גבוהה מאוד
11809,"אגוי,דירה 3, זקלין",246530,712364,35.4918389862289,32.5047110104575,בינונית
11940,אגוי,158396,618235,34.5599691212279,31.6545534734264,גבוהה
12070,שלה,176941,659851,34.7536662301099,32.030687885422,גבוהה
16071,אגוי,194772,667144,34.9422386117122,32.0969864673376,גבוהה מאוד
16089,אגוי,163516,580429,34.6160860511642,31.3138651714735,גבוהה
16097,אגוי,179577,571654,34.78515486265,31.2353864196825,גבוהה מאוד
16790,עמודי עולם 2,201608,743661,35.0132058606286,32.7871049043338,גבוהה מאוד
16923,ורדים וסיגליות,188357,677236,34.8739517128394,32.1878350782335,גבוהה מאוד
18168,אגוי,177376,659728,34.7582764797425,32.029594980677,גבוהה מאוד
18200,אגוי,182632,644705,34.8144887134585,31.8943013160689,גבוהה מאוד
19356,תמר,184194,663122,34.8303263065341,32.0604351240184,גבוהה מאוד
19521,אגוי,181949,652704,34.8069588721102,31.9664141488569,גבוהה מאוד
20768,פינוקיו,176221,658649,34.7460983706592,32.0198211399023,גבוהה מאוד
21261,אגוי,157549,618102,34.5510478570055,31.6533086647316,גבוהה
21501,אגוי,182866,644563,34.8169675408435,31.8930283132613,גבוהה מאוד
21535,מעיין החינוך התורני,161305,592307,34.5921661185201,31.4208786616908,גבוהה מאוד
26153,אגוי,187999,662985,34.8706237015519,32.0593122201391,נמוכה
26369,גן אהבת ציון,180710,666223,34.793307675212,32.088285052964,גבוהה מאוד
27367,תתי חבד,175093,625932,34.7356552654087,31.7247347891254,בינונית
27375,חבד,175610,626171,34.7410993850572,31.7269100943478,גבוהה מאוד
28332,מעיין החינוך התורני,160912,593014,34.5879914068868,31.4272348816044,גבוהה
28340,מעיין החינוך התורני,160912,593014,34.5879914068868,31.4272348816044,גבוהה
28357,אגוי,164240,579665,34.6237337211114,31.3070095468048,בינונית
28639,אגוי,250007,744043,35.5298713126737,32.7902729309444,בינונית
29074,אגוי,175518,627155,34.7400844111291,31.7357804989673,גבוהה מאוד
29082,אגוי,175475,626761,34.7396484089232,31.7322256642376,גבוהה מאוד
29165,אגוי,174279,619025,34.7273856393469,31.6624137497914,נמוכה
29272,אגוי,187853,676639,34.868626963486,32.1824374148648,גבוהה מאוד
29363,"אגוי-דירה 2, דינה",246578,712370,35.4923499399138,32.504763946894,בינונית
29561,רפאל,208547,748667,35.0872195234397,32.8323350656044,נמוכה
29678,אור הפרדס,195936,707785,34.953562642062,32.4634980532649,גבוהה מאוד
29694,גן ישראל מסלנט 1,179541,662163,34.7810936926113,32.0516319959976,גבוהה מאוד
29728,אגוי,167166,634409,34.6515641597435,31.8008458354935,גבוהה מאוד
29884,אמת ואמונה,221179,633293,35.2219330260802,31.7919809220816,גבוהה מאוד
29892,מסילה בערבה,193606,544311,34.9331108916435,30.98916772485,בינונית
30312,דרך האמת,189200,665858,34.8832509400115,32.0852535093645,גבוהה מאוד
31500,אגוי,182777,644549,34.8160273222539,31.8928991882316,גבוהה מאוד
31567,גן הצנחנים,185058,669358,34.8392519408943,32.116697022487,גבוהה מאוד
31831,גן זמנהוף,179278,663743,34.7782428892458,32.0658708048254,נמוכה
31856,גן חדרה 1,180037,665880,34.7861929532309,32.0851686150044,גבוהה מאוד
33217,אגוי,180235,575497,34.7919106944786,31.2700686480136,גבוהה
33472,צפת 06,246182,762746,35.4895781029657,32.9590131601167,גבוהה
33506,'יהלום,186074,659355,34.8503652905566,32.0265218673781,גבוהה מאוד
33514,אגוי,186012,659684,34.8496975483268,32.0294869323589,גבוהה מאוד
33522,נוה דוד,202733,553754,35.0285086512834,31.074503996924,בינונית
33571,אור הפרדס,198004,709146,34.9755278056987,32.4758126570667,נמוכה
33753,נווה,160649,592677,34.5852453480428,31.4241823329534,גבוהה
34314,תמר,212949,674381,35.1347532320555,32.1625017376421,גבוהה
34546,חבד,189553,650945,34.8874535033811,31.950777794782,נמוכה
34595,בית יעקב,220776,634258,35.2176790074177,31.800684221705,גבוהה
34819,בית יעקב,219009,626839,35.1990235694799,31.7337767148042,גבוהה מאוד
34868,נשי אגוי,167880,633897,34.6591307334658,31.7962611326058,גבוהה מאוד
34975,נשי אגוי,188429,665923,34.8750821368558,32.0858186994759,גבוהה מאוד
