School  Code,School Name,Category,Type,County
1101103,MGHALU HIGH SCHOOL,County,Mixed,Taita Taveta
1101208, ST. AGATHA NGOLOKI SECONDARY SCHOOL,County,Girls,Taita Taveta
1115103,KAJIRE GIRLS SECONDARY SCHOOL,County,Girls,Taita Taveta
1115105,MWAKICHUCHU SECONDARY SCHOOL,County,Boys,Taita Taveta
1115203,MWAGHOGHO SECONDARY SCHOOL,County,Boys,Taita Taveta
2105106,KAYA TIWI SECONDARY SCHOOL,County,Mixed,Kwale
2105109,KWALE GIRLS HIGH SCHOOL,County,Girls,Kwale
2105113,MWANAMBEYU GIRLS HIGH SCHOOL,County,Girls,Kwale
2105502,LUKORE SECONDARY SCHOOL,County,Mixed,Kwale
2105503,KICHAKASIMBA GIRLS SECONDARY SCHOOL,County,Girls,Kwale
2105515,ROSE MWAKWERE GIRLS SECONDARY SCHOOL,County,Girls,Kwale
2109102,NDAVAYA SECONDARY SCHOOL,County,Mixed,Kwale
2109103,MOYENI SECONDARY  SCHOOL,County,Mixed,Kwale
2109106,TSUNZA SECONDARY SCHOOL,County,Mixed,Kwale
2109108,MWALUKOMBE GIRLS SECONDARY SCHOOL,County,Girls,Kwale
2110202,MIVUMONI SECONDARY SCHOOL,County,Mixed,Kwale
2110204,BABLA DIANI SECONDARY SCHOOL,County,Mixed,Kwale
2110213,GOMBATO SECONDARY SCHOOL,County,Mixed,Kwale
2110214,MWAMZANDI SECONDARY SCHOOL,County,Mixed,Kwale
2127101,TARU SECONDARY SCHOOL,County,Boys,Kwale
2127102,MAZERAS HIGH SCHOOL,County,Boys,Kwale
2127103,MAZERAS GIRLS MEMORIAL SECONDARY SCHOOL,County,Girls,Kwale
3106101,ALLIDINA VISRAM HIGH SCHOOL,County,Boys,Mombasa
3106103,TUDOR DAY SECONDARY SCHOOL,County,Boys,Mombasa
3106105,STAR OF THE SEA HIGH SCHOOL,County,Girls,Mombasa
3106107,"SACRED HEART HIGH SCHOOL, MOMBASA",County,Mixed,Mombasa
3106116,SERANI SECONDARY SCHOOL,County,Boys,Mombasa
3106118,SHARIFF NASSIR GIRLS,County,Girls,Mombasa
3106121,MBARAKI GIRLS SECONDARY SCHOOL,County,Girls,Mombasa
3106122,TONONOKA SECONDARY SCHOOL,County,Boys,Mombasa
3106124,ALFARSY GIRLS SECONDARY SCHOOL,County,Girls,Mombasa
3106125,MVITA BOYS SECONDARY SCHOOL,County,Boys,Mombasa
3106132,MAKANDE GIRLS SECONDARY SCHOOL,County,Girls,Mombasa
3106133,MAKUPA BOYS SECONDARY SCHOOL,County,Boys,Mombasa
3108101,MOI FORCES ACADEMY-MOMBASA,County,Mixed,Mombasa
3108103,MTONGWE GIRLS SECONDARY SCHOOL,County,Girls,Mombasa
3108104,SHIKAADABU SECONDARY SCHOOL,County,Mixed,Mombasa
3108114,MWAHIMA SECONDARY SCHOOL,County,Mixed,Mombasa
3108201,LIKONI SECONDARY SCHOOL,County,Boys,Mombasa
3108209,PUMA SECONDARY SCHOOL,County,Mixed,Mombasa
3108211,MRIMA MIXED DAY SECONDARY SCHOOL,County,Mixed,Mombasa
3108217,BUBUBU BOYS SECONDARY SCHOOL,County,Boys,Mombasa
3120101,CHANGAMWE SECONDARY SCHOOL,County,Mixed,Mombasa
3120102,ST. CHARLES LWANGA SECONDARY SCHOOL,County,Mixed,Mombasa
3120117,MWIJABU SECONDARY SCHOOL,County,Mixed,Mombasa
3120118,CHAANI SECONDARY SCHOOL,County,Mixed,Mombasa
3120121,BOMU SECONDARY SCHOOL,County,Mixed,Mombasa
3121204,MWAKIRUNGE SECONDARY SCHOOL,County,Mixed,Mombasa
3121216,MTOPANGA MIXED SECONDARY SCHOOL,County,Mixed,Mombasa
3121220,HASSAN JOHO GIRLS’ SECONDARY SCHOOL,County,Girls,Mombasa
3121226,MARIMANI MIXED SECONDARY SCHOOL,County,Mixed,Mombasa
3124105,KAJEMBE HIGH SCHOOL,County,Mixed,Mombasa
3124108,MIRITINI SECONDARY SCHOOL,County,Mixed,Mombasa
3124110,JOMVU GIRLS HIGH SCHOOL,County,Girls,Mombasa
3124111,MIRITINI COMPLEX HIGH SCHOOL,County,Mixed,Mombasa
3126106,MAWENI MIXED SECONDARY SCHOOL,County,Mixed,Mombasa
3126123,FRERETOWN SECONDARY SCHOOL,County,Mixed,Mombasa
4102101,KILIFI TOWNSHIP SECONDARY SCHOOL,County,Boys,Kilifi
4102102,CHUMANI SECONDARY SCHOOL,County,Mixed,Kilifi
4102114, ST. THOMAS GIRLS’ SECONDARY SCHOOL,County,Girls,Kilifi
4107102,GEDE SECONDARY SCHOOL,County,Boys,Kilifi
4107108,KAKUYUNI BOYS SECONDARY SCHOOL,County,Boys,Kilifi
4111103,MARIAKANI SECONDARY SCHOOL,County,Boys,Kilifi
4111105,CHANAGANDE SECONDARY SCHOOL,County,Mixed,Kilifi
4111107,NGALA MEMORIAL SECONDARY SCHOOL,County,Mixed,Kilifi
4111108,MOI KADZONZO GIRLS SECONDARY SCHOOL,County,Girls,Kilifi
4111123,KALOLENI GIRLS SECONDARY SCHOOL,County,Girls,Kilifi
4116101,   GANZE BOYS SECONDARY SCHOOL,County,Boys,Kilifi
4116103,   GANZE GIRLS SECONDARY  SCHOOL,County,Girls,Kilifi
4116301,   VITENGENI BAPTIST SECONDARY SCHOOL,County,Mixed,Kilifi
4116303,   MWANGEA GIRLS’ SECONDARY SCHOOL,County,Girls,Kilifi
