Region,School_Type,School_Name,Address,Phone_Number,Fax_Number,Type,Latitude,Longitude
Rodrigues,state,Basile Allas Port Mathurin Government School,Royal Rd Bay Lascars,8311506,8311506,,-19.67949306,63.4258275
Rodrigues,state,Oyster Bay Government School,Oyster Bay,8311965,8311965,,-19.69355098,63.40713987
Rodrigues,state,Fock Seng Ho Tu Nam Mangues Government School,Mangues,8316308,8316308,,-19.71827626,63.39624966
Rodrigues,state,Terre Rouge Government School,Terre Rouge,8312306,8312306,,-19.67320475,63.43831708
Rodrigues,state,Marc Etienne Roche Bon Dieu Government School,Roche Bon Dieu,8318011,8318011,,-19.69169646,63.47694062
Rodrigues,state,Grand La Fouche Corail Government School,Grand La Fouche Corail,8317232,8317232,,-19.73551195,63.38295809
Rodrigues,state,Port Sud Est Government School,Port Sud Est,8323362,8323362,,-19.73745521,63.4526884
Rodrigues,state,Batatrand Government School,Batatrand,8315216,8315216,,,
Rodrigues,Private Aided,St Esprit RCA,La Ferme,8316426,8317223,,-19.72426988,63.37914218
Rodrigues,Private Aided,N.D.De Lourdes RCA,Brule Trefles,8318020,8318020,,-19.70223172,63.46447536
Rodrigues,Private Aided,Antoinette Prudence Sainte Famille RCA,Lataniers,8314449,8314449,,,
Rodrigues,Private Aided,Father Ronald Gandy RCA Ex Don Bosco,Citron Donis,8316257,8316257,,-19.71920507,63.42019794
Rodrigues,Private Aided,Ste Therese De Lenfant Jesus RCA,Riviere Coco,8317223,8319426,ZEP,,
Agalega,,Jacques Le Chartier Government School,Vingt Cinq Village North Agalega,,,ZEP,,
Agalega,,South Agalega Government School,Ste Rita Village South Agalega,,,ZEP,,
