School_Type,School_Name,Address,Phone_Number,Fax_Number,Email_Address,Type,Zone,Website,Latitude,Longitude
Government Schools,Amaury Government School,Amaury Belle  Vue Amuary,4128171,4128171,amgs@govmu.org,,1,,,
Government Schools,Noe Nemorin Government School,Royal Rd Trou Aux Biches,2655052,2655052,nngs@govmu.org,,1,,-20.04281535,57.53862743
Government Schools,Ramlugun Moosun Government School,Bois Rouge Goodlands ,2838082,2838082,morgs@govmu.org,,1,,,
Government Schools,Abdool Rahman Abdool Government School,10 Canal Street Port Louis,2423020,2423020,arags@govmu.org,,1,,-20.153652,57.5160235
Government Schools,Adolphe De Plevitz Government School,La Laura Saint Pierre,4330956,4330956,adpgs@govmu.org,,2,,-20.2042829,57.5523627
Government Schools,Aime Cesaire Government School,La Concorder St Camp Levieux,4672889,4672889,acgs@govmu.org,ZEP,2,,-20.244682,57.4543534
Government Schools,Albion Government School,Avenue Belle Eau Camp Creoles Albion,2385245,2385245,algs@govmu.org,,4,,-20.206481,57.4184881
Government Schools,Amaury Government School,Amaury Belle Vue Maury,4128171,4128171,amgs@govmu.org,,1,,-20.1364832,57.6705062
Government Schools,Amitie Government School,L amitie Riviere Du Rempart,4127205,4127205,lags@govmu.org,,1,,-20.1097898,57.665104
Government Schools,Andre Bazerque Plaisance Government School,Plaisance Rose Hill,4649917,4649917,abags@govmu.org,ZEP,2,,-20.242167,57.4587352
Government Schools,Andre Glover Government School,Lady Twinning Street Beau Bassin,4646399,4646399,aggs@govmu.org,,2,,-20.2246225,57.4698744
Government Schools,Appalsamy Sokappadu Government School,Royal Road Chemin Grenier,6226319,6226319,asgs@govmu.org,,3,,-20.4930734,57.4731108
Government Schools,Arsenal Government School,Royal Road Arsenal,2488157,2488157,args@govmu.org,,1,,-20.1010109,57.5406263
Government Schools,B Khemloliva Government School,Mont Gout Shivala Road Pamplemousses,2433298,2433298,kbgs@govmu.org,,1,,-20.1173759,57.5934206
Government Schools,B Rosunee Government School,Royal Road Bramsthan Central Flacq ,4132886,,brogs@govmu.org,,2,,-20.2114854,57.7333218
Government Schools,Baichoo Madhoo Government School,Telfair Avenue Quatre Bornes,4647178,4647178,bamgs@govmu.org,,4,,-20.2584746,57.4807533
Government Schools,Bambous A Government School,Royal Rd Bambous,4520890 ,4520890 ,baags@govmu.org,ZEP,4,,,
Government Schools,Barkly Government School,Herchenroder Street Beau Bassin,4540998,4540998,bargs@govmu.org,ZEP,2,,-20.2250897,57.4609096
Government Schools,Barlow Government School,Barlow Belle Vue Maurel,4126044,4126044,blgs@govmu.org,,1,,-20.1252103,57.6592176
Government Schools,Beau Sejour Government School,Dr Ythier Ave Belle Rose Q Bornes ,4544350,4544350,bsgs@govmu.org,,4,,-20.2513083,57.4804753
Government Schools,Beau Vallon Government School,Royal Road Beau Vallon Mahebourg,6319050,6319050,bvags@govmu.org,,3,,-20.4171996,57.7049831
Government Schools,Bel Ombre Government School,Royal Road Bel Ombre,6226424,6226424,bogs@govmu.org,,3,,-20.503805,57.402631
Government Schools,Belle Mare Government School,Royal Road Belle Mare Belle Mare,4151311,4151266,blmgs@govmu.org,,2,,-20.2009602,57.7761018
Government Schools,Bheewa Mahadoo Government School,Royal Road Riviere Du Rempart,4127251,4127251,bmgs@govmu.org,,1,,-20.1073797,57.6958957
Government Schools,Black River Government School,Royal Road Black River,4836803,4836803,brgs@govmu.org,ZEP,4,,-20.3597312,57.3712301
Government Schools,Bois Des Amourettes Government School,Old Grand Port Bois Des Amourettes,6345250,6345250,bdags@govmu.org,ZEP,3,,-20.3658853,57.7375134
Government Schools,Bon Accueil Government School,School Lane Bon Accueil Brisee Verdiere Road,4183956,4183956,bags@govmu.org,,2,,-20.1751162,57.6636314
Government Schools,Brisee Verdiere Government School,Royal Road Brisee Ve Roadiere,4183004,4183004,bvgs@govmu.org,,2,,-20.1655817,57.6534203
Government Schools,Britannia Government School,Bougainvilles Street Britannia,6262052,6262052,bgs@govmu.org,,3,,-20.4497705,57.5639812
Government Schools,Calebasses Government School,Calebasses School Lane Pamplemousses,2433301,2433301,calgs@govmu.org,,1,,-20.1128479,57.5590267
Government Schools,Camp Diable Government School,Sir A R Mohamed Street Camp Diable,6262087,,cdgs@govmu.org,,3,,-20.4661943,57.5837195
Government Schools,Camp Ithier Government School,Camp Ithier Central Flacq,4133296,4133296,cigs@govmu.org,,2,,-20.2184439,57.7556232
Government Schools,Camp Thorel Government School,Saint Julien D Hotman Camp Thorel,4165250,4165250,cthgs@govmu.org,,2,,-20.2189855,57.6221889
Government Schools,Candos Government School,Cite Kennedy Candos Quatre Bornes ,4242419,4242419,cngs@govmu.org,ZEP,4,,-20.2801307,57.4721366
Government Schools,Caroline Government School,Caroline Bel Air Riviere Seche,4192653,4192653,crgs@govmu.org,,2,,-20.2483893,57.7543384
Government Schools,Cascavelle Government School,Xavier Bambous,4520089,4520089,casgs@govmu.org,ZEP,4,,-20.2877968,57.4036834
Government Schools,Charle Telfair Government School,Playground Street Chemin Grenier,6226925,6226925,ctgs@govmu.org,,3,,-20.495607,57.4768985
Government Schools,Cite Atlee Government School,Forest Side Forest Side,6753196,6753196,cags@govmu.org,,3,,-20.3327702,57.5226566
Government Schools,Cluny Government School,Royal Road Cluny,6778002,6778002,cgs@govmu.org,,3,,-20.3707004,57.6072441
Government Schools,Coromandel Government School,Belle Etoile Beau Bassin,2331952,2331952,corgs@govmu.org,,2,,-20.1979081,57.4687856
Government Schools,Cottage Government School,School Avenue Cottage,2666013,2666013,cotgs@govmu.org,,1,,-20.0624579,57.6384722
