College_Type,Name,Address,Longitude,Latitude
State Secondary Schools,Droopnath Ramphul SSS Girls,Calebasses,57.5630079,-20.1140763
State Secondary Schools,Goodlands SSS Boys,Goodlands,57.635228,-20.0281514
State Secondary Schools,Sharma Jugdambi SSS Girls,Goodlands,57.6437277,-20.0338344
State Secondary Schools,Adolphe De Plevitz SSS Boys,Grand Baie,57.5795618,-20.0204268
State Secondary Schools,Beekrumsing Ramlallah SSS Boys,Mapou,57.6086707,-20.0776915
State Secondary Schools,Pailles SSS Girls,Pailles,57.4942365,-20.1893538
State Secondary Schools,Pamplemousses SSS Girls,Pamplemousses,57.5722097,-20.1018155
State Secondary Schools,Rabindranath Tagore SSS Boys and Girls,Pamplemousses,57.5736194,-20.1262463
State Secondary Schools,Piton SC Boys,Piton,57.6331032,-20.0981592
State Secondary Schools,Frank Richard SSS Girls,Pte aux Sables,57.4667928,-20.1721822
State Secondary Schools,GMD Atchia SC Girls,Port Louis,57.5123253,-20.1715337
State Secondary Schools,A H G Mohamed Issac SSS ex Port Louis SSS Girls,Port Louis,57.5130861,-20.1723488
State Secondary Schools,Port Louis North SSS Boys,Port Louis,57.5325771,-20.1548693
State Secondary Schools,Renganaden Seeneevassen SSS Girls,Port Louis,57.5054559,-20.1751339
State Secondary Schools,Royal College Port-Louis,Port Louis,57.4862032,-20.1649281
State Secondary Schools,Sir Abdool Razack Mohamed SSS Boys,Port Louis,57.505759,-20.1669895
State Secondary Schools,Dr James Burty David SSS Boys,Bell Village,57.4837648,-20.1747416
State Secondary Schools,Ramsoondur Prayag SSS Boys,Riviere du Rempart,57.686677,-20.1119259
State Secondary Schools,Simadree Virahsawmy SSS Girls,Riviere du Rempart,57.6876539,-20.1132596
State Secondary Schools,Professor Hassan Raffa SSS Boys,Terre Rouge,57.5425673,-20.1300894
State Secondary Schools,Terre Rouge SSS Boys,Terre Rouge,57.5427496,-20.1304017
State Secondary Schools,Lady Sushil Ramgoolam SSS Girls,Triolet,57.5484837,-20.0653039
State Secondary Schools,Triolet SSS Boys,Triolet,57.5484678,-20.0639403
State Secondary Schools,Beau Bassin SSS Girls,Beau Bassin,57.4700832,-20.2147842
State Secondary Schools,John Kennedy College Boys,Beau Bassin,57.474394,-20.2186831
State Secondary Schools,Marcel Cabon SSS Boys,Beau Bassin,57.4596596,-20.224012
State Secondary Schools,Bel Air SSS Girls,Bel Air Riviere Seche,57.7443759,-20.2609356
State Secondary Schools,Bon Accueil SC Girls,Bon Accueil,57.6758797,-20.1748051
State Secondary Schools,Camp De Masque SC Boys,Camp de Masque,57.6798592,-20.2315601
State Secondary Schools,Mahatma Gandhi SS Flacq Boys and Girls,Central Flacq,57.7234459,-20.1864603
State Secondary Schools,Sir Leckraz Teelock SSS Boys,Central Flacq,57.7223826,-20.1869018
State Secondary Schools,Rajcoomar Gujadhur SSS Girls,Central Flacq,57.7250431,-20.1938508
State Secondary Schools,Manillal Doctor SSS Girls,Lalmatie,57.6733816,-20.1953477
State Secondary Schools,Mahatma Gandhi Institute SS Boys and Girls,Moka,57.5026857,-20.2271633
State Secondary Schools,Quartier Militaire SSS Girls,Quartier Militaire,57.6035976,-20.2489253
State Secondary Schools,Shrimati Indira Gandhi SSS Boys,Quartier Militaire,57.5915658,-20.2479345
State Secondary Schools,Ebene SSS Boys,Rose Hill,57.4821734,-20.2400261
State Secondary Schools,ebene SSS Girls,Rose Hill,57.4795316,-20.2384304
State Secondary Schools,Queen Elizabeth College Girls,Rose Hill,57.47793,-20.2378324
State Secondary Schools,Sebastopol SSS Boys,Sebastopol,57.691505,-20.2849019
State Secondary Schools,Royal College Curepipe Boys,Curepipe,57.5233788,-20.3181425
State Secondary Schools,Dunputh Lallah SSS Girls,Curepipe,57.5210261,-20.3071257
State Secondary Schools,Floreal SSS Boys,Floreal,57.5128484,-20.3129009
State Secondary Schools,Forest Side Boys SSS,Forest Side,57.5385918,-20.3242569
State Secondary Schools,Forest Side Girls SSS,Forest Side,57.5381597,-20.3221196
State Secondary Schools,Emmanuel Anquetil SSS Boys,Mahebourg,57.7099339,-20.4134349
State Secondary Schools,Mahatma Gandhi SS Boys and Girls,Nouvelle France,57.5697072,-20.3854784
State Secondary Schools,France Boyer de la Giroday SSS Girls,Plaine Magnien,57.6589581,-20.4338294
State Secondary Schools,Riviere des Anguilles SC Girls,Riviere des Anguilles,57.5633651,-20.4902507
State Secondary Schools,Sookdeo Bissoondoyal SC Boys,Rose Belle,57.602475,-20.3985701
State Secondary Schools,Swami Vivekananda SSS Girls,Souillac,57.5228169,-20.5158477
