District,Zone,Geographical Region,Development Region,Year AD,Year BS,Number of Schools
Bajhang,Seti,Mountain,Far-Western,2008,2065,398
Bajhang,Seti,Mountain,Far-Western,2009,2066,401
Bajhang,Seti,Mountain,Far-Western,2010,2067,436
Bajhang,Seti,Mountain,Far-Western,2011,2068,457
Bajhang,Seti,Mountain,Far-Western,2007,2064,373
Dadeldhura,Mahakali,Hill,Far-Western,2008,2065,247
Dadeldhura,Mahakali,Hill,Far-Western,2009,2066,250
Dadeldhura,Mahakali,Hill,Far-Western,2010,2067,260
Dadeldhura,Mahakali,Hill,Far-Western,2011,2068,263
Dadeldhura,Mahakali,Hill,Far-Western,2007,2064,234
Arghakhanchi,Lumbini,Hill,Western,2008,2065,417
Arghakhanchi,Lumbini,Hill,Western,2009,2066,422
Arghakhanchi,Lumbini,Hill,Western,2010,2067,431
Arghakhanchi,Lumbini,Hill,Western,2011,2068,451
Arghakhanchi,Lumbini,Hill,Western,2007,2064,389
Darchaula,Mahakali,Mountain,Far-Western,2008,2065,330
Darchaula,Mahakali,Mountain,Far-Western,2009,2066,340
Darchaula,Mahakali,Mountain,Far-Western,2010,2067,356
Darchaula,Mahakali,Mountain,Far-Western,2011,2068,361
Darchaula,Mahakali,Mountain,Far-Western,2007,2064,311
Chitawan,Narayani,Terai,Central,2008,2065,536
Chitawan,Narayani,Terai,Central,2009,2066,530
Chitawan,Narayani,Terai,Central,2010,2067,530
Chitawan,Narayani,Terai,Central,2011,2068,543
Chitawan,Narayani,Terai,Central,2007,2064,507
Panchthar,Mechi,Hill,Eastern,2008,2065,398
Panchthar,Mechi,Hill,Eastern,2009,2066,387
Panchthar,Mechi,Hill,Eastern,2010,2067,436
Panchthar,Mechi,Hill,Eastern,2011,2068,436
Panchthar,Mechi,Hill,Eastern,2007,2064,392
Sindhupalchok,Bagmati,Mountain,Central,2008,2065,516
Sindhupalchok,Bagmati,Mountain,Central,2009,2066,542
Sindhupalchok,Bagmati,Mountain,Central,2010,2067,556
Sindhupalchok,Bagmati,Mountain,Central,2011,2068,556
Sindhupalchok,Bagmati,Mountain,Central,2007,2064,490
Terhathum,Kosi,Hill,Eastern,2008,2065,248
Terhathum,Kosi,Hill,Eastern,2009,2066,252
Terhathum,Kosi,Hill,Eastern,2010,2067,252
Terhathum,Kosi,Hill,Eastern,2011,2068,253
Terhathum,Kosi,Hill,Eastern,2007,2064,248
Mugu,Karnali,Mountain,Mid-Western,2008,2065,126
Mugu,Karnali,Mountain,Mid-Western,2009,2066,130
Mugu,Karnali,Mountain,Mid-Western,2010,2067,130
Mugu,Karnali,Mountain,Mid-Western,2011,2068,152
Mugu,Karnali,Mountain,Mid-Western,2007,2064,124
Khotang,Sagarmatha,Hill,Eastern,2008,2065,472
Khotang,Sagarmatha,Hill,Eastern,2009,2066,484
Khotang,Sagarmatha,Hill,Eastern,2010,2067,484
Khotang,Sagarmatha,Hill,Eastern,2011,2068,484
Khotang,Sagarmatha,Hill,Eastern,2007,2064,491
Kathmandu,Bagmati,Hill,Central,2008,2065,1298
Kathmandu,Bagmati,Hill,Central,2009,2066,1370
Kathmandu,Bagmati,Hill,Central,2010,2067,1370
Kathmandu,Bagmati,Hill,Central,2011,2068,1370
Kathmandu,Bagmati,Hill,Central,2007,2064,1298
Banke,Bheri,Terai,Mid-Western,2008,2065,358
Banke,Bheri,Terai,Mid-Western,2009,2066,391
Banke,Bheri,Terai,Mid-Western,2010,2067,409
Banke,Bheri,Terai,Mid-Western,2011,2068,436
Banke,Bheri,Terai,Mid-Western,2007,2064,338
Okhaldhunga,Sagarmatha,Hill,Eastern,2008,2065,334
Okhaldhunga,Sagarmatha,Hill,Eastern,2009,2066,353
Okhaldhunga,Sagarmatha,Hill,Eastern,2010,2067,365
Okhaldhunga,Sagarmatha,Hill,Eastern,2011,2068,368
Okhaldhunga,Sagarmatha,Hill,Eastern,2007,2064,328
Gorkha,Gandaki,Hill,Western,2008,2065,522
Gorkha,Gandaki,Hill,Western,2009,2066,529
Gorkha,Gandaki,Hill,Western,2010,2067,531
Gorkha,Gandaki,Hill,Western,2011,2068,553
Gorkha,Gandaki,Hill,Western,2007,2064,489
Baitadi,Mahakali,Hill,Far-Western,2008,2065,474
Baitadi,Mahakali,Hill,Far-Western,2009,2066,510
Baitadi,Mahakali,Hill,Far-Western,2010,2067,541
Baitadi,Mahakali,Hill,Far-Western,2011,2068,554
Baitadi,Mahakali,Hill,Far-Western,2007,2064,436
