District,Zone,Geographical Region,Development Region,School Number,School Code,Name of School,ENGLISH,NEPALI,MATHS,SCIENCE,SOCIAL STUDIES,HEALTH POPULATION AND ENVIRONMENT,TAP,SAP,DITINCTION,FIRST DIVISION,SECOND DIVISION,THIRD DIVISION,PASS,FAIL,PASS PERCENT
Taplejung,Mechi,Mountain,Eastern,1,1000,PRIVATE TAPLEJUNG,16.6,28.2,11.4,19.2,27.2,34.4,15,15,0,0,1,0,1,14,6.67
Taplejung,Mechi,Mountain,Eastern,2,1001,BALSUBODHINI SAN MA VI MEDIBUNG PHUNGLIN,17.8,41.7,22.1,29.5,44.8,41.9,34,34,0,2,4,0,6,28,17.65
Taplejung,Mechi,Mountain,Eastern,3,1002,BHANUJAN MA VI AMBITAR,24.9,39.6,16.6,23.0,42.7,31.7,101,100,0,3,12,0,15,85,15.0
Taplejung,Mechi,Mountain,Eastern,4,1003,MOTI MA VI KHOKLING,20.6,34.3,10.9,15.3,35.6,31.6,27,27,0,0,2,0,2,25,7.41
Taplejung,Mechi,Mountain,Eastern,5,1004,SINAM MA VI SINAM,24.1,46.1,25.7,29.8,36.3,44.8,64,64,0,3,15,0,18,46,28.13
Taplejung,Mechi,Mountain,Eastern,6,1005,GANESH MA VI KHEWANG,20.6,36.8,18.8,18.2,40.7,33.2,45,45,0,1,4,0,5,40,11.11
Taplejung,Mechi,Mountain,Eastern,7,1006,THECHAMBU MA VI THECHAMBU,24.6,42.8,27.4,41.3,51.7,46.7,15,15,0,0,6,0,6,9,40.0
Taplejung,Mechi,Mountain,Eastern,8,1007,MAIWAKHOLA MA VI TEMBE,21.5,39.6,25.2,31.0,42.3,43.1,65,65,0,3,12,3,18,47,27.69
Taplejung,Mechi,Mountain,Eastern,9,1008,PRITHVI MA VI KHAMLUNG,20.3,38.0,15.5,25.2,39.4,34.8,19,19,0,0,0,0,0,19,0.0
Taplejung,Mechi,Mountain,Eastern,10,1009,BHANJYANG MA VI LIMBUDIN,21.1,41.0,18.6,29.3,39.5,33.8,43,43,0,0,5,0,5,38,11.63
Taplejung,Mechi,Mountain,Eastern,11,1010,NARAYANI MA VI SANGHU,22.6,41.0,15.3,30.7,37.5,31.1,44,44,0,0,9,0,9,35,20.45
Taplejung,Mechi,Mountain,Eastern,12,1011,DURGA MA VI PHULBARI,18.6,36.3,12.7,28.9,39.5,29.5,47,47,0,0,2,1,3,44,6.38
Taplejung,Mechi,Mountain,Eastern,13,1012,SARASWATI MA VI HANGPANG,25.2,42.9,20.4,28.4,41.5,40.9,35,35,0,0,5,1,6,29,17.14
Taplejung,Mechi,Mountain,Eastern,14,1013,JANATA MA VI HANGDEWA,23.8,43.8,23.9,30.4,47.1,40.6,19,19,0,1,4,0,5,14,26.32
Taplejung,Mechi,Mountain,Eastern,15,1014,SARASWATI MA VI LELEP,15.3,29.7,13.1,11.8,32.2,25.7,39,39,0,0,2,0,2,37,5.13
Taplejung,Mechi,Mountain,Eastern,16,1015,SARASWATI MA VI SIKAICHA,25.7,43.2,19.3,30.4,39.0,30.1,30,30,0,2,4,0,6,24,20.0
Taplejung,Mechi,Mountain,Eastern,17,1016,SANWA MA VI SANWA MEWAKHOLA,15.2,33.4,6.1,19.6,33.5,30.4,21,21,0,0,0,0,0,21,0.0
Taplejung,Mechi,Mountain,Eastern,18,1017,TELLOK MA VI TELLOK,26.8,49.6,34.8,33.3,48.8,41.3,16,16,0,3,5,0,8,8,50.0
Taplejung,Mechi,Mountain,Eastern,19,1018,NILGIRI MA VI MEHELE,23.4,37.8,11.8,23.6,37.9,37.1,40,40,0,0,3,0,3,37,7.5
Taplejung,Mechi,Mountain,Eastern,20,1019,KALIKA MA VI NANGKHOLYANG,20,46.2,24.0,27.0,44.5,44.0,24,24,0,0,4,0,4,20,16.67
Taplejung,Mechi,Mountain,Eastern,21,1020,NAVA JYOTI AWASIYA MA VI PHUNGLING,28.8,40.0,23.8,32.7,42.6,37.0,49,49,0,1,17,0,18,31,36.73
Taplejung,Mechi,Mountain,Eastern,22,1021,SINWA MA VI LINGSIM SINWA,13.1,28.8,11.6,20.3,34.6,29.5,39,39,0,0,2,0,2,37,5.13
Taplejung,Mechi,Mountain,Eastern,23,1022,MAHENDRA MA VI PHAKUMVA MAIWAKHOLA,23.9,39.2,20.1,29.8,38.7,32.6,12,12,0,1,2,0,3,9,25.0
Taplejung,Mechi,Mountain,Eastern,24,1023,CHAKSIBOTE MA VI CHAKSIBOTE,19.9,36.7,15.0,25.5,34.8,33.7,30,30,0,0,2,0,2,28,6.67
Taplejung,Mechi,Mountain,Eastern,25,1024,CHANGE MA VI CHANGE,18.1,35.8,12.2,24.2,39.3,34.7,50,50,0,2,2,0,4,46,8.0
Taplejung,Mechi,Mountain,Eastern,26,1025,KALIKA MA VI TIRINGA,25.5,48.1,34.2,30.7,48.4,37.2,13,13,0,0,6,0,6,7,46.15
Taplejung,Mechi,Mountain,Eastern,27,1026,SHARADA MA VI THUMBEDIN,21.9,43.4,26.4,36.6,47.0,42.1,37,37,0,0,10,1,11,26,29.73
