CÓDIGO COLEGIO	 REGIONAL	 PROVINCIA	 DISTRITO	 CORREGIMIENTO	 NOMBRE COLEGIO	ÁREA	PROGRAMA	TIPO	APROBADOS SIN ASIGNATURA PENDIENTE 7 GRADO HOMBRE	APROBADOS SIN ASIGNATURA PENDIENTE 7 GRADO MUJER	APROBADOS SIN ASIGNATURA PENDIENTE 8 GRADO HOMBRE	APROBADOS SIN ASIGNATURA PENDIENTE 8 GRADO MUJER	APROBADOS SIN ASIGNATURA PENDIENTE 9 GRADO HOMBRE	APROBADOS SIN ASIGNATURA PENDIENTE 9 GRADO MUJER	APLAZADOS 1 MATERIA 7 GRADO HOMBRE	APLAZADOS 1 MATERIA 7 GRADO MUJER	APLAZADOS 1 MATERIA 8 GRADO HOMBRE	APLAZADOS 1 MATERIA 8 GRADO MUJER	APLAZADOS 1 MATERIA 9 GRADO HOMBRE	APLAZADOS 1 MATERIA 9 GRADO MUJER	APLAZADOS 2 MATERIA 7 GRADO HOMBRE	APLAZADOS 2 MATERIA 7 GRADO MUJER	APLAZADOS 2 MATERIA 8 GRADO HOMBRE	APLAZADOS 2 MATERIA 8 GRADO MUJER	APLAZADOS 2 MATERIA 9 GRADO HOMBRE	APLAZADOS 2 MATERIA 9 GRADO MUJER	APLAZADOS 3 MATERIA 7 GRADO HOMBRE	APLAZADOS 3 MATERIA 7 GRADO MUJER	APLAZADOS 3 MATERIA 8 GRADO HOMBRE	APLAZADOS 3 MATERIA 8 GRADO MUJER	APLAZADOS 3 MATERIA 9 GRADO HOMBRE	APLAZADOS 3 MATERIA 9 GRADO MUJER	REPROBADOS 7 GRADO HOMBRE	REPROBADOS 7 GRADO MUJER	REPROBADOS 8 GRADO HOMBRE	REPROBADOS 8 GRADO MUJER	REPROBADOS 9 GRADO HOMBRE	REPROBADOS 9 GRADO MUJER	 DESERTORES 7 GRADO HOMBRE	DESERTORES 7 GRADO MUJER	 DESERTORES 8 GRADO HOMBRE	DESERTORES 8 GRADO MUJER	 DESERTORES 9 GRADO HOMBRE	DESERTORES 9 GRADO MUJER	DOCENTES	 AULAS 
95	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	SAN CRISTÓBAL	INDÍGENA	PREMEDIA TELEBASICA	OFICIAL	16	10	9	7	6	6	2	1	1	1	0	1	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	3	3
96	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	LOMA PARTIDA	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	2	8	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
105	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	LOMA AZUL	RURAL	PREMEDIA MULTIGRADO	OFICIAL	17	7	10	10	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3
107	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	LOMA ESTRELLA	RURAL	PREMEDIA MULTIGRADO	OFICIAL	10	14	14	11	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7
117	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	QUEBRADA PINZÓN	RURAL	PREMEDIA MULTIGRADO	OFICIAL	9	8	6	10	3	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	2
122	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	COLEGIO ROGELIO JOSUÉ IBARRA	URBANA	PREMEDIA TRADICIONAL	OFICIAL	49	53	40	43	48	68	12	19	8	11	2	0	6	11	3	4	2	0	9	5	7	3	0	0	30	12	15	5	9	1	0	0	7	4	4	6	64	14
130	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	TIERRA OSCURA	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	9	6	10	6	9	5	3	0	1	1	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	2
131	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	SECRETARIO	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	4	11	2	5	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
154	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BASTIMENTO	BASTIMENTOS	RURAL	PREMEDIA TELEBASICA	OFICIAL	7	7	13	7	6	7	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	7
155	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BASTIMENTO	QUEBRADA SAL	INDÍGENA	PREMEDIA TRADICIONAL	OFICIAL	6	3	5	8	5	5	0	0	3	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	3
174	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	PUNTA LAUREL	ISLA POPA N°2	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	5	3	4	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
175	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	PUNTA LAUREL	CAYO DE AGUA	INDÍGENA	PREMEDIA TRADICIONAL	OFICIAL	9	3	11	7	14	8	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
176	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	PUNTA LAUREL	ISLA TIGRE	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	6	15	10	5	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	5
177	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	PUNTA LAUREL	ISLA POPA N°1	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	9	8	5	4	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2
208	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	CHANGUINOLA	ESCUELA BILINGÜE FINCA 32	URBANA	PREMEDIA TRADICIONAL	OFICIAL	53	57	37	43	31	49	8	19	20	8	9	11	10	7	14	7	9	7	4	8	6	2	6	3	30	11	10	8	3	3	0	0	0	0	0	0	28	18
212	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	EL SILENCIO	I.P.T. EL SILENCIO	RURAL	PREMEDIA TRADICIONAL	OFICIAL	47	47	24	42	24	40	14	19	10	13	18	4	6	7	13	8	8	2	4	1	6	2	7	0	4	2	9	1	4	3	4	3	4	4	2	1	44	14
213	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	CHANGUINOLA	I.P.T. BOCAS DEL TORO	URBANA	PREMEDIA TRADICIONAL	OFICIAL	75	81	67	84	47	99	27	20	28	18	14	20	13	13	18	11	11	8	11	13	13	10	7	6	37	17	19	10	18	9	42	25	5	9	6	5	60	30
231	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	CHANGUINOLA	C.E.B.G. BILINGÜE FINCA 62	URBANA	PREMEDIA TRADICIONAL	OFICIAL	43	38	31	37	36	45	10	13	13	7	0	0	6	6	10	4	0	0	6	3	4	3	0	0	13	8	8	5	1	0	4	2	0	1	0	2	26	16
232	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	COCHIGRÓ	QUEBRADA GUABO	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	9	8	7	7	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	2
238	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	COCHIGRÓ	QUEBRADA COCHIGRÓ	RURAL	PREMEDIA MULTIGRADO	OFICIAL	5	6	6	4	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	2	0	0	3	4
241	BOCAS DEL TORO	BOCAS DEL TORO	ALMIRANTE	NANCE DE RISCO	BAJO CULUBRE	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	7	7	5	8	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	3
245	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	LA GLORIA	LOMA MULETO	RURAL	PREMEDIA TELEBASICA	OFICIAL	26	26	24	20	22	20	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	3
247	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	ALMIRANTE	E.T.G.N.A. BELLA VISTA	RURAL	PREMEDIA MULTIGRADO	OFICIAL	6	4	5	5	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	1	1	0	0	0	0	2	3
255	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	LA GLORIA	VALLE JUNQUITO	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	7	4	6	7	8	7	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	11
267	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	LA GLORIA	C.E.B.G. LA GLORIA	RURAL	PREMEDIA TELEBASICA	OFICIAL	10	7	10	9	12	17	2	4	3	4	0	0	3	0	1	0	0	0	1	1	1	1	0	0	0	1	2	2	0	0	0	0	0	0	0	0	8	6
270	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	LA GLORIA	MILLA 71/2	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	4	11	3	6	7	3	3	3	0	1	3	1	1	0	2	1	0	0	3	0	1	0	0	0	2	6	0	0	0	0	3	2	3	1	0	1	4	3
276	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	EL EMPALME	C.E.B.G. BILINGÜE FINCA 04	URBANA	PREMEDIA TRADICIONAL	OFICIAL	54	53	29	39	44	50	7	11	4	7	6	5	8	2	7	5	5	6	4	6	4	1	1	10	3	6	5	0	2	3	1	2	1	0	0	0	26	15
285	BOCAS DEL TORO	BOCAS DEL TORO	ALMIRANTE	VALLE DE RISCÓ	GUAYACÁN	INDÍGENA	PREMEDIA TRADICIONAL	OFICIAL	8	4	5	0	7	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	2	2
288	BOCAS DEL TORO	BOCAS DEL TORO	ALMIRANTE	VALLE DE RISCÓ	C.E.B.G. BILINGÜE VALLE DE RISCO	INDÍGENA	PREMEDIA TRADICIONAL	OFICIAL	24	25	18	35	23	39	11	3	6	9	6	3	4	5	4	2	3	4	8	4	3	0	2	4	20	6	5	1	5	5	0	0	6	1	3	2	19	17
289	BOCAS DEL TORO	BOCAS DEL TORO	ALMIRANTE	VALLE DE AGUA	VALLE DE AGUA ARRIBA	RURAL	PREMEDIA MULTIGRADO	OFICIAL	8	7	11	8	11	7	2	0	4	1	0	0	1	0	2	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	4
291	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	ALMIRANTE	COL. SECUNDARIO DE ALMIRANTE	URBANA	PREMEDIA TRADICIONAL	OFICIAL	118	87	63	84	68	99	12	15	13	9	5	8	11	3	10	12	6	1	7	1	5	6	3	1	5	5	3	3	7	1	6	9	4	3	6	4	33	21
299	BOCAS DEL TORO	BOCAS DEL TORO	ALMIRANTE	VALLE DE AGUA	RÍO OESTE ARRIBA	RURAL	PREMEDIA TRADICIONAL	OFICIAL	13	0	6	15	11	11	3	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	1	0	0	2	3	3
303	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	QUEBRADA PUEBLO	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	10	4	6	9	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
307	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	NANCE DE RISCO	C.E.B.G. NANCE DE RISCO	INDÍGENA	PREMEDIA TRADICIONAL	OFICIAL	15	13	8	16	16	11	5	2	6	8	0	0	1	2	4	2	0	0	2	1	1	0	1	1	2	1	1	1	0	0	4	6	5	3	2	1	6	6
313	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	LAS TABLAS	ESC. BILINGÜE BARRANCO ADENTRO	RURAL	PREMEDIA MULTIGRADO	OFICIAL	27	42	0	0	0	0	10	10	0	0	0	0	8	3	0	0	0	0	5	3	0	0	0	0	10	5	0	0	0	0	2	1	0	0	0	0	7	5
