CÓDIGO COLEGIO	REGIONAL	PROVINCIA	DISTRITO	CORREGIMIENTO	NOMBRE COLEGIO	ÁREA	OFERTA ACADÉMICA	TIPO	PREMEDIA APROBADOS SIN ASIGNATURA PENDIENTE 7 GRADO HOMBRE	PREMEDIA APROBADOS SIN ASIGNATURA PENDIENTE 7 GRADO MUJER	PREMEDIA APROBADOS SIN ASIGNATURA PENDIENTE 8 GRADO HOMBRE	PREMEDIA APROBADOS SIN ASIGNATURA PENDIENTE 8 GRADO MUJER	PREMEDIA APROBADOS SIN ASIGNATURA PENDIENTE 9 GRADO HOMBRE	PREMEDIA APROBADOS SIN ASIGNATURA PENDIENTE 9 GRADO MUJER	APLAZADOS 1 MATERIA 7 GRADO HOMBRE	APLAZADOS 1 MATERIA 7 GRADO MUJER	APLAZADOS 1 MATERIA 8 GRADO HOMBRE	APLAZADOS 1 MATERIA 8 GRADO MUJER	APLAZADOS 1 MATERIA 9 GRADO HOMBRE	APLAZADOS 1 MATERIA 9 GRADO MUJER	APLAZADOS 2 MATERIA 7 GRADO HOMBRE	APLAZADOS 2 MATERIA 7 GRADO MUJER	APLAZADOS 2 MATERIA 8 GRADO HOMBRE	APLAZADOS 2 MATERIA 8 GRADO MUJER	APLAZADOS 2 MATERIA 9 GRADO HOMBRE	APLAZADOS 2 MATERIA 9 GRADO MUJER	APLAZADOS 3 MATERIA 7 GRADO HOMBRE	APLAZADOS 3 MATERIA 7 GRADO MUJER	APLAZADOS 3 MATERIA 8 GRADO HOMBRE	APLAZADOS 3 MATERIA 8 GRADO MUJER	APLAZADOS 3 MATERIA 9 GRADO HOMBRE	APLAZADOS 3 MATERIA 9 GRADO MUJER	REPROBADOS 7 GRADO HOMBRE	REPROBADOS 7 GRADO MUJER	REPROBADOS 8 GRADO HOMBRE	REPROBADOS 8 GRADO MUJER	REPROBADOS 9 GRADO HOMBRE	REPROBADOS 9 GRADO MUJER	DESERTORES 7 GRADO HOMBRE	DESERTORES 7 GRADO MUJER	DESERTORES 8 GRADO HOMBRE	DESERTORES 8 GRADO MUJER	DESERTORES 9 GRADO HOMBRE	DESERTORES 9 GRADO MUJER	DOCENTES	AULAS
1064	COLÓN	COLÓN	COLÓN	BUENA VISTA	ESCUELA BILINGÜE ELISA VDA. DE GARRIDO	RURAL	PREMEDIA TRADICIONAL	OFICIAL	41	52	37	63	57	58	23	14	14	4	0	0	13	9	8	4	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	18
439	COMARCA NGÄBE BUGLÉ ÑOKRIBO	BOCAS DEL TORO	KANKINTÚ	BISIRA	I.P.T. BISIRA	INDÍGENA	PREMEDIA TRADICIONAL	OFICIAL	31	36	21	20	33	23	4	5	1	4	2	1	5	1	1	3	0	2	1	0	1	0	0	0	0	0	0	0	0	0	4	5	7	5	4	0	11	6
4938	COMARCA NGÄBE BUGLÉ NEDRINI	CHIRIQUÍ	NOLE DUIMA	SUSAMA	PETITA SANTOS	INDÍGENA	PREMEDIA TRADICIONAL	OFICIAL	26	35	20	33	24	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	3
5397	PANAMÁ OESTE	PANAMÁ OESTE	ARRAIJÁN	VISTA ALEGRE	RESIDENCIAL VISTA ALEGRE	URBANA	PREMEDIA TRADICIONAL	OFICIAL	96	93	100	114	119	96	14	12	9	7	1	0	8	5	6	0	1	0	5	2	2	1	0	0	5	1	4	0	0	0	2	0	0	0	0	0	31	15
7440	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	LA EXPOSICIÓN O CALIDONIA	CENTRO EDUCATIVO SUZZETTE ARCHIBOLD	URBANA	PREMEDIA TRADICIONAL	PARTICULAR	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1
7524	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	TOCUMEN	CENTRO EDUCATIVO EASY TO LEARN	URBANA	PREMEDIA TRADICIONAL	PARTICULAR	12	6	5	6	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
95	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	SAN CRISTÓBAL	INDÍGENA	PREMEDIA TELEBASICA	OFICIAL	13	12	20	11	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8
96	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	LOMA PARTIDA	INDÍGENA	PREMEDIA MULTIGRADO	OFICIAL	3	7	2	9	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
105	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	LOMA AZUL	RURAL	PREMEDIA MULTIGRADO	OFICIAL	17	13	16	7	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7
107	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	LOMA ESTRELLA	RURAL	PREMEDIA MULTIGRADO	OFICIAL	17	12	11	15	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10
