COD. COLEGIO	 REGIONAL	 PROVINCIA	 DISTRITO	 CORREGIMIENTO	 NOMBRE COLEGIO	ÁREA	PROGRAMAS	 TIPO	APROBADO 1 GRADO HOMBRE	APROBADO 1 GRADO MUJER	APROBADO 2 GRADO HOMBRE	APROBADO 2 GRADO MUJER	APROBADO 3 GRADO HOMBRE	APROBADO 3 GRADO MUJER	APROBADO 4 GRADO HOMBRE	APROBADO 4 GRADO MUJER	APROBADO 5 GRADO HOMBRE	APROBADO 5 GRADO MUJER	APROBADO 6 GRADO HOMBRE	APROBADO 6 GRADO MUJER	REPROBADO 1 GRADO HOMBRE	REPROBADO 1 GRADO MUJER	REPROBADO 2 GRADO HOMBRE	REPROBADO 2 GRADO MUJER	REPROBADO 3 GRADO HOMBRE	REPROBADO 3 GRADO MUJER	REPROBADO 4 GRADO HOMBRE	REPROBADO 4 GRADO MUJER	REPROBADO 5 GRADO HOMBRE	REPROBADO 5 GRADO MUJER	REPROBADO 6 GRADO HOMBRE	REPROBADO 6 GRADO MUJER	DESERTORES 1 GRADO HOMBRE	DESERTORES 1 GRADO MUJER	DESERTORES 2 GRADO HOMBRE	DESERTORES 2 GRADO MUJER	DESERTORES 3 GRADO HOMBRE	DESERTORES 3 GRADO MUJER	DESERTORES 4 GRADO HOMBRE	DESERTORES 4 GRADO MUJER	DESERTORES 5 GRADO HOMBRE	DESERTORES 5 GRADO MUJER	DESERTORES 6 GRADO HOMBRE	DESERTORES 6 GRADO MUJER	DOCENTES	AULAS
93	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	ESC. BILINGÜE REPUBLICA DE NICARAGUA	URBANA	PRIMARIA UNIGRADO	OFICIAL	68	64	83	81	90	54	84	76	76	55	64	76	2	2	2	2	0	0	5	2	2	0	1	0	5	3	3	3	1	1	3	1	2	1	3	2	21	17
94	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	VALLE ESCONDIDO	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	5	5	3	7	5	3	5	8	9	3	2	2	0	0	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	3	3
95	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	SAN CRISTÓBAL	INDÍGENA	PRIMARIA TELEBASICA	OFICIAL	15	16	20	12	17	12	8	12	9	9	14	11	1	2	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4
96	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	LOMA PARTIDA	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	6	4	4	0	5	7	4	7	5	2	1	7	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
97	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	CERRO BRUJO	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	3	3	6	1	1	4	4	3	4	1	2	3	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
98	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	BUENA ESPERANZA	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	3	2	4	1	5	2	2	5	2	2	5	3	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
99	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BOCA DEL DRAGO	RURAL	PRIMARIA UNIGRADO	OFICIAL	9	4	4	5	7	7	11	5	8	5	4	9	0	3	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3
100	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	BAHÍA GRANDE	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	2	3	5	5	5	0	2	3	2	1	3	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
101	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BASTIMENTO	BAHÍA HONDA	RURAL	PRIMARIA MULTIGRADO	OFICIAL	9	3	4	3	7	1	6	3	9	7	2	1	1	0	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4
102	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	QUEBRADA HUACA	RURAL	PRIMARIA MULTIGRADO	OFICIAL	2	7	0	4	3	4	4	2	2	10	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
104	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	LOS HIGUERONES	RURAL	PRIMARIA MULTIGRADO	OFICIAL	11	6	8	5	10	6	11	10	6	6	6	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	5
105	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	LOMA AZUL	RURAL	PRIMARIA MULTIGRADO	OFICIAL	8	14	16	9	8	13	6	11	16	10	16	9	0	0	3	0	2	3	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5
107	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	LOMA ESTRELLA	RURAL	PRIMARIA MULTIGRADO	OFICIAL	13	17	15	8	14	9	11	11	13	9	11	6	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	6	7
108	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	CAUCHERO ARRIBA	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	8	5	5	3	3	8	2	3	4	2	2	1	1	1	3	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
109	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	AGUACATE	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	1	0	4	2	2	1	2	2	1	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
115	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	LUIS FLORES	RURAL	PRIMARIA MULTIGRADO	OFICIAL	2	2	1	2	3	2	1	2	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1
116	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	QUEBRADA PLÁTANO	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	4	6	6	5	3	5	6	3	3	5	5	3	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	3	3
117	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	QUEBRADA PINZÓN	RURAL	PRIMARIA MULTIGRADO	OFICIAL	5	10	11	9	5	12	5	6	6	7	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4
125	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CAUCHERO	ARCELIO FITGERALD	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	1	2	4	4	3	1	3	0	3	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
126	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	BOCATORITO	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	3	3	5	1	3	1	4	1	2	3	1	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
127	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	CARENERO	URBANA	PRIMARIA UNIGRADO	OFICIAL	9	13	10	11	12	15	9	8	12	10	11	7	1	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3
128	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	COLONIA SANTEÑA	RURAL	PRIMARIA MULTIGRADO	OFICIAL	6	3	2	1	0	1	0	2	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
130	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	TIERRA OSCURA	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	5	4	5	4	6	5	8	7	4	4	4	4	2	1	2	1	0	0	0	0	4	1	2	0	0	0	0	0	0	0	1	0	0	0	1	1	4	4
131	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	TIERRA OSCURA	SECRETARIO	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	10	11	8	6	14	6	9	5	7	9	8	5	4	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	7	4
139	BOCAS DEL TORO	BOCAS DEL TORO	ALMIRANTE	VALLE DE RISCÓ	ORIENTE DE RISCO	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	7	10	9	14	17	8	10	8	9	12	6	11	1	2	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	6
141	BOCAS DEL TORO	BOCAS DEL TORO	ALMIRANTE	VALLE DE RISCÓ	QUEBRADA PITA	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	4	1	1	3	1	4	3	1	5	1	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
142	BOCAS DEL TORO	BOCAS DEL TORO	ALMIRANTE	VALLE DE RISCÓ	SOLEDAD DE RISCO	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	13	8	5	6	12	6	5	9	3	6	6	5	1	2	2	2	3	2	1	0	1	1	2	1	1	0	0	1	2	0	0	1	1	0	1	0	6	5
154	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BASTIMENTO	BASTIMENTOS	RURAL	PRIMARIA TELEBASICA	OFICIAL	6	12	11	5	10	9	12	3	12	8	5	8	2	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6
155	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BASTIMENTO	QUEBRADA SAL	INDÍGENA	PRIMARIA UNIGRADO	OFICIAL	6	9	9	9	12	11	14	7	12	9	9	8	2	3	5	1	4	1	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	7	6
172	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	PUNTA LAUREL	PUNTA LAUREL	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	1	0	1	1	1	0	2	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
173	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	BASTIMENTO	SOLARTE	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	4	4	4	1	2	5	2	3	3	4	3	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	2
174	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	PUNTA LAUREL	ISLA POPA N°2	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	6	4	6	5	6	2	6	6	7	3	3	3	1	1	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4
