CÓDIGO COLEGIO; REGIONAL; PROVINCIA; DISTRITO; CORREGIMIENTO; NOMBRE COLEGIO;ÁREA;OFERTA ACADÉMICA; TIPO;APROBADO 1 GRADO HOMBRE;APROBADO 1 GRADO MUJER;APROBADO 2 GRADO HOMBRE;APROBADO 2 GRADO MUJER;APROBADO 3 GRADO HOMBRE;APROBADO 3 GRADO MUJER;APROBADO 4 GRADO HOMBRE;APROBADO 4 GRADO MUJER;APROBADO 5 GRADO HOMBRE;APROBADO 5 GRADO MUJER;APROBADO 6 GRADO HOMBRE;APROBADO 6 GRADO MUJER;REPROBADO 1 GRADO HOMBRE;REPROBADO 1 GRADO MUJER;REPROBADO 2 GRADO HOMBRE;REPROBADO 2 GRADO MUJER;REPROBADO 3 GRADO HOMBRE;REPROBADO 3 GRADO MUJER;REPROBADO 4 GRADO HOMBRE;REPROBADO 4 GRADO MUJER;REPROBADO 5 GRADO HOMBRE;REPROBADO 5 GRADO MUJER;REPROBADO 6 GRADO HOMBRE;REPROBADO 6 GRADO MUJER;DESERTORES 1 GRADO HOMBRE;DESERTORES 1 GRADO MUJER;DESERTORES 2 GRADO HOMBRE;DESERTORES 2 GRADO MUJER;DESERTORES 3 GRADO HOMBRE;DESERTORES 3 GRADO MUJER;DESERTORES 4 GRADO HOMBRE;DESERTORES 4 GRADO MUJER;DESERTORES 5 GRADO HOMBRE;DESERTORES 5 GRADO MUJER;DESERTORES 6 GRADO HOMBRE;DESERTORES 6 GRADO MUJER;DOCENTES;AULAS
93;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;ESC. BILINGÜE REPÚBLICA DE NICARAGUA;URBANA;PRIMARIA UNIGRADO;OFICIAL;89;72;74;68;82;75;96;61;80;85;79;62;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0;36;22
94;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;VALLE ESCONDIDO;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;5;7;7;7;3;7;6;3;5;8;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;3
95;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;SAN CRISTÓBAL;INDÍGENA;PRIMARIA TELEBASICA;OFICIAL;14;12;18;16;22;15;19;11;7;13;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4
96;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;LOMA PARTIDA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;4;5;9;5;3;0;7;7;3;7;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
97;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;CERRO BRUJO;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;7;0;4;2;7;2;1;4;3;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
98;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;BUENA ESPERANZA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;3;8;4;3;4;2;4;2;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
99;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;BOCA DEL DRAGO;RURAL;PRIMARIA UNIGRADO;OFICIAL;9;10;8;5;4;5;8;6;13;7;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
100;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;BAHÍA GRANDE;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;1;6;3;3;4;5;5;0;2;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
101;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;BASTIMENTO;BAHÍA HONDA;RURAL;PRIMARIA MULTIGRADO;OFICIAL;7;3;11;3;5;3;8;3;5;3;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6
102;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;CAUCHERO;QUEBRADA HUACA;RURAL;PRIMARIA MULTIGRADO;OFICIAL;5;5;1;6;0;3;2;4;1;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
104;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;CAUCHERO;LOS HIGUERONES;RURAL;PRIMARIA MULTIGRADO;OFICIAL;8;8;11;6;8;5;12;6;5;11;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6
105;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;CAUCHERO;LOMA AZUL;RURAL;PRIMARIA MULTIGRADO;OFICIAL;14;8;10;15;20;10;11;18;7;9;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6
107;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;CAUCHERO;LOMA ESTRELLA;RURAL;PRIMARIA MULTIGRADO;OFICIAL;14;12;15;13;16;11;11;9;12;12;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5
108;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;CAUCHERO;CAUCHERO ARRIBA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;3;1;13;6;5;4;3;7;3;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;2
109;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;AGUACATE;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;4;2;1;1;2;1;2;1;2;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
115;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;LUIS FLORES;RURAL;PRIMARIA MULTIGRADO;OFICIAL;0;3;2;2;0;2;2;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1
116;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;CAUCHERO;QUEBRADA PLÁTANO;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;3;2;4;7;7;6;3;4;7;2;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6
117;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;CAUCHERO;QUEBRADA PINZÓN;RURAL;PRIMARIA MULTIGRADO;OFICIAL;8;5;5;10;11;11;5;12;7;5;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
125;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;CAUCHERO;ARCELIO FITGERALD;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;1;1;1;2;4;4;3;2;3;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
126;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;BOCATORITO;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;3;3;3;3;5;1;4;2;5;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
127;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;CARENERO;URBANA;PRIMARIA UNIGRADO;OFICIAL;6;10;16;9;7;12;11;10;9;7;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3
128;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;COLONIA SANTEÑA;RURAL;PRIMARIA MULTIGRADO;OFICIAL;2;0;6;3;2;1;0;1;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
130;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;TIERRA OSCURA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;7;6;7;5;4;4;5;6;9;7;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
131;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;TIERRA OSCURA;SECRETARIO;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;11;9;10;12;8;6;15;5;6;8;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7
139;BOCAS DEL TORO;BOCAS DEL TORO;ALMIRANTE;VALLE DE RISCÓ;ORIENTE DE RISCO;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;11;11;8;12;9;14;16;7;8;8;7;13;1;0;0;1;1;0;0;2;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;6;12
141;BOCAS DEL TORO;BOCAS DEL TORO;ALMIRANTE;VALLE DE RISCÓ;QUEBRADA PITA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;4;1;4;1;1;5;1;4;3;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
142;BOCAS DEL TORO;BOCAS DEL TORO;ALMIRANTE;VALLE DE RISCÓ;SOLEDAD DE RISCO;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;14;7;16;9;7;9;13;6;5;10;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6
154;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;BASTIMENTO;BASTIMENTOS;RURAL;PRIMARIA TELEBASICA;OFICIAL;11;10;8;16;14;6;11;9;13;4;12;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6
155;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;BASTIMENTO;QUEBRADA SAL;INDÍGENA;PRIMARIA UNIGRADO;OFICIAL;12;8;11;11;14;9;16;12;12;8;12;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9
172;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;PUNTA LAUREL;PUNTA LAUREL;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;1;1;1;0;1;2;1;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
