"anio","codigo_establecimiento","codigo_departamento","nombre_departamento","codigo_distrito","nombre_distrito","codigo_zona","nombre_zona","codigo_barrio_localidad","nombre_barrio_localidad","codigo_institucion","nombre_institucion","sector_o_tipo_gestion","anho_cod_geo","primer_grado_hombre","primer_grado_mujer","segundo_grado_hombre","segundo_grado_mujer","tercer_grado_hombre","tercer_grado_mujer","cuarto_grado_hombre","cuarto_grado_mujer","quinto_grado_hombre","quinto_grado_mujer","sexto_grado_hombre","sexto_grado_mujer","septimo_grado_hombre","septimo_grado_mujer","octavo_grado_hombre","octavo_grado_mujer","noveno_grado_hombre","noveno_grado_mujer","total_matriculados_hombre","total_matriculados_mujer"
"2013","1701014","017","ALTO PARAGUAY","004","BAHIA NEGRA","6","RURAL","180","ZONA BAHIA NEGRA POTY","2604","14500","OFICIAL","","1","5","3","0","1","0","0","1","1","0","2","0","0","0","0","0","0","0","8","6"
"2013","1701007","017","ALTO PARAGUAY","004","BAHIA NEGRA","6","RURAL","180","ZONA BAHIA NEGRA POTY","3108","2483","OFICIAL","","11","5","10","4","15","12","17","18","10","9","7","10","5","8","3","3","3","7","81","76"
"2013","1701005","017","ALTO PARAGUAY","004","BAHIA NEGRA","1","URBANA","001","CENTRAL","3265","419 TTE. 1RO. ROJAS SILVA","OFICIAL","","15","9","7","7","10","8","17","12","8","8","6","8","0","0","0","0","0","0","63","52"
"2013","1701006","017","ALTO PARAGUAY","004","BAHIA NEGRA","6","RURAL","180","ZONA BAHIA NEGRA POTY","3120","5825 (11770)","OFICIAL","","21","9","9","5","13","17","11","9","5","7","6","13","5","11","2","7","4","10","76","88"
"2013","1701005","017","ALTO PARAGUAY","004","BAHIA NEGRA","1","URBANA","001","CENTRAL","2352","COL.  NAC.  TENIENTE 1º ADOLFO ROJAS SIL","OFICIAL","","0","0","0","0","0","0","0","0","0","0","0","0","15","2","5","9","7","9","27","20"
"2013","1702007","017","ALTO PARAGUAY","005","CARMELO PERALTA","1","URBANA","002","VIRGEN DEL CARMEN","9342","1268 PDT.CARLOS A. LOPEZ","OFICIAL","","22","16","17","6","13","12","17","26","18","17","5","23","0","0","0","0","0","0","92","100"
"2013","1702006","017","ALTO PARAGUAY","005","CARMELO PERALTA","6","RURAL","210","PUERTO GUARANI - SUB URBANO","10106","1456 DOMINGO M. DE IRALA","OFICIAL","","15","16","15","11","6","12","13","8","14","10","9","7","0","0","0","0","0","0","72","64"
"2013","1702012","017","ALTO PARAGUAY","005","CARMELO PERALTA","3","","210","PUERTO GUARANI - SUB URBANO","868","1458 TTE.1º F. FERNANDEZ","OFICIAL","","3","5","4","3","2","1","2","3","2","2","1","1","0","0","0","0","0","0","14","15"
"2013","1702010","017","ALTO PARAGUAY","005","CARMELO PERALTA","6","RURAL","200","ISLA MARGARITA","8770","596 PROF. DR. LUIS MARIA ARGAÑA","OFICIAL","","4","3","5","0","3","1","2","5","1","0","5","2","0","0","0","0","0","0","20","11"
"2013","1702018","017","ALTO PARAGUAY","005","CARMELO PERALTA","6","RURAL","180","COM INDIG CUCAANI","6261","6253 CHAMAQUEI CHIQUENO - LOCAL. ISLA AL","OFICIAL","","3","3","3","3","0","0","2","2","3","3","0","0","0","0","0","0","0","0","11","11"
"2013","1702021","017","ALTO PARAGUAY","005","CARMELO PERALTA","6","RURAL","200","ISLA MARGARITA","12388","7073 SAN MIGUEL","OFICIAL","","9","7","10","7","3","2","0","0","0","0","0","0","0","0","0","0","0","0","22","16"
"2013","1702024","017","ALTO PARAGUAY","005","CARMELO PERALTA","6","RURAL","130","COM INDIG GUIDA ICHAI","15360","7404 JNACOIDE DOSAPEI","OFICIAL","","5","4","0","0","0","0","5","0","3","6","0","0","0","0","0","0","0","0","13","10"
"2013","1702011","017","ALTO PARAGUAY","005","CARMELO PERALTA","3","","225","PUERTO SASTRE - LA ESPERANZA SUB-URBANO","8439","96 ALEJO GARCIA","OFICIAL","","9","8","17","7","11","4","13","14","7","11","9","10","0","0","0","0","0","0","66","54"
"2013","1702009","017","ALTO PARAGUAY","005","CARMELO PERALTA","1","URBANA","003","SAN BLAS","8859","CAPITAN MARCIAL RAMIREZ","OFICIAL","","0","0","0","0","0","0","0","0","0","0","0","0","10","8","13","16","16","8","39","32"
"2013","1702011","017","ALTO PARAGUAY","005","CARMELO PERALTA","3","","225","PUERTO SASTRE - LA ESPERANZA SUB-URBANO","6331","LA ESPERANZA","OFICIAL","","0","0","0","0","0","0","0","0","0","0","0","0","6","6","5","8","7","8","18","22"
"2013","1702005","017","ALTO PARAGUAY","005","CARMELO PERALTA","3","","210","PUERTO GUARANI - SUB URBANO","7755","LIC.  NAC.  PUERTO GUARANI","OFICIAL","","0","0","0","0","0","0","0","0","0","0","0","0","9","8","6","4","6","7","21","19"
"2013","1701004","017","ALTO PARAGUAY","001","FUERTE OLIMPO","1","URBANA","001","SAN MIGUEL","3467","117 MAYOR RAMON BEJARANO","OFICIAL","","20","16","23","25","22","27","18","18","17","17","17","22","14","15","5","10","7","9","143","159"
"2013","1701012","017","ALTO PARAGUAY","001","FUERTE OLIMPO","6","RURAL","150","ZONA RIBERA OLIMPO","2870","1277 CNEL. DIM SR.SAMPSON HARRISON","OFICIAL","","5","0","3","0","3","2","0","2","1","2","0","2","0","0","0","0","0","0","12","8"
"2013","1701015","017","ALTO PARAGUAY","001","FUERTE OLIMPO","6","RURAL","150","ZONA RIBERA OLIMPO","1077","14499","OFICIAL","","4","4","3","8","6","5","1","4","2","4","2","1","0","0","0","0","0","0","18","26"
"2013","1701002","017","ALTO PARAGUAY","001","FUERTE OLIMPO","6","RURAL","240","COM INDIG VIRGEN SANTISIMA","3970","2484","OFICIAL","","9","3","13","6","6","9","10","7","5","8","4","4","4","5","4","3","4","3","59","48"
"2013","1701001","017","ALTO PARAGUAY","001","FUERTE OLIMPO","1","URBANA","001","SAN MIGUEL","4492","5865 (11537) SAN MIGUEL","OFICIAL","","12","5","21","10","8","14","5","8","3","8","1","10","0","0","0","0","0","0","50","55"
"2013","1701013","017","ALTO PARAGUAY","001","FUERTE OLIMPO","3","","180","TORO PAMPA SUB-URBANO","2798","5868 (12988)","OFICIAL","","16","13","13","11","14","13","6","11","8","10","8","3","11","5","3","6","5","4","84","76"
"2013","1701003","017","ALTO PARAGUAY","001","FUERTE OLIMPO","1","URBANA","002","MARIA AUXILIADORA","3918","6279 (566) MONSEÐOR ANGEL MUZOLON","OFICIAL","","0","0","0","0","0","0","0","0","0","0","0","0","9","10","3","12","8","11","20","33"
"2013","1701017","017","ALTO PARAGUAY","001","FUERTE OLIMPO","6","RURAL","999","LOCALIDAD A CONFIRMAR","13665","7270 MARIA AUXILIADORA","OFICIAL","","4","2","8","6","4","1","2","5","1","0","1","0","0","0","0","0","0","0","20","14"
"2013","1701011","017","ALTO PARAGUAY","001","FUERTE OLIMPO","6","RURAL","230","ZONA TORO PAMPA OESTE","2892","MONSEÑOR ALEJO OBELAR - ÑU APUA","PRIV.SUBVENCIONADA","","9","5","6","1","5","9","11","6","8","9","6","7","0","0","0","0","0","0","45","37"
"2013","1701011","017","ALTO PARAGUAY","001","FUERTE OLIMPO","6","RURAL","230","ZONA TORO PAMPA OESTE","2328","MONSEÑOR ALEJO OBELAR - ÑU APUA","OFICIAL","","0","0","0","0","0","0","0","0","0","0","0","0","8","6","12","9","6","2","26","17"
"2013","1702026","017","ALTO PARAGUAY","001","FUERTE OLIMPO","6","RURAL","210","MARIA AUXILIADORA","16084","S/N-COMUN. IND. MA. AUXILIADORA KM.40","OFICIAL","","2","1","1","0","1","1","2","1","2","3","0","3","0","0","0","0","0","0","8","9"
"2013","1701019","017","ALTO PARAGUAY","001","FUERTE OLIMPO","6","RURAL","999","LOCALIDAD A CONFIRMAR","16240","S/N- LOC. MADREJON","OFICIAL","","1","3","3","1","3","1","0","1","2","1","3","0","0","0","0","0","0","0","12","7"
"2013","1702008","017","ALTO PARAGUAY","002","LA VICTORI A","1","URBANA","001","URBANO LA VICTORIA","9140","1154 CEFERINO NAMANCURA","OFICIAL","","0","0","0","0","1","5","0","0","0","0","3","2","0","0","0","0","0","0","4","7"
"2013","1702027","017","ALTO PARAGUAY","002","LA VICTORI A","6","RURAL","999","LOCALIDAD A CONFIRMAR","16085","7587 PARCIALIDAD AYOREO","OFICIAL","","6","4","10","13","7","13","10","10","8","4","2","0","0","0","0","0","0","0","43","44"
"2013","1702029","017","ALTO PARAGUAY","002","LA VICTORI A","6","RURAL","999","LOCALIDAD A CONFIRMAR","16432","7685 SIN NOMBRE","OFICIAL","","3","2","5","2","5","5","0","0","0","0","0","0","0","0","0","0","0","0","13","9"
"2013","1702032","017","ALTO PARAGUAY","002","LA VICTORI A","6","RURAL","999","LOCALIDAD A CONFIRMAR","16717","7874 PADRE LIVIO FARIÑA       ","OFICIAL","","10","5","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","10"
"2013","1703003","017","ALTO PARAGUAY","003","MAYOR P.LAGERENZA","6","RURAL","999","LOCALIDAD A CONFIRMAR","6078","2261 COLONIA SIERRA LEON","OFICIAL","","2","2","4","2","2","2","2","2","1","2","2","3","0","0","0","0","0","0","13","13"
"2013","1703004","017","ALTO PARAGUAY","003","MAYOR P.LAGERENZA","6","RURAL","999","LOCALIDAD A CONFIRMAR","3010","5880 (12873) SANTA ROSA DE LIMA","OFICIAL","","9","2","4","2","3","2","4","6","2","3","1","3","0","0","0","0","0","0","23","18"
"2013","1702004","017","ALTO PARAGUAY","002","PUERTO CASADO","1","URBANA","002","DON BOSCO","6068","1155 DOMINGO SAVIO","PRIV.SUBVENCIONADA","","28","25","24","18","17","18","17","25","16","18","15","7","11","10","8","8","6","9","142","138"
"2013","1702014","017","ALTO PARAGUAY","002","PUERTO CASADO","6","RURAL","320","COM INDIG MACHETE VAINA","8272","14708","OFICIAL","","6","4","3","0","1","3","5","2","4","3","5","5","0","0","0","0","0","0","24","17"
"2013","1702003","017","ALTO PARAGUAY","002","PUERTO CASADO","1","URBANA","004","SAN MIGUEL","7600","2894 (11546) GRAL B.CABALLERO","OFICIAL","","17","15","17","21","36","15","28","20","17","17","10","10","0","0","0","0","0","0","125","98"
"2013","1702013","017","ALTO PARAGUAY","002","PUERTO CASADO","6","RURAL","280","ZONA PUERTO CASADO","8107","3730","OFICIAL","","4","2","2","6","4","0","4","1","4","4","2","3","0","7","4","1","8","2","32","26"
"2013","1656012","017","ALTO PARAGUAY","002","PUERTO CASADO","6","RURAL","180","LAS PALMAS -REGION 180","10128","4685 KM. 145","PRIVADA","","0","1","0","2","1","0","0","0","1","0","0","3","0","0","0","0","0","0","2","6"
"2013","1702016","017","ALTO PARAGUAY","002","PUERTO CASADO","6","RURAL","340","COM INDIG RIACHO MOSQUITO","7895","4710 SANTA TERESITA DEL NIÑO JESUS","OFICIAL","","14","9","13","17","10","7","11","15","15","13","4","14","5","13","4","7","3","3","79","98"
"2013","1702020","017","ALTO PARAGUAY","002","PUERTO CASADO","6","RURAL","300","COM INDIG SAN ISIDRO KM 39","11675","7031 SAN DIEGO - IND. SAN ISIDRO KM39","OFICIAL","","3","5","1","3","4","4","1","2","0","1","0","0","0","0","0","0","0","0","9","15"
"2013","1702001","017","ALTO PARAGUAY","002","PUERTO CASADO","1","URBANA","002","DON BOSCO","7940","97 JUAN DE AYOLAS","OFICIAL","","6","7","4","5","12","5","11","7","4","8","10","3","0","0","0","0","0","0","47","35"
"2013","1702023","017","ALTO PARAGUAY","002","PUERTO CASADO","1","URBANA","002","DON BOSCO","6831","JUANA MARIA DE LARA","OFICIAL","","0","0","0","0","0","0","0","0","0","0","0","0","14","9","8","11","11","8","33","28"
"2013","1001295","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","026","11 A 13 MONDAY","7196","1015 RVDO. PADRE GUIDO CORONEL","OFICIAL","","30","18","17","9","16","15","20","21","9","19","13","10","7","11","7","12","4","7","123","122"
"2013","1001089","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","032","9 A 11 MONDAY","6521","1016  PBRO. GUIDO CORONEL","OFICIAL","","19","22","26","28","28","27","32","23","30","18","15","16","11","14","6","18","9","16","176","182"
"2013","1001007","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","038","AREA 3","11041","1189 SAGRADA FAMILIA","OFICIAL","","48","55","44","42","56","46","46","50","51","48","38","46","53","53","38","59","35","58","409","457"
"2013","1001082","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","009","SAN BLAS","6514","1204 SAN JOSE","PRIVADA","","33","42","34","44","36","37","32","23","33","28","31","24","34","27","26","30","31","36","290","291"
"2013","1001026","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","012","BOQUERON","6458","1229 STA.TERESITA DEL N.J.","PRIVADA","","33","51","21","25","30","23","30","27","22","22","25","35","23","30","31","34","26","37","241","284"
"2013","1001038","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","019","SAN MIGUEL - AREA 2","6470","14060 PRIV. SAN FERNANDO","PRIVADA","","10","14","15","10","18","11","16","9","15","6","9","7","0","0","0","0","0","0","83","57"
"2013","1001114","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","012","BOQUERON","6546","14941 BAUTISTA DEL ALTO PARANA","PRIVADA","","13","20","13","19","9","10","14","27","14","16","24","18","18","27","20","15","17","15","142","167"
"2013","1001048","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","012","BOQUERON","6480","15111 DEL SOL(338 CARITAS)","PRIVADA","","3","11","12","14","9","13","10","10","9","13","17","5","15","16","10","16","14","14","99","112"
"2013","1001037","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","008","PABLO ROJAS","6633","15205 PITAGORAS","PRIVADA","","3","6","4","2","4","1","2","3","4","1","2","1","2","5","2","3","4","5","27","27"
"2013","1001151","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","014","SAN JOSE","6722","15208 SANTA MARIA","PRIVADA","","1","3","1","2","2","1","1","1","1","1","0","0","0","0","0","0","0","0","6","8"
"2013","1001088","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","025","8 A 9 MONDAY","6520","1523 JUANA MARIA DE LARA","OFICIAL","","72","69","62","71","73","47","62","74","68","63","61","68","64","65","52","69","60","62","574","588"
"2013","1001291","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","031","SAN JUAN - JARDIN DEL ESTE - 7 A 9 ACARAY","7192","1527 SANTA LUCIA","OFICIAL","","34","40","32","44","47","32","41","38","47","44","51","46","0","0","0","0","0","0","252","244"
"2013","1001054","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","036","SAN LUCAS","6486","1530 GRAL. EUGENIO A. GARAY","OFICIAL","","9","18","17","9","20","22","22","10","26","19","25","17","41","33","34","21","36","25","230","174"
"2013","1001005","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","020","REMANSITO","6437","1531 SAN FRANCISCO DE ASIS","OFICIAL","","42","46","38","36","47","43","41","36","39","42","55","32","24","38","11","21","10","23","307","317"
"2013","1001035","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","003","SAN JUAN - 7 A 9 ACARAY","6472","1532 PRIMER INTENDENTE MUNIC","OFICIAL","","75","64","81","78","68","72","85","77","93","80","85","78","64","75","43","85","60","76","654","685"
"2013","1001079","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","024","CIUDAD NUEVA","6511","1533  CIUDAD NUEVA","OFICIAL","","49","49","35","46","35","25","51","51","42","38","41","49","0","0","0","0","0","0","253","258"
"2013","1001077","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","024","CIUDAD NUEVA","6509","1534 DEFENSORES DEL CHACO","OFICIAL","","98","58","74","63","53","63","59","61","63","69","50","75","66","50","49","47","44","39","556","525"
"2013","1001244","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","004","DON BOSCO","10215","15377 NUEVA ESPERANZA","OFICIAL","","21","14","19","19","15","12","22","13","14","16","14","13","11","12","8","13","8","11","132","123"
"2013","1001050","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","013","AREA 1","6482","1632","OFICIAL","","46","50","44","45","49","47","53","53","73","60","54","72","77","60","76","82","84","94","556","563"
"2013","1001017","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","037","AREA 4","6449","1633 ESPIRITU SANTO","OFICIAL","","55","59","47","51","58","57","63","43","60","46","44","53","48","42","35","52","43","30","453","433"
"2013","1001029","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","012","BOQUERON","6461","2174 GIMNASIO DEL SABER","PRIVADA","","48","36","42","52","50","40","46","30","43","44","38","20","49","44","41","46","32","34","389","346"
"2013","1001292","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","003","SAN JUAN - 7 A 9 ACARAY","7193","2966 NTRA. SRA. DEL HUERTO","OFICIAL","","53","57","63","44","46","54","63","44","43","42","35","50","45","39","31","35","23","27","402","392"
"2013","1001282","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","026","11 A 13 MONDAY","7197","2969 RAMONA EUDOSIA PRIETO DE GONZALEZ","OFICIAL","","20","10","25","20","20","11","19","11","29","24","24","19","25","11","27","15","15","20","204","141"
"2013","1001091","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","032","9 A 11 MONDAY","6523","2970 VIRGEN DE FATIMA","OFICIAL","","29","26","30","28","29","31","30","30","26","29","38","35","27","36","34","30","12","25","255","270"
"2013","1001034","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","029","LA BLANCA","6466","2972 SAGRADA FAMILIA","OFICIAL","","43","45","43","43","26","34","44","42","27","29","32","26","39","35","24","27","29","27","307","308"
"2013","1001065","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","024","CIUDAD NUEVA","6497","2973 SAN ISIDRO LABRADOR","OFICIAL","","31","34","54","42","46","39","35","35","34","28","26","35","31","30","36","36","26","32","319","311"
"2013","1001036","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","030","CAROLINA - LAS MERCEDES - MBURUCUYA","6468","2974 ARANDU RAITY","OFICIAL","","35","29","26","39","24","30","32","37","30","35","31","41","0","0","0","0","0","0","178","211"
"2013","1001096","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","003","SAN JUAN - 7 A 9 ACARAY","6528","2975 AUGUSTO ROA BASTOS","OFICIAL","","36","34","35","24","35","25","43","29","19","22","26","30","17","24","13","18","12","14","236","220"
"2013","1001004","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","027","GENERAL BERNARDINO CABALLERO","6436","2976 SAN ROQUE","OFICIAL","","29","21","20","13","27","18","18","36","15","18","22","9","0","0","0","0","0","0","131","115"
"2013","1001073","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","015","VILLA 23 DE OCTUBRE","6505","2977  8 DE DICIEMBRE","OFICIAL","","34","46","28","38","48","43","39","40","54","49","41","60","36","40","36","38","24","27","340","381"
"2013","1001055","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","003","SAN JUAN - 7 A 9 ACARAY","6487","2978 SANTA ANA","OFICIAL","","44","42","36","51","41","38","43","38","37","41","37","43","27","30","22","35","41","28","328","346"
"2013","1001020","010","ALTO PARANA","001","CIUDAD DEL ESTE","1","URBANA","009","SAN BLAS","6452","2979 SAN AGUSTIN","OFICIAL","","35","20","28","29","28","23","24","26","21","24","21","24","16","16","11","12","6","13","190","187"
