anio,codigo_establecimiento,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_zona,nombre_zona,codigo_barrio_localidad,nombre_barrio_localidad,codigo_institucion,nombre_institucion,sector_o_tipo_gestion,anho_cod_geo,primer_grado_hombre,primer_grado_mujer,segundo_grado_hombre,segundo_grado_mujer,tercer_grado_hombre,tercer_grado_mujer,cuarto_grado_hombre,cuarto_grado_mujer,quinto_grado_hombre,quinto_grado_mujer,sexto_grado_hombre,sexto_grado_mujer,septimo_grado_hombre,septimo_grado_mujer,octavo_grado_hombre,octavo_grado_mujer,noveno_grado_hombre,noveno_grado_mujer,total_matriculados_hombre,total_matriculados_mujer
2019,1701005,17,Alto Paraguay,04,Bahía Negra,1,Urbana,8984,CENTRAL,2352,COLEGIO NACIONAL TTE. 1° ADOLFO ROJAS SILVA,Oficial,,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,5,4,5,14,20
2019,1701014,17,Alto Paraguay,04,Bahía Negra,2,Rural,52120,COM INDIG 14 DE MAYO KARCHABALUT,2604,ESCUELA BÁSICA N° 14500,Oficial,,2,0,2,1,2,1,0,1,0,3,0,2,0,0,0,0,0,0,6,8
2019,1701007,17,Alto Paraguay,04,Bahía Negra,2,Rural,8983,ZONA BAHIA NEGRA POTY,3108,ESCUELA BÁSICA N° 2483,Oficial,,3,3,6,8,4,6,4,9,3,8,7,4,14,4,1,5,2,6,44,53
2019,1701005,17,Alto Paraguay,04,Bahía Negra,1,Urbana,8984,CENTRAL,3265,ESCUELA BÁSICA N° 419 TENIENTE PRIMERO ROJAS SILVA,Oficial,,19,4,13,9,7,6,14,17,2,5,4,6,0,0,0,0,0,0,59,47
2019,1701006,17,Alto Paraguay,04,Bahía Negra,1,Urbana,52121,COM INDIG PUERTO DIANA,3120,ESCUELA BÁSICA N° 5825 CMDTE. RAMÓN ENRIQUE MARTINO,Oficial,,13,10,11,6,19,1,11,10,11,9,12,6,6,6,9,12,5,7,97,67
2019,1702009,17,Alto Paraguay,05,Carmelo Peralta,1,Urbana,9204,VIRGEN DEL CARMEN,8859,COLEGIO NACIONAL CAPITÁN MARCIAL RAMÍREZ,Oficial,,0,0,0,0,0,0,0,0,0,0,0,0,23,11,20,8,9,9,52,28
2019,1702011,17,Alto Paraguay,05,Carmelo Peralta,2,Rural,9205,PUERTO SASTRE - LA ESPERANZA SUB-URBANO,6331,COLEGIO NACIONAL LA ESPERANZA,Oficial,,0,0,0,0,0,0,0,0,0,0,0,0,11,4,12,2,9,4,32,10
2019,1702005,17,Alto Paraguay,05,Carmelo Peralta,2,Rural,9203,PUERTO GUARANI - SUB URBANO,7755,COLEGIO NACIONAL PUERTO GUARANÍ,Oficial,,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,4,2,4,15,14
2019,1702007,17,Alto Paraguay,05,Carmelo Peralta,1,Urbana,9204,VIRGEN DEL CARMEN,9342,ESCUELA BÁSICA N° 1268 PDTE. CARLOS ANTONIO LÓPEZ,Oficial,,15,13,7,10,9,12,14,11,16,15,18,21,0,0,0,0,0,0,79,82
2019,1702006,17,Alto Paraguay,05,Carmelo Peralta,2,Rural,9203,PUERTO GUARANI - SUB URBANO,10106,ESCUELA BÁSICA N° 1456 DOMINGO MARTÍNEZ DE IRALA,Oficial,,13,12,14,12,9,10,10,5,8,10,5,5,0,0,0,0,0,0,59,54
2019,1702012,17,Alto Paraguay,05,Carmelo Peralta,2,Rural,9203,PUERTO GUARANI - SUB URBANO,868,ESCUELA BÁSICA N° 1458 TENIENTE PRIMERO FLORENCIO FERNÁNDEZ,Oficial,,3,0,3,0,3,2,2,1,0,3,1,2,0,0,0,0,0,0,12,8
2019,1702010,17,Alto Paraguay,05,Carmelo Peralta,2,Rural,9206,ISLA MARGARITA,8770,ESCUELA BÁSICA N° 596 PROFESOR DOCTOR LUIS MARÍA ARGAÑA,Oficial,,8,10,4,8,9,4,5,2,6,3,4,3,0,0,0,0,0,0,36,30
2019,1702021,17,Alto Paraguay,05,Carmelo Peralta,2,Rural,52130,SAN MIGUEL,12388,ESCUELA BÁSICA N° 7073 SAN MIGUEL,Oficial,,7,11,11,5,8,8,7,2,0,0,0,0,0,0,0,0,0,0,33,26
2019,1702024,17,Alto Paraguay,05,Carmelo Peralta,2,Rural,9202,COM INDIG GUIDA ICHAI,15360,ESCUELA BÁSICA N° 7404 JNACOIDE DOSAPEI,Oficial,,0,0,4,3,0,2,0,0,1,1,1,3,0,0,0,0,0,0,6,9
2019,1702027,17,Alto Paraguay,05,Carmelo Peralta,2,Rural,9207,COM INDIG PUNTA,16085,ESCUELA BÁSICA N° 7587 LA PUNTA Y TIOGAI,Oficial,,7,4,7,7,3,6,4,4,2,7,5,4,0,0,0,0,0,0,28,32
2019,1702011,17,Alto Paraguay,05,Carmelo Peralta,2,Rural,9205,PUERTO SASTRE - LA ESPERANZA SUB-URBANO,8439,ESCUELA BÁSICA N° 96 ALEJO GARCIA,Oficial,,13,11,6,7,3,7,5,4,6,5,9,6,0,0,0,0,0,0,42,40
2019,1701003,17,Alto Paraguay,01,Fuerte Olimpo,1,Urbana,8988,URBANO OLIMPO,3918,COLEGIO NACIONAL MONSEÑOR ÁNGEL MUZZOLÓN,Oficial,,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,18,10,12,39,38
2019,1701004,17,Alto Paraguay,01,Fuerte Olimpo,1,Urbana,8985,MARIA AUXILIADORA,3467,ESCUELA BÁSICA N° 117 MAYOR RAMÓN BEJARANO,Oficial,,28,16,21,16,12,26,16,23,13,14,15,17,11,15,11,9,8,6,135,142
2019,1701012,17,Alto Paraguay,01,Fuerte Olimpo,2,Rural,8989,ZONA RIBERA OLIMPO,2870,ESCUELA BÁSICA N° 1277 CORONEL DE INTENDENCIA MILITAR (S.R.) DON SAMPSON HARRISON,Oficial,,0,6,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,4,8
2019,1701015,17,Alto Paraguay,01,Fuerte Olimpo,1,Urbana,8988,URBANO OLIMPO,1077,ESCUELA BÁSICA N° 14499,Oficial,,5,4,3,4,4,2,2,1,5,4,4,2,0,0,0,0,0,0,23,17
2019,1703003,17,Alto Paraguay,01,Fuerte Olimpo,2,Rural,,LOCALIDAD A CONFIRMAR,6078,ESCUELA BÁSICA N° 2261 SANTA LIBRADA,Oficial,,0,2,2,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,3,7
2019,1701011,17,Alto Paraguay,01,Fuerte Olimpo,2,Rural,8992,ZONA TORO PAMPA OESTE,2892,ESCUELA BÁSICA N° 2390 MONSEÑOR ALEJO OVELAR COLMÁN,Privado Subvencionado,,8,7,5,5,2,2,1,4,5,1,9,7,8,3,11,7,3,4,52,40
2019,1701002,17,Alto Paraguay,01,Fuerte Olimpo,2,Rural,8990,COM INDIG VIRGEN SANTISIMA,3970,ESCUELA BÁSICA N° 2484,Oficial,,1,5,3,4,3,4,8,6,3,0,2,2,3,0,2,4,2,1,27,26
2019,1701001,17,Alto Paraguay,01,Fuerte Olimpo,1,Urbana,8986,SAN MIGUEL,4492,ESCUELA BÁSICA N° 5865 SAN MIGUEL ARCANGEL,Oficial,,12,13,6,8,7,4,5,2,7,3,9,6,0,0,0,0,0,0,46,36
2019,1701013,17,Alto Paraguay,01,Fuerte Olimpo,2,Rural,8991,TORO PAMPA SUB-URBANO,2798,ESCUELA BÁSICA N° 5868 DOCTOR ANDRÉS RIVAROLA QUEIROLO,Oficial,,15,12,12,14,10,13,5,14,10,3,7,9,9,11,8,6,9,8,85,90
2019,1701017,17,Alto Paraguay,01,Fuerte Olimpo,2,Rural,8985,MARIA AUXILIADORA,13665,ESCUELA BÁSICA N° 7270 MARÍA AUXILIADORA,Privado Subvencionado,,9,9,2,4,2,3,5,5,3,4,1,2,0,0,0,0,0,0,22,27
2019,1702026,17,Alto Paraguay,01,Fuerte Olimpo,2,Rural,8985,MARIA AUXILIADORA,16084,ESCUELA BÁSICA N° 7875 MARÍA  AUXILIADORA,Oficial,,1,3,1,1,1,3,3,5,2,1,3,3,0,0,0,0,0,0,11,16
2019,1701023,17,Alto Paraguay,01,Fuerte Olimpo,2,Rural,8987,LOCALIDAD A CONFIRMAR,17098,ESCUELA BÁSICA N°  8077 TUPASY RENDA,Privado,,0,2,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,3,5
2019,1703582,17,Alto Paraguay,01,Fuerte Olimpo,2,Rural,52100,COM INDIG LA  ABUNDANCIA,999987,ESCUELA BÁSICA N° 8268 ABUNDANCIA,Oficial,,1,1,2,1,2,1,1,2,2,2,0,3,7,1,0,5,2,1,17,17
2019,1703004,17,Alto Paraguay,03,Mayor Pablo Lagerenza,2,Rural,9435,LOCALIDAD A CONFIRMAR,3010,ESCUELA BÁSICA N° 5880 SANTA ROSA DE LIMA,Oficial,,7,7,6,7,3,4,8,7,6,7,3,6,8,4,8,6,0,0,49,48
2019,1702023,17,Alto Paraguay,02,Puerto Casado,1,Urbana,9000,DON BOSCO,6831,COLEGIO NACIONAL JUANA MARÍA DE LARA,Oficial,,0,0,0,0,0,0,0,0,0,0,0,0,19,18,14,16,23,13,56,47
2019,1702008,17,Alto Paraguay,02,Puerto Casado,1,Urbana,9003,URBANO LA VICTORIA,9140,ESCUELA BÁSICA N° 1154 CEFERINO NAMUNCURA,Oficial,,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,5
2019,1702004,17,Alto Paraguay,02,Puerto Casado,1,Urbana,9000,DON BOSCO,6068,ESCUELA BÁSICA N° 1155 DOMINGO SAVIO,Privado Subvencionado,,21,11,19,11,19,13,13,21,20,13,19,15,16,16,10,12,8,11,145,123
2019,1702014,17,Alto Paraguay,02,Puerto Casado,2,Rural,8995,COM INDIG MACHETE VAINA,8272,ESCUELA BÁSICA N° 14708,Oficial,,7,4,7,5,1,1,5,5,1,2,2,1,0,0,0,0,0,0,23,18
2019,1702003,17,Alto Paraguay,02,Puerto Casado,1,Urbana,8999,SAN MIGUEL,7600,ESCUELA BÁSICA N° 2894 GENERAL  BERNARDINO CABALLERO,Oficial,,18,12,17,12,22,22,7,14,12,19,8,13,0,0,0,0,0,0,84,92
2019,1702013,17,Alto Paraguay,02,Puerto Casado,2,Rural,8996,ZONA PUERTO CASADO,8107,ESCUELA BÁSICA N° 3730,Oficial,,2,7,1,5,4,3,1,3,5,1,5,4,7,6,1,1,1,2,27,32
