anio,codigo_est,codigo_dep,nombre_dep,codigo_dis,nombre_dis,codigo_zon,nombre_zon,codigo_bar,nombre_bar,direccion,coordenada,coordena_1,latitud,longitud,anho_cod_g,uri,xcoord,ycoord
"2021","1701016","17",Alto Paraguay,"265",BAHÍA NEGRA,"2",Rural,"8984",CENTRAL,J J SANCHEZ,"7761312","377648","20º14'31""S","58º10'17.013""W",,http://datos.mec.gov.py/id/establecimientos/1701016,-58.1713924552568,-20.2419442519562
"2021","1701014","17",Alto Paraguay,"265",BAHÍA NEGRA,"2",Rural,"52120",COM INDIG 14 DE MAYO KARCHABALUT,S/D COMUNIDAD IND. KARCHA BAHLUT,,,,,,http://datos.mec.gov.py/id/establecimientos/1701014,,
"2021","1701007","17",Alto Paraguay,"265",BAHÍA NEGRA,"2",Rural,"8983",ZONA BAHIA NEGRA POTY,PUERTO ESPERANZA,"7743280","389024","20º24'19.991""S","58º3'48.985""W",,http://datos.mec.gov.py/id/establecimientos/1701007,-58.0636070212589,-20.4055529505667
"2021","1701006","17",Alto Paraguay,"265",BAHÍA NEGRA,"1",Urbana,"52121",COM INDIG PUERTO DIANA,PUERTO DIANA,,,,,,http://datos.mec.gov.py/id/establecimientos/1701006,,
"2021","1701005","17",Alto Paraguay,"265",BAHÍA NEGRA,"1",Urbana,"8984",CENTRAL,AVDA. J.J.SANCHEZ,"7762844","378031","20º13'41.26""S","58º10'3.442""W",,http://datos.mec.gov.py/id/establecimientos/1701005,-58.1676228221078,-20.2281277450361
"2021","1702033","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,"9206",ISLA MARGARITA,VIRGEN DEL CARMEN - LA VICTORIA,,,,,,http://datos.mec.gov.py/id/establecimientos/1702033,,
"2021","1702030","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,"9203",PUERTO GUARANI - SUB URBANO,"PTO GUARANI, ALTO PARAGUAY","7646431","404027","21º16'52.92""S","57º55'30.592""W",,http://datos.mec.gov.py/id/establecimientos/1702030,-57.9251645659378,-21.2813664817469
"2021","1702027","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,"9207",COM INDIG PUNTA,,"7600559","407366","21º41'45.421""S","57º53'43.849""W",,http://datos.mec.gov.py/id/establecimientos/1702027,-57.8955119020459,-21.6959487356296
"2021","1702024","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,"9202",COM INDIG GUIDA ICHAI,ALTO PARAGUAY -,"7596760","402413","21º43'48.008""S","57º56'37.005""W",,http://datos.mec.gov.py/id/establecimientos/1702024,-57.9436125158115,-21.730002113714
"2021","1702021","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,"52130",SAN MIGUEL,VIRGEN DEL CARMEN - LA VICTORIA,"7600915","408193","21º41'33.993""S","57º53'14.993""W",,http://datos.mec.gov.py/id/establecimientos/1702021,-57.8874981509534,-21.6927756760746
"2021","1703449","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,,,CARMELO PERALTA,,,,,,http://datos.mec.gov.py/id/establecimientos/1703449,,
"2021","1702010","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,"9206",ISLA MARGARITA,A 50M A ORILLAS DEL RIO PARAGUAY,"7600945","408193","21º41'33.017""S","57º53'14.987""W",,http://datos.mec.gov.py/id/establecimientos/1702010,-57.8874964905382,-21.6925046616244
"2021","1702009","17",Alto Paraguay,"531",CARMELO PERALTA,"1",Urbana,"9204",VIRGEN DEL CARMEN,CARMELO PERALTA,"7603298","405365","21º40'15.959""S","57º54'52.913""W",,http://datos.mec.gov.py/id/establecimientos/1702009,-57.9146979406238,-21.6710996925642
"2021","1702007","17",Alto Paraguay,"531",CARMELO PERALTA,"1",Urbana,"9204",VIRGEN DEL CARMEN,A 100M. A ORILLAS DEL RIO PARAGUAY,"7602931","405939","21º40'28.004""S","57º54'33.016""W",,http://datos.mec.gov.py/id/establecimientos/1702007,-57.9091712436275,-21.6744455703832
"2021","1702006","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,"9203",PUERTO GUARANI - SUB URBANO,A 28 KM DE FUERTE OLIMPO A ORILLAS DEL RÍO PARAGUAY,"7646742","404138","21º16'42.826""S","57º55'26.678""W",,http://datos.mec.gov.py/id/establecimientos/1702006,-57.9240771009535,-21.2785627292471
"2021","1702005","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,"9203",PUERTO GUARANI - SUB URBANO,[PUERTO GUARANI],"7646359","404063","21º16'55.268""S","57º55'29.358""W",,http://datos.mec.gov.py/id/establecimientos/1702005,-57.924821632048,-21.2820188474982
"2021","1702011","17",Alto Paraguay,"531",CARMELO PERALTA,"2",Rural,"9205",PUERTO SASTRE - LA ESPERANZA SUB-URBANO,MARIA AUXILIADORA,"7563139","395583","22º1'59.955""S","58º0'42.432""W",,http://datos.mec.gov.py/id/establecimientos/1702011,-58.0117868095964,-22.0333207903722
"2021","1703003","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,,,S/N [CNIA. SIERRA LEON - DPTO 17],,,,,,http://datos.mec.gov.py/id/establecimientos/1703003,,
"2021","1701015","17",Alto Paraguay,"266",FUERTE OLIMPO,"1",Urbana,"8988",URBANO OLIMPO,PTO MARIA ELENA,,,,,,http://datos.mec.gov.py/id/establecimientos/1701015,,
"2021","1701013","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,"8991",TORO PAMPA SUB-URBANO,TORO PAMPA,"7674523","345793","21º1'24.992""S","58º29'1.985""W",,http://datos.mec.gov.py/id/establecimientos/1701013,-58.4838846853885,-21.0236088978461
"2021","1701012","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,"8989",ZONA RIBERA OLIMPO,95 KM DE FUERTE OLIMPO [SAN CARLOS - DPTO 17],"7700416","399427","20º47'36.239""S","57º57'58.869""W",,http://datos.mec.gov.py/id/establecimientos/1701012,-57.966352403906,-20.7933996987824
"2021","1701011","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,"8992",ZONA TORO PAMPA OESTE,ÑU APUA,"7674102","325073","21º1'31.999""S","58º40'59.693""W",,http://datos.mec.gov.py/id/establecimientos/1701011,-58.6832481354538,-21.0255552440255
"2021","1701017","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,"8985",MARIA AUXILIADORA,SN [COLONIA MARIA AUXILIADORA],,,,,,http://datos.mec.gov.py/id/establecimientos/1701017,,
"2021","1701004","17",Alto Paraguay,"266",FUERTE OLIMPO,"1",Urbana,"8989",ZONA RIBERA OLIMPO,GRAL. BERNARDINO CABALLERO Y RIO PARAGUAY,"7673332","409516","21º2'19.01""S","57º52'15.001""W",,http://datos.mec.gov.py/id/establecimientos/1701004,-57.8708335161556,-21.0386136810894
"2021","1701003","17",Alto Paraguay,"266",FUERTE OLIMPO,"1",Urbana,"8988",URBANO OLIMPO,GRAL. BERNARDINO CABALLERO  Y RÍO PARAGUAY,"7673273","409574","21º2'20.939""S","57º52'13.002""W",,http://datos.mec.gov.py/id/establecimientos/1701003,-57.8702784592168,-21.0391495785822
"2021","1701002","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,"8990",COM INDIG VIRGEN SANTISIMA,COM. INDIG. ISHIT - MISION SALESIANA [COM. INDG. FUERTE OLIMPO],"7671514","408804","21º3'18.012""S","57º52'40.014""W",,http://datos.mec.gov.py/id/establecimientos/1701002,-57.8777815857512,-21.0550032232639
"2021","1701001","17",Alto Paraguay,"266",FUERTE OLIMPO,"1",Urbana,"8986",SAN MIGUEL,BARRIO SAN MIGUEL,"7673761","409138","21º2'4.989""S","57º52'28.015""W",,http://datos.mec.gov.py/id/establecimientos/1701001,-57.8744485138841,-21.0347191840686
"2021","1703582","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,"52100",COM INDIG LA  ABUNDANCIA,COMUNIDAD INDIGENA ABUNDANCIA,,,,,,http://datos.mec.gov.py/id/establecimientos/1703582,,
"2021","1702026","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,"8985",MARIA AUXILIADORA,COUMNIDAD INGIGENA MARIA AUXIIADORA KM. 40,"7717415","341041","20º38'8.8""S","58º31'32.49""W",,http://datos.mec.gov.py/id/establecimientos/1702026,-58.5256915934715,-20.6357775574381
"2021","1701023","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,"8987",LOCALIDAD A CONFIRMAR,S/D,,,,,,http://datos.mec.gov.py/id/establecimientos/1701023,,
"2021","1701022","17",Alto Paraguay,"266",FUERTE OLIMPO,"2",Rural,"8992",ZONA TORO PAMPA OESTE,TORO PAMPA,,,,,,http://datos.mec.gov.py/id/establecimientos/1701022,,
"2021","1701018","17",Alto Paraguay,"266",FUERTE OLIMPO,"1",Urbana,"8987",LOCALIDAD A CONFIRMAR,,,,,,,http://datos.mec.gov.py/id/establecimientos/1701018,,
"2021","1703004","17",Alto Paraguay,"16854",MAYOR PABLO LAGERENZA,"2",Rural,"9435",LOCALIDAD A CONFIRMAR,TENIENTE MARTINEZ,,,,,,http://datos.mec.gov.py/id/establecimientos/1703004,,
"2021","1702032","17",Alto Paraguay,"268",PUERTO CASADO,"2",Rural,,,S/D,,,,,,http://datos.mec.gov.py/id/establecimientos/1702032,,
"2021","1656012","17",Alto Paraguay,"268",PUERTO CASADO,"2",Rural,"9002",LAS PALMAS -REGION 180,,"7556976","260355","22º4'32.261""S","59º19'20.808""W",,http://datos.mec.gov.py/id/establecimientos/1656012,-59.3224466589117,-22.0756277935591
"2021","1603005","17",Alto Paraguay,"268",PUERTO CASADO,"2",Rural,"52106",ZONA MONTANIA,18 KM DE TENIENTE MONTANIA - ALTO PARAGUAY [KM 18 - TENIENTE MONTANIA DPTO 17],"7576572","196189","21º 53' 19.730"" S","59º 56' 24.295"" W",,http://datos.mec.gov.py/id/establecimientos/1603005,-59.9400851272308,-21.8888134517127
"2021","1702029","17",Alto Paraguay,"268",PUERTO CASADO,"2",Rural,"8994",LOCALIDAD A CONFIRMAR,ALTO PARAGUAY -,,,,,,http://datos.mec.gov.py/id/establecimientos/1702029,,
"2021","1702023","17",Alto Paraguay,"268",PUERTO CASADO,"1",Urbana,"9000",DON BOSCO,SAN RAMON NONATO Y DE LA VICTORIA / BO DON BO [PUERTO CASADO],"7535426","403082","22º17'2.723""S","57º56'26.856""W",,http://datos.mec.gov.py/id/establecimientos/1702023,-57.9407933347123,-22.2840897359909
"2021","1702020","17",Alto Paraguay,"268",PUERTO CASADO,"2",Rural,"8997",COM INDIG SAN ISIDRO KM 39,S/N [COMUN. IND. SAN ISIDRO],"7544061","373328","22º12'14.999""S","58º13'44.015""W",,http://datos.mec.gov.py/id/establecimientos/1702020,-58.2288931254025,-22.2041662263717
"2021","1702016","17",Alto Paraguay,"268",PUERTO CASADO,"2",Rural,"9001",COM INDIG RIACHO MOSQUITO,ALTO PARAGUAY -,"7549113","399928","22º9'36.989""S","57º58'13.998""W",,http://datos.mec.gov.py/id/establecimientos/1702016,-57.9705550788078,-22.1602745167098
"2021","1702014","17",Alto Paraguay,"268",PUERTO CASADO,"2",Rural,"8995",COM INDIG MACHETE VAINA,ASENTAMIENTO MACHETE VAINA,"7545397","387208","22º11'35.014""S","58º5'38.992""W",,http://datos.mec.gov.py/id/establecimientos/1702014,-58.0941644097241,-22.1930592251456
"2021","1702013","17",Alto Paraguay,"268",PUERTO CASADO,"2",Rural,"8996",ZONA PUERTO CASADO,35 KM DE PUERTO CASADO,"7552195","401083","22º7'57.003""S","57º57'32.997""W",,http://datos.mec.gov.py/id/establecimientos/1702013,-57.9591658074761,-22.1325006835935
"2021","1702008","17",Alto Paraguay,"268",PUERTO CASADO,"1",Urbana,"9003",URBANO LA VICTORIA,S/N [PTO. MARIA AUXILIADORA],,,,,,http://datos.mec.gov.py/id/establecimientos/1702008,,
"2021","1702003","17",Alto Paraguay,"268",PUERTO CASADO,"1",Urbana,"8999",SAN MIGUEL,ISLA PEÑA HERMOSA,"7535166","402278","22º17'11.015""S","57º56'55.006""W",,http://datos.mec.gov.py/id/establecimientos/1702003,-57.9486128781756,-22.2863929066322
"2021","1702002","17",Alto Paraguay,"268",PUERTO CASADO,"1",Urbana,"9000",DON BOSCO,BARRIO DON BOSCO,"7535480","403249","22º17'1.001""S","57º56'21.009""W",,http://datos.mec.gov.py/id/establecimientos/1702002,-57.9391691567887,-22.2836113375869
"2021","1702001","17",Alto Paraguay,"268",PUERTO CASADO,"1",Urbana,"8996",ZONA PUERTO CASADO,AVDA SAN RAMON ESQUINA AVDA.LA VICTORIA - BARRIO DON BOSCO,"7535500","403052","22º17'0.311""S","57º56'27.888""W",,http://datos.mec.gov.py/id/establecimientos/1702001,-57.9410800439747,-22.2834196041102
"2021","1702004","17",Alto Paraguay,"268",PUERTO CASADO,"1",Urbana,"9000",DON BOSCO,MANUEL LEZCANO C/ SAN RAMON,"7535380","403171","22º17'4.237""S","57º56'23.756""W",,http://datos.mec.gov.py/id/establecimientos/1702004,-57.9399322690297,-22.2845102592754
"2021","1011096","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7331",11 A 13 MONDAY,KM 12 MONDAY CONAVI LL,"7177812","729321","25º29'57.006""S","54º43'6.745""W",,http://datos.mec.gov.py/id/establecimientos/1011096,-54.718540312145,-25.4991682361393
"2021","1703778","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7366",8 A 9 MONDAY,KM. 8MONDAY,"7177969","733329","25º 29' 49.657"" S","54º 40' 43.385"" W",,http://datos.mec.gov.py/id/establecimientos/1703778,-54.6787186541896,-25.4971259333095
"2021","1703700","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7332",CIUDAD NUEVA,KM. 7 MONDAY,,,,,,http://datos.mec.gov.py/id/establecimientos/1703700,,
"2021","1703614","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7367",LOCALIDAD A CONFIRMAR,S/D,,,,,,http://datos.mec.gov.py/id/establecimientos/1703614,,
"2021","1002065","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7333",7 A 10 MONDAY,KM 8 MONDAY  - PRESIDENTE FRANCO,"7178840","732228","25º29'21.984""S","54º41'23.335""W",,http://datos.mec.gov.py/id/establecimientos/1002065,-54.6898152721401,-25.4894397415785
"2021","1703613","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7367",LOCALIDAD A CONFIRMAR,S/D,,,,,,http://datos.mec.gov.py/id/establecimientos/1703613,,
"2021","1001999","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7367",LOCALIDAD A CONFIRMAR,S/D,,,,,,http://datos.mec.gov.py/id/establecimientos/1001999,,
"2021","1001998","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7367",LOCALIDAD A CONFIRMAR,,,,,,,http://datos.mec.gov.py/id/establecimientos/1001998,,
"2021","1001371","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7366",8 A 9 MONDAY,KM 9 MONDAY,,,,,,http://datos.mec.gov.py/id/establecimientos/1001371,,
"2021","1001369","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7363",9 A 10 ACARAY,KM 10 ACARAY,,,,,,http://datos.mec.gov.py/id/establecimientos/1001369,,
"2021","1001368","10",Alto Paraná,"160",CIUDAD DEL ESTE,,,"3846",LOCALIDAD A CONFIRMAR,,,,,,,http://datos.mec.gov.py/id/establecimientos/1001368,,
"2021","1001367","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7333",7 A 10 MONDAY,MONDAY,,,,,,http://datos.mec.gov.py/id/establecimientos/1001367,,
"2021","1001366","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7340",LA BLANCA,KM 5.5 BARRIO LA BLANCA,,,,,,http://datos.mec.gov.py/id/establecimientos/1001366,,
"2021","1001365","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7326",BOQUERON,29 DE SETIEMBRE CASI AVDA. GRAL. BERNARDINO CABALLERO.,,,,,,http://datos.mec.gov.py/id/establecimientos/1001365,,
"2021","1001364","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,,,,,,,,,http://datos.mec.gov.py/id/establecimientos/1001364,,
"2021","1001363","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7336",OBRERO,AVDA. EUGENIO A. GARAY ESQ. CHACO BOREAL,,,,,,http://datos.mec.gov.py/id/establecimientos/1001363,,
"2021","1001362","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7340",LA BLANCA,,,,,,,http://datos.mec.gov.py/id/establecimientos/1001362,,
"2021","1001361","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7349",10 A 13 MONDAY,,,,,,,http://datos.mec.gov.py/id/establecimientos/1001361,,
"2021","1703608","10",Alto Paraná,"160",CIUDAD DEL ESTE,,,"7328",SAN JOSE,BARRIO SAN JOSÉ,,,,,,http://datos.mec.gov.py/id/establecimientos/1703608,,
"2021","1001359","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7338",SANTA ANA,WWW.RUE.MEC.GOV.PY,,,,,,http://datos.mec.gov.py/id/establecimientos/1001359,,
"2021","1001358","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7361",AREA 1,CALLE 25 DE AGOSTO,,,,,,http://datos.mec.gov.py/id/establecimientos/1001358,,
"2021","1001355","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7367",LOCALIDAD A CONFIRMAR,,,,,,,http://datos.mec.gov.py/id/establecimientos/1001355,,
"2021","1001354","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7367",LOCALIDAD A CONFIRMAR,,,,,,,http://datos.mec.gov.py/id/establecimientos/1001354,,
"2021","1001352","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7357",11 A 13 ACARAY,KM13 ACARAY. ESCUELA BÁSICA Nª 5413 SAN BLAS,,,,,,http://datos.mec.gov.py/id/establecimientos/1001352,,
"2021","1001351","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7367",LOCALIDAD A CONFIRMAR,KM 9 ACARAY,,,,,,http://datos.mec.gov.py/id/establecimientos/1001351,,
"2021","1001349","10",Alto Paraná,"160",CIUDAD DEL ESTE,"1",Urbana,"7357",11 A 13 ACARAY,KM 12 ACARAY,"7184813","729250","25º26'9.625""S","54º43'13.576""W",,http://datos.mec.gov.py/id/establecimientos/1001349,-54.7204377096937,-25.4360068278786
