FID,the_geom,Educ_Code,Educ_Name,Adm2_Name,Adm3_Name,Adm4_Name,Adm4_Code,Educ_Type,Latitude,Longitude,Accuracy,ADM4_COD_1,ADM3_NAM_1,ADM2_NAM_1,NUMBER
sle_educ_pt_steward_schools.16651,POINT (-11.483655342999953 7.510207477000051),SLE_Seco_0001,Barri Islamic Secondary School,Pujehun,Barri,Fallay,SLE03040102,Secondary School,7.51020748,-11.48365534,Needs Validation - STEWARD Project,SLE03040102,Barri,Pujehun,1
sle_educ_pt_steward_schools.16652,POINT (-11.720797890999961 7.35207452800006),SLE_Seco_0002,Holy Rosary Sec. School,Pujehun,Kpanga - Kabonde,Pamga,SLE03040406,Secondary School,7.35207453,-11.72079789,Needs Validation - STEWARD Project,SLE03040406,Panga Kabonde,Pujehun,2
sle_educ_pt_steward_schools.16653,POINT (-11.729275606999977 7.360489552000047),SLE_Seco_0003,St. Paul's Secondary School,Pujehun,Kpanga - Kabonde,Pamga,SLE03040406,Secondary School,7.36048955,-11.72927561,Needs Validation - STEWARD Project,SLE03040406,Panga Kabonde,Pujehun,3
sle_educ_pt_steward_schools.16654,POINT (-11.882824651999954 7.42617576400005),SLE_Scho_0004,Massaoma,Pujehun,Malen,Bahoin,SLE03040601,School,7.42617576,-11.88282465,Needs Validation - STEWARD Project,SLE03040601,Malen,Pujehun,4
sle_educ_pt_steward_schools.16655,POINT (-11.711138554999934 7.366626756000073),SLE_Seco_0005,Gobaru Secondary School,Pujehun,Panga Krim,Pemagbie,SLE03040802,Secondary School,7.36662676,-11.71113856,Needs Validation - STEWARD Project,SLE03040802,Panga krim,Pujehun,5
sle_educ_pt_steward_schools.16656,POINT (-11.40606228699994 7.0935956680000345),SLE_Seco_0006,Sorogbema Secoundary School,Pujehun,Sorogbema,Zoker I,SLE03041008,Secondary School,7.09359567,-11.40606229,Needs Validation - STEWARD Project,SLE03041008,Soro Gbema,Pujehun,6
sle_educ_pt_steward_schools.16657,POINT (-12.391154090999976 7.4784856040000705),SLE_Prim_0007,D.E.C. Primary School,Bonthe,Bendu - Cha,Sokenteh,SLE03020102,Primary School,7.4784856,-12.39115409,Needs Validation - STEWARD Project,SLE03020102,Bendu-Cha,Bonthe,7
sle_educ_pt_steward_schools.16658,POINT (-12.45517353799994 7.488601877000065),SLE_Prim_0008,UMC Primary School - Bendu,Bonthe,Bendu - Cha,Sokenteh,SLE03020102,Primary School,7.48860188,-12.45517354,Needs Validation - STEWARD Project,SLE03020102,Bendu-Cha,Bonthe,8
sle_educ_pt_steward_schools.16659,POINT (-11.93669555899993 7.420727193000062),SLE_Prim_0009,Islamic Call Society Primary School,Bonthe,Bum,Fikie,SLE03020201,Primary School,7.42072719,-11.93669556,Needs Validation - STEWARD Project,SLE03020201,Bum,Bonthe,9
sle_educ_pt_steward_schools.16660,POINT (-11.907695021999928 7.419020812000042),SLE_Prim_0010,R.C. Primary School,Bonthe,Bum,Gbengain,SLE03020202,Primary School,7.41902081,-11.90769502,Needs Validation - STEWARD Project,SLE03020202,Bum,Bonthe,10
sle_educ_pt_steward_schools.16661,POINT (-11.943554915999925 7.462636495000027),SLE_Prim_0011,D.E.C. Primary School,Bonthe,Bum,Gbondubum,SLE03020203,Primary School,7.4626365,-11.94355492,Needs Validation - STEWARD Project,SLE03020203,Bum,Bonthe,11
sle_educ_pt_steward_schools.16662,POINT (-11.973319669999967 7.433745293000072),SLE_Prim_0012,Methodist Primary School,Bonthe,Bum,Gbondubum,SLE03020203,Primary School,7.43374529,-11.97331967,Needs Validation - STEWARD Project,SLE03020203,Bum,Bonthe,12
sle_educ_pt_steward_schools.16663,POINT (-11.943761593999966 7.463764389000062),SLE_Prim_0013,Namya Islamic Primary School,Bonthe,Bum,Gbondubum,SLE03020203,Primary School,7.46376439,-11.94376159,Needs Validation - STEWARD Project,SLE03020203,Bum,Bonthe,13
sle_educ_pt_steward_schools.16664,POINT (-11.926094898999963 7.49525796100005),SLE_Prim_0014,Islamic Call Society Primary School,Bonthe,Bum,Lanje,SLE03020205,Primary School,7.49525796,-11.9260949,Needs Validation - STEWARD Project,SLE03020205,Bum,Bonthe,14
sle_educ_pt_steward_schools.16665,POINT (-11.908207777999962 7.519778636000069),SLE_Prim_0015,N.I.Primary School,Bonthe,Bum,Lanje,SLE03020205,Primary School,7.51977864,-11.90820778,Needs Validation - STEWARD Project,SLE03020205,Bum,Bonthe,15
sle_educ_pt_steward_schools.16666,POINT (-11.931557789999943 7.504029972000069),SLE_Prim_0016,R.C. Primary School,Bonthe,Bum,Lanje,SLE03020205,Primary School,7.50402997,-11.93155779,Needs Validation - STEWARD Project,SLE03020205,Bum,Bonthe,16
sle_educ_pt_steward_schools.16667,POINT (-11.920791182999949 7.530599404000043),SLE_Prim_0017,R.C. Primary School,Bonthe,Bum,Lanje,SLE03020205,Primary School,7.5305994,-11.92079118,Needs Validation - STEWARD Project,SLE03020205,Bum,Bonthe,17
sle_educ_pt_steward_schools.16668,POINT (-12.00573074099998 7.4147056050000515),SLE_Prim_0018,Methodist Primary School,Bonthe,Bum,Torma,SLE03020207,Primary School,7.4147056,-12.00573074,Needs Validation - STEWARD Project,SLE03020207,Bum,Bonthe,18
sle_educ_pt_steward_schools.16669,POINT (-12.008744922999938 7.414626533000046),SLE_Prim_0019,R.C. Primary School,Bonthe,Bum,Torma,SLE03020207,Primary School,7.41462653,-12.00874492,Needs Validation - STEWARD Project,SLE03020207,Bum,Bonthe,19
sle_educ_pt_steward_schools.16670,POINT (-11.942447976999972 7.3778579730000615),SLE_Prim_0020,Islamic Call Society Primary School,Bonthe,Bum,Yargre,SLE03020208,Primary School,7.37785797,-11.94244798,Needs Validation - STEWARD Project,SLE03020208,Bum,Bonthe,20
sle_educ_pt_steward_schools.16671,POINT (-11.94185375099994 7.3701015000000325),SLE_Prim_0021,R.C. Primary School,Bonthe,Bum,Yargre,SLE03020208,Primary School,7.3701015,-11.94185375,Needs Validation - STEWARD Project,SLE03020208,Bum,Bonthe,21
sle_educ_pt_steward_schools.16672,POINT (-11.947725015999936 7.4663036410000245),SLE_Prim_0022,Methodist Primary School,Bonthe,Bum,Gbondubum,SLE03020209,Primary School,7.46630364,-11.94772502,Needs Validation - STEWARD Project,SLE03020209,Bum,Bonthe,22
sle_educ_pt_steward_schools.16673,POINT (-11.96856166899994 7.479769151000028),SLE_Prim_0023,Islamic Primary School,Bonthe,Bum,Yawma,SLE03020209,Primary School,7.47976915,-11.96856167,Needs Validation - STEWARD Project,SLE03020209,Bum,Bonthe,23
sle_educ_pt_steward_schools.16674,POINT (-12.299764409999966 7.784317394000027),SLE_Seco_0024,Imperri Secondary School - Moriba Town,Bonthe,Imperri,Babum,SLE03020401,Secondary School,7.78431739,-12.29976441,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,24
sle_educ_pt_steward_schools.16675,POINT (-12.303072189999966 7.787013090000073),SLE_Seco_0025,Islamic Call Society Secondary School - Nyorkovulahun,Bonthe,Imperri,Babum,SLE03020401,Secondary School,7.78701309,-12.30307219,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,25
sle_educ_pt_steward_schools.16676,POINT (-12.296717108999928 7.783394380000061),SLE_Scho_0026,Moriba -Town,Moyamba,Lower Banta,Ndendemoya,SLE03020401,School,7.78339438,-12.29671711,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,26
sle_educ_pt_steward_schools.16677,POINT (-12.298888180999938 7.7909803040000725),SLE_Prim_0027,Adagorvie Memorial Pre & Primary School - Nyorkovulahun,Bonthe,Imperri,Babum,SLE03020401,Primary School,7.7909803,-12.29888818,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,27
sle_educ_pt_steward_schools.16678,POINT (-12.311468625999964 7.763193357000034),SLE_Prim_0028,Ahmadiyya Muslim Primary School,Bonthe,Imperri,Babum,SLE03020401,Primary School,7.76319336,-12.31146863,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,28
sle_educ_pt_steward_schools.16679,POINT (-12.298363852999955 7.789386642000068),SLE_Prim_0029,Ahmadiyya Muslim Primary School - Mbellebu,Bonthe,Imperri,Babum,SLE03020401,Primary School,7.78938664,-12.29836385,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,29
sle_educ_pt_steward_schools.16680,POINT (-12.303072189999966 7.787013090000073),SLE_Prim_0030,Islamic Call Society Primary School - Nyorkovulahun,Bonthe,Imperri,Babum,SLE03020401,Primary School,7.78701309,-12.30307219,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,30
sle_educ_pt_steward_schools.16681,POINT (-12.309200124999961 7.760910967000029),SLE_Prim_0031,Kankalay Islamic Primary School - Mogbwemo,Bonthe,Imperri,Babum,SLE03020401,Primary School,7.76091097,-12.30920012,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,31
sle_educ_pt_steward_schools.16682,POINT (-12.299094655999966 7.788451569000074),SLE_Prim_0032,Saint James Roman Catholic Primary School - Mbellebu,Bonthe,Imperri,Babum,SLE03020401,Primary School,7.78845157,-12.29909466,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,32
sle_educ_pt_steward_schools.16683,POINT (-12.367339500999947 7.782266564000054),SLE_Prim_0033,United Brethren Church Primary School - Gbangbaia,Bonthe,Imperri,Babum,SLE03020401,Primary School,7.78226656,-12.3673395,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,33
sle_educ_pt_steward_schools.16684,POINT (-12.310605786999929 7.76495895100004),SLE_Prim_0034,United Brethren Church Primary School- Mogbwemo,Bonthe,Imperri,Babum,SLE03020401,Primary School,7.76495895,-12.31060579,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,34
sle_educ_pt_steward_schools.16685,POINT (-12.308576033999941 7.75647938700007),SLE_Scho_0035,Forum for African Women Educationalist School - Mogbwemo,Bonthe,Imperri,Babum,SLE03020403,School,7.75647939,-12.30857603,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,35
sle_educ_pt_steward_schools.16686,POINT (-12.306689314999971 7.695411352000065),SLE_Prim_0036,Kanakalay Islamic Primary School - Mbelleh A (Yangatoke),Bonthe,Imperri,Bigo,SLE03020403,Primary School,7.69541135,-12.30668932,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,36
sle_educ_pt_steward_schools.16687,POINT (-12.276063522999948 7.6642341560000204),SLE_Prim_0037,Kankalay Islamic Primary School - Kanga,Bonthe,Imperri,Bigo,SLE03020403,Primary School,7.66423416,-12.27606352,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,37
