"Departamento","Municipio","Dirección","Código sede","Nombre sede","Tipo calendario","Zona","Teléfono","Teléfono móvil","Correo electrónico","Sitio web","Tipo de sede","Jornadas","Habilitada","Legalizada"
"AHUACHAPAN","AHUACHAPAN","2A. AV.SUR Y CALLE SANTA LUISA DE MARILLAC, AHUACHAPAN","10001","CENTRO ESCOLAR  ""ISIDRO MENÉNDEZ""","Nacional","Urbana","2413 - 1949 ",NULL,"ceisidromenendez@mined.edu.sv","isidrianos.jimdo.com","Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","10ª CALLE PONIENTE FRENTE AL MERCADO Nº1, J%2f HUACHAPAN, AHUACAHAPAN","10002","CENTRO ESCOLAR ""ALFREDO ESPINO""","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","FINAL 6 CALLE PONIENTE Y AVENIDA MORAZAN","10003","CENTRO ESCOLAR ""ALEJANDRO DE HUMBOLDT""","Nacional","Urbana","24134398",NULL,"cealejandrohumboldt@hotmail.es",NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","5a. CALLE ORIENTE Y 3a. AVENIDA SUR","10004","CENTRO ESCOLAR ""1° DE JULIO DE 1823""","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","COLONIA LLANOS DEL ESPINO","10006","CENTRO ESCOLAR ""RICARDO TRIGUEROS DE LEÓN""","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","FINAL CALLE SAN ANTONIO, COLONIA EL NOPAL","10007","CENTRO ESCOLAR ""CARLOTA LEÓN VIUDA DE TRIGUEROS""","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CALLE GERARDO BARRIOS PONIENTE CONTIGUO A PARQUE LA FAMILIA","10008","ESCUELA DE EDUCACIÓN PARVULARIA ""MARÍA SALAZAR VIUDA DE MAGAÑA""","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CASERIO PUERTAS NEGRAS, C%2f LA MONTAÑITA","10010","CENTRO ESCOLAR ""CASERIO PUERTAS NEGRAS""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON LOS HUATALES","10011","CENTRO ESCOLAR ""CANTON LOS HUATALES""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON EL BARRO","10012","CENTRO ESCOLAR ""BERNARDINO E. ZAMORA""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON LAS CHINAMAS","10013","COMPLEJO EDUCATIVO ""GENERAL FABIO MORAN""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CASERIO LOS HORCONES, C%2f EL TIGRE","10014","CENTRO ESCOLAR ""ISABEL CARRILLO DE BOLAÑOS""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON LLANO DE DOÑA MARIA","10015","CENTRO ESCOLAR ""PROFESOR RICARDO ARGUETA LINARES""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CALLE PRINCIPAL, CANTON EL ROBLE","10016","CENTRO ESCOLAR ""CANTON EL ROBLE""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON EL JUNQUILLO","10017","CENTRO ESCOLAR ""CANTON EL JUNQUILLO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON ASHAPUCO","10019","CENTRO ESCOLAR ""CANTON ASHAPUCO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON LA COYOTERA","10020","CENTRO ESCOLAR ""CANTON LA COYOTERA""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
