Region,Council,Ward,School,Reg.No.,NECTA Exam Centre No.,School Ownership,Latitude,Longitude,Form 1-M,Form 1-F,Form 2-M,Form 2-F,Form 3-M,Form 3-F,Form 4-M,Form 4-F,Form 5-M,Form 5-F,Form 6-M,Form 6-F,M-Total,F-Total,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Regist. Cand. 2021,Clean Cand. 2021,Passed Cand. (I to IV) 2021,Average GPA 2021,Band of School 2021,Band of School 2020,Rank of School 2021,Rank of School 2020,Number of Candidates
Arusha,Arusha,Bangata,BANG'ATA,S.906,S1236,Government,-3.331012,31.74861,58,88,46,58,50,75,44,68,0,0,0,0,198,289,16,9,16,9,19,19,113,112,103,3.8177,6,6,1953,2099,40 and More
Arusha,Arusha,Bangata,SAKURA,S.4920,S5478,Non-Government,-3.3347,36.7453254,0,38,0,30,0,30,0,45,0,0,0,0,0,143,8,3,8,3,13,13,44,43,43,2.0262,3,3,136,184,40 and More
Arusha,Arusha,Bwawani,OLOKII,S.2499,S2907,Government,-3.551803,36.807554,57,70,28,58,28,50,32,62,0,0,0,0,145,240,13,6,13,6,20,20,105,97,80,4.018,7,7,2872,2892,40 and More
Arusha,Arusha,Ilkiding'a,ILKIDING'A,S.732,S0931,Government,-3.318724,36.684947,313,288,161,238,149,199,110,169,0,0,0,0,733,894,17,33,17,32,33,33,261,260,246,3.5954,6,6,1173,2282,40 and More
Arusha,Arusha,Kimnyaki,KIMNYAKI,S.541,S0918,Government,-3.309495,36.6581343,147,184,101,120,96,138,104,113,0,0,0,0,448,555,22,21,22,21,23,23,198,196,178,3.8313,6,7,2020,3202,40 and More
Arusha,Arusha,Kiranyi,NGATEU,S.799,S0930,Non-Government,-3.4140083,36.6584608,5,7,10,7,9,13,15,15,0,0,0,0,39,42,7,4,7,4,7,7,68,68,67,3.4035,5,6,827,553,40 and More
Arusha,Arusha,Kiranyi,TRUST PATRICK,S.1835,S1792,Non-Government,-3.3541965,36.652209,68,0,45,0,40,0,44,0,0,0,0,0,197,0,8,4,8,4,16,16,41,41,41,1.8852,2,2,95,66,40 and More
Arusha,Arusha,Kiranyi,WINNING SPIRIT,S.3560,S4014,Non-Government,-3.3879294,36.6843582,40,30,16,17,38,38,26,13,34,17,32,25,186,140,6,8,6,8,23,23,19,19,19,2.0839,3,3,28,28,Less than 40
Arusha,Arusha,Kisongo,EINOTI,S.647,S0973,Government,-3.3715837,36.546256,136,161,104,147,91,155,59,136,0,0,0,0,390,599,22,32,22,32,18,18,170,158,156,3.3715,5,6,791,1163,40 and More
Arusha,Arusha,Kisongo,ELITE,S.3577,S3524,Non-Government,-3.4034711,36.527264,4,3,16,30,13,14,12,22,0,0,0,0,45,69,6,2,6,2,14,14,9,6,6,3.9286,6,4,642,128,Less than 40
Arusha,Arusha,Kisongo,ST. THADEUS,S.4418,S4648,Non-Government,-3.386211,36.547019,16,9,15,24,15,22,39,24,0,0,0,0,85,79,4,3,4,3,23,23,50,49,49,3.1622,5,5,601,559,40 and More
Arusha,Arusha,Kisongo,ST. THERESA OF THE CHILD JESUS,S.3861,S4039,Non-Government,-3.403272,36.527364,0,34,0,39,0,71,0,88,0,0,0,8,0,240,12,6,12,6,13,13,79,79,79,2.75,4,4,405,346,40 and More
Arusha,Arusha,Kisongo,YAKINI,S.4968,S5556,Non-Government,-3.3926473,36.6466667,31,18,17,22,41,28,14,16,0,0,0,0,103,84,26,2,26,2,7,7,32,32,32,2.1068,3,4,29,100,Less than 40
Arusha,Arusha,Laroi,ARUSHA SCIENCE,S.5310,S5953,Non-Government,-3.500601,29.6301921,0,0,0,0,0,0,0,0,81,42,22,22,103,64,9,3,9,3,14,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Arusha,Arusha,Laroi,OLJORO,S.802,S0976,Government,-3.4171463,36.6537759,62,83,53,79,53,96,58,75,0,0,0,0,226,333,19,17,19,17,16,16,90,90,83,3.8048,6,6,1890,1682,40 and More
Arusha,Arusha,Lemanyata,CORNERSTONE LEADERSHIP,S.4472,S4746,Non-Government,-3.281461667,36.63571333,0,0,0,0,0,0,0,0,28,29,26,28,54,57,11,1,11,1,9,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Arusha,Arusha,Lemanyata,MUKULAT,S.542,S0755,Government,-3.2639817,36.6174767,98,162,157,220,78,159,85,158,0,0,0,0,418,699,16,18,16,18,33,33,185,181,166,3.7215,6,6,1562,1463,40 and More
Arusha,Arusha,Lengijave,LENGIJAVE,S.4609,S5261,Government,-3.2325566,36.6086066,72,116,37,59,30,65,16,55,0,0,0,0,155,295,16,16,16,16,14,14,74,68,67,3.6069,6,6,1200,1243,40 and More
Arusha,Arusha,Mateves,ASSALAF ISLAMIC,S.4883,S5395,Non-Government,-3.382033,36.568099,28,22,18,20,15,14,17,11,0,0,0,0,78,67,14,1,11,1,10,12,39,39,39,3.0422,5,4,225,123,Less than 40
Arusha,Arusha,Mateves,MATEVES,S.1926,S4046,Government,-3.378035,36.580082,92,93,70,90,52,66,61,78,0,0,0,0,275,327,13,33,13,33,13,13,87,86,86,3.5024,6,6,968,1730,40 and More
Arusha,Arusha,Mateves,ST.JOSEPH NGARENARO (GIRLS),S.224,S0454,Non-Government,-3.2157968,36.3459657,0,60,0,59,0,66,0,60,0,0,0,10,0,255,9,7,9,7,16,16,56,56,56,3.0608,5,4,544,316,40 and More
