Region,Council,Ward,School Name,School Ownership,REG. NUMBER,< 12 years-M,< 12 years-F,12 years-M,12 years-F,13 years-M,13 years-F,14 years-M,14 years-F,15 years-M,15 years-F,16 years-M,16 years-F,17 years-M,17 years-F,18 years-M,18 years-F,19 years-M,19 years-F,> 19 years-M,> 19 years-F,Total-M,Total-F
Arusha,Arusha,Bangata,BANG'ATA,Government,S.906,0,0,3,1,4,20,13,45,44,73,67,69,42,50,16,20,2,3,0,0,191,281
Arusha,Arusha,Bangata,SAKURA,Non-Government,S.4920,0,0,0,1,0,15,0,34,0,36,0,42,0,14,0,0,0,0,0,0,0,142
Arusha,Arusha,Bwawani,OLOKII,Government,S.2499,0,0,0,2,15,28,35,78,47,70,54,82,33,41,23,34,6,3,7,2,220,340
Arusha,Arusha,Ilkiding'a,ILKIDING'A,Government,S.732,0,0,10,42,69,104,106,137,112,157,118,150,107,108,61,68,37,31,7,4,627,801
Arusha,Arusha,Kimnyaki,KIMNYAKI,Government,S.541,0,0,2,1,19,27,35,74,81,142,119,127,95,91,57,40,29,14,18,1,455,517
Arusha,Arusha,Kiranyi,NGATEU,Non-Government,S.799,0,0,0,1,2,2,12,19,16,16,18,21,26,23,19,10,9,2,2,2,104,96
Arusha,Arusha,Kiranyi,TRUST PATRICK,Non-Government,S.1835,0,0,0,0,42,0,40,0,31,0,33,0,24,0,4,0,0,0,0,0,174,0
Arusha,Arusha,Kiranyi,WINNING SPIRIT,Non-Government,S.3560,0,0,0,0,4,1,8,5,18,27,40,23,11,10,13,5,34,27,10,13,138,111
Arusha,Arusha,Kisongo,EINOTI,Government,S.647,0,0,0,0,12,14,50,111,95,123,77,150,46,72,33,37,11,21,1,1,325,529
Arusha,Arusha,Kisongo,ELITE,Non-Government,S.3577,0,0,0,0,0,0,3,1,4,3,2,2,2,6,2,3,1,0,1,0,15,15
Arusha,Arusha,Kisongo,NEW LIFE,Non-Government,S.3975,0,0,0,0,0,0,1,3,0,2,1,4,10,9,0,3,1,4,1,4,14,29
Arusha,Arusha,Kisongo,ST. THADEUS,Non-Government,S.4418,1,6,6,3,1,7,8,10,12,22,25,14,22,10,11,3,0,0,1,1,87,76
Arusha,Arusha,Kisongo,ST. THERESA OF THE CHILD JESUS,Non-Government,S.3861,0,0,0,0,0,12,0,51,0,62,0,73,0,55,0,24,0,11,0,15,0,303
Arusha,Arusha,Kisongo,YAKINI,Non-Government,S.4968,0,0,0,0,0,0,0,2,16,28,40,43,16,20,11,1,1,1,0,0,84,95
Arusha,Arusha,Laroi,ARUSHA SCIENCE,Non-Government,S.5310,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,5,12,14,4,2,22,23
Arusha,Arusha,Laroi,OLJORO,Government,S.802,0,0,3,3,2,15,15,29,32,58,46,73,52,92,30,34,31,13,17,1,228,318
Arusha,Arusha,Lemanyata,CORNERSTONE LEADERSHIP,Non-Government,S.4472,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,13,10,34,40,51,54
Arusha,Arusha,Mateves,ASSALAF ISLAMIC,Non-Government,S.4883,0,0,0,0,8,6,13,16,19,13,18,16,13,6,6,1,0,0,1,0,78,58
Arusha,Arusha,Mateves,MATEVES,Government,S.1926,0,0,0,0,1,10,27,39,47,73,55,72,59,65,37,27,22,7,0,0,248,293
Arusha,Arusha,Mateves,ST.JOSEPH NGARENARO (GIRLS),Non-Government,S.224,0,0,0,10,0,32,0,41,0,57,0,65,0,17,0,12,0,12,0,2,0,248
Arusha,Arusha,Mlangarini,D'ALZON GIRLS,Non-Government,S.4100,0,0,0,3,0,44,0,46,0,10,0,34,0,32,0,6,0,0,0,0,0,175
Arusha,Arusha,Mlangarini,KISERIANI,Government,S.5348,0,0,0,0,10,15,20,25,24,16,21,24,5,5,0,0,0,0,0,0,80,85
Arusha,Arusha,Mlangarini,MLANGARINI,Government,S.1040,0,0,7,10,45,45,89,75,153,165,116,150,90,107,105,141,0,35,0,0,605,728
Arusha,Arusha,Mlangarini,MWEDO,Non-Government,S.4420,0,0,0,0,0,13,0,11,0,8,0,23,0,35,0,38,0,14,0,2,0,144
Arusha,Arusha,Mlangarini,SHEPHERDS,Non-Government,S.4601,0,0,1,0,1,1,1,6,5,6,11,14,7,12,13,8,5,2,2,0,46,49
Arusha,Arusha,Moivo,BISHOP DURNING,Non-Government,S.1676,0,0,0,0,0,1,2,2,5,4,6,6,12,12,49,16,42,23,14,7,130,71
Arusha,Arusha,Moivo,ENABOISHU,Non-Government,S.81,0,0,0,0,0,0,0,1,5,0,12,25,43,39,28,28,20,14,47,43,155,150
Arusha,Arusha,Moivo,ILBORU,Government,S.24,0,0,4,0,27,0,132,0,133,0,84,0,64,0,74,0,117,0,208,0,843,0
Arusha,Arusha,Musa,LIKAMBA,Government,S.5349,0,0,2,11,26,50,30,26,15,6,0,0,0,0,0,0,0,0,0,0,73,93
Arusha,Arusha,Musa,MUSA,Government,S.2501,0,0,0,8,12,20,34,35,21,39,11,24,12,32,15,23,20,12,13,1,138,194
Arusha,Arusha,Mwandet,LOSIKITO,Government,S.5110,0,0,0,0,0,3,4,10,17,40,32,70,34,42,27,34,15,4,0,1,129,204
Arusha,Arusha,Mwandet,MWANDET,Government,S.1268,0,0,8,13,32,61,73,121,116,197,97,153,120,153,38,69,8,56,0,4,492,827
Arusha,Arusha,Nduruma,NDURUMA,Government,S.679,0,0,0,0,6,5,48,56,73,96,78,114,55,46,27,25,21,1,4,0,312,343
Arusha,Arusha,Nduruma,OLE MEDEYE,Government,S.4569,0,0,0,0,35,36,67,76,38,53,31,47,12,41,7,6,0,0,0,0,190,259
Arusha,Arusha,Oldonyosambu,OLDONYO SAMBU,Government,S.649,0,0,1,5,4,13,23,46,38,70,56,72,68,81,56,46,35,23,18,16,299,372
Arusha,Arusha,Oldonyowas,ARUSHA CATHOLIC SEMINARY,Non-Government,S.204,0,0,1,0,12,0,35,0,29,0,31,0,37,0,21,0,18,0,17,0,201,0
Arusha,Arusha,Oldonyowas,LOSINONI,Government,S.5347,0,0,0,0,0,2,2,2,21,48,13,12,6,12,10,22,4,4,0,0,56,102
Arusha,Arusha,Oldonyowas,OLDONYOWAS,Government,S.5111,2,6,9,21,29,57,17,52,29,38,24,33,14,6,9,1,3,0,0,0,136,214
Arusha,Arusha,Oljoro,ENDEVES,Government,S.2809,0,0,0,0,4,29,22,57,49,65,29,45,34,30,4,6,0,0,0,0,142,232
Arusha,Arusha,Olkokola,LENGIJAVE,Government,S.4609,0,0,0,0,0,3,4,22,11,48,15,67,32,55,34,45,20,12,18,1,134,253
Arusha,Arusha,Olkokola,MUKULAT,Government,S.542,0,0,16,14,24,34,87,143,19,45,35,100,63,157,76,123,41,49,26,14,387,679
Arusha,Arusha,Olmotonyi,OLMOTONYI FOREST,Government,S.4700,0,0,0,10,6,45,42,107,89,121,80,158,67,122,32,41,9,9,0,0,325,613
Arusha,Arusha,Olorien,KILIMANJARO ISLAMIC,Non-Government,S.4541,0,0,0,53,0,60,0,50,0,132,0,120,0,88,0,0,0,0,0,0,0,503
Arusha,Arusha,Olorien,KIRANYI,Government,S.1791,0,0,16,17,76,69,127,173,139,218,198,149,131,107,67,40,15,17,0,6,769,796
Arusha,Arusha,Olorien,MRINGA,Government,S.329,2,6,5,11,9,40,47,120,168,270,153,142,94,141,59,164,24,151,2,74,563,1119
Arusha,Arusha,Olorien,NEWLIFE OLOSIVA,Non-Government,S.4784,1,2,4,11,13,19,21,13,9,17,15,25,15,7,10,6,3,3,0,0,91,103
Arusha,Arusha,Olturoto,ENYOITO,Government,S.920,1,0,10,3,39,76,95,103,133,179,167,155,121,122,38,12,13,2,2,0,619,652
Arusha,Arusha,Olturoto,OLTUROTO,Government,S.5452,0,0,0,0,16,23,36,42,32,37,22,18,2,1,2,0,0,0,1,1,111,122
Arusha,Arusha,Olturumet,OLTRUMET,Government,S.2502,0,0,0,0,0,0,19,44,47,42,40,28,27,32,28,26,2,1,1,1,164,174
Arusha,Arusha,Olturumet,OSILIGI,Government,S.3429,0,0,0,1,10,12,10,37,22,43,37,61,44,30,24,10,2,4,0,3,149,201
Arusha,Arusha,Olturumet,SOS HGS,Non-Government,S.1398,0,0,0,0,3,7,54,28,14,10,18,16,25,2,3,0,0,0,0,0,117,63
Arusha,Arusha,Sambasha,SAMBASHA,Government,S.4774,0,0,0,0,4,11,41,75,62,106,33,64,26,33,18,31,3,6,0,0,187,326
Arusha,Arusha,Sambasha,TIMBOLO BAPTIST,Non-Government,S.4427,0,0,0,0,0,0,0,0,0,0,0,8,5,0,8,4,0,0,0,0,13,12
Arusha,Arusha,Sokon II,NG'IRESI,Government,S.2808,0,0,0,0,7,9,21,37,50,95,47,62,36,44,12,5,2,2,1,1,176,255
Arusha,Arusha,Sokon II,OLDADAI,Government,S.333,0,0,0,0,13,19,81,91,104,114,64,104,62,67,32,28,14,5,0,0,370,428
Arusha,Arusha,Sokon II,SOKONI II,Government,S.4854,0,0,6,11,52,97,128,160,143,128,120,118,49,60,18,5,0,0,0,0,516,579
Arusha,Arusha CC,Baraa,BARAA,Government,S.1104,0,0,7,10,20,25,47,49,51,68,112,104,156,190,62,55,10,6,0,0,465,507
Arusha,Arusha CC,Baraa,SORENYI,Government,S.3680,0,0,0,0,20,22,42,44,47,45,68,93,45,92,15,38,15,11,8,3,260,348
Arusha,Arusha CC,Daraja Ii,ARUSHA GIRLS ISLAMIC,Non-Government,S.4469,0,0,0,1,0,20,0,39,0,39,0,66,0,26,0,5,0,0,0,0,0,196
Arusha,Arusha CC,Daraja Ii,FELIX MREMA,Government,S.4168,0,0,0,1,42,50,126,158,186,180,130,146,149,140,38,9,9,0,0,0,680,684
Arusha,Arusha CC,Elerai,ELERAI,Government,S.2018,0,0,17,14,38,71,172,192,195,171,148,164,127,123,54,27,15,4,1,0,767,766
Arusha,Arusha CC,Elerai,KILIMANJARO MODERN BOYS,Non-Government,S.5302,1,0,4,0,25,0,72,0,41,0,37,0,4,0,1,0,0,0,0,0,185,0
Arusha,Arusha CC,Engutoto,EL-SHAMMAH,Non-Government,S.4786,0,0,0,0,0,0,0,3,2,4,5,6,3,2,4,1,1,0,0,0,15,16
Arusha,Arusha CC,Engutoto,KORONA,Government,S.4415,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,36,0,41,0,91,0
Arusha,Arusha CC,Engutoto,NJIRO,Government,S.2624,0,0,1,1,33,29,55,50,85,91,90,82,51,52,1,0,0,0,0,0,316,305
Arusha,Arusha CC,Kaloleni,KALOLENI,Government,S.791,1,0,1,3,65,88,83,89,82,61,102,120,97,81,29,30,5,1,2,0,467,473
Arusha,Arusha CC,Kati,ARUSHA,Government,S.35,0,0,7,8,56,104,178,191,222,234,197,153,129,37,58,45,59,71,57,44,963,887
Arusha,Arusha CC,Kati,BONDENI,Non-Government,S.408,0,0,0,0,0,0,11,5,19,19,15,25,22,30,19,18,22,8,35,18,143,123
Arusha,Arusha CC,Kimandolu,BRAINY HEROES BOYS,Non-Government,S.2147,0,0,0,0,36,0,41,0,57,0,25,0,24,0,7,0,0,0,0,0,190,0
Arusha,Arusha CC,Kimandolu,KIMANDOLU,Non-Government,S.466,0,0,0,0,2,4,3,2,15,12,11,14,10,15,0,0,0,0,0,0,41,47
Arusha,Arusha CC,Kimandolu,KIMASEKI,Government,S.1841,0,0,0,0,5,8,229,214,102,160,231,216,166,163,5,3,0,0,0,0,738,764
Arusha,Arusha CC,Kimandolu,SUYE,Government,S.4557,0,0,6,3,40,74,148,175,264,219,140,154,120,105,44,38,11,9,7,5,780,782
Arusha,Arusha CC,Lemara,LEMARA,Government,S.1284,3,1,6,6,54,87,140,115,158,170,157,123,122,71,33,44,19,19,2,0,694,636
Arusha,Arusha CC,Lemara,NAURA,Government,S.3838,0,0,3,5,30,72,80,160,178,175,143,105,95,64,27,10,3,0,3,0,562,591
Arusha,Arusha CC,Lemara,NOTREDAME,Non-Government,S.3733,0,0,0,3,0,28,0,41,0,52,0,109,0,75,0,13,0,1,0,0,0,322
Arusha,Arusha CC,Lemara,RENEA,Non-Government,S.4807,0,0,1,0,12,0,31,0,24,0,34,0,5,0,3,0,2,0,3,0,115,0
Arusha,Arusha CC,Levolosi,ARUSHA MERU,Non-Government,S.66,1,3,1,2,1,2,5,8,9,5,16,6,6,9,5,1,3,1,0,0,47,37
Arusha,Arusha CC,Levolosi,MARANATHA MISSION SEMINARY,Non-Government,S.4888,0,0,0,2,1,3,5,4,8,6,10,10,2,2,0,1,0,0,0,0,26,28
Arusha,Arusha CC,Moivaro,MOIVARO,Government,S.5104,0,0,1,0,6,11,14,63,50,75,37,43,26,10,6,1,0,0,0,0,140,203
Arusha,Arusha CC,Moivaro,ST. JUDE GIRLS,Non-Government,S.5243,0,0,0,0,0,8,0,43,0,86,0,101,0,99,0,74,0,17,0,0,0,428
Arusha,Arusha CC,Moshono,LOSIRWAY,Government,S.4555,0,0,0,0,9,5,25,25,39,30,36,31,28,18,20,13,13,15,0,0,170,137
Arusha,Arusha CC,Moshono,MOSHONO,Government,S.1089,0,0,1,0,12,31,42,87,78,87,78,104,80,75,37,20,7,4,3,0,338,408
Arusha,Arusha CC,Moshono,ST. MONICA MOSHONO GIRLS,Non-Government,S.4898,0,0,0,11,0,54,0,85,0,112,0,82,0,23,0,1,0,0,0,0,0,368
Arusha,Arusha CC,Moshono,ST. PADRI PIO GIRLS,Non-Government,S.5563,0,0,0,3,0,25,0,27,0,8,0,1,0,0,0,0,0,0,0,0,0,64
Arusha,Arusha CC,Muriet,ARUSHA TERRAT,Government,S.5103,0,0,3,4,8,35,33,63,72,71,89,89,53,31,12,21,0,5,2,0,272,319
Arusha,Arusha CC,Muriet,CHETI,Non-Government,S.5071,0,0,0,0,2,3,7,12,4,12,5,4,10,12,4,0,3,0,1,0,36,43
Arusha,Arusha CC,Muriet,HADY,Non-Government,S.4821,0,0,0,0,3,2,4,7,4,11,13,8,8,3,4,1,3,1,0,1,39,34
Arusha,Arusha CC,Muriet,HEAL SUN,Non-Government,S.5023,0,1,0,0,0,1,2,3,4,6,5,2,6,3,4,2,0,2,1,0,22,20
Arusha,Arusha CC,Muriet,KINANA,Government,S.1105,0,0,1,1,7,36,26,100,48,123,65,72,89,95,34,28,10,3,0,0,280,458
Arusha,Arusha CC,Muriet,MURIET SPRING,Non-Government,S.4676,0,0,0,0,0,0,0,3,0,1,1,2,3,2,2,3,2,0,0,0,8,11
Arusha,Arusha CC,Ngarenaro,NGARENARO,Government,S.2623,0,0,8,16,78,125,143,133,173,284,293,313,196,130,50,35,22,5,12,3,975,1044
Arusha,Arusha CC,Olasiti,ARUSHA CITY BOYS,Non-Government,S.4627,1,0,0,0,9,0,15,0,26,0,29,0,20,0,10,0,4,0,0,0,114,0
Arusha,Arusha CC,Olasiti,ARUSHA GIRLS,Government,S.4801,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,68,0,101,0,16,0,268
Arusha,Arusha CC,Olasiti,MRISHO GAMBO,Government,S.5255,0,0,0,9,14,22,24,37,63,55,27,17,10,6,9,2,2,0,0,0,149,148
Arusha,Arusha CC,Olasiti,OLASITI,Government,S.4556,0,0,0,6,35,92,151,174,181,178,155,178,117,91,49,23,18,4,4,0,710,746
Arusha,Arusha CC,Olasiti,PEACE HOUSE,Non-Government,S.3886,0,0,0,0,5,3,16,22,31,21,41,26,30,45,20,14,8,12,34,23,185,166
Arusha,Arusha CC,Olmoti,OLMOTI,Government,S.4929,0,0,3,6,24,26,35,45,62,72,79,100,63,83,53,44,27,8,9,8,355,392
Arusha,Arusha CC,Oloirien,OLORIENI,Government,S.1843,0,0,0,0,21,27,58,83,122,170,164,170,122,81,44,26,14,3,0,1,545,561
Arusha,Arusha CC,Osunyai Jr,SOMBETINI,Government,S.3659,0,0,2,4,10,14,189,213,214,297,191,177,168,103,29,10,4,0,0,0,807,818
Arusha,Arusha CC,Sakina,SAKINA,Non-Government,S.2380,0,0,0,0,0,2,0,13,0,30,0,17,0,11,0,1,0,0,0,0,0,74
Arusha,Arusha CC,Sekei,PRIME,Non-Government,S.2392,0,0,0,0,5,1,6,3,8,11,12,5,10,4,2,1,4,0,0,0,47,25
Arusha,Arusha CC,Sinoni,ARUSHA BOYS ISLAMIC,Non-Government,S.4463,0,0,7,0,20,0,45,0,31,0,24,0,28,0,13,0,3,0,0,0,171,0
Arusha,Arusha CC,Sinoni,EDMUND RICE SINON,Non-Government,S.405,0,0,2,1,34,25,103,63,105,73,102,78,83,63,99,70,101,65,72,34,701,472
Arusha,Arusha CC,Sinoni,SINON,Government,S.955,0,0,3,5,22,44,140,235,239,223,247,264,154,177,86,69,34,22,14,8,939,1047
Arusha,Arusha CC,Sokoni I,MURIET,Government,S.4414,0,0,3,6,22,30,153,189,229,283,265,329,114,154,57,43,7,3,5,0,855,1037
Arusha,Arusha CC,Sokoni I,NAKIDO,Non-Government,S.4782,0,0,0,0,6,8,12,14,22,21,18,27,18,6,2,1,0,0,0,0,78,77
Arusha,Arusha CC,Terrat,INTEL,Non-Government,S.4960,0,0,0,1,0,5,1,2,1,3,6,3,13,14,16,16,4,4,1,1,42,49
Arusha,Arusha CC,Terrat,MKONOO,Government,S.4783,0,0,0,0,3,11,37,72,77,85,30,37,38,24,16,26,27,46,6,1,234,302
Arusha,Arusha CC,Terrat,NYAHIRI,Non-Government,S.5014,7,4,4,9,5,6,6,6,4,3,0,0,0,0,0,0,0,0,0,0,26,28
Arusha,Arusha CC,Themi,ARUSHA DAY,Government,S.422,0,0,6,13,47,61,109,106,100,74,80,105,68,34,34,1,3,0,1,0,448,394
Arusha,Arusha CC,Themi,RENEA GIRLS',Non-Government,S.4229,0,1,0,12,0,18,0,21,0,32,0,32,0,22,0,9,0,0,0,0,0,147
Arusha,Arusha CC,Themi,THEMI,Government,S.2622,0,0,0,1,19,27,98,148,195,252,215,239,171,146,77,32,18,11,20,2,813,858
Arusha,Karatu,Baray,BARAY,Government,S.2494,0,0,0,0,16,6,24,37,59,67,62,69,33,39,30,10,3,0,0,0,227,228
Arusha,Karatu,Baray,QANGDEND,Government,S.3757,0,0,0,0,3,2,27,28,58,87,9,12,23,17,20,9,2,2,3,0,145,157
Arusha,Karatu,Buger,MARANG,Government,S.2814,0,0,0,0,1,3,3,23,22,34,17,39,12,16,16,14,3,2,0,0,74,131
Arusha,Karatu,Buger,ORBOSHAN,Government,S.2815,0,0,0,0,0,0,1,8,11,24,21,24,24,27,15,15,1,3,0,0,73,101
Arusha,Karatu,Daa,CHAENDA,Government,S.2845,0,0,0,1,9,15,23,41,40,46,47,36,38,38,9,14,11,5,8,2,185,198
Arusha,Karatu,Endabash,ENDABASH,Government,S.1536,0,0,0,4,3,22,8,50,43,74,26,78,37,64,26,37,11,5,3,3,157,337
Arusha,Karatu,Endabash,QARU,Government,S.3657,0,0,0,0,0,4,10,20,15,59,36,50,34,25,46,24,10,6,4,2,155,190
Arusha,Karatu,Endamarariek,BARAY KHUSMAYI,Government,S.5131,0,0,0,0,13,24,4,6,1,20,12,33,7,23,3,24,1,1,0,0,41,131
Arusha,Karatu,Endamarariek,DR.WILBROD SLAA,Government,S.4019,0,0,0,0,0,0,10,16,14,23,25,29,40,59,30,20,25,22,1,1,145,170
Arusha,Karatu,Endamarariek,ENDALLAH,Government,S.1535,0,0,3,5,11,18,43,70,37,92,56,86,58,60,22,22,13,6,4,0,247,359
Arusha,Karatu,Endamarariek,FLORIAN,Government,S.994,0,0,0,0,4,2,12,30,25,55,31,73,34,66,19,53,9,91,0,147,134,517
