code_etablissement,CRE,delegation,nom_etablissement,Type,cre_ar,delagation_ar,code_auto,nom_etablissement_ar,region_ar,cycle_ar,Latitude initiale,Longitude initiale
10100101,Tunis 1,TUNIS EL MADINA,E.P.BAB JEDID,E.PRIMAIRE,تونس 1,تونس المدينة,100101,م.إ.  باب الجديد,منطقة بلدية,مدرسة ابتدائية,36.79216,10.173194
10100104,Tunis 1,TUNIS EL MADINA,E.P.RUE EL MARR,E.PRIMAIRE,تونس 1,تونس المدينة,100104,م.إ.  نهج المر,منطقة بلدية,مدرسة ابتدائية,36.473968,10.1075
10100107,Tunis 1,TUNIS EL MADINA,E.P.ABD AZIZ LASREM,E.PRIMAIRE,تونس 1,تونس المدينة,100107,م.إ.  عبد العزيز الأصرم,منطقة بلدية,مدرسة ابتدائية,36.796852,10.174021
10100110,Tunis 1,TUNIS EL MADINA,E.P.7 RUE DOCTEUR CASSAR,E.PRIMAIRE,تونس 1,تونس المدينة,100110,م.إ.  نهج الحكيم كسار,منطقة بلدية,مدرسة ابتدائية,36.80274,10.1699
10100115,Tunis 1,TUNIS EL MADINA,E.P.AP.SADIKI RUE SINAN PACHA,E.PRIMAIRE,تونس 1,تونس المدينة,100115,م.إ.  الصادقية نهج سنان باشا,منطقة بلدية,مدرسة ابتدائية,36.798828,10.166001
10100116,Tunis 1,TUNIS EL MADINA,E.P.PLACE LEADER,E.PRIMAIRE,تونس 1,تونس المدينة,100116,م.إ.  ساحة معقل الزعيم,منطقة بلدية,مدرسة ابتدائية,36.79269,10.164906
10100301,Tunis 1,TUNIS BAB BHAR,E.P.RUE CHARLES DE GAULLE,E.PRIMAIRE,تونس 1,تونس باب بحر,100301,م.إ.  نهج شارل ديقول,منطقة بلدية,مدرسة ابتدائية,36.794697,10.178131
10100304,Tunis 1,TUNIS BAB BHAR,E.P.17 RUE DE RUSSIE,E.PRIMAIRE,تونس 1,تونس باب بحر,100304,م.إ.  نهج روسيا عدد17,منطقة بلدية,مدرسة ابتدائية,36.794551,10.17733961
10100307,Tunis 1,TUNIS BAB BHAR,E.P.16 RUE EL IDRISSI,E.PRIMAIRE,تونس 1,تونس باب بحر,100307,م.إ.  نهج الإدريسي,منطقة بلدية,مدرسة ابتدائية,36.482663,10.103779
10100309,Tunis 1,TUNIS BAB BHAR,"E.P.12,RUE ALI JELILI",E.PRIMAIRE,تونس 1,تونس باب بحر,100309,م.إ.  12 نهج علي الجليلي,منطقة بلدية,مدرسة ابتدائية,36.807989,10.179
