geo_id,longitude,latitude
BOL-000000,-64.3169932712,-22.8513953477
BOL-000001,-64.3109201332,-22.8065748707
BOL-000002,-64.297661179,-22.7750358507
BOL-000003,-64.3373428736,-22.7413925661
BOL-000004,-64.3351511614,-22.7364077003
BOL-000005,-64.3347172514,-22.7323196852
BOL-000006,-64.3418960239,-22.7318559989
BOL-000007,-64.3424102152,-22.7314298676
BOL-000008,-64.3427412082,-22.7311491751
BOL-000009,-64.3413046225,-22.7309847393
BOL-000010,-64.3529968565,-22.7280741105
BOL-000011,-64.3210842095,-22.727755162
BOL-000012,-64.3478402574,-22.7265772981
BOL-000013,-64.3395477285,-22.7257346211
BOL-000014,-64.3395530413,-22.7251237402
BOL-000015,-64.3388328289,-22.724995472
BOL-000016,-64.3467773657,-22.7240580154
BOL-000017,-64.299591764,-22.7213510241
BOL-000018,-64.2842887414,-22.7172274677
BOL-000019,-64.3898657859,-22.7112117483
BOL-000020,-64.2827061487,-22.6912951243
BOL-000021,-64.2827457571,-22.6785374501
BOL-000022,-64.41471603,-22.672475305
BOL-000023,-64.3143923668,-22.6710782896
BOL-000024,-64.3846406368,-22.6570508653
BOL-000025,-64.419323819,-22.6486747812
BOL-000026,-64.3819057088,-22.6391048555
BOL-000027,-64.2663436656,-22.6369082554
BOL-000028,-64.3636435466,-22.6358723291
BOL-000029,-64.317783337,-22.6349363106
BOL-000030,-64.4264544137,-22.6262424209
BOL-000031,-64.3309807153,-22.6049250157
BOL-000032,-64.4132927951,-22.5755627765
BOL-000033,-64.4100372533,-22.534545127
BOL-000034,-64.2460171114,-22.5207399056
BOL-000035,-64.4333372656,-22.5179116331
BOL-000036,-64.2410515217,-22.4963264657
BOL-000037,-64.2826210368,-22.4869149398
BOL-000038,-64.2224666493,-22.4677349747
BOL-000039,-64.477755342,-22.4632014578
BOL-000040,-64.2962867807,-22.4400855515
BOL-000041,-64.4961760074,-22.4331459344
BOL-000042,-64.4482641138,-22.4313330778
BOL-000043,-66.7988022228,-22.4012530653
BOL-000044,-64.1783029252,-22.3895246863
BOL-000045,-64.2996935364,-22.3876042356
BOL-000046,-64.408674398,-22.3809582287
BOL-000047,-64.1612127739,-22.363191996
BOL-000048,-64.4140813953,-22.3619746033
BOL-000049,-64.4996284409,-22.3447144547
BOL-000050,-64.4926037841,-22.3054097829
BOL-000051,-64.4899787209,-22.2826911087
BOL-000052,-64.4604748882,-22.2721007885
BOL-000053,-64.5248640528,-22.2645055138
BOL-000054,-64.5335333737,-22.2642715467
BOL-000055,-67.3408915716,-22.2544544786
BOL-000056,-62.6528057145,-22.2434082724
BOL-000057,-64.3470055262,-22.2254069208
BOL-000058,-64.0310338473,-22.2082841153
BOL-000059,-64.5204842129,-22.1999360501
BOL-000060,-64.6650225686,-22.1801833526
BOL-000061,-64.6654340361,-22.1788459283
BOL-000062,-64.674054854,-22.1771039167
BOL-000063,-64.0105851813,-22.157579471
BOL-000064,-64.7944379537,-22.1499511334
BOL-000065,-64.4390971625,-22.1428278294
BOL-000066,-62.7735422121,-22.1424466636
BOL-000067,-64.1209039458,-22.1285668646
BOL-000068,-64.4426027474,-22.1281909757
BOL-000069,-64.6719280512,-22.1067433583
BOL-000070,-66.418196218,-22.1028787453
BOL-000071,-64.6573262629,-22.1004026614
BOL-000072,-64.9044170288,-22.1000747255
BOL-000073,-63.9992003795,-22.098750441
BOL-000074,-64.7665999644,-22.0945335249
BOL-000075,-65.6457917888,-22.093451392
BOL-000076,-65.4739633457,-22.0801692278
BOL-000077,-65.2768641407,-22.073367412
BOL-000078,-65.7323365766,-22.072766282
BOL-000079,-64.3996775978,-22.0721929872
BOL-000080,-64.6745910335,-22.0604993411
BOL-000081,-65.1234713763,-22.0586378956
BOL-000082,-64.7381526901,-22.0585604022
BOL-000083,-65.59302297,-22.0572934401
BOL-000084,-64.8512649472,-22.0526173347
BOL-000085,-65.0040457597,-22.0500089135
BOL-000086,-63.6800986128,-22.0497068988
BOL-000087,-64.4289999936,-22.0492514961
BOL-000088,-65.6276503124,-22.048747812
BOL-000089,-64.3739014664,-22.0486421449
BOL-000090,-64.3900417003,-22.0482436868
BOL-000091,-64.7899917659,-22.0418383001
BOL-000092,-64.677190987,-22.0409059962
BOL-000093,-63.6817120191,-22.0405420243
BOL-000094,-66.9171681398,-22.0402416247
BOL-000095,-63.6828534778,-22.0379727754
BOL-000096,-64.5357851776,-22.0363019041
BOL-000097,-63.9531725273,-22.0334531399
BOL-000098,-64.8823126125,-22.0243022507
BOL-000099,-63.6726865613,-22.023584992
BOL-000100,-65.3477168686,-22.0213392471
BOL-000101,-63.6799719221,-22.0203530104
BOL-000102,-63.685312973,-22.0195149278
BOL-000103,-64.4681178307,-22.0193555365
BOL-000104,-64.4926155772,-22.0188900392
BOL-000105,-64.7038920752,-22.0179611277
BOL-000106,-63.6790362454,-22.0178183047
BOL-000107,-63.6832612281,-22.017803022
BOL-000108,-63.6820240148,-22.0177006377
BOL-000109,-63.6772384171,-22.0171116642
BOL-000110,-63.6804968477,-22.0166764876
BOL-000111,-63.6866618469,-22.0166062606
