geo_id,longitude,latitude
NIG-000000,6.27412844,4.91691036
NIG-000001,7.49676166666667,9.14091833333333
NIG-000002,7.02206166666667,9.174855
NIG-000003,6.962315,9.11584666666667
NIG-000004,7.499665,9.141155
NIG-000005,7.009675,8.99146
NIG-000006,7.01514833333333,9.20420333333333
NIG-000007,7.05636,8.93468666666667
NIG-000008,6.95962833333333,8.92126833333333
NIG-000009,7.33259666666667,9.19196
NIG-000010,7.398185,9.12477833333333
NIG-000011,7.338185,9.15381166666667
NIG-000012,7.39096,9.12999833333333
NIG-000013,7.31986,9.17195166666667
NIG-000014,7.36897833333333,9.14028333333333
NIG-000015,7.38317833333333,9.13630333333333
NIG-000016,7.37318,9.13822833333333
NIG-000017,3.35741932,6.47203198
NIG-000018,6.8586,4.8769
NIG-000019,8.1039,5.6237
NIG-000020,8.1072,5.5094
NIG-000021,8.1633,5.497
NIG-000022,9.0257,6.6358
NIG-000023,9.0336,6.6202
NIG-000024,9.0058,6.6393
NIG-000025,5.748,5.5137
NIG-000026,6.856,4.8769
NIG-000027,6.7699,4.9002
NIG-000028,6.7347,5.276
NIG-000029,6.7334,5.2699
NIG-000030,6.899,4.8311
NIG-000031,6.8172,5.0126
NIG-000032,8.6484392,10.35006065
NIG-000033,8.65036594,10.26583771
NIG-000034,8.6652305,10.26305282
NIG-000035,8.67903382,10.24969427
NIG-000036,8.64856883,10.22466497
NIG-000037,8.67754674,10.20929949
NIG-000038,8.69465357,10.2272683
NIG-000039,7.13332975,4.87163807
NIG-000040,7.1302488,4.88286819
NIG-000041,7.1398154,4.87187952
NIG-000042,4.9195,13.0634
NIG-000043,7.8976,12.6899
NIG-000044,7.8688,12.6199
NIG-000045,7.8743,12.6773
NIG-000046,11.3462,7.5023
NIG-000047,8.3606,9.2068
NIG-000048,11.3764,7.5199
NIG-000049,11.3725,7.5106
NIG-000050,11.357,7.498
NIG-000051,11.033,7.8391
NIG-000052,11.3549,10.316
NIG-000053,11.2895,9.9195
NIG-000054,10.5635,11.2441
NIG-000055,10.4296,11.0703
NIG-000056,10.3773,10.9437
NIG-000057,10.358,10.9526
NIG-000058,10.4143,10.9947
NIG-000059,9.713,9.8675
NIG-000060,13.3856,10.6259
NIG-000061,13.3858,10.6324
NIG-000062,9.05028613,6.50200175
NIG-000063,3.9393,7.355
NIG-000064,3.9392,7.3537
NIG-000065,7.3336,5.6451
NIG-000066,3.926,7.3589
NIG-000067,7.3842,5.1004
NIG-000068,3.394,6.6061
NIG-000069,7.3859,5.113
NIG-000070,5.5619,7.6447
NIG-000071,5.4838,7.5975
