geo_id,longitude,latitude
PRY-000000,-58.1713924552568,-20.2419442519562
PRY-000001,,
PRY-000002,-58.0636070212589,-20.4055529505667
PRY-000003,,
PRY-000004,-58.1676228221078,-20.2281277450361
PRY-000005,,
PRY-000006,-57.9251645659378,-21.2813664817469
PRY-000007,-57.8955119020459,-21.6959487356296
PRY-000008,-57.9436125158115,-21.730002113714
PRY-000009,-57.8874981509534,-21.6927756760746
PRY-000010,,
PRY-000011,-57.8874964905382,-21.6925046616244
PRY-000012,-57.9146979406238,-21.6710996925642
PRY-000013,-57.9091712436275,-21.6744455703832
PRY-000014,-57.9240771009535,-21.2785627292471
PRY-000015,-57.924821632048,-21.2820188474982
PRY-000016,-58.0117868095964,-22.0333207903722
PRY-000017,,
PRY-000018,,
PRY-000019,-58.4838846853885,-21.0236088978461
PRY-000020,-57.966352403906,-20.7933996987824
PRY-000021,-58.6832481354538,-21.0255552440255
PRY-000022,,
PRY-000023,-57.8708335161556,-21.0386136810894
PRY-000024,-57.8702784592168,-21.0391495785822
PRY-000025,-57.8777815857512,-21.0550032232639
PRY-000026,-57.8744485138841,-21.0347191840686
PRY-000027,,
PRY-000028,-58.5256915934715,-20.6357775574381
PRY-000029,,
PRY-000030,,
PRY-000031,,
PRY-000032,,
PRY-000033,,
PRY-000034,-59.3224466589117,-22.0756277935591
PRY-000035,-59.9400851272308,-21.8888134517127
PRY-000036,,
PRY-000037,-57.9407933347123,-22.2840897359909
PRY-000038,-58.2288931254025,-22.2041662263717
PRY-000039,-57.9705550788078,-22.1602745167098
PRY-000040,-58.0941644097241,-22.1930592251456
PRY-000041,-57.9591658074761,-22.1325006835935
PRY-000042,,
PRY-000043,-57.9486128781756,-22.2863929066322
PRY-000044,-57.9391691567887,-22.2836113375869
PRY-000045,-57.9410800439747,-22.2834196041102
PRY-000046,-57.9399322690297,-22.2845102592754
PRY-000047,-54.718540312145,-25.4991682361393
PRY-000048,-54.6787186541896,-25.4971259333095
PRY-000049,,
PRY-000050,,
PRY-000051,-54.6898152721401,-25.4894397415785
PRY-000052,,
PRY-000053,,
PRY-000054,,
PRY-000055,,
PRY-000056,,
PRY-000057,,
PRY-000058,,
PRY-000059,,
PRY-000060,,
PRY-000061,,
PRY-000062,,
PRY-000063,,
PRY-000064,,
PRY-000065,,
PRY-000066,,
PRY-000067,,
PRY-000068,,
PRY-000069,,
PRY-000070,,
PRY-000071,,
PRY-000072,-54.7204377096937,-25.4360068278786
PRY-000073,,
PRY-000074,,
PRY-000075,-54.6309851201315,-25.5192962296745
PRY-000076,,
PRY-000077,,
PRY-000078,,
PRY-000079,-54.7164697434819,-25.5202927647377
PRY-000080,-54.6307840079978,-25.5037058038683
PRY-000081,,
PRY-000082,-54.7063960661603,-25.5096834099661
PRY-000083,,
PRY-000084,,
PRY-000085,-54.6185766523383,-25.5371731232266
PRY-000086,,
PRY-000087,-54.6698839387821,-25.5266623805822
PRY-000088,-54.6398748831481,-25.5295935337283
PRY-000089,-54.6027589021725,-25.5356875228089
PRY-000090,-54.6124031690213,-25.5022883251115
PRY-000091,-54.7181437845848,-25.4885746241338
PRY-000092,-54.7128274685307,-25.4757561842229
PRY-000093,-54.6108258186241,-25.5397454603438
PRY-000094,,
PRY-000095,-54.6225943141566,-25.5019214962034
PRY-000096,-54.7035179532342,-25.481640020198
PRY-000097,-54.6718365580427,-25.5156910619718
PRY-000098,-54.6412518087369,-25.526330398697
PRY-000099,,
PRY-000100,-54.7033868429509,-25.4984712611549
PRY-000101,-54.7112332203283,-25.4670032249897
PRY-000102,-54.6105253422421,-25.5323216207185
PRY-000103,-54.6137819119883,-25.51152582896
PRY-000104,-54.6600011082989,-25.5269199912205
PRY-000105,-54.6699675232005,-25.507402797061
PRY-000106,-54.6490127479306,-25.5150016470464
PRY-000107,-54.6697728829321,-25.5015149164105
