geo_id,longitude,latitude
SLE-000000,-11.48365534,7.51020748
SLE-000001,-11.72079789,7.35207453
SLE-000002,-11.72927561,7.36048955
SLE-000003,-11.88282465,7.42617576
SLE-000004,-11.71113856,7.36662676
SLE-000005,-11.40606229,7.09359567
SLE-000006,-12.39115409,7.4784856
SLE-000007,-12.45517354,7.48860188
SLE-000008,-11.93669556,7.42072719
SLE-000009,-11.90769502,7.41902081
SLE-000010,-11.94355492,7.4626365
SLE-000011,-11.97331967,7.43374529
SLE-000012,-11.94376159,7.46376439
SLE-000013,-11.9260949,7.49525796
SLE-000014,-11.90820778,7.51977864
SLE-000015,-11.93155779,7.50402997
SLE-000016,-11.92079118,7.5305994
SLE-000017,-12.00573074,7.4147056
SLE-000018,-12.00874492,7.41462653
SLE-000019,-11.94244798,7.37785797
SLE-000020,-11.94185375,7.3701015
SLE-000021,-11.94772502,7.46630364
SLE-000022,-11.96856167,7.47976915
SLE-000023,-12.29976441,7.78431739
SLE-000024,-12.30307219,7.78701309
SLE-000025,-12.29671711,7.78339438
SLE-000026,-12.29888818,7.7909803
SLE-000027,-12.31146863,7.76319336
SLE-000028,-12.29836385,7.78938664
SLE-000029,-12.30307219,7.78701309
SLE-000030,-12.30920012,7.76091097
SLE-000031,-12.29909466,7.78845157
SLE-000032,-12.3673395,7.78226656
SLE-000033,-12.31060579,7.76495895
SLE-000034,-12.30857603,7.75647939
SLE-000035,-12.30668932,7.69541135
SLE-000036,-12.27606352,7.66423416
SLE-000037,-12.30449879,7.69659937
SLE-000038,-12.30171734,7.6521882
SLE-000039,-12.30929988,7.6994307
SLE-000040,-12.31151074,7.70937516
SLE-000041,-12.27426094,7.66568654
SLE-000042,-12.33983341,7.59602995
SLE-000043,-12.32153392,7.64069138
SLE-000044,-12.3076771,7.57822048
SLE-000045,-12.33736033,7.57259285
SLE-000046,-12.33179901,7.64889657
SLE-000047,-12.38477115,7.64531734
SLE-000048,-12.28849779,7.48352252
SLE-000049,-12.21938491,7.47778784
SLE-000050,-12.19963561,7.49133316
SLE-000051,-12.25122435,7.5023567
SLE-000052,-12.18275936,7.6130911
SLE-000053,-12.1792641,7.61306835
SLE-000054,-12.17319959,7.61128505
SLE-000055,-12.18169521,7.61103321
SLE-000056,-12.1539905,7.56077169
SLE-000057,-12.18943555,7.54856922
