geo_id,longitude,latitude
SLV-000000,-89.8492485,13.9185687
SLV-000001,-89.5067934,13.8678817
SLV-000002,-89.8504399999999,13.9244973
SLV-000003,-89.2175666,13.9725739
SLV-002351,-89.0065108,14.128358
SLV-000004,-89.8544886,13.9269289
SLV-000005,-89.8546424,13.9186367
SLV-000006,-89.8485092,13.9215561
SLV-000007,-89.7737073999999,13.9345254
SLV-000008,-89.8653848,13.9093513
SLV-000009,-89.8321423,13.9112452
SLV-000010,-89.8780570999999,14.0038512
SLV-000011,-89.9191166999999,13.9903572
SLV-000012,-89.8167454,13.9536667
SLV-000013,-87.9757241,13.3273464
SLV-000014,-89.8560351,13.9920821
SLV-011261,-88.406617,13.3382422
SLV-000015,-89.832554,13.9558475
SLV-000016,-89.8257584,13.9689325
SLV-000017,-89.8013424999999,13.9022624
SLV-000018,-89.8266469,13.9189456
SLV-000019,-89.8556637,13.9455754
SLV-000020,-89.8891464,13.9504464
SLV-000021,-89.8204145999999,13.993292
SLV-000022,-89.8959035,14.0180676
SLV-000023,-89.8752025,13.9129354
SLV-000025,-89.830916,13.9940191
SLV-000026,-89.8634735999999,13.940143
SLV-000027,-89.2601443,14.0678368
SLV-000028,-89.3684942,13.8778421
SLV-003028,,
SLV-000029,-89.8593862,13.9689483
SLV-000030,-89.8400042,13.9292562
SLV-000031,-89.8666669999999,14.016667
SLV-010464,-89.7166513,13.7237133
SLV-000032,-89.7893701,13.9595223
SLV-000033,-89.8560351,13.9920821
SLV-000034,-89.8490427,13.9297307
SLV-000036,-89.5839819,13.9758268
SLV-002335,-88.9422199,14.013209
SLV-003029,-89.3815374,13.7231754
SLV-006541,-88.1557835999999,13.4722241
SLV-000037,-89.85094,13.9250484
SLV-000038,-89.8174246999999,13.9507182
SLV-000146,-89.8055282999999,13.8592521
SLV-008307,-89.161181,13.6935766
SLV-003416,-89.4693327,13.7396385
SLV-000308,-90.0326530999999,13.7810557
SLV-000147,-89.8013407,13.8576014
SLV-000148,-89.7569159999999,13.9771893
SLV-000167,-89.7317784,13.9716828
SLV-000168,-88.9224649,14.0104687
SLV-000169,-89.7765469,13.9847838
SLV-007003,-89.1899962,13.8211808
SLV-000170,-87.7618976,13.7095852
SLV-000171,-88.2941597,13.1705619
SLV-007356,-89.1220324999999,13.6813543
SLV-000172,-89.1704190999999,13.691875
SLV-000173,-87.9412846,13.344572
SLV-000174,-88.7820946,13.5280503
SLV-000176,-89.7563472,13.9723192
SLV-000039,-89.8560351,13.9920821
SLV-000177,-89.2257578999999,13.7568648
SLV-000178,-89.7569159999999,13.9771893
SLV-000179,-89.7535793999999,13.9717166
SLV-000180,-89.753825,13.9711541
SLV-000181,-89.7520969999999,13.9786598
SLV-006542,-88.2125726,13.4806099
SLV-000182,-89.7543377,13.9718959
SLV-000183,-89.8219562,13.7881475
SLV-000184,-89.4530724,13.8548511
SLV-003993,-89.1231392999999,13.5979981
SLV-000211,-89.8276087,13.8400473
SLV-008308,-89.1313505,13.7342783
SLV-000212,-89.8423641999999,13.8521798
SLV-002304,-89.0965940999999,14.3679947
SLV-008705,-89.5030725,13.92909
SLV-000213,-89.4530724,13.8548511
SLV-000214,-89.8536655,13.8677585
SLV-010611,-87.8104876,13.7019716
SLV-010612,-89.7172628,13.7317575
SLV-000215,-89.8725635999999,13.8880099
SLV-000216,-89.8492867,13.8675698
SLV-008309,-89.2241516,13.7129243
SLV-000235,-89.3687631,13.7320404
SLV-000236,-89.7038963999999,13.9785973
SLV-000243,-89.8452758,13.7487525
SLV-000244,-89.8410741,13.7192189
SLV-001777,-88.7524147,14.0965742
SLV-005983,-88.1766993,13.6657907
SLV-011342,-88.4637128999999,13.3398568
SLV-000245,-89.8756662999999,13.7248093
SLV-008827,-90.0326941,13.7765552
SLV-010794,-89.1068792,13.7254096
SLV-000266,-89.9859398999999,13.7284184
SLV-000267,-89.9252415,13.7567264
SLV-000268,-89.9682962999999,13.7139033
SLV-000269,-89.9580845999999,13.7667986
SLV-000270,-89.9292487,13.7290047
SLV-000271,-89.9557114,13.7295467
SLV-000272,-88.7777282999999,13.8804611
SLV-000273,-88.2444168,13.510233
SLV-001109,-88.8999855,13.8883175
SLV-000237,-89.7040167999999,13.976214
SLV-000274,-87.7641159,13.5022639
SLV-000275,-88.1240219,13.4886794
SLV-000276,-89.8603804,13.7868178
SLV-000277,-89.5552907,13.9974889
SLV-000278,-88.3551055,13.4820542
SLV-007004,-89.1666135,13.8126079
SLV-010465,-89.7150506,13.7353383
SLV-000309,-90.0267104,13.706853
SLV-002444,-88.9284014999999,13.7215682
SLV-000310,-90.0202312,13.7507237
SLV-003825,-89.7223662,13.7369066
SLV-000311,-90.025632,13.8033917
SLV-003444,-89.3566219,13.7845115
SLV-000312,-88.1356766999999,13.3059565
SLV-000313,-90.023871,13.7692711
SLV-010730,-88.4310474999999,13.5502635
SLV-000314,-90.0902323,13.8448306
SLV-000315,-88.2820528,13.5969796
SLV-004220,-89.0232926,13.6159612
SLV-000316,-90.0326941,13.7765552
SLV-000317,-90.0792838,13.7324378
SLV-007160,-89.1675997,13.7098694
SLV-000318,-88.4689952999999,13.5663724
SLV-000319,-90.0878956,13.7502439
SLV-000320,-90.0169062,13.8426388
SLV-003682,-88.7934161,13.8377254
SLV-000321,-90.0510565,13.8684038
SLV-000322,-90.0426349999999,13.8109262
SLV-000323,-88.5822527,13.4339015
SLV-000324,-89.7569159999999,13.9771893
SLV-000384,-87.8541329,13.7921055
SLV-000385,-89.7852329999999,14.026267
SLV-000386,-89.7831697,14.0273419
SLV-000387,-89.7291237,14.0135456
SLV-000388,,
SLV-000389,-89.7925643999999,14.0114135
SLV-000390,-89.7533799,14.0118729
SLV-000397,-89.8071914,13.7706199
SLV-000398,-89.8139131,13.7424325
SLV-000399,-88.9271644999999,13.6391703
SLV-007715,-89.0804177999999,13.7350612
SLV-010394,-88.8802942,13.6179004
SLV-007812,-89.1777597,13.6863506
SLV-000424,-89.9381804,13.7960574
SLV-000497,-88.9589647,13.8898246
SLV-000425,-89.1963356999999,13.7354002
SLV-000426,-89.9346638999999,13.9015758
SLV-000427,-87.9606919,13.2058834
SLV-000428,-89.3035664,13.6713003
SLV-000429,-89.9040819,13.9040276
SLV-000430,-89.8980308,13.8982722
SLV-002559,-89.0309303,13.4936387
SLV-000479,-89.7647703,13.9631804
SLV-000480,-89.7654716,13.9555326
SLV-000481,-88.2951365999999,13.5083134
SLV-000482,-89.1811828,13.7185583
SLV-008546,-89.6550936,14.1184921
SLV-008547,-89.6727507,13.9867001
SLV-008548,-87.8685321,13.6699525
SLV-008549,-89.2051724999999,13.7153011
SLV-008550,-89.3044158,13.4896997
SLV-008551,-88.8067848,13.927334
SLV-008552,-89.6662813,14.1838681
SLV-008553,-88.1845764,13.8589528
SLV-008554,-89.6265611,14.0953285
SLV-009027,-88.1668351,13.4650629
SLV-008555,-89.6265611,14.0953285
SLV-008556,-89.6491526,14.0965407
SLV-008557,-88.0588214,13.2737963
SLV-008558,-89.6630012,14.1687871
SLV-008559,-89.6510795,14.115794
SLV-008560,-89.6497232999999,14.1131009
SLV-008561,-89.6501491,14.1124207
SLV-008706,-89.4189286,13.9828914
SLV-008707,-89.4577564,13.8673084
SLV-008708,-89.4530724,13.8548511
SLV-008709,-89.4951382,14.3524783
SLV-003030,-89.3584874,13.709888
SLV-008710,-89.5038836,13.9270583
SLV-002275,-89.0259042,14.3068171
SLV-008711,-89.4675421,13.8281709
SLV-008712,-89.482151,13.8993375
SLV-008713,-89.4730237,13.879039
SLV-003445,-89.3570369,13.8645179
SLV-008714,-89.1286662999999,13.651838
SLV-008715,-89.446158,13.97317
SLV-008717,-89.5949866999999,13.85048
SLV-008718,,
SLV-009028,-89.4877322,14.0001679
SLV-008719,-89.4835624999999,13.9104375
SLV-007813,-89.1925340999999,13.7097816
SLV-008720,-89.2123063,13.6994113
SLV-008754,-89.4933849999999,13.9097213
SLV-008721,-89.5042024,13.9257196
SLV-007357,-89.1963356999999,13.7354002
SLV-008722,-88.9271644999999,13.6391703
SLV-008723,-89.437584,13.985935
SLV-008724,-89.4031304999999,13.8348728
SLV-008725,-87.7019858,13.2030457
SLV-008726,-89.1973142,13.6773901
SLV-008727,-89.167363,13.7215945
SLV-008728,-89.4651751999999,13.9793013
SLV-008729,-89.4496053,13.8445191
SLV-008589,-89.6902801,13.9761971
SLV-008590,-88.9344268,13.6948046
SLV-003337,-89.2640397,13.6460424
SLV-008591,-89.6732671,13.9786574
SLV-008592,-88.4138167,13.3809226
SLV-008594,-89.6732457,13.9839829
SLV-008595,-89.7051202999999,14.02447
SLV-008596,-89.3823087999999,13.5345545
SLV-008597,-89.2057780999999,13.6817732
SLV-008598,-89.0674064,13.7706553
SLV-008599,-89.1291356999999,13.5403487
SLV-008471,-89.0937776999999,13.7122805
SLV-008600,-89.2444013,13.4831833
SLV-008601,-89.6869378,13.990234
SLV-008602,-89.7245241,14.0455906
SLV-008603,-89.6446338,13.918103
SLV-008604,-89.6861767,14.0378417
SLV-008605,-89.6861767,14.0378417
SLV-008606,-89.7239721999999,14.0949167
SLV-008607,-89.7268572,14.0704053
SLV-008608,-89.7143591,14.0744791
SLV-008609,-89.6859171,14.0083821
SLV-008610,-89.6968402999999,14.0234732
SLV-008611,-89.6880408,13.9943866
SLV-008612,,
SLV-008614,-89.6382064,13.9337253
SLV-008615,-89.5067934,13.8678817
SLV-008616,-89.7021489,13.9323779
SLV-008617,-89.6751994999999,13.9836338
SLV-008618,-89.6805492,13.9870591
SLV-008619,-89.6805972,13.9844795
SLV-008620,-89.6839691999999,13.9872701
SLV-008621,-89.6794077,13.9824025
SLV-008622,-89.6730388,13.9856471
SLV-008623,-89.1844259,13.6894145
SLV-008755,-88.4300023,13.3340572
SLV-008756,-89.4968232,13.8877189
SLV-009029,-89.5584745,13.9968592
SLV-008757,-88.470128,13.3312343
SLV-008758,-89.4998275999999,13.8488371
SLV-008759,-89.5002027,13.9051904
SLV-008760,-89.4813842,13.8455465
SLV-008761,-88.5096866,13.3244725
SLV-008762,-89.4929042,13.9068379
SLV-008763,-89.4944589,13.9054132
SLV-008764,-89.1877056,13.6969028
SLV-008765,-89.4997461999999,13.9038338
SLV-008766,-89.4289946,13.7408689
SLV-008767,-89.5067934,13.8678817
SLV-008786,-89.6252148,14.052637
SLV-008787,-89.6455735999999,14.021111
SLV-008788,-89.6674493,14.0141419
SLV-008789,-89.6483798,14.076779
SLV-008790,-89.654737,14.0375959
SLV-008802,-89.4288531,14.1916955
SLV-006187,-89.0552915,13.7395476
SLV-005935,-89.1989708,13.7095083
SLV-008828,-89.4432695,14.3280241
SLV-008829,-89.1304514999999,13.7615104
SLV-005140,-87.9574844999999,13.431982
SLV-004077,-88.8924454,13.5130531
SLV-005372,-88.1182872,13.717448
SLV-008831,-89.5810566,13.8405388
SLV-008995,-89.6420622,13.9946939
SLV-008832,-89.4951382,14.3524783
SLV-000325,,
SLV-008833,-89.4487836,14.3390067
SLV-008834,-89.1898464,14.1084305
SLV-009667,,
