geo_id,longitude,latitude
TAN-000000,36.7431434,-3.340353
TAN-000001,36.7538238,-3.3722475
TAN-000003,36.7531625,-3.3684617
TAN-000004,36.7619751,-3.3656505
TAN-000005,36.8447191,-3.6076467
TAN-000006,36.7805231,-3.5378021
TAN-000007,36.833073,-3.580214
TAN-000008,36.833401,-3.5292372
TAN-000009,36.8059715,-3.5046699
TAN-000010,36.6996712,-3.5967621
TAN-000011,36.7864012,-3.583843
TAN-000012,36.6866416,-3.3472883
TAN-000016,36.6848933,-3.3178416
TAN-000017,36.6978274,-3.3286466
TAN-000018,36.7056296,-3.3641707
TAN-000020,36.6547614,-3.3154126
TAN-000022,36.6716773,-3.3046096
TAN-000023,36.6504252,-3.3159938
TAN-000026,36.6685859,-3.3618709
TAN-000028,36.6748183,-3.3576467
TAN-000030,36.6683699,-3.3587783
TAN-000033,36.6999421,-3.3399363
TAN-000034,36.6669001,-3.351912
TAN-000037,36.5261733,-3.3567017
TAN-000038,36.547065,-3.369725
TAN-000039,36.5051016,-3.3975833
TAN-000040,36.5432633,-3.4087917
TAN-000047,36.71476211,-3.3516817
TAN-000048,36.7228777,-3.3423317
TAN-000049,36.7166343,-3.3574107
TAN-000051,36.6517247,-3.4320129
TAN-000052,36.6024166,-3.4792735
TAN-000055,36.626774,-3.4958783
TAN-000056,36.6075883,-3.5189833
TAN-000058,36.6422835,-3.2327941
TAN-000059,36.618625,-3.2724925
TAN-000060,36.3745156,-3.1548698
TAN-000061,36.6112483,-3.23173794
TAN-000062,36.6184642,-3.2264657
TAN-000063,36.6038033,-3.2224733
TAN-000064,36.6046456,-3.2233833
TAN-000065,36.6346108,-3.2088359
TAN-000069,36.5763576,-3.3732665
TAN-000071,36.5611199,-3.4318583
TAN-000073,36.5763576,-3.3732665
TAN-000076,36.7069836,-3.43368069
TAN-000077,36.8054433,-3.4546016
TAN-000078,36.7924392,-3.4507334
TAN-000079,36.7362017,-3.482045
TAN-000080,36.7623152,-3.4079187
TAN-000084,36.7037454,-3.3472674
TAN-000087,36.5598478,-3.3373669
TAN-000088,36.5598477,-3.3373668
TAN-000090,36.5209564,-3.3222495
