geo_id,longitude,latitude
ZAF-000000,-28.207754,28.317177
ZAF-000001,-28.207421,28.319511
ZAF-000002,-28.173089,28.28701
ZAF-000003,-28.176089,28.355512
ZAF-000004,-28.531505,28.426978
ZAF-000005,-28.440074,28.186837
ZAF-000006,-28.22092,28.316844
ZAF-000007,-28.255251,28.319677
ZAF-000008,-28.201586,28.166505
ZAF-000009,-28.267582,28.086335
ZAF-000010,-28.453075,28.390177
ZAF-000011,-28.218253,28.317344
ZAF-000012,-28.238586,28.305343
ZAF-000013,-28.204921,28.321344
ZAF-000014,-28.201921,28.326178
ZAF-000015,-28.433908,28.252839
ZAF-000016,-28.22292,28.290676
ZAF-000017,-28.139759,28.485684
ZAF-000018,-28.255418,28.335511
ZAF-000019,-28.539401,28.106166
ZAF-000020,-28.324917,28.692357
ZAF-000021,-28.209255,28.469516
ZAF-000022,-28.292245,27.966498
ZAF-000023,-28.325084,28.691357
ZAF-000024,-28.519905,28.421845
ZAF-000025,-28.336081,28.409346
ZAF-000026,-28.182255,28.321178
ZAF-000027,-28.220087,28.309177
ZAF-000028,-28.219587,28.319677
ZAF-000029,-28.141627,28.175296
ZAF-000030,-28.237532,28.317206
ZAF-000031,-28.318085,28.692357
ZAF-000032,-28.517905,28.408677
ZAF-000033,-28.13072,28.171573
ZAF-000034,-28.143248,28.183248
ZAF-000035,-28.141625,28.183784
ZAF-000036,-28.21792,28.323344
ZAF-000037,-28.602399,28.183001
ZAF-000038,-28.331105,27.628053
ZAF-000039,-28.21352,28.320817
ZAF-000040,-28.521175,28.420498
ZAF-000041,-30.506251,25.977515
ZAF-000042,-30.256617,25.716901
ZAF-000043,-30.505635,25.980985
ZAF-000044,-30.25695,25.700567
ZAF-000045,-30.490941,25.96691
ZAF-000046,-30.250284,25.709068
ZAF-000047,-29.148125,26.247646
ZAF-000048,-29.182956,26.238612
ZAF-000049,-29.334993,25.849913
ZAF-000050,-29.167625,26.340299
ZAF-000051,-29.17434,26.234762
ZAF-000052,-29.190556,26.240962
ZAF-000053,-29.059864,26.333033
ZAF-000054,-29.171557,26.234112
ZAF-000055,-29.165507,26.238862
ZAF-000056,-29.191256,26.238845
ZAF-000057,-29.193672,26.238795
ZAF-000058,-29.157091,26.247313
ZAF-000059,-29.177407,26.236812
ZAF-000060,-29.198389,26.238895
ZAF-000061,-29.177007,26.242179
ZAF-000062,-29.176673,26.239429
ZAF-000063,-29.470323,26.089586
ZAF-000064,-29.17719,26.257246
ZAF-000065,-29.124926,26.231829
ZAF-000066,-29.1020301,26.1968802
ZAF-000067,-29.143858,26.240296
ZAF-000068,-29.140342,26.241096
ZAF-000069,-29.158008,26.316798
ZAF-000070,-29.148641,26.241279
ZAF-000071,-29.136225,26.238996
ZAF-000072,-29.191006,26.269096
ZAF-000073,-29.167201,26.280387
ZAF-000074,-29.254001,26.054254
ZAF-000075,-29.124577,26.326666
ZAF-000076,-29.156191,26.245929
ZAF-000077,-29.156492,26.36445
ZAF-000078,-29.144225,26.239046
ZAF-000079,-29.149524,26.185961
ZAF-000080,-29.161052,26.206999
ZAF-000081,-28.121403,26.121403
ZAF-000082,-28.055952,26.858858
ZAF-000083,-28.055952,26.858858
ZAF-000084,-28.105407,26.876966
ZAF-000085,-26.858985,27.894935
ZAF-000086,-26.857273,27.896768
ZAF-000087,-27.207299,26.95361
ZAF-000088,-29.213763,26.251958
ZAF-000089,-29.129101,26.234501
ZAF-000090,-29.103693,26.239756
ZAF-000091,,
ZAF-000092,,
ZAF-000093,,
ZAF-000094,-28.258868,28.341991
ZAF-000095,,
ZAF-000096,,
ZAF-000097,,
ZAF-000098,,
ZAF-000099,,
ZAF-000100,-29.128642,26.17616
ZAF-000101,-29.134892,26.201361
ZAF-000102,-29.1197992,26.1844701
ZAF-000103,-29.123842,26.208428
ZAF-000104,-29.118843,26.209262
ZAF-000105,-29.169307,26.19201
ZAF-000106,-29.139341,26.179694
ZAF-000107,-29.128242,26.172744
ZAF-000108,-29.139009,26.297731
ZAF-000109,-29.148491,26.167943
ZAF-000110,-29.139508,26.184261
ZAF-000111,-29.16004,26.199027
ZAF-000112,-29.121076,26.179027
ZAF-000113,-29.118743,26.209262
ZAF-000114,-29.130592,26.194444
ZAF-000115,-29.176673,26.239429
ZAF-000116,-29.131109,26.202095
ZAF-000117,-29.198969,26.238265
ZAF-000118,-29.16951,26.248996
ZAF-000119,-29.207368,26.177203
ZAF-000120,-29.18034,26.259596
ZAF-000121,-29.167201,26.280387
ZAF-000122,-29.196729,26.242375
ZAF-000123,-29.191006,26.269096
ZAF-000124,-29.160841,26.238996
ZAF-000125,-29.136259,26.222545
ZAF-000126,-29.188556,26.224545
ZAF-000127,-29.176923,26.231228
ZAF-000128,-29.185906,26.232712
ZAF-000129,-29.161291,26.238229
ZAF-000130,-29.165707,26.236129
ZAF-000131,-29.181556,26.231312
ZAF-000132,-29.17384,26.231695
ZAF-000133,-29.192372,26.235195
ZAF-000134,-29.193322,26.230811
ZAF-000135,-29.192872,26.234612
ZAF-000136,-29.184506,26.222645
ZAF-000137,-29.071343,26.025923
ZAF-000138,-29.090178,26.253097
ZAF-000139,-29.148241,26.229745
ZAF-000140,-29.129676,26.230262
ZAF-000141,-29.135592,26.227662
ZAF-000142,-29.135675,26.216928
ZAF-000143,-29.142158,26.230245
ZAF-000144,-29.14329,26.108141
ZAF-000145,-29.02168,26.091142
ZAF-000146,-29.145525,26.261063
ZAF-000147,-29.057512,26.172095
ZAF-000148,-29.151508,26.236596
ZAF-000149,-29.101177,26.219096
ZAF-000150,-29.10775,26.23351
ZAF-000151,-29.116709,26.196145
ZAF-000152,-29.111843,26.198078
ZAF-000153,-29.071512,26.23743
ZAF-000154,-29.086273,26.209242
ZAF-000155,-29.017013,26.057424
ZAF-000156,-29.10676,26.204445
ZAF-000157,-29.10321,26.199795
ZAF-000158,-29.087278,26.224046
ZAF-000159,-29.085344,26.166761
ZAF-000160,-29.101344,26.218429
ZAF-000161,-29.116709,26.196145
ZAF-000162,-29.102027,26.196878
ZAF-000163,-29.090512,26.274431
ZAF-000164,-29.11021,26.197495
ZAF-000165,-29.45269,26.144368
ZAF-000166,-29.090845,26.249764
ZAF-000167,-29.10926,26.23118
ZAF-000168,-29.088794,26.216579
ZAF-000169,-29.150025,26.25513
ZAF-000170,-29.136659,26.245313
ZAF-000171,-29.131926,26.250863
ZAF-000172,-29.130342,26.239596
ZAF-000173,-29.145842,26.257313
ZAF-000174,-29.144425,26.261313
ZAF-000175,-29.076062,26.231663
ZAF-000176,-29.084855,26.224174
ZAF-000177,-29.150308,26.222295
ZAF-000178,-29.094711,26.254997
ZAF-000179,-28.941237,26.335417
ZAF-000180,-29.0644,26.1234028
ZAF-000181,-28.304301,28.703101
ZAF-000182,-28.118719,25.488252
ZAF-000183,-28.554693,25.252568
ZAF-000184,-28.653029,25.772085
ZAF-000185,-28.539693,25.237401
ZAF-000186,-28.671528,25.757418
ZAF-000187,-28.53836,25.242734
ZAF-000188,-28.122385,25.502752
ZAF-000189,-28.117886,25.508753
ZAF-000190,-28.670028,25.757418
ZAF-000191,-27.355114,26.642139
ZAF-000192,-27.355114,26.642139
ZAF-000193,-27.384612,26.639971
ZAF-000194,-27.388112,26.650971
ZAF-000195,-27.373779,26.640138
ZAF-000196,-27.387112,26.654305
ZAF-000197,-27.388445,26.653805
ZAF-000198,-27.657938,27.188316
ZAF-000199,-27.387112,26.654305
ZAF-000200,-27.375946,26.657305
ZAF-000201,-27.25112,26.653974
ZAF-000202,-27.374446,26.653139
ZAF-000203,-27.505768,26.419295
ZAF-000204,-27.657938,27.188316
ZAF-000205,-27.385278,26.606637
ZAF-000206,-27.389444,26.60947
ZAF-000207,-27.522434,26.455963
ZAF-000208,-27.5896,26.689635
ZAF-000209,-27.231921,26.616873
ZAF-000210,-29.258174,26.722444
ZAF-000211,-29.259441,26.738895
ZAF-000212,-29.256674,26.734278
ZAF-000213,-29.245175,26.720245
ZAF-000214,-29.242008,26.715828
ZAF-000215,-29.242075,26.722678
ZAF-000216,-29.245458,26.718294
ZAF-000217,-29.247441,26.718978
ZAF-000218,-29.241258,26.713711
ZAF-000219,-29.250841,26.732778
ZAF-000220,-29.219859,26.717611
ZAF-000221,-29.269674,26.736445
ZAF-000222,-29.253674,26.708277
ZAF-000223,-29.270174,26.735111
ZAF-000224,-29.255674,26.68361
ZAF-000225,-29.259408,26.737245
