geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
BGD-077879,bgd_poi_educationfacilities_lged.77880,,c›rZ mrœ fDp­c,BGD,Sylhet,Sylhet,Kanaighat,92.28848,25.03043
BGD-077858,bgd_poi_educationfacilities_lged.77859,LOHAJURI KOWMI,,BGD,Sylhet,Sylhet,Kanaighat,92.38222,25.03158
BGD-077859,bgd_poi_educationfacilities_lged.77860,LOHAJORI,-m­q­Slœ,BGD,Sylhet,Sylhet,Kanaighat,92.37978,25.03248
BGD-077826,bgd_poi_educationfacilities_lged.77827,,i­E-Ll Nm rlx ›hx,BGD,Sylhet,Sylhet,Kanaighat,92.33277,25.03872
BGD-077830,bgd_poi_educationfacilities_lged.77831,MECHA,,BGD,Sylhet,Sylhet,Kanaighat,92.3077,25.04107
BGD-077861,bgd_poi_educationfacilities_lged.77862,SONAR KHER,-p­e­l-Ms,BGD,Sylhet,Sylhet,Kanaighat,92.36768,25.04145
BGD-077881,bgd_poi_educationfacilities_lged.77882,FALJUR BIRDOL (PURATON),g­mSl hœlcm (fl­ae),BGD,Sylhet,Sylhet,Kanaighat,92.29365,25.04173
BGD-077880,bgd_poi_educationfacilities_lged.77881,UTTAR LAXMIPPASAD,Esl mrEœfDp­c,BGD,Sylhet,Sylhet,Kanaighat,92.29363,25.04182
BGD-077827,bgd_poi_educationfacilities_lged.77828,,A­mq­S A­hcR R­m­j rQñx,BGD,Sylhet,Sylhet,Kanaighat,92.32213,25.04452
BGD-077825,bgd_poi_educationfacilities_lged.77826,,i­mL j­l­,BGD,Sylhet,Sylhet,Kanaighat,92.34027,25.04498
BGD-077828,bgd_poi_educationfacilities_lged.77829,HARIS CHOWDHURY ACADEMY,,BGD,Sylhet,Sylhet,Kanaighat,92.32438,25.04822
BGD-077829,bgd_poi_educationfacilities_lged.77830,,h­-S-Mm,BGD,Sylhet,Sylhet,Kanaighat,92.30837,25.04988
BGD-077824,bgd_poi_educationfacilities_lged.77825,BORGRAM,,BGD,Sylhet,Sylhet,Kanaighat,92.33642,25.05427
BGD-077823,bgd_poi_educationfacilities_lged.77824,SAUD GRAM,p­EcNE­j,BGD,Sylhet,Sylhet,Kanaighat,92.32733,25.05623
BGD-077769,bgd_poi_educationfacilities_lged.77770,,-eq­mfl,BGD,Sylhet,Sylhet,Kanaighat,92.29193,25.05642
BGD-077768,bgd_poi_educationfacilities_lged.77769,KALI NOGOR,L­mœeNl,BGD,Sylhet,Sylhet,Kanaighat,92.26982,25.06783
BGD-077822,bgd_poi_educationfacilities_lged.77823,,L­›mSlœ,BGD,Sylhet,Sylhet,Kanaighat,92.32082,25.06898
BGD-077840,bgd_poi_educationfacilities_lged.77841,,eeRs­,BGD,Sylhet,Sylhet,Kanaighat,92.28433,25.07042
BGD-016043,bgd_poi_educationfacilities_lged.16044,,,BGD,Chittagong,Rangamati,Jurai Chhari,92.34985,22.68548
BGD-016228,bgd_poi_educationfacilities_lged.16229,,,BGD,Chittagong,Rangamati,Langadu,92.27167,22.84652
BGD-016227,bgd_poi_educationfacilities_lged.16228,,,BGD,Chittagong,Rangamati,Langadu,92.2658,22.86955
BGD-016198,bgd_poi_educationfacilities_lged.16199,,,BGD,Chittagong,Rangamati,Langadu,92.27162,22.9536
BGD-016196,bgd_poi_educationfacilities_lged.16197,,,BGD,Chittagong,Rangamati,Langadu,92.27087,22.96763
BGD-015845,bgd_poi_educationfacilities_lged.15846,,,BGD,Chittagong,Rangamati,Baghai Chhari,92.28195,23.11528
BGD-015829,bgd_poi_educationfacilities_lged.15830,,,BGD,Chittagong,Rangamati,Baghai Chhari,92.27028,23.20695
BGD-015818,bgd_poi_educationfacilities_lged.15819,,,BGD,Chittagong,Rangamati,Baghai Chhari,92.27612,23.22055
BGD-015814,bgd_poi_educationfacilities_lged.15815,,,BGD,Chittagong,Rangamati,Baghai Chhari,92.34195,23.25472
BGD-015816,bgd_poi_educationfacilities_lged.15817,,,BGD,Chittagong,Rangamati,Baghai Chhari,92.32362,23.30555
BGD-015821,bgd_poi_educationfacilities_lged.15822,,,BGD,Chittagong,Rangamati,Baghai Chhari,92.33472,23.35778
BGD-015820,bgd_poi_educationfacilities_lged.15821,,,BGD,Chittagong,Rangamati,Baghai Chhari,92.29167,23.38388
BGD-015819,bgd_poi_educationfacilities_lged.15820,,,BGD,Chittagong,Rangamati,Baghai Chhari,92.27805,23.40778
BGD-074254,bgd_poi_educationfacilities_lged.74255,,-h-l%­ p¨1­›mL fD­x ›hx,BGD,Sylhet,Maulvibazar,Barlekha,92.26923,24.77517
BGD-074252,bgd_poi_educationfacilities_lged.74253,,Lj­ln­Cl p¨1­›mL fD­x›hx,BGD,Sylhet,Maulvibazar,Barlekha,92.2766,24.77593
BGD-077831,bgd_poi_educationfacilities_lged.77832,,j­›VSl­,BGD,Sylhet,Sylhet,Kanaighat,92.3049,24.96035
BGD-077817,bgd_poi_educationfacilities_lged.77818,MAJHOR GRAM,j­Tl NE­j,BGD,Sylhet,Sylhet,Kanaighat,92.31933,24.97248
BGD-077816,bgd_poi_educationfacilities_lged.77817,,,BGD,Sylhet,Sylhet,Kanaighat,92.32228,24.97533
BGD-077808,bgd_poi_educationfacilities_lged.77809,SARDARERMATI,plc­-ll j­›V,BGD,Sylhet,Sylhet,Kanaighat,92.3263,24.98067
BGD-077821,bgd_poi_educationfacilities_lged.77822,SAHPUR,n­qUfl,BGD,Sylhet,Sylhet,Kanaighat,92.34752,24.98217
BGD-077813,bgd_poi_educationfacilities_lged.77814,SAT PARI,p­a f­lœ,BGD,Sylhet,Sylhet,Kanaighat,92.29573,24.98217
BGD-077846,bgd_poi_educationfacilities_lged.77847,KARABALLA,L­s­h­o­,BGD,Sylhet,Sylhet,Zakiganj,92.3994,24.98885
BGD-077814,bgd_poi_educationfacilities_lged.77815,RAMPUR,,BGD,Sylhet,Sylhet,Kanaighat,92.27078,24.98898
BGD-077811,bgd_poi_educationfacilities_lged.77812,,cmCl j­›V,BGD,Sylhet,Sylhet,Kanaighat,92.29017,24.98973
BGD-077877,bgd_poi_educationfacilities_lged.77878,PURBO THAKURER MATI,fh¥ W­L-ll j­›V,BGD,Sylhet,Sylhet,Kanaighat,92.33582,24.98998
BGD-077820,bgd_poi_educationfacilities_lged.77821,SOROKER  BAZAR,,BGD,Sylhet,Sylhet,Kanaighat,92.34302,24.99078
BGD-077812,bgd_poi_educationfacilities_lged.77813,NOYA MATI,,BGD,Sylhet,Sylhet,Kanaighat,92.2965,24.99157
BGD-077819,bgd_poi_educationfacilities_lged.77820,SARAKER BAZAR,ps-Ll h­S­l,BGD,Sylhet,Sylhet,Kanaighat,92.34362,24.99178
BGD-077878,bgd_poi_educationfacilities_lged.77879,,de j­Cl j­›V,BGD,Sylhet,Sylhet,Kanaighat,92.3305,24.992
BGD-077818,bgd_poi_educationfacilities_lged.77819,,n­qU ChD­›qj anA­,BGD,Sylhet,Sylhet,Kanaighat,92.32563,24.99215
BGD-077848,bgd_poi_educationfacilities_lged.77849,KARABALA BIDDA NIKETHON,,BGD,Sylhet,Sylhet,Kanaighat,92.40087,24.99278
BGD-077849,bgd_poi_educationfacilities_lged.77850,,,BGD,Sylhet,Sylhet,Kanaighat,92.40695,24.99297
BGD-077875,bgd_poi_educationfacilities_lged.77876,CHOTRONOGAR,RoeNl,BGD,Sylhet,Sylhet,Kanaighat,92.36548,24.99392
BGD-077815,bgd_poi_educationfacilities_lged.77816,BAYOM PUR,h­ujfl,BGD,Sylhet,Sylhet,Kanaighat,92.26732,24.9952
BGD-077876,bgd_poi_educationfacilities_lged.77877,KUORER MATI,LJ-ll j­›V,BGD,Sylhet,Sylhet,Kanaighat,92.37275,24.99585
BGD-077915,bgd_poi_educationfacilities_lged.77916,JULAI,Sm­C,BGD,Sylhet,Sylhet,Kanaighat,92.30262,24.99657
BGD-077870,bgd_poi_educationfacilities_lged.77871,LONTIR MATI,m›¨1l j­›V,BGD,Sylhet,Sylhet,Kanaighat,92.31652,24.99857
BGD-077873,bgd_poi_educationfacilities_lged.77874,,g›lc E›ce rQñdlœ,BGD,Sylhet,Sylhet,Kanaighat,92.34277,24.99917
BGD-077868,bgd_poi_educationfacilities_lged.77869,LALAR CHALK,m­m­l QL,BGD,Sylhet,Sylhet,Kanaighat,92.28103,25.00125
BGD-077810,bgd_poi_educationfacilities_lged.77811,DABA DHORONIR MATI,c­h­ dleœl j­›V,BGD,Sylhet,Sylhet,Kanaighat,92.29143,25.00252
BGD-077832,bgd_poi_educationfacilities_lged.77833,DIGHIR PAR,›cOœl f­l,BGD,Sylhet,Sylhet,Kanaighat,92.33065,25.00408
BGD-077871,bgd_poi_educationfacilities_lged.77872,BHATI BARA POIT,i­›V h­l­ _fa,BGD,Sylhet,Sylhet,Kanaighat,92.3192,25.0043
BGD-077850,bgd_poi_educationfacilities_lged.77851,,hs Q­am­ rj­a­-mh rlx ›hx,BGD,Sylhet,Sylhet,Kanaighat,92.40645,25.00477
BGD-077869,bgd_poi_educationfacilities_lged.77870,,Hj. H. h­lœ,BGD,Sylhet,Sylhet,Kanaighat,92.29977,25.00698
BGD-077872,bgd_poi_educationfacilities_lged.77873,KULURMATI,,BGD,Sylhet,Sylhet,Kanaighat,92.32402,25.00723
BGD-077851,bgd_poi_educationfacilities_lged.77852,BORO CHATOL,,BGD,Sylhet,Sylhet,Kanaighat,92.41483,25.00732
BGD-077874,bgd_poi_educationfacilities_lged.77875,,cf¥ eNl f›OQj a¨¯ Cpm­jœ,BGD,Sylhet,Sylhet,Kanaighat,92.3567,25.00848
BGD-077866,bgd_poi_educationfacilities_lged.77867,DORPO NOGOR,cf¥eNl,BGD,Sylhet,Sylhet,Kanaighat,92.35685,25.00853
BGD-077914,bgd_poi_educationfacilities_lged.77915,CHOTO FAUD,-R­V-gñc,BGD,Sylhet,Sylhet,Kanaighat,92.35902,25.00962
BGD-077833,bgd_poi_educationfacilities_lged.77834,UJAN BARA POIT,ES­e h­l­_fa,BGD,Sylhet,Sylhet,Kanaighat,92.33327,25.01022
BGD-077865,bgd_poi_educationfacilities_lged.77866,,"jja­S N""",BGD,Sylhet,Sylhet,Kanaighat,92.358,25.0117
BGD-077864,bgd_poi_educationfacilities_lged.77865,,e›sý f­s­,BGD,Sylhet,Sylhet,Kanaighat,92.34833,25.01197
BGD-077852,bgd_poi_educationfacilities_lged.77853,BALI CHARA,,BGD,Sylhet,Sylhet,Kanaighat,92.42035,25.01328
BGD-077853,bgd_poi_educationfacilities_lged.77854,BALI CHARA KOWMI,,BGD,Sylhet,Sylhet,Kanaighat,92.42147,25.01372
BGD-077806,bgd_poi_educationfacilities_lged.77807,JOYPUR,Sufl,BGD,Sylhet,Sylhet,Kanaighat,92.30365,25.01382
BGD-077867,bgd_poi_educationfacilities_lged.77868,BHARARI MATI,i­s­lœ j­›V,BGD,Sylhet,Sylhet,Kanaighat,92.27502,25.01452
BGD-077809,bgd_poi_educationfacilities_lged.77810,,,BGD,Sylhet,Sylhet,Kanaighat,92.31878,25.01827
BGD-077857,bgd_poi_educationfacilities_lged.77858,,jDe E›Ye rQñx,BGD,Sylhet,Sylhet,Kanaighat,92.38445,25.01977
BGD-077856,bgd_poi_educationfacilities_lged.77857,DONA,ce­,BGD,Sylhet,Sylhet,Kanaighat,92.39763,25.0252
BGD-077854,bgd_poi_educationfacilities_lged.77855,,l›gLm qL rQñx rlx ›hx,BGD,Sylhet,Sylhet,Kanaighat,92.41547,25.02567
BGD-077855,bgd_poi_educationfacilities_lged.77856,LOTIFA MADRASHA DONA,,BGD,Sylhet,Sylhet,Kanaighat,92.39822,25.02578
BGD-077862,bgd_poi_educationfacilities_lged.77863,KER KERI,,BGD,Sylhet,Sylhet,Kanaighat,92.36095,25.02783
BGD-077807,bgd_poi_educationfacilities_lged.77808,CHARI PARA,Q›lf­s­,BGD,Sylhet,Sylhet,Kanaighat,92.29723,25.02797
BGD-077863,bgd_poi_educationfacilities_lged.77864,KOURGORI,,BGD,Sylhet,Sylhet,Kanaighat,92.2761,25.02973
BGD-077860,bgd_poi_educationfacilities_lged.77861,KUOR GHORI,LJl O›s,BGD,Sylhet,Sylhet,Kanaighat,92.2739,25.03028
BGD-005934,bgd_poi_educationfacilities_lged.5935,KANAIJU  PARA,L­e­C-S­ f­s­,BGD,Chittagong,Bandarban,Rowangchhari,92.2906,22.29965
BGD-016004,bgd_poi_educationfacilities_lged.16005,,,BGD,Chittagong,Rangamati,Belai Chhari,92.40693,22.34852
BGD-015986,bgd_poi_educationfacilities_lged.15987,,,BGD,Chittagong,Rangamati,Belai Chhari,92.41493,22.35192
BGD-016003,bgd_poi_educationfacilities_lged.16004,,,BGD,Chittagong,Rangamati,Belai Chhari,92.40547,22.35508
BGD-016359,bgd_poi_educationfacilities_lged.16360,,,BGD,Chittagong,Rangamati,Rajasthali,92.26723,22.35643
BGD-016358,bgd_poi_educationfacilities_lged.16359,,,BGD,Chittagong,Rangamati,Rajasthali,92.26538,22.35725
BGD-015987,bgd_poi_educationfacilities_lged.15988,,,BGD,Chittagong,Rangamati,Belai Chhari,92.40102,22.35808
BGD-016006,bgd_poi_educationfacilities_lged.16007,,,BGD,Chittagong,Rangamati,Belai Chhari,92.40478,22.3819
BGD-016005,bgd_poi_educationfacilities_lged.16006,,,BGD,Chittagong,Rangamati,Belai Chhari,92.37885,22.38745
BGD-015985,bgd_poi_educationfacilities_lged.15986,,,BGD,Chittagong,Rangamati,Belai Chhari,92.38563,22.41242
BGD-015988,bgd_poi_educationfacilities_lged.15989,,,BGD,Chittagong,Rangamati,Belai Chhari,92.37148,22.42233
BGD-015989,bgd_poi_educationfacilities_lged.15990,,,BGD,Chittagong,Rangamati,Belai Chhari,92.34043,22.43332
BGD-015990,bgd_poi_educationfacilities_lged.15991,,,BGD,Chittagong,Rangamati,Belai Chhari,92.33272,22.43983
BGD-015996,bgd_poi_educationfacilities_lged.15997,,,BGD,Chittagong,Rangamati,Belai Chhari,92.39358,22.44767
