geo_id,deped_id,school_name,adm0,address,adm1,adm2,adm3,longitude,latitude
BOL-000000,EstabEducativos.1,NARANJITOS,BOL,,Tarija,Arce,Bermejo,-64.3169932712,-22.8513953477
BOL-000001,EstabEducativos.2,CAMPO GRANDE,BOL,,Tarija,Arce,Bermejo,-64.3109201332,-22.8065748707
BOL-000002,EstabEducativos.3,PORCELANA,BOL,,Tarija,Arce,Bermejo,-64.297661179,-22.7750358507
BOL-000003,EstabEducativos.4,8 DE SEPTIEMBRE,BOL,,Tarija,Arce,Bermejo,-64.3373428736,-22.7413925661
BOL-000004,EstabEducativos.5,,BOL,,Tarija,Arce,Bermejo,-64.3351511614,-22.7364077003
BOL-000005,EstabEducativos.6,OCTAVIO CAMPERO ECHAZU,BOL,,Tarija,Arce,Bermejo,-64.3347172514,-22.7323196852
BOL-000006,EstabEducativos.7,"BOLIVIA, 25 DE MAYO, INTERMEDIO 7",BOL,,Tarija,Arce,Bermejo,-64.3418960239,-22.7318559989
BOL-000007,EstabEducativos.8,"BERMEJO, MCAL. ANDRES DE SANTA CRUZ, GUIDO VILLAGOMEZ",BOL,,Tarija,Arce,Bermejo,-64.3424102152,-22.7314298676
BOL-000008,EstabEducativos.9,TARIJA,BOL,,Tarija,Arce,Bermejo,-64.3427412082,-22.7311491751
BOL-000009,EstabEducativos.10,,BOL,,Tarija,Arce,Bermejo,-64.3413046225,-22.7309847393
BOL-000010,EstabEducativos.11,"BOLIVIA DIURNO, INTERMEDIO 15",BOL,,Tarija,Arce,Bermejo,-64.3529968565,-22.7280741105
BOL-000011,EstabEducativos.12,LA ESPERANZA,BOL,,Tarija,Arce,Bermejo,-64.3210842095,-22.727755162
BOL-000012,EstabEducativos.13,EDUARDO ABAROA,BOL,,Tarija,Arce,Bermejo,-64.3478402574,-22.7265772981
BOL-000013,EstabEducativos.14,,BOL,,Tarija,Arce,Bermejo,-64.3395477285,-22.7257346211
BOL-000014,EstabEducativos.15,ANTONIO JOSE DE SUCRE,BOL,,Tarija,Arce,Bermejo,-64.3395530413,-22.7251237402
BOL-000015,EstabEducativos.16,SAN ANTONIO,BOL,,Tarija,Arce,Bermejo,-64.3388328289,-22.724995472
BOL-000016,EstabEducativos.17,AULIO ARAOZ,BOL,,Tarija,Arce,Bermejo,-64.3467773657,-22.7240580154
BOL-000017,EstabEducativos.18,25 DE ENERO,BOL,,Tarija,Arce,Bermejo,-64.299591764,-22.7213510241
BOL-000018,EstabEducativos.19,ARROZALES,BOL,,Tarija,Arce,Bermejo,-64.2842887414,-22.7172274677
BOL-000019,EstabEducativos.20,CANDADITOS,BOL,,Tarija,Arce,Bermejo,-64.3898657859,-22.7112117483
BOL-000020,EstabEducativos.21,ALTO CALAMA,BOL,,Tarija,Arce,Bermejo,-64.2827061487,-22.6912951243
BOL-000021,EstabEducativos.22,JOSE MARIA LINARES,BOL,,Tarija,Arce,Bermejo,-64.2827457571,-22.6785374501
BOL-000022,EstabEducativos.23,CANDADO GRANDE,BOL,,Tarija,Arce,Bermejo,-64.41471603,-22.672475305
BOL-000023,EstabEducativos.24,QUEBRADA CHICA,BOL,,Tarija,Arce,Bermejo,-64.3143923668,-22.6710782896
BOL-000024,EstabEducativos.25,SANTA ROSA,BOL,,Tarija,Arce,Bermejo,-64.3846406368,-22.6570508653
BOL-000025,EstabEducativos.26,FLOR DE ORO,BOL,,Tarija,Arce,Bermejo,-64.419323819,-22.6486747812
BOL-000026,EstabEducativos.27,VILLA NUEVA,BOL,,Tarija,Arce,Bermejo,-64.3819057088,-22.6391048555
BOL-000027,EstabEducativos.28,BARREDERO,BOL,,Tarija,Arce,Bermejo,-64.2663436656,-22.6369082554
BOL-000028,EstabEducativos.29,,BOL,,Tarija,Arce,Bermejo,-64.3636435466,-22.6358723291
BOL-000029,EstabEducativos.30,EL TORO,BOL,,Tarija,Arce,Bermejo,-64.317783337,-22.6349363106
BOL-000030,EstabEducativos.31,,BOL,,Tarija,Arce,Bermejo,-64.4264544137,-22.6262424209
BOL-000031,EstabEducativos.32,,BOL,,Tarija,Arce,Bermejo,-64.3309807153,-22.6049250157
BOL-000032,EstabEducativos.33,LOS POZOS,BOL,,Tarija,Arce,Bermejo,-64.4132927951,-22.5755627765
BOL-000033,EstabEducativos.34,SAN TELMO,BOL,,Tarija,Arce,Padcaya,-64.4100372533,-22.534545127
BOL-000034,EstabEducativos.35,ISMAEL MONTES,BOL,,Tarija,Arce,Padcaya,-64.2460171114,-22.5207399056
BOL-000035,EstabEducativos.36,LA GOMA,BOL,,Tarija,Arce,Padcaya,-64.4333372656,-22.5179116331
BOL-000036,EstabEducativos.37,2 DE AGOSTO,BOL,,Tarija,Arce,Padcaya,-64.2410515217,-22.4963264657
BOL-000037,EstabEducativos.38,EL TIGRE,BOL,,Tarija,Arce,Padcaya,-64.2826210368,-22.4869149398
BOL-000038,EstabEducativos.39,TREMENTINAL,BOL,,Tarija,Arce,Padcaya,-64.2224666493,-22.4677349747
BOL-000039,EstabEducativos.40,JUAN PABLO II,BOL,,Tarija,Arce,Padcaya,-64.477755342,-22.4632014578
BOL-000040,EstabEducativos.41,SAN ROQUE,BOL,,Tarija,Arce,Padcaya,-64.2962867807,-22.4400855515
BOL-000041,EstabEducativos.42,NOGALITOS,BOL,,Tarija,Arce,Padcaya,-64.4961760074,-22.4331459344
BOL-000042,EstabEducativos.43,NARANJAL,BOL,,Tarija,Arce,Padcaya,-64.4482641138,-22.4313330778
BOL-000043,EstabEducativos.44,RIO CHILENAS,BOL,,PotosÃ­,Sur Lipez,San Antonio de Esmoruco,-66.7988022228,-22.4012530653
BOL-000044,EstabEducativos.45,SANTA CLARA,BOL,,Tarija,Arce,Padcaya,-64.1783029252,-22.3895246863
BOL-000045,EstabEducativos.46,SAN RAMON,BOL,,Tarija,Arce,Padcaya,-64.2996935364,-22.3876042356
BOL-000046,EstabEducativos.47,SALADO CONCHAS,BOL,,Tarija,Arce,Padcaya,-64.408674398,-22.3809582287
BOL-000047,EstabEducativos.48,SAN ANTONIO,BOL,,Tarija,Arce,Padcaya,-64.1612127739,-22.363191996
BOL-000048,EstabEducativos.49,15 DE ABRIL,BOL,,Tarija,Arce,Padcaya,-64.4140813953,-22.3619746033
BOL-000049,EstabEducativos.50,EL LIMAL,BOL,,Tarija,Arce,Padcaya,-64.4996284409,-22.3447144547
BOL-000050,EstabEducativos.51,NARANJO AGRIO,BOL,,Tarija,Arce,Padcaya,-64.4926037841,-22.3054097829
BOL-000051,EstabEducativos.52,NARANJO AGRIO,BOL,,Tarija,Arce,Padcaya,-64.4899787209,-22.2826911087
BOL-000052,EstabEducativos.53,SALADO NORTE,BOL,,Tarija,Arce,Padcaya,-64.4604748882,-22.2721007885
BOL-000053,EstabEducativos.54,EMBOROZU ADULTOS,BOL,,Tarija,Arce,Padcaya,-64.5248640528,-22.2645055138
BOL-000054,EstabEducativos.55,EMBOROZU,BOL,,Tarija,Arce,Padcaya,-64.5335333737,-22.2642715467
BOL-000055,EstabEducativos.56,EDUARDO ABAROA DE QUETENA GRANDE,BOL,,PotosÃ­,Sur Lipez,San Pablo,-67.3408915716,-22.2544544786
BOL-000056,EstabEducativos.57,ESMERALDA,BOL,,Tarija,Gran Chaco,Villa Montes,-62.6528057145,-22.2434082724
BOL-000057,EstabEducativos.58,EDUARDO ABAROA,BOL,,Tarija,Arce,Padcaya,-64.3470055262,-22.2254069208
BOL-000058,EstabEducativos.59,JOSE ANTONIO DE SUCRE,BOL,,Tarija,Gran Chaco,CaraparÃ­,-64.0310338473,-22.2082841153
BOL-000059,EstabEducativos.60,SIDRAS,BOL,,Tarija,Arce,Padcaya,-64.5204842129,-22.1999360501
BOL-000060,EstabEducativos.61,,BOL,,Tarija,Arce,Padcaya,-64.6650225686,-22.1801833526
BOL-000061,EstabEducativos.62,"OSCAR ALFARO, OSCAR HIZA BASTIAS",BOL,,Tarija,Arce,Padcaya,-64.6654340361,-22.1788459283
BOL-000062,EstabEducativos.63,LA CAPILLA,BOL,,Tarija,Arce,Padcaya,-64.674054854,-22.1771039167
BOL-000063,EstabEducativos.64,JUANA AZURDUY DE PADILLA,BOL,,Tarija,Gran Chaco,CaraparÃ­,-64.0105851813,-22.157579471
BOL-000064,EstabEducativos.65,SANTA ROSA,BOL,,Tarija,Arce,Padcaya,-64.7944379537,-22.1499511334
BOL-000065,EstabEducativos.66,,BOL,,Tarija,Arce,Padcaya,-64.4390971625,-22.1428278294
BOL-000066,EstabEducativos.67,LA VICTORIA,BOL,,Tarija,Gran Chaco,Villa Montes,-62.7735422121,-22.1424466636
BOL-000067,EstabEducativos.68,27 DE MAYO DE SAN NICOLAS,BOL,,Tarija,Gran Chaco,CaraparÃ­,-64.1209039458,-22.1285668646
BOL-000068,EstabEducativos.69,ACHERALITO,BOL,,Tarija,Arce,Padcaya,-64.4426027474,-22.1281909757
BOL-000069,EstabEducativos.70,RIO NEGRO,BOL,,Tarija,Arce,Padcaya,-64.6719280512,-22.1067433583
BOL-000070,EstabEducativos.71,,BOL,,PotosÃ­,Sur Lipez,San Antonio de Esmoruco,-66.418196218,-22.1028787453
BOL-000071,EstabEducativos.72,,BOL,,Tarija,Arce,Padcaya,-64.6573262629,-22.1004026614
BOL-000072,EstabEducativos.73,SAN ANTONIO DE MECOYA,BOL,,Tarija,Arce,Padcaya,-64.9044170288,-22.1000747255
BOL-000073,EstabEducativos.74,2 DE AGOSTO,BOL,,Tarija,Gran Chaco,CaraparÃ­,-63.9992003795,-22.098750441
BOL-000074,EstabEducativos.75,YERBA BUENA,BOL,,Tarija,Arce,Padcaya,-64.7665999644,-22.0945335249
BOL-000075,EstabEducativos.76,OJO DE AGUA,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.6457917888,-22.093451392
BOL-000076,EstabEducativos.77,,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.4739633457,-22.0801692278
BOL-000077,EstabEducativos.78,LARKAS,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.2768641407,-22.073367412
BOL-000078,EstabEducativos.79,,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.7323365766,-22.072766282
BOL-000079,EstabEducativos.80,CHILLAGUATAS,BOL,,Tarija,Arce,Padcaya,-64.3996775978,-22.0721929872
BOL-000080,EstabEducativos.81,CACHIMAYO,BOL,,Tarija,Arce,Padcaya,-64.6745910335,-22.0604993411
BOL-000081,EstabEducativos.82,LA FALDA,BOL,,Tarija,AvilÃ©s,YuncharÃ¡,-65.1234713763,-22.0586378956
BOL-000082,EstabEducativos.83,21 DE SEPTIEMBRE,BOL,,Tarija,Arce,Padcaya,-64.7381526901,-22.0585604022
BOL-000083,EstabEducativos.84,MATANCILLAS,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.59302297,-22.0572934401
BOL-000084,EstabEducativos.85,EL CARMEN,BOL,,Tarija,Arce,Padcaya,-64.8512649472,-22.0526173347
BOL-000085,EstabEducativos.86,REJARA SUD,BOL,,Tarija,Arce,Padcaya,-65.0040457597,-22.0500089135
BOL-000086,EstabEducativos.87,"POCITOS, HEROES DEL CHACO MAÐANA, HEROES DEL CHACO TARDE",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6800986128,-22.0497068988
BOL-000087,EstabEducativos.88,GODOFREDO ARNOLD BUSHEN,BOL,,Tarija,Arce,Padcaya,-64.4289999936,-22.0492514961
BOL-000088,EstabEducativos.89,,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.6276503124,-22.048747812
BOL-000089,EstabEducativos.90,MOTOVI,BOL,,Tarija,Arce,Padcaya,-64.3739014664,-22.0486421449
BOL-000090,EstabEducativos.91,SAN PEDRO,BOL,,Tarija,Arce,Padcaya,-64.3900417003,-22.0482436868
BOL-000091,EstabEducativos.92,REDENCION,BOL,,Tarija,Arce,Padcaya,-64.7899917659,-22.0418383001
BOL-000092,EstabEducativos.93,LA MERCED,BOL,,Tarija,Arce,Padcaya,-64.677190987,-22.0409059962
BOL-000093,EstabEducativos.94,"LIBERTADOR SIMON BOLIVAR 2, LIBERTADOR SIMON BOLIVAR 1",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6817120191,-22.0405420243
BOL-000094,EstabEducativos.95,23 DE MARZO DE KOLLPANI,BOL,,PotosÃ­,Sur Lipez,San Pablo,-66.9171681398,-22.0402416247
BOL-000095,EstabEducativos.96,LIBERTADOR SIMON BOLIVAR 4,BOL,,Tarija,Gran Chaco,Yacuiba,-63.6828534778,-22.0379727754
BOL-000096,EstabEducativos.97,ACHERALES,BOL,,Tarija,Arce,Padcaya,-64.5357851776,-22.0363019041
BOL-000097,EstabEducativos.98,HITO 22 CAMPO LARGO,BOL,,Tarija,Gran Chaco,CaraparÃ­,-63.9531725273,-22.0334531399
BOL-000098,EstabEducativos.99,MARAÐUELO,BOL,,Tarija,Arce,Padcaya,-64.8823126125,-22.0243022507
BOL-000099,EstabEducativos.100,,BOL,,Tarija,Gran Chaco,Yacuiba,-63.6726865613,-22.023584992
BOL-000100,EstabEducativos.101,SALITRE,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.3477168686,-22.0213392471
BOL-000101,EstabEducativos.102,"YACUIBA ADULTOS, JOSE MARIANO SERRANO TARDE, JOSE MARIANO SERRANO MAÐANA",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6799719221,-22.0203530104
BOL-000102,EstabEducativos.103,"GERMAN BUSCH INDUSTRIAL, NACIONAL PRESIDENTE GERMAN BUSCH",BOL,,Tarija,Gran Chaco,Yacuiba,-63.685312973,-22.0195149278
BOL-000103,EstabEducativos.104,PUESTO RUEDA,BOL,,Tarija,Arce,Padcaya,-64.4681178307,-22.0193555365
BOL-000104,EstabEducativos.105,SAN JOSE,BOL,,Tarija,Arce,Padcaya,-64.4926155772,-22.0188900392
BOL-000105,EstabEducativos.106,EL BAIZAL,BOL,,Tarija,Arce,Padcaya,-64.7038920752,-22.0179611277
BOL-000106,EstabEducativos.107,ADVENTISTA ESPAADY,BOL,,Tarija,Gran Chaco,Yacuiba,-63.6790362454,-22.0178183047
BOL-000107,EstabEducativos.108,,BOL,,Tarija,Gran Chaco,Yacuiba,-63.6832612281,-22.017803022
BOL-000108,EstabEducativos.109,"SAGRADO CORAZON DE JESUS, SAGRADO CORAZON DE JESUS PRIMARIA, SAGRADO CORAZON DE",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6820240148,-22.0177006377
BOL-000109,EstabEducativos.110,81710008,BOL,,Tarija,Gran Chaco,Yacuiba,-63.6772384171,-22.0171116642
BOL-000110,EstabEducativos.111,"BOLIVIA TARDE, BOLIVIA MAÐANA",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6804968477,-22.0166764876
BOL-000111,EstabEducativos.112,"REGIMIENTO AROMA, RAUL ANTELO BOLIVAR",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6866618469,-22.0166062606
BOL-000112,EstabEducativos.113,"CNL. MIGUEL ESTENSSORO MAÐANA, CNL. MIGUEL ESTENSSORO TARDE",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6804454488,-22.0162742847
BOL-000113,EstabEducativos.114,"GRAL. MANUEL BELGRANO TARDE, GRAL. MANUEL BELGRANO MAÐANA",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6766416088,-22.0158601357
BOL-000114,EstabEducativos.115,RIO SECO,BOL,,PotosÃ­,Sur Lipez,San Antonio de Esmoruco,-66.3361369666,-22.0156717688
BOL-000115,EstabEducativos.116,"81710083, GRAN CHACO, PRESIDENTE GERMAN BUSCH",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6772758096,-22.0156158642
BOL-000116,EstabEducativos.117,"LIBERTADOR SIMON BOLIVAR 3, GUIDO VILLAGOMEZ, FERROVIARIA",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6752041633,-22.0153883685
BOL-000117,EstabEducativos.118,CIENEGA FRONTERA,BOL,,Tarija,AvilÃ©s,YuncharÃ¡,-65.1328400874,-22.0141627566
BOL-000118,EstabEducativos.119,12 DE AGOSTO PARTICULAR,BOL,,Tarija,Gran Chaco,Yacuiba,-63.6776002652,-22.0137966494
BOL-000119,EstabEducativos.120,"CLUB DE LEONES II, 81710051, CLUB DE LEONES",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6781941767,-22.0083849815
BOL-000120,EstabEducativos.121,SIMON BOLIVAR,BOL,,Tarija,Arce,Padcaya,-64.9908634677,-22.0075304919
BOL-000121,EstabEducativos.122,,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.4345070056,-22.0061896129
BOL-000122,EstabEducativos.123,"MCAL. SUCRE, JUANA AZURDUY DE PADILLA",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6732110515,-22.0043118013
BOL-000123,EstabEducativos.124,NIÐO JESUS,BOL,,Tarija,Gran Chaco,Yacuiba,-63.6776659805,-22.0038142121
BOL-000124,EstabEducativos.125,,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.4857186143,-22.0035135254
BOL-000125,EstabEducativos.126,"NESTOR PAZ GALARZA 2, NESTOR PAZ GALARZA",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6758881086,-21.9985189814
BOL-000126,EstabEducativos.127,,BOL,,Tarija,Gran Chaco,Yacuiba,-63.6677388495,-21.9977685458
BOL-000127,EstabEducativos.128,"YACUIBA SECUNDARIO, YACUIBA",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6799907264,-21.996635052
BOL-000128,EstabEducativos.129,CAÐITAS,BOL,,Tarija,Gran Chaco,Yacuiba,-63.5846043011,-21.9964645958
BOL-000129,EstabEducativos.130,FROILAN TEJERINA,BOL,,Tarija,Arce,Padcaya,-64.6773064149,-21.9940117802
BOL-000130,EstabEducativos.131,,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.578593766,-21.9938840325
BOL-000131,EstabEducativos.132,SAN FRANCISCO,BOL,,Tarija,Arce,Padcaya,-64.8217853364,-21.9933832175
BOL-000132,EstabEducativos.133,D' ORBIGNY,BOL,,Tarija,Gran Chaco,Yacuiba,-62.8295216655,-21.9912934398
BOL-000133,EstabEducativos.134,TINCUYA,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.241333805,-21.9891095601
BOL-000134,EstabEducativos.135,"VIRGEN DEL CARMEN, 2 DE AGOSTO DE SAN ISIDRO",BOL,,Tarija,Gran Chaco,Yacuiba,-63.6702755042,-21.9872636853
BOL-000135,EstabEducativos.136,SAN JUAN,BOL,,Tarija,Gran Chaco,Yacuiba,-63.673724802,-21.9871442271
BOL-000136,EstabEducativos.137,AMANDA GONZALES DE HUAYLLAJA,BOL,,Tarija,AvilÃ©s,YuncharÃ¡,-65.0997475552,-21.9869563237
BOL-000137,EstabEducativos.138,,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.72827936,-21.9854830264
BOL-000138,EstabEducativos.139,,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.8209411978,-21.9825321805
BOL-000139,EstabEducativos.140,FRUCTUOSO GUTIERREZ,BOL,,Tarija,AvilÃ©s,YuncharÃ¡,-65.2005091806,-21.9825017389
BOL-000140,EstabEducativos.141,,BOL,,Tarija,Gran Chaco,CaraparÃ­,-64.1677198809,-21.9817188065
BOL-000141,EstabEducativos.142,CAÐON OCULTO,BOL,,Tarija,Gran Chaco,Yacuiba,-63.5987263958,-21.9809374905
BOL-000142,EstabEducativos.143,,BOL,,PotosÃ­,Modesto Omiste,VillazÃ³n,-65.7921190048,-21.9799597139
BOL-000143,EstabEducativos.144,SAN JUAN,BOL,,Tarija,Gran Chaco,CaraparÃ­,-63.8551484772,-21.9791306221
BOL-000144,EstabEducativos.145,,BOL,,Tarija,Gran Chaco,Villa Montes,-62.8297460482,-21.9790114579
BOL-000145,EstabEducativos.146,QUEBRADA DE CAÐAS,BOL,,Tarija,Arce,Padcaya,-64.8890618139,-21.9750735979
BOL-000146,EstabEducativos.147,VOLCAN BLANCO,BOL,,Tarija,Arce,Padcaya,-64.432838462,-21.9745962158
BOL-000147,EstabEducativos.148,PAMPA REDONDA,BOL,,Tarija,O'Connor,Entre RÃ­os,-64.1566359966,-21.9732418656
BOL-000148,EstabEducativos.149,LA HONDURA,BOL,,Tarija,Arce,Padcaya,-64.6223140696,-21.9707641138
BOL-000149,EstabEducativos.150,21 DE SEPTIEMBRE DE RIO NEGRO,BOL,,Tarija,Gran Chaco,CaraparÃ­,-63.9474661418,-21.969735575
BOL-000150,EstabEducativos.151,OKE ORCO,BOL,,PotosÃ­,Sur Lipez,San Antonio de Esmoruco,-66.3174036326,-21.9686257861
