geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
HND-013991,152200008,Salatiel Rosales,Rio Abajo,HND,Olancho,Yocon,,-86.74183710214636,14.988534287770069
HND-014010,152200027,Bertilia Reyes,La Medina,HND,Olancho,Yocon,,-86.71826785946885,14.988741440605864
HND-013577,151300007,Miguel Morazan,Sabana Grande,HND,Olancho,La Union,,-86.69043781803823,14.98957328600634
HND-014005,152200022,Valentina Torres De Reyes,La Medina,HND,Olancho,Yocon,,-86.72108232762619,14.991647109344894
HND-013985,152200002,Modesto Rodas Alvarado,La Puerta,HND,Olancho,Yocon,,-86.80042076401872,14.992941930695503
HND-014043,152200102,Niños Alegres,"Aldea San Pedro, Caserio La Puerta",HND,Olancho,Yocon,,-86.80064351840545,14.993457473326034
HND-013604,151400007,Francisco Morazan,Portillo De La Peña,HND,Olancho,Mangulile,,-86.91925458603141,14.993494217448523
HND-013576,151300006,Dagoberto Funez,Palala,HND,Olancho,La Union,,-86.67717714160861,14.99397599010322
HND-014033,152200080,Jose Trinidad Cabañas,"Aldea Rio Abajo, Caserio Quebrada De Los Burros",HND,Olancho,Yocon,,-86.75612664768086,14.994056095304597
HND-013591,151300058,Oscar Rolando Hernandez,El Ocotal,HND,Olancho,La Union,,-86.66338223664424,14.99467931373044
HND-014024,152200043,Carmen Lastenia Padilla,Tiburcio,HND,Olancho,Yocon,,-86.77715596904387,14.995063122703469
HND-014036,152200083,Felipe Antonio Chirinos,Ojo De Agua,HND,Olancho,Yocon,,-86.79805209630865,14.999476618682229
HND-013584,151300022,Alejandro Efrain Carcamo,La Acequia,HND,Olancho,La Union,,-86.71560925969301,15.001676003264063
HND-013632,151400078,Angel Rafael Lobo,Aldea Las Casitas,HND,Olancho,Mangulile,,-86.92323234588281,15.002563939248182
HND-013624,151400034,Reyna Isabel Calix,El Potrero,HND,Olancho,Mangulile,,-86.8334226565371,15.003971584385527
HND-013616,151400020,1 De Julio,El Empedrado Sur,HND,Olancho,Mangulile,,-86.88949406602916,15.003978577452562
HND-013600,151400003,Marco Aurelio Soto,Silaca,HND,Olancho,Mangulile,,-86.87017368392377,15.004764007196423
HND-013605,151400008,Jose Trinidad Reyes,El Potrero,HND,Olancho,Mangulile,,-86.83358929877741,15.00499336091794
HND-014002,152200019,Maria Evangelista Flores De Valle,San Ciprian,HND,Olancho,Yocon,,-86.76592680679836,15.005792763067982
HND-014048,152200110,Mundo Infantil,Aldea San Ciprian,HND,Olancho,Yocon,,-86.7654707498945,15.006036404992528
HND-013598,151400001,Alvaro Contreras,Las Lomitas,HND,Olancho,Mangulile,,-86.8534663708147,15.006480736585535
HND-013989,152200006,Juan Ramon Molina,El Escribano,HND,Olancho,Yocon,,-86.75059128272866,15.011020345207665
HND-013589,151300056,Selso Efrain Reyes,El Paraiso,HND,Olancho,Yocon,,-86.74071153184445,15.011804924475493
HND-013994,152200011,Jose Antonio Dominguez,Lavaderos,HND,Olancho,Yocon,,-86.78256139392121,15.012174237809148
HND-013572,151300002,Ramon Villeda Morales,El Naranjito,HND,Olancho,La Union,,-86.70071145346489,15.012578578679257
