geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
ISR-000000,1362,גן שלוה,,ISR,Haifa,Haifa,,35.0975647218044,32.7464934060436
ISR-000001,1792,נשי אגודת ישראל,,ISR,Southern District,Ashqelon,,34.6609761237608,31.7984875139262
ISR-000002,2840,גן שתולים 1,,ISR,Tel Aviv,Tel Aviv,,34.7936512704733,32.0469839727977
ISR-000003,5389,אש דת,,ISR,Southern District,Ashqelon,,34.6510617137065,31.8001041565073
ISR-000004,5561,אגודת ישראל,,ISR,Central District,Petah Tiqwa,,34.8784253113595,32.0839786666151
ISR-000005,6106,נשי אגוי,,ISR,Tel Aviv,Tel Aviv,,34.8406655897655,32.0942194307101
ISR-000006,9266,הבשורה,,ISR,Northern District,Yizre'el,,35.3024214923702,32.6998102362388
ISR-000007,9704,"אל אנואר,עמר אנתסאר",,ISR,Northern District,Akko,,35.2399756766007,32.9823080507525
ISR-000008,9787,"אלסנאפר, קזאל מונה",,ISR,Northern District,Kinneret,,35.4043200235601,32.8904796498253
ISR-000009,9803,"פרחים, הגננת פרג' ג'",,ISR,Northern District,Akko,,35.2399756766007,32.9823080507525
ISR-000010,9878,"אל פרשת, רודיה פארס",,ISR,Northern District,Akko,,35.3460503045199,33.0162528875715
ISR-000011,10231,מרכז תורני רעננה,,ISR,Central District,Petah Tiqwa,,34.8739970557595,32.1928941870232
ISR-000012,11809,"אגוי,דירה 3, זקלין",,ISR,Northern District,Yizre'el,,35.4918389862289,32.5047110104575
ISR-000013,11940,אגוי,,ISR,Southern District,Ashqelon,,34.5599691212279,31.6545534734264
ISR-000014,12070,שלה,,ISR,Tel Aviv,Tel Aviv,,34.7536662301099,32.030687885422
ISR-000015,16071,אגוי,,ISR,Central District,Petah Tiqwa,,34.9422386117122,32.0969864673376
ISR-000016,16089,אגוי,,ISR,Southern District,Be'er Sheva,,34.6160860511642,31.3138651714735
ISR-000017,16097,אגוי,,ISR,Southern District,Be'er Sheva,,34.78515486265,31.2353864196825
ISR-000018,16790,עמודי עולם 2,,ISR,Haifa,Haifa,,35.0132058606286,32.7871049043338
ISR-000019,16923,ורדים וסיגליות,,ISR,Central District,Petah Tiqwa,,34.8739517128394,32.1878350782335
ISR-000020,18168,אגוי,,ISR,Tel Aviv,Tel Aviv,,34.7582764797425,32.029594980677
ISR-000021,18200,אגוי,,ISR,Central District,Rehovot,,34.8144887134585,31.8943013160689
ISR-000022,19356,תמר,,ISR,Tel Aviv,Tel Aviv,,34.8303263065341,32.0604351240184
ISR-000023,19521,אגוי,,ISR,Central District,Rehovot,,34.8069588721102,31.9664141488569
ISR-000024,20768,פינוקיו,,ISR,Tel Aviv,Tel Aviv,,34.7460983706592,32.0198211399023
ISR-000025,21261,אגוי,,ISR,Southern District,Ashqelon,,34.5510478570055,31.6533086647316
ISR-000026,21501,אגוי,,ISR,Central District,Rehovot,,34.8169675408435,31.8930283132613
ISR-000027,21535,מעיין החינוך התורני,,ISR,Southern District,Be'er Sheva,,34.5921661185201,31.4208786616908
ISR-000028,26153,אגוי,,ISR,Tel Aviv,Petah Tiqwa,,34.8706237015519,32.0593122201391
ISR-000029,26369,גן אהבת ציון,,ISR,Tel Aviv,Tel Aviv,,34.793307675212,32.088285052964
ISR-000030,27367,תתי חבד,,ISR,Southern District,Ashqelon,,34.7356552654087,31.7247347891254
ISR-000031,27375,חבד,,ISR,Southern District,Ashqelon,,34.7410993850572,31.7269100943478
ISR-000032,28332,מעיין החינוך התורני,,ISR,Southern District,Be'er Sheva,,34.5879914068868,31.4272348816044
ISR-000033,28340,מעיין החינוך התורני,,ISR,Southern District,Be'er Sheva,,34.5879914068868,31.4272348816044
ISR-000034,28357,אגוי,,ISR,Southern District,Be'er Sheva,,34.6237337211114,31.3070095468048
ISR-000035,28639,אגוי,,ISR,Northern District,Kinneret,,35.5298713126737,32.7902729309444
ISR-000036,29074,אגוי,,ISR,Southern District,Ashqelon,,34.7400844111291,31.7357804989673
ISR-000037,29082,אגוי,,ISR,Southern District,Ashqelon,,34.7396484089232,31.7322256642376
ISR-000038,29165,אגוי,,ISR,Southern District,Ashqelon,,34.7273856393469,31.6624137497914
ISR-000039,29272,אגוי,,ISR,Central District,Petah Tiqwa,,34.868626963486,32.1824374148648
ISR-000040,29363,"אגוי-דירה 2, דינה",,ISR,Northern District,Yizre'el,,35.4923499399138,32.504763946894
ISR-000041,29561,רפאל,,ISR,Haifa,Haifa,,35.0872195234397,32.8323350656044
ISR-000042,29678,אור הפרדס,,ISR,Haifa,Hadera,,34.953562642062,32.4634980532649
ISR-000043,29694,גן ישראל מסלנט 1,,ISR,Tel Aviv,Tel Aviv,,34.7810936926113,32.0516319959976
ISR-000044,29728,אגוי,,ISR,Southern District,Ashqelon,,34.6515641597435,31.8008458354935
ISR-000045,29884,אמת ואמונה,,ISR,Jerusalem District,Jerusalem,,35.2219330260802,31.7919809220816
ISR-000046,29892,מסילה בערבה,,ISR,Southern District,Be'er Sheva,,34.9331108916435,30.98916772485
ISR-000047,30312,דרך האמת,,ISR,Central District,Petah Tiqwa,,34.8832509400115,32.0852535093645
ISR-000048,31500,אגוי,,ISR,Central District,Rehovot,,34.8160273222539,31.8928991882316
ISR-000049,31567,גן הצנחנים,,ISR,Tel Aviv,Tel Aviv,,34.8392519408943,32.116697022487
ISR-000050,31831,גן זמנהוף,,ISR,Tel Aviv,Tel Aviv,,34.7782428892458,32.0658708048254
ISR-000051,31856,גן חדרה 1,,ISR,Tel Aviv,Tel Aviv,,34.7861929532309,32.0851686150044
ISR-000052,33217,אגוי,,ISR,Southern District,Be'er Sheva,,34.7919106944786,31.2700686480136
ISR-000053,33472,צפת 06,,ISR,Northern District,Zefat,,35.4895781029657,32.9590131601167
ISR-000054,33506,'יהלום,,ISR,Tel Aviv,Tel Aviv,,34.8503652905566,32.0265218673781
ISR-000055,33514,אגוי,,ISR,Tel Aviv,Tel Aviv,,34.8496975483268,32.0294869323589
ISR-000056,33522,נוה דוד,,ISR,Southern District,Be'er Sheva,,35.0285086512834,31.074503996924
ISR-000057,33571,אור הפרדס,,ISR,Haifa,Hadera,,34.9755278056987,32.4758126570667
ISR-000058,33753,נווה,,ISR,Southern District,Be'er Sheva,,34.5852453480428,31.4241823329534
ISR-000059,34314,תמר,,ISR,,,,35.1347532320555,32.1625017376421
ISR-000060,34546,חבד,,ISR,Central District,Ramla,,34.8874535033811,31.950777794782
ISR-000061,34595,בית יעקב,,ISR,Jerusalem District,Jerusalem,,35.2176790074177,31.800684221705
ISR-000062,34819,בית יעקב,,ISR,,Jerusalem,,35.1990235694799,31.7337767148042
ISR-000063,34868,נשי אגוי,,ISR,Southern District,Ashqelon,,34.6591307334658,31.7962611326058
ISR-000064,34975,נשי אגוי,,ISR,Central District,Petah Tiqwa,,34.8750821368558,32.0858186994759
ISR-000065,35220,לאו באק,,ISR,Haifa,Haifa,,34.9699313700617,32.8231352419031
ISR-000066,35329,בית יעקב,,ISR,Jerusalem District,Jerusalem,,35.1730564263787,31.7898408560108
ISR-000067,35337,בית יעקב,,ISR,Jerusalem District,Jerusalem,,35.2138980057781,31.7952644789764
ISR-000068,35444,מעיין החינוך התורני,,ISR,Southern District,Be'er Sheva,,34.5902272015876,31.4198502664505
