geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
KGZ-000000,2421,Koi Tash High School,"Katran village, Katran AD, Leilek rayon, Batken province, Katran village",KGZ,Batken Region,Leilek,,70.0104861107,39.849074999
KGZ-000001,2468,Toguz Bulak High School,"Toguz Bulak village, Toguz Bulak AD, Leilek rayon, Batken province, Toguz Bulak village",KGZ,Batken Region,Leilek,,69.7327944439,39.8550749986
KGZ-000002,2476,Eralieva High School,"Kara Suu village, Leilek AD, Batken province, Kara Suu village",KGZ,Batken Region,Leilek,,70.0542722218,39.8674694435
KGZ-000003,2581,,",",KGZ,Batken Region,Leilek,,69.6517933328,39.8000516651
KGZ-000004,2614,Buchur Kindergarten,"Ak-Aryk village, Kulundu AD, Batken province, Leilek rayon, Ak-Aryk village (Kommunizm on the map) Kulundu AD, Batken province, Leilek rayon",KGZ,Batken Region,Leilek,,69.5682249995,40.0865399983
KGZ-000005,2618,Epkin High School,"Katran village, Katran AD, Leilek rayon, Katran village",KGZ,Batken Region,Leilek,,70.0371583329,39.8307111101
KGZ-000006,2624,Bel-Alma High School,"Batken province, Leilek rayon, Ak-Aryk village, Kulundu AD, Ak-Aryk village (Kommunism village on the map) Kulundu AD",KGZ,Batken Region,Leilek,,69.5682249995,40.0865399983
KGZ-000007,2630,Kara Bulak High School,"Kara Bulak village, Toguz Bulak AD, Leilek rayon, Kara Bulak village",KGZ,Batken Region,Leilek,,69.6461111106,39.8451999984
KGZ-000008,2693,Maksat High School,"Batken province, Leilek rayon, Maksat village, Kulundu AD, Maksat village",KGZ,Batken Region,Leilek,,69.6953611106,40.1227777763
KGZ-000009,2695,Kelechek kindergarten,"Batken province, Leilek rayon, Razzakov village, Kulundu AD, Razzakov village",KGZ,Batken Region,Leilek,,69.6024999995,40.1036111094
KGZ-000010,2698,Razzakova High School,"Batken province, Leilek rayon, Razzakova village, Kulundu AD, Razzakov village",KGZ,Batken Region,Leilek,,69.5987805551,40.1028138872
KGZ-000011,2708,Zhany Zher Elementary,"Zhany Zher village, Dara AD, Batken province, Zhany Zher village",KGZ,Batken Region,Batken,,70.9011499998,40.1276527775
KGZ-000012,2718,Balkyeva Elementary,"Kalykova village, Markaz AD, Kadamzhay rayon, Batken province, Kalykova village, Kadamzhay rayon",KGZ,Osh Region,,,71.9821088888,40.2508891666
KGZ-000013,2721,Arpasay High School,"Arpasay village, Kadamzhay rayon, Markaz village administration, Batken province, Arpasay village, Kadamzhay rayon",KGZ,Batken Region,Kadamjay,,71.9921563888,40.2312255555
KGZ-000014,2731,Orozbekova High School,"Dostuk village, Kadamzhay rayon, Markaz village administration, Batken province, Dostuk village, Kadamzhay rayon",KGZ,Batken Region,Kadamjay,,71.8773547222,40.2099180555
KGZ-000015,2744,Firdavsi High School No.7,"Aidarken village, Aidarken village",KGZ,Batken Region,Kadamjay,,71.3365152777,39.9473299998
KGZ-000016,2745,Makanova High School No.20,"Aidarken village, Aidarken village",KGZ,Batken Region,Kadamjay,,71.3434347221,39.9420311109
KGZ-000017,2764,Sadykov High School No. 19,"Aidarken village, Kadamzhay rayon, Aidarken village",KGZ,Batken Region,Kadamjay,,71.3429166665,39.9439333332
KGZ-000018,2765,Chonkara Elementary,"Kalcha village, Kalcha village",KGZ,,Kadamjay,,71.0400333332,40.2492277775
KGZ-000019,2767,Zhashtilek Elementary,"Zhashtilek village, Kadamzhai rayon, Zhashtilek village",KGZ,Batken Region,Kadamjay,,71.2356333332,40.2927666665
KGZ-000020,2770,Orukzar High School,"Orukzar village, Kadamzhai rayon, Orukzar village",KGZ,Batken Region,Kadamjay,,71.0435499998,40.204972222
KGZ-000021,2771,Toraliev High School,"Min Chinar village, Min Chinar village",KGZ,Batken Region,Kadamjay,,71.1719444443,40.274972222
KGZ-000022,2773,Abdrakhmanova High School No.28,"Abdrakhmanova High School No.28, Zhany Zher village",KGZ,Batken Region,Kadamjay,,71.1703555554,40.2757777776
KGZ-000023,2774,Salikhova High School,"Samarkandek village, Samarkandek AD, Batken province, Samarkandek village, Batken rayon",KGZ,Batken Region,Batken,,70.5499999997,40.0047222217
KGZ-000024,2775,Kozhobaeva School Gymnasium,"Samarkandek village, Samarkandek AD, Batken province, Samarkandek village, Batken rayon",KGZ,Batken Region,Batken,,70.5434577775,39.9984199995
KGZ-000025,2779,Sadykova High School,"Ak Tatyr village, Ak Tatyr AD, Batken rayon, Batken province, Ak Tatyr village, Batken rayon",KGZ,Batken Region,Batken,,70.4939499997,39.9591666661
KGZ-000026,2781,Abdraimova High School,"Botai village, Suu Bashy AD, Batken province, Bozhoi village, Batken rayon",KGZ,Batken Region,Batken,,71.1094444443,39.9941666664
KGZ-000027,2784,Aigul Tash Elementary,"Aigul Tash village, Suu Bashy AD, Batken province, Aigul Tash village, Batken province",KGZ,Batken Region,Batken,,70.9957108331,39.9466361108
KGZ-000028,2789,Chek High School,"Chek village, Batken rayon, Dara AD, Chek village, Batken rayon",KGZ,Batken Region,Batken,,70.8420166664,40.1140666663
KGZ-000029,2792,Momunov High School,"Orto Boz village, Aktatyr AD, Batken rayon, Orto Boz village, Aktatyr AD, Batken rayon",KGZ,Batken Region,Batken,,70.5687172219,39.9569941662
KGZ-000030,2794,Satarova High School,"Kok Talaa village, Kadamzhai rayon, Markaz village administration, Batken province, Kok Talaa village, Kadamzhai rayon",KGZ,Batken Region,Kadamjay,,71.8612277777,40.2373222222
KGZ-000031,2801,Soltonov High School,"Bel village, Bel village",KGZ,Batken Region,Kadamjay,,71.2322833332,39.9522999998
KGZ-000032,2804,Eshme High School No.54,"Eshme High School No.54, Eshme village",KGZ,Batken Region,Kadamjay,,71.3022777777,39.9517166665
KGZ-000033,2806,Molo JHS,"Molo village, Molo village",KGZ,Batken Region,Kadamjay,,71.2407888887,39.9289555554
KGZ-000034,2807,Orunbai Teshebaev No.30,"Syrt village, Syrt village",KGZ,Batken Region,Kadamjay,,71.2390499999,39.9110499998
KGZ-000035,2809,Shamurzaev High School No.29,"Ormosh village, Ormosh village",KGZ,Batken Region,Kadamjay,,71.2602999999,39.9446333331
KGZ-000036,2810,1 Maya High School No.37,"Chechme village, Kadamzhai rayon, Chechme village",KGZ,Batken Region,Kadamjay,,71.2181499999,39.9461666665
KGZ-000037,2811,Alykulov High School No.31,"Dzhal village, Dzhal village",KGZ,Batken Region,Kadamjay,,71.3264999999,39.9290888887
KGZ-000038,2812,Zheenbaeva High School No.38,"Ak Turpak village, Ak Turpak village",KGZ,Batken Region,Kadamjay,,71.0526166665,40.1905166664
KGZ-000039,2813,Kyzyl Korgon High School No.24,"Kyzyl Korgon village, Kyzyl Korgon village",KGZ,Batken Region,Kadamjay,,71.0799277776,40.1495333331
KGZ-000040,2815,Bobohonova High School,"Batken province, Leilek rayon, Andarkham AD, Beshkent, Andarkham village",KGZ,Batken Region,Leilek,,69.8474055551,39.9960238876
KGZ-000041,2818,Shumkar kindergarten,"Arka village, Batken province, Leilek rayon, Zhany Zher AD, Arka village",KGZ,,Leilek,,69.8846561107,40.2009266654
KGZ-000042,2819,Kyrgyz Egemendulugunun 10 Zhyl High School,"Markaz village, Kadamzhai rayon, Batken province, Markaz village, Kadamzhai rayon",KGZ,Batken Region,Kadamjay,,71.8976611111,40.2417999999
KGZ-000043,2823,Ulugbeka High School,"Markaz village, Markaz AD, Kadamzhai rayon, Batken province, Markaz village, Kadamzhai rayon, Batken province",KGZ,Batken Region,Kadamjay,,71.9024499999,40.2419499999
KGZ-000044,2827,Leilek High School,"Leilek village, Leilek AD, Batken province, Leilek village",KGZ,Batken Region,Leilek,,70.099119444,39.8745666657
KGZ-000045,2832,Dzhiydalik JHS,"Dzhiydalik village, Kadamzhay rayon, Dzhiydalik village",KGZ,Batken Region,,,71.7174055555,40.0996777777
KGZ-000046,2833,Mergenova High School,"Kara Tokoi village, Suu Bashy AD, Batken province, Kara Tokoi village, Batken rayon",KGZ,Batken Region,Batken,,71.1038888887,40.0005555553
KGZ-000047,2835,Akmatova High School,"Boz Adyr village, Suu Bashy AD, Batken province, Boz Adyr village, Batken rayon",KGZ,Batken Region,Batken,,71.0783333332,39.9958333331
KGZ-000048,2839,Nabieva High School,"Arka village, Arka village",KGZ,Batken Region,Leilek,,69.8857522218,40.200382221
KGZ-000049,2845,Bayumiy High School,"Zholdoshev village, Maidan village administration, Kadamzhay rayon, Batken province, Zholdoshev village, Kadamzhay rayon",KGZ,Batken Region,,,71.8705499999,40.2413666666
KGZ-000050,2846,Temirbaeva High School No.47,"Karadobo village, Maidan village administration, Kadamzhai rayon, Batken province, Karadobo village, Kadamzhai rayon",KGZ,Batken Region,Kadamjay,,71.9818666666,40.2305444444
KGZ-000051,2848,Zhany Turmush High School,"Batken province, Leilek rayon, Zhany Turmush village, Katran AD, Baul village",KGZ,Batken Region,Leilek,,69.9191627773,39.7982988877
KGZ-000052,2856,Kadamzhay High School No.17,"Kadamzhay village, Kadamzhay village",KGZ,Batken Region,,,71.7281055555,40.1264222221
KGZ-000053,2857,Moldo Niyaz School Gymnasium,"Kyzyl Bulak village, Kyzyl Bulak village",KGZ,Batken Region,,,71.7506819444,40.0353016666
KGZ-000054,2868,Zhyldyzcha Kindergarten,"Beshkent village, Batken province, Leilek rayon, Beshkent AD, Beshkent village",KGZ,Batken Region,Leilek,,69.8185761106,40.029648332
