geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
KHM-000000,1020101005.0,O Thom,,KHM,Bantey Meanchey,Mongkol Borei,Banteay Neang,103.03069845785991,13.515280683601715
KHM-000001,1020103001.0,Banteay Neang,,KHM,Bantey Meanchey,Mongkol Borei,Banteay Neang,103.01544201116597,13.51284667261378
KHM-000002,1020105008.0,Trang,,KHM,Bantey Meanchey,Mongkol Borei,Banteay Neang,103.0079455315561,13.505792141110023
KHM-000003,1020106006.0,Pongror,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,102.9987791305384,13.498588556974575
KHM-000004,1020107084.0,Kauk Tunloap,,KHM,Bantey Meanchey,Mongkol Borei,Banteay Neang,103.01423976974498,13.489583510676969
KHM-000005,1020109003.0,Khilek,,KHM,Bantey Meanchey,Mongkol Borei,Banteay Neang,103.02543593860247,13.488072196416702
KHM-000006,1020112002.0,Dang Run,,KHM,Bantey Meanchey,Mongkol Borei,Banteay Neang,103.04333765832138,13.498922078572535
KHM-000007,1020115007.0,Prey Changhar,,KHM,Bantey Meanchey,Mongkol Borei,Banteay Neang,103.03309104507473,13.467842748326515
KHM-000008,1020118004.0,O Andaung,,KHM,Bantey Meanchey,Mongkol Borei,Banteay Neang,103.05681215207427,13.470395171215085
KHM-000009,1020203009.0,Anlung Thngann,,KHM,Bantey Meanchey,Mongkol Borei,Bat Trang,102.98569674818995,13.51460657067061
KHM-000010,1020209010.0,Bat Trang,,KHM,Bantey Meanchey,Mongkol Borei,Bat Trang,102.99076822567855,13.531023116790307
KHM-000011,1020303078.0,Samaki,,KHM,Bantey Meanchey,Mongkol Borei,Chamnaom,102.94732511745761,13.452570786799091
KHM-000012,1020305012.0,Chamnom,,KHM,Bantey Meanchey,Mongkol Borei,Chamnaom,102.93645536118882,13.445270177923977
KHM-000013,1020309016.0,Raung Ko,,KHM,Bantey Meanchey,Mongkol Borei,Chamnaom,102.93138191667484,13.423177801936596
KHM-000014,1020311013.0,Chor Khchas,,KHM,Bantey Meanchey,Mongkol Borei,Chamnaom,102.95880560127485,13.408489741323098
KHM-000015,1020312011.0,Boeung Troh,,KHM,Bantey Meanchey,Mongkol Borei,Chamnaom,102.96830565516777,13.412813978404708
KHM-000016,1020313014.0,Dang Trong,,KHM,Bantey Meanchey,Mongkol Borei,Phnum Touch,102.98088972546766,13.417126460962502
KHM-000017,1020317015.0,Kauk Ponley,,KHM,Bantey Meanchey,Mongkol Borei,Chamnaom,102.96652102067293,13.438375353352777
KHM-000018,1020318080.0,Say Samon,,KHM,Bantey Meanchey,Mongkol Borei,Chamnaom,102.8597823239312,13.436334131803374
KHM-000019,1020402019.0,Ta An,,KHM,Bantey Meanchey,Mongkol Borei,Kouk Ballangk,103.08808557087914,13.47210824368186
KHM-000020,1020404018.0,Cheung Chab,,KHM,Bantey Meanchey,Mongkol Borei,Kouk Ballangk,103.09687098895887,13.470548105357611
KHM-000021,1020406017.0,Char Thmei,,KHM,Bantey Meanchey,Mongkol Borei,Kouk Ballangk,103.1172307436279,13.474479387029984
KHM-000022,1020408020.0,Ta Sal,,KHM,Bantey Meanchey,Mongkol Borei,Kouk Ballangk,103.15945039034914,13.483369557587949
KHM-000023,1020501022.0,Koy Meng,,KHM,Bantey Meanchey,Mongkol Borei,Koy Maeng,103.09142232454826,13.551848085350667
KHM-000024,1020503023.0,Phlov Siem,,KHM,Bantey Meanchey,Mongkol Borei,Koy Maeng,103.08685045931642,13.549427126668503
KHM-000025,1020506021.0,Kosang Thmei,,KHM,Bantey Meanchey,Mongkol Borei,Koy Maeng,103.11159879110181,13.55759588426779
KHM-000026,1020508024.0,Chamkar Chek,,KHM,Bantey Meanchey,Mongkol Borei,Koy Maeng,103.08046552818432,13.549631230889046
KHM-000027,1020602028.0,Phnom Thom,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,103.01365683725068,13.44383068230217
KHM-000028,1020605029.0,Phnom Thom Thmei,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,103.02043483764584,13.452740941794195
KHM-000029,1020608026.0,Kauk Thnung,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,103.03396399011932,13.451400999530785
KHM-000030,1020609027.0,O Snguot,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,103.01128728455244,13.46691201003181
KHM-000031,1020611025.0,O Prasat,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,102.99685987655494,13.47067452538949
KHM-000032,1020612079.0,Ra Chamkar Chek,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,103.01011135365468,13.456120890237532
KHM-000033,1020613030.0,Po Rieng,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,103.00880435211432,13.481289166567109
KHM-000034,1020614031.0,Roung Krabao,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,103.00391141980214,13.488896057308851
KHM-000035,1020701034.0,Sang Prasat,,KHM,Bantey Meanchey,Mongkol Borei,Phnum Touch,103.0158628531796,13.405709345714808
KHM-000036,1020704033.0,Chey Tep Mongkol,,KHM,Bantey Meanchey,Mongkol Borei,Phnum Touch,103.02137007931924,13.398323624526563
KHM-000037,1020705032.0,Boeung Troh,,KHM,Bantey Meanchey,Mongkol Borei,Phnum Touch,103.00112656131448,13.433880590479129
KHM-000038,1020707035.0,Poy Ta Sek,,KHM,Bantey Meanchey,Mongkol Borei,Phnum Touch,103.04160681727438,13.394793965791683
KHM-000039,1020708036.0,Prey Toteung,,KHM,Bantey Meanchey,Mongkol Borei,Ou Prasat,103.03635784927043,13.428427771726474
KHM-000040,1020710037.0,Sovann Kiri,,KHM,Bantey Meanchey,Mongkol Borei,Phnum Touch,103.01840490369304,13.416574478604675
KHM-000041,1020801043.0,Po 2 Deum,,KHM,Bantey Meanchey,Mongkol Borei,Rohat Tuek,102.98808288796424,13.496587042875047
KHM-000042,1020803045.0,Rohat Teuk,,KHM,Bantey Meanchey,Mongkol Borei,Rohat Tuek,102.98141361915049,13.47916356885309
KHM-000043,1020808044.0,Prek Samrong,,KHM,Bantey Meanchey,Mongkol Borei,Rohat Tuek,102.9617069975376,13.461743117730311
KHM-000044,1020809042.0,O Dangkor,,KHM,Bantey Meanchey,Mongkol Borei,Rohat Tuek,102.98288622379127,13.458814086582771
KHM-000045,1020810038.0,Chamkar Chek,,KHM,Bantey Meanchey,Mongkol Borei,Rohat Tuek,102.9800856946564,13.45032354680109
KHM-000046,1020811041.0,O Chuob,,KHM,Bantey Meanchey,Mongkol Borei,Rohat Tuek,102.9784900814683,13.44240299418573
KHM-000047,1020812040.0,Kar Svay,,KHM,Bantey Meanchey,Mongkol Borei,Phnum Touch,102.99260054854817,13.431038283143572
KHM-000048,1020813039.0,Chak,,KHM,Bantey Meanchey,Mongkol Borei,Rohat Tuek,102.9684015971087,13.465014599547061
KHM-000049,1020901046.0,Nun Serik,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.06845107609254,13.54229035959209
KHM-000050,1020902052.0,Anhchanh,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.05647123781308,13.542161383684718
KHM-000051,1020903054.0,Prek Ropeuv,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,102.99502741254182,13.551843385118792
KHM-000052,1020905057.0,Sala Deng,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.01165058853516,13.546797714510067
KHM-000053,1020906047.0,Chamkar Ta Doak,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.02256505327072,13.53387018702504
KHM-000054,1020908048.0,Chumteav,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.0205079138778,13.525720106449812
KHM-000055,1020909051.0,Neang Ket,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.00520355075004,13.543402480063074
KHM-000056,1020913050.0,Kauk Svay,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.02062928643417,13.541211458722694
KHM-000057,1020914053.0,Wat Luong,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.04015093072951,13.540786806811749
KHM-000058,1020916049.0,Koh Keo,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.02265498931104,13.545348617573435
KHM-000059,1020917055.0,Russey Kroak,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.02373146193123,13.538036690962404
KHM-000060,1020917056.0,Komrou Srok,,KHM,Bantey Meanchey,Mongkol Borei,Ruessei Kraok,103.02505175558939,13.536989721602032
