geo_id,deped_id,school_name,address,adm0,adm1,adm2,longitude,latitude,adm3
LAO-000000,20101001,B. Bonangoua,,LAO,Vientiane Capital,Chanthabuly,102.598539,18.010079,
LAO-000001,20101002,B. Sibounhuang,,LAO,Vientiane Capital,Chanthabuly,102.62226,17.978779,
LAO-000002,20101003,B. Hongkaikeo,,LAO,Vientiane Capital,Chanthabuly,102.62334,17.984409,
LAO-000003,20101004,B. Hongkha-Nua,,LAO,Vientiane Capital,Chanthabuly,102.603607,17.97653,
LAO-000004,20101006,B. Dongmiang,,LAO,Vientiane Capital,Chanthabuly,102.60962,17.977439,
LAO-000005,20101007,B. Sibounhuang,,LAO,Vientiane Capital,Chanthabuly,102.62226,17.978779,
LAO-000006,20101008,B. Sisavat,,LAO,Vientiane Capital,Chanthabuly,102.612825,17.97289,
LAO-000007,20101010,B. Sisavat,,LAO,Vientiane Capital,Chanthabuly,102.612825,17.97289,
LAO-000008,20101011,B. Sisavat,,LAO,Vientiane Capital,Chanthabuly,102.612825,17.97289,
LAO-000009,20101012,B. Sisavat,,LAO,Vientiane Capital,Chanthabuly,102.612825,17.97289,
LAO-000010,20101013,B. Khoualouang-Nua,,LAO,Vientiane Capital,Chanthabuly,102.60187,17.97313,
LAO-000011,20101014,B. Sibounhuang,,LAO,Vientiane Capital,Chanthabuly,102.62226,17.978779,
LAO-000012,20101015,B. Sidamdouan,,LAO,Vientiane Capital,Chanthabuly,102.61634,17.975319,
LAO-000013,20101016,B. Hatsadi,,LAO,Vientiane Capital,Chanthabuly,102.614253,17.96973,
LAO-000014,20101017,B. Dondeng,,LAO,Vientiane Capital,Chanthabuly,102.60795,17.999849,
LAO-000015,20101018,B. Nongtha-Nua,,LAO,Vientiane Capital,Chanthabuly,102.60926,18.006519,
LAO-000016,20101019,B. Dongpalep,,LAO,Vientiane Capital,Sikhottabong,102.604895,17.98739,
LAO-000017,20101020,B. Anou,,LAO,Vientiane Capital,Chanthabuly,102.606999,17.968689,
LAO-000018,20101021,B. Phontongsavat,,LAO,Vientiane Capital,Chanthabuly,102.61844,17.992519,
LAO-000019,20102001,B. Gnapha,,LAO,Vientiane Capital,Sikhottabong,102.559649,17.972219,
LAO-000020,20102002,B. Dankham,,LAO,Vientiane Capital,Sikhottabong,102.526428,17.977839,
LAO-000021,20102003,B. Oupmoung,,LAO,Vientiane Capital,Sikhottabong,102.584119,17.969468,
LAO-000022,20102004,B. Dongnaxok-Tai,,LAO,Vientiane Capital,Sikhottabong,102.574899,17.987969,
LAO-000023,20102005,B. Nongniao,,LAO,Vientiane Capital,Sikhottabong,102.545638,18.007059,
LAO-000024,20102006,B. Phonkham,,LAO,Vientiane Capital,Sikhottabong,102.601219,17.996739,
LAO-000025,20102009,B. Muangva-Thong,,LAO,Vientiane Capital,Sikhottabong,102.563969,17.973629,
LAO-000026,20102010,B. Sithan-Nua,,LAO,Vientiane Capital,Sikhottabong,102.596089,17.966968,
LAO-000027,20102011,B. Thongpong,,LAO,Vientiane Capital,Sikhottabong,102.539598,17.992779,
LAO-000028,20102012,B. Chansavang,,LAO,Vientiane Capital,Sikhottabong,102.524048,18.02043,
LAO-000029,20102013,B. Sithan-Nua,,LAO,Vientiane Capital,Sikhottabong,102.596089,17.966968,
LAO-000030,20102014,B. Muangva-Thong,,LAO,Vientiane Capital,Sikhottabong,102.563969,17.973629,
LAO-000031,20102016,B. Kaoliao,,LAO,Vientiane Capital,Sikhottabong,102.533708,17.977389,
LAO-000032,20102017,B. Thongpong,,LAO,Vientiane Capital,Sikhottabong,102.539598,17.992779,
LAO-000033,20102018,B. Nongbuk-Tai,,LAO,Vientiane Capital,Sikhottabong,102.583229,18.02373,
LAO-000034,20102019,B. Nongbouathong-Nua,,LAO,Vientiane Capital,Sikhottabong,102.598229,17.990229,
LAO-000035,20102020,B. Dankham,,LAO,Vientiane Capital,Sikhottabong,102.526428,17.977839,
LAO-000036,20102021,B. Nongniao,,LAO,Vientiane Capital,Sikhottabong,102.545638,18.007059,
LAO-000037,20102023,B. Xamket,,LAO,Vientiane Capital,Sikhottabong,102.576549,18.02234,
LAO-000038,20102024,B. Nongbouathong-Tai,,LAO,Vientiane Capital,Sikhottabong,102.598941,17.988157,
LAO-000039,20102025,B. Phosi,,LAO,Vientiane Capital,Sikhottabong,102.553508,17.983899,
LAO-000040,20102026,B. Mai,,LAO,Vientiane Capital,Sikhottabong,102.467016,17.977719,
LAO-000041,20102027,B. Nongdouang-Thong,,LAO,Vientiane Capital,Sikhottabong,102.596409,17.978209,
LAO-000042,20102028,B. Nongbuk-Tai,,LAO,Vientiane Capital,Sikhottabong,102.58337,18.02367,
LAO-000043,20102029,B. Nongteng-Nua,,LAO,Vientiane Capital,Sikhottabong,102.53889,18.01813,
