geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
LBY-003803,TU-107,ALCHAHED ALBANANE,,LBY,Al Butnan,,,24.31323,31.88443
LBY-003788,TU-091,BE`R ALASHHAB,,LBY,Al Butnan,,,24.65367,31.88608
LBY-003789,TU-092,DE`R AL ASHHAB ,,LBY,Al Butnan,,,24.65367,31.88608
LBY-003745,TU-044,OMAR ALMOKHTAR ALTANAWEYA,,LBY,Al Butnan,,,23.91715,31.88748
LBY-003743,TU-042,TAREQ BEN ZEYAD,,LBY,Al Butnan,,,23.92934,31.88965
LBY-003800,TU-104,KAMBOT ALTANAWEYA ALBAYAN ALAWAL,كمبوت,LBY,Al Butnan,,,24.4816,31.90347
LBY-003799,TU-103,ALANDALOS,كمبوت,LBY,Al Butnan,,,24.48218,31.90486
LBY-003795,TU-099,KAMBOUT,,LBY,Al Butnan,,,24.47925,31.9059
LBY-003769,TU-070,ZOHER BEN KAYS,,LBY,Al Butnan,,,25.00857,31.90739
LBY-003801,TU-105,ALMOJAHED AKAREM RAQEY,,LBY,Al Butnan,,,24.30764,31.92437
LBY-003774,TU-076,OM ROKBA,,LBY,Al Butnan,,,24.91947,31.92679
LBY-003792,TU-095,ALMNSTER,,LBY,Al Butnan,,,24.99975,31.92741
LBY-003791,TU-094,RAS AZAZ,,LBY,Al Butnan,,,24.98296,31.9339
LBY-003797,TU-101,AN JALOT ALEDADH,المخطية,LBY,Al Butnan,,,24.40886,31.93571
LBY-003808,TU-112,QURTOBA,القبقابة-القعرة,LBY,Al Butnan,,,24.26475,31.95368
LBY-003779,TU-082,ABAN SENAA ALTANWEEA,,LBY,Al Butnan,,,24.8393,31.95597
LBY-003829,TU-135,EBM SINA ATANAWIA,,LBY,Al Butnan,,,24.8393,31.95597
LBY-003780,TU-083,ASHWIMRA,,LBY,Al Butnan,,,24.88041,31.95893
LBY-003744,TU-043,ALQADESEYA,,LBY,Al Butnan,,,23.93869,31.96018
LBY-003783,TU-086,WADI ALEIN,,LBY,Al Butnan,,,24.78874,31.97029
LBY-003830,TU-136,QABES ALTANWA,,LBY,Al Butnan,,,24.65758,31.98064
LBY-003794,TU-097,QABES ALEADADEH,,LBY,Al Butnan,,,24.65758,31.98064
LBY-003786,TU-089,JANZOR ALEADADIA,,LBY,Al Butnan,,,24.65681,31.98174
LBY-003781,TU-084,MURSI LAK,,LBY,Al Butnan,,,24.74986,31.98344
LBY-003827,TU-133,MURSI LAK,,LBY,Al Butnan,,,24.74986,31.98344
LBY-003782,TU-085,DAT ELSAWARY,,LBY,Al Butnan,,,24.75065,31.98368
LBY-003787,TU-090,ATRFAWY,,LBY,Al Butnan,,,24.61173,31.99062
LBY-003785,TU-088,ALKHABIRY,,LBY,Al Butnan,,,24.70898,31.99883
LBY-003809,TU-113,BAB AZYTON ALEADADYA(25 YNAER SABIQA),,LBY,Al Butnan,,,24.01496,31.99899
LBY-003812,TU-116,BAB ALZITON,,LBY,Al Butnan,,,23.99876,32.00089
LBY-003793,TU-096,ALGRABAT,الغرابات,LBY,Al Butnan,,,24.72141,32.00166
LBY-003709,TU-002,17 MEN FABRIER,,LBY,Al Butnan,,,23.98824,32.0174
LBY-003731,TU-027,ALSHAHEED BO ATEWA,,LBY,Al Butnan,,,23.96349,32.06807
LBY-003732,TU-028,ALNASSER ,,LBY,Al Butnan,,,23.93969,32.07001
LBY-003739,TU-036,ALFAROOK,,LBY,Al Butnan,,,23.94827,32.07166
LBY-003733,TU-029,ALHORIA,,LBY,Al Butnan,,,23.93279,32.07202
LBY-003831,TU-137,ALFAROOQ,,LBY,Al Butnan,,,23.95627,32.07327
LBY-003737,TU-033,ALJIHAD,,LBY,Al Butnan,,,23.95627,32.07327
LBY-003734,TU-030,KALEEL MOSTAFA,,LBY,Al Butnan,,,23.94732,32.07494
LBY-003735,TU-031,SALAH ALSAKAR,,LBY,Al Butnan,,,23.94844,32.07537
LBY-003727,TU-023,ALZOHOR,,LBY,Al Butnan,,,23.9189,32.07689
LBY-003736,TU-032,ALSHAHEED ALTAYAR,,LBY,Al Butnan,,,23.95199,32.07742
LBY-003730,TU-026,ALQODUS,,LBY,Al Butnan,,,23.91069,32.07801
LBY-003729,TU-025,OSAMA BEN ZAID,,LBY,Al Butnan,,,23.93199,32.07967
LBY-003728,TU-024,SHOHADAA ALAQSA,,LBY,Al Butnan,,,23.90613,32.08093
LBY-003747,TU-046,MOUSA HWEDEE,,LBY,Al Butnan,,,23.82782,32.08104
LBY-003719,TU-015,AL SADEQ,,LBY,Al Butnan,,,23.98089,32.0812
LBY-003710,TU-004,KADUJA ALKOBAR ALTANWA,,LBY,Al Butnan,,,23.97998,32.08121
LBY-003740,TU-039,ALDAHEA ALTANAWEA,,LBY,Al Butnan,,,23.95064,32.08134
LBY-003726,TU-022,AMR ALMOGTAR ALAADADIT,,LBY,Al Butnan,,,23.9442,32.08175
LBY-003749,TU-048,ALSHOLAA,,LBY,Al Butnan,,,23.95643,32.08176
LBY-003715,TU-011,EBN KALDOON,,LBY,Al Butnan,,,23.91866,32.08235
LBY-003748,TU-047,ALNAHDA ALEADADEYA,,LBY,Al Butnan,,,23.97864,32.08256
LBY-003720,TU-016,AL NOOR,,LBY,Al Butnan,,,23.968298,32.082869
LBY-003718,TU-014,ALKHN,,LBY,Al Butnan,,,23.97877,32.08329
LBY-003711,TU-006,ALFAYHA,,LBY,Al Butnan,,,23.79235,32.0833
LBY-003724,TU-020,ASMAE BNT APE BKR,,LBY,Al Butnan,,,23.95129,32.08361
LBY-003750,TU-049,ALMANAR ALEADADEYA,,LBY,Al Butnan,,,23.98528,32.08412
LBY-003817,TU-122,ALPTNAN ALHDITH,,LBY,Al Butnan,,,23.97809,32.08525
LBY-003721,TU-017,BADR ALKOBRA,فلسطين,LBY,Al Butnan,,,23.97289,32.0854
LBY-003717,TU-013,SALA ALHDA,,LBY,Al Butnan,,,23.98156,32.08639
LBY-003713,TU-008,ATUA ALUAS,,LBY,Al Butnan,,,23.9654,32.08644
