geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
PHL-000000,101746,"A. Diaz, Sr. ES",,PHL,Ilocos Region,Pangasinan,Bautista,120.498531,15.799122
PHL-000001,102193,A. P. Santos ES (SPED Center),,PHL,Ilocos Region,Ilocos Norte,Laoag City,120.5866667,18.19638889
PHL-000002,101283,A.P. Guevara IS,,PHL,Ilocos Region,Pangasinan,Bayambang,120.460509,15.780155
PHL-000003,100216,Ab-Abut ES,,PHL,Ilocos Region,Ilocos Norte,Piddig,120.6953917,18.168875
PHL-000004,100043,Abaca ES,,PHL,Ilocos Region,Ilocos Norte,Bangui,120.75589,18.531941
PHL-000005,100554,Abaccan ES,,PHL,Ilocos Region,Ilocos Sur,Sigay,120.581772,17.029457
PHL-000006,101131,Abagatanen IS,,PHL,Ilocos Region,Pangasinan,Agno,119.77311,16.162879
PHL-000007,102252,Abanon Central  School,,PHL,Ilocos Region,Pangasinan,San Carlos City,120.3282722,15.86600556
PHL-000008,100307,Abkir ES,,PHL,Ilocos Region,Ilocos Norte,Vintar,120.6519389,18.24726389
PHL-000009,100100,Ablan Community School,,PHL,Ilocos Region,Ilocos Norte,Burgos,120.615402,18.531789
PHL-000010,101531,Abonagan - Bobon,,PHL,Ilocos Region,Pangasinan,Malasiqui,120.442371,15.926861
PHL-000011,100217,Abucay ES,,PHL,Ilocos Region,Ilocos Norte,Piddig,120.761857,18.158582
PHL-000012,101223,Abunciang ES,,PHL,Ilocos Region,Pangasinan,Bani,119.930822,16.234129
PHL-000013,100907,Acao Elementary School,,PHL,Ilocos Region,La Union,Bauang,120.3498,16.52405833
PHL-000014,100139,Acnam-Caray ES,,PHL,Ilocos Region,Ilocos Norte,Nueva Era,120.706324,17.944346
PHL-000015,101887,ACOP ES,,PHL,Ilocos Region,Pangasinan,Rosales,120.649582,15.87038
PHL-000016,100160,Adams CES,,PHL,Ilocos Region,Ilocos Norte,Adams,120.901845,18.462302
PHL-000017,100700,Ag-agrao ES,,PHL,Ilocos Region,Ilocos Sur,Santa Maria,120.517357,17.388542
PHL-000018,100762,AG-AGUMAN ELEM. SCHOOL,,PHL,Ilocos Region,Ilocos Sur,Tagudin,120.471161,16.92255
PHL-000019,100891,Ag-Na Elem.School,,PHL,Ilocos Region,La Union,Bangar,120.415846,16.895148
PHL-000020,100101,Agaga ES,,PHL,Ilocos Region,Ilocos Norte,Burgos,120.646098,18.451498
PHL-000021,102014,Agat ES,,PHL,Ilocos Region,Pangasinan,Sison,120.51402,16.205104
PHL-000022,100161,Aggasi PS,,PHL,Ilocos Region,Ilocos Norte,Pagudpud,120.813145,18.549522
PHL-000023,101132,AGNO CENTRAL SCHOOL,,PHL,Ilocos Region,Pangasinan,Agno,119.796667,16.118333
PHL-000024,102061,Agno ES,,PHL,Ilocos Region,Pangasinan,Tayug,120.730731,16.022841
PHL-000025,100801,Agoo East CES,,PHL,Ilocos Region,La Union,Agoo,120.369534,16.325118
PHL-000026,100809,Agoo West CES,,PHL,Ilocos Region,La Union,Agoo,120.365878,16.322479
PHL-000027,100932,Agpay ES,,PHL,Ilocos Region,La Union,Burgos,120.45142,16.50558
PHL-000028,101149,Aguilar Integrated School,,PHL,Ilocos Region,Pangasinan,Aguilar,120.237778,15.885278
PHL-000029,100325,Aguiwas PS,,PHL,Ilocos Region,Ilocos Sur,Alilem,120.516514,16.900171
PHL-000030,100970,Al-Alinao ES,,PHL,Ilocos Region,La Union,Naguilian,120.4227111,16.50344444
PHL-000031,101532,Alacan-Guilig ES,,PHL,Ilocos Region,Pangasinan,Malasiqui,120.40712,15.910747
PHL-000032,101166,Alaminos City Central School,,PHL,Ilocos Region,Pangasinan,City of Alaminos,119.982593,16.160137
PHL-000033,100495,Alangan Elementary School,,PHL,Ilocos Region,Ilocos Sur,Magsingal,120.372894,17.673464
PHL-000034,100044,Alao-Ao PS,,PHL,Ilocos Region,Ilocos Norte,Bangui,120.718856,18.498073
PHL-000035,101694,Alcala CS,,PHL,Ilocos Region,Pangasinan,Alcala,120.520278,15.846944
PHL-000036,152006,Alejandro A. Gamboa ES,,PHL,Ilocos Region,Pangasinan,San Jacinto,120.441184,16.072534
PHL-000037,100308,Alejo Malasig ES,,PHL,Ilocos Region,Ilocos Norte,Vintar,120.6379333,18.21735
PHL-000038,100555,Alfonso Elementary School,,PHL,Ilocos Region,Ilocos Sur,Gregorio del Pilar,120.608887,17.170385
PHL-000039,101554,Aliaga ES,,PHL,Ilocos Region,Pangasinan,Malasiqui,120.4166667,15.91667222
PHL-000040,101628,Alibago ES,,PHL,Ilocos Region,Pangasinan,Santa Barbara,120.384036,16.003789
PHL-000041,100858,Alibangsay ES,,PHL,Ilocos Region,La Union,Bagulin,120.469452,16.617427
PHL-000042,102015,Alibeng ES,,PHL,Ilocos Region,Pangasinan,Sison,120.522235,16.157233
PHL-000043,100326,Alilem Central School,,PHL,Ilocos Region,Ilocos Sur,Alilem,120.527193,16.888429
PHL-000044,101261,Alinggan-Banaban ES,,PHL,Ilocos Region,Pangasinan,Bayambang,120.415612,15.837217
PHL-000045,101849,Alipangpang ES,,PHL,Ilocos Region,Pangasinan,Pozorrubio,120.563209,16.106299
PHL-000046,102194,Alipio N. Ignacio Mem. ES,,PHL,Ilocos Region,Ilocos Norte,Laoag City,120.593,18.196
PHL-000047,101807,Alitaya ES,,PHL,Ilocos Region,Pangasinan,Mangaldan,120.408056,16.0325
PHL-000048,101502,Aliwekwek ES,,PHL,Ilocos Region,Pangasinan,Lingayen,120.244321,15.971902
PHL-000049,101133,Allabon ES,,PHL,Ilocos Region,Pangasinan,Agno,119.806319,16.0575
PHL-000050,100425,Allangigan Elementary School,,PHL,Ilocos Region,Ilocos Sur,City of Candon,120.48816,17.166399
PHL-000051,100872,Almeida ES,,PHL,Ilocos Region,La Union,Balaoan,120.331698,16.80886
PHL-000052,101134,Aloleng ES,,PHL,Ilocos Region,Pangasinan,Agno,119.783611,16.123333
PHL-000053,101167,Alos ES,,PHL,Ilocos Region,Pangasinan,City of Alaminos,119.966283,16.101925
PHL-000054,100288,Alsem ES,,PHL,Ilocos Region,Ilocos Norte,Vintar,120.685276,18.292255
PHL-000055,100462,Aluling ES,,PHL,Ilocos Region,Ilocos Sur,Cervantes,120.762573,16.976835
