geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
PNG-000000,,Kura,,PNG,Western,South Fly,Oriomo-Bituri Rural,142.85503700000004,-9.185242999999957
PNG-000001,,Abam.C/Sch,,PNG,Western,South Fly,Oriomo-Bituri Rural,143.18927700000006,-8.931130999999937
PNG-000002,,Nomad,,PNG,Western,Middle Fly,Nomad Rural,142.2465370000001,-6.29234299999996
PNG-000003,,Biyawa Comm School,,PNG,Western,Middle Fly,Gogodala Rural,142.88385000000005,-8.035263999999927
PNG-000004,,Kaniya,,PNG,Western,Middle Fly,Gogodala Rural,142.57554000000005,-7.968614999999943
PNG-000005,,Awaba High School,,PNG,Western,Middle Fly,Gogodala Rural,142.75646600000005,-8.009715999999912
PNG-000006,,Degetege Comm.School,,PNG,Western,Middle Fly,Gogodala Rural,142.8964420000001,-7.958135999999911
PNG-000007,,Ugu,,PNG,Western,Middle Fly,Gogodala Rural,143.13002500000005,-7.9602879999999345
PNG-000008,,Kwioknai,,PNG,Western,North Fly,Ningerum Rural,141.28112900000008,-5.536039999999957
PNG-000009,,Rouku,,PNG,Western,South Fly,Morehead Rural,141.59697500000004,-8.702845999999909
PNG-000010,,Edward.Baxter,,PNG,Western,South Fly,Daru Urban,143.20904300000007,-9.075550999999905
PNG-000011,,Kodoro,,PNG,Western,South Fly,Oriomo-Bituri Rural,142.649272,-9.170275999999944
PNG-000012,,Masingara.C/Sch,,PNG,Western,South Fly,Oriomo-Bituri Rural,142.95147600000007,-9.129371999999933
PNG-000013,,Nomad,,PNG,Western,Middle Fly,Nomad Rural,142.23175500000002,-6.293808999999953
PNG-000014,,Monford.Boys.Town,,PNG,Western,North Fly,Kiunga Rural,141.28614000000005,-6.113391999999919
PNG-000015,,Defence,,PNG,Western,North Fly,Kiunga Rural,141.291742,-6.104694999999936
PNG-000016,,Kiunga,,PNG,Western,North Fly,Kiunga Urban,141.30590100000006,-6.115599999999915
PNG-000017,,Karakara,,PNG,Western,South Fly,Daru Urban,143.20824600000003,-9.081131999999911
PNG-000018,,Daru.High,,PNG,Western,South Fly,Daru Urban,143.20716100000004,-9.079356999999959
PNG-000019,,Weam,,PNG,Western,South Fly,Morehead Rural,141.136483,-8.617506999999932
PNG-000020,,Torassi,,PNG,Western,South Fly,Morehead Rural,141.25551700000005,-8.85487699999993
PNG-000021,,Wipim,,PNG,Western,South Fly,Oriomo-Bituri Rural,142.88007700000003,-8.785162999999955
PNG-000022,,Montfort,,PNG,Western,North Fly,Kiunga Urban,141.2884200000001,-6.1181139999999345
PNG-000023,,Kiunga,,PNG,Western,North Fly,Kiunga Urban,141.29924500000004,-6.119133999999917
PNG-000024,,International,,PNG,Western,North Fly,Kiunga Urban,141.3041790000001,-6.117796999999939
PNG-000025,,Kiunga,,PNG,Western,North Fly,Kiunga Urban,141.30662300000006,-6.117185999999947
PNG-000026,,Hongas,,PNG,Western,North Fly,Kiunga Rural,141.31359600000008,-6.108203999999944
PNG-000027,,Adumari,,PNG,Western,Middle Fly,Nomad Rural,142.48146000000008,-6.215521999999908
PNG-000028,,Kikori,,PNG,Gulf,Kikori,West Kikori Rural,144.24814400000002,-7.424347999999952
PNG-000029,,Kikori,,PNG,Gulf,Kikori,West Kikori Rural,144.2439260000001,-7.411257999999918
PNG-000030,,Kotidanga,,PNG,Gulf,Kerema,Kotidanga Rural,145.89401800000007,-7.572002999999938
PNG-000031,,Kaintiba,,PNG,Gulf,Kerema,Kaintiba Rural,146.03650700000003,-7.5023839999999495
PNG-000032,,Uamai,,PNG,Gulf,Kerema,Central Kerema Rural,145.88944000000004,-8.039416999999958
PNG-000033,,Kerema,,PNG,Gulf,Kerema,Kerema Urban,145.777693,-7.969481999999914
PNG-000034,,Malalaua,,PNG,Gulf,Kerema,Lakekamu-Tauri Rural,146.14753700000006,-8.067961999999909
PNG-000035,,Opao,,PNG,Gulf,Kerema,Central Kerema Rural,145.714425,-7.884111999999959
PNG-000036,,Bema,,PNG,Gulf,Kerema,Kaintiba Rural,146.02804400000002,-7.46616999999992
PNG-000037,,Bema,,PNG,Gulf,Kerema,Kaintiba Rural,146.026382,-7.464961999999957
PNG-000038,,Mei'I,,PNG,Gulf,Kerema,Central Kerema Rural,145.71739100000002,-7.952639999999917
PNG-000039,,Urika Comm. School,,PNG,Gulf,Kikori,Baimuru Rural,145.08274800000004,-7.799684999999954
PNG-000040,,Don.Bosco,,PNG,Gulf,Kikori,Ihu Rural,145.62771500000008,-7.934330999999929
PNG-000041,,Kamulai,,PNG,Central,Goilala,Guari Rural,146.839203,-8.135435999999913
PNG-000042,,Olivi,,PNG,Central,Goilala,Guari Rural,146.820334,-8.230705999999941
PNG-000043,,Guari-Meipa,,PNG,Central,Goilala,Guari Rural,146.82449700000006,-8.285285999999928
PNG-000044,,Goilapu,,PNG,Central,Goilala,Guari Rural,146.7631140000001,-8.117249999999956
PNG-000045,,Suasi,,PNG,Central,Goilala,Guari Rural,146.80900600000007,-8.111081999999953
PNG-000046,,Gihivena,,PNG,Central,Goilala,Guari Rural,146.84737000000007,-8.107558999999924
PNG-000047,,Omu,,PNG,Central,Goilala,Guari Rural,146.87954200000001,-8.077090999999939
PNG-000048,,Gupou,,PNG,Central,Goilala,Tapini Rural,146.93162000000007,-8.262322999999924
PNG-000049,,Zanialavava,,PNG,Central,Goilala,Tapini Rural,146.90919100000008,-8.290924999999959
PNG-000050,,Opore,,PNG,Central,Goilala,Tapini Rural,146.93221300000005,-8.399411999999927
PNG-000051,,Tapini,,PNG,Central,Goilala,Tapini Rural,146.988558,-8.356155999999942
PNG-000052,,Kerau,,PNG,Central,Goilala,Tapini Rural,147.06518900000003,-8.255447999999944
PNG-000053,,Kiorivi,,PNG,Central,Goilala,Tapini Rural,147.10953000000006,-8.23085599999996
PNG-000054,,Kileipi,,PNG,Central,Goilala,Tapini Rural,147.141433,-8.238118999999926
PNG-000055,,Sopu,,PNG,Central,Goilala,Tapini Rural,147.16816800000004,-8.306921999999929
PNG-000056,,Maini,,PNG,Central,Goilala,Tapini Rural,147.11107400000003,-8.349989999999934
PNG-000057,,Koruava,,PNG,Central,Goilala,Tapini Rural,147.02827100000002,-8.381407999999908
PNG-000058,,Minalu,,PNG,Central,Goilala,Tapini Rural,147.10044400000004,-8.411086999999952
PNG-000059,,Fane,,PNG,Central,Goilala,Woitape Rural,147.0865520000001,-8.551200999999935
PNG-000060,,Belavista,,PNG,Central,Goilala,Woitape Rural,147.06379300000003,-8.530234999999948
PNG-000061,,Mafulu,,PNG,Central,Goilala,Woitape Rural,147.03332,-8.512670999999955
PNG-000062,,Ononge,,PNG,Central,Goilala,Woitape Rural,147.25880300000006,-8.68687899999992
PNG-000063,,Oro,,PNG,Central,Goilala,Woitape Rural,147.27007300000002,-8.744039999999927
PNG-000064,,Enende,,PNG,Central,Goilala,Woitape Rural,147.29342000000008,-8.750140999999928
PNG-000065,,Kosipe,,PNG,Central,Goilala,Woitape Rural,147.20590200000004,-8.44811999999996
PNG-000066,,Tanipai,,PNG,Central,Goilala,Woitape Rural,147.163138,-8.417321999999956
PNG-000067,,Kodige,,PNG,Central,Goilala,Woitape Rural,147.086452,-8.638628999999924
PNG-000068,,Yongai,,PNG,Central,Goilala,Woitape Rural,147.46025100000008,-8.52959299999992
PNG-000069,,Kombuka,,PNG,Central,Goilala,Woitape Rural,147.4374150000001,-8.504105999999922
PNG-000070,,Inauani,,PNG,Central,Kairuku/Hiri,Mekeo Kuni Rural,146.66342300000008,-8.494256999999948
PNG-000071,,Engefa,,PNG,Central,Kairuku/Hiri,Mekeo Kuni Rural,146.53483500000004,-8.432342999999946
PNG-000072,,Boru,,PNG,Central,Abau,Cloudy Bay Rural,148.847347,-10.236157999999932
PNG-000073,,Magaubo,,PNG,Central,Abau,Cloudy Bay Rural,148.94963800000005,-10.26650399999994
PNG-000074,,Magarida,,PNG,Central,Abau,Amazon Bay Rural,149.3385350000001,-10.29743499999995
PNG-000075,,Kurere-Asiaro,,PNG,Central,Abau,Amazon Bay Rural,149.342576,-10.299559999999929
PNG-000076,,Aroana,,PNG,Central,Abau,Amazon Bay Rural,149.39123600000005,-10.297134999999912
PNG-000077,,Borebo,,PNG,Central,Abau,Amazon Bay Rural,149.449654,-10.334645999999907
PNG-000078,,Ubuna,,PNG,Central,Abau,Amazon Bay Rural,149.43819500000006,-10.351198999999951
PNG-000079,,Oneone,,PNG,Central,Abau,Amazon Bay Rural,149.5084260000001,-10.346230999999932
PNG-000080,,Madana Station,,PNG,Central,Abau,Aroma Rural,148.0844830000001,-10.106765999999936
PNG-000081,,Buruku,,PNG,Central,Abau,Aroma Rural,148.13114100000007,-9.98071399999992
PNG-000082,,Veroi,,PNG,Central,Abau,Amazon Bay Rural,149.50434800000005,-10.074859999999944
PNG-000083,,Ilai,,PNG,Central,Abau,Amazon Bay Rural,149.5510250000001,-10.307855999999958
PNG-000084,,Nabai,,PNG,Central,Abau,Amazon Bay Rural,149.65277700000001,-10.33916599999992
PNG-000085,,Gohodae,,PNG,Central,Abau,Cloudy Bay Rural,148.62908900000002,-10.086485999999923
PNG-000086,,Amau,,PNG,Central,Abau,Cloudy Bay Rural,148.56270700000005,-10.042083999999932
PNG-000087,,Domara,,PNG,Central,Abau,Cloudy Bay Rural,148.563804,-10.170302999999933
PNG-000088,,Cocoaland,,PNG,Central,Abau,Cloudy Bay Rural,148.434348,-10.130387999999925
PNG-000089,,Moreguina,,PNG,Central,Abau,Cloudy Bay Rural,148.47481600000003,-10.015954999999906
PNG-000090,,Paramana,,PNG,Central,Abau,Aroma Rural,148.00651700000003,-10.15723099999991
PNG-000091,,Paramana,,PNG,Central,Abau,Aroma Rural,148.0055430000001,-10.159139999999923
PNG-000092,,Kinikalana,,PNG,Central,Abau,Aroma Rural,148.01140600000008,-10.144698999999946
PNG-000093,,Maopa 1,,PNG,Central,Abau,Aroma Rural,148.01776300000006,-10.13573699999995
PNG-000094,,Maopa 2,,PNG,Central,Abau,Aroma Rural,148.018104,-10.132383999999945
PNG-000095,,Gaivakala,,PNG,Central,Abau,Aroma Rural,148.0210810000001,-10.131293999999912
PNG-000096,,Egala'Auna,,PNG,Central,Abau,Aroma Rural,148.02372200000002,-10.129901999999959
PNG-000097,,Kwapeupa/Kelekapana,,PNG,Central,Abau,Aroma Rural,148.08906000000002,-10.132699999999943
PNG-000098,,Wairavanua,,PNG,Central,Abau,Aroma Rural,148.11538600000006,-10.131682999999953
PNG-000099,,Vuru,,PNG,Central,Abau,Aroma Rural,148.130132,-10.123686999999904
PNG-000100,,Loupon,,PNG,Central,Abau,Amazon Bay Rural,149.32139500000005,-10.322638999999924
PNG-000101,,Homenomu,,PNG,Central,Rigo,Rigo Inland Rural,148.059703,-9.649859999999933
PNG-000102,,Tabuakomana,,PNG,Central,Rigo,Rigo Inland Rural,148.070473,-9.831235999999933
PNG-000103,,Korulewa,,PNG,Central,Rigo,Rigo Inland Rural,148.0518770000001,-9.752835999999945
PNG-000104,,Varokogena,,PNG,Central,Rigo,Rigo Inland Rural,148.01156500000002,-9.890156999999931
PNG-000105,,Aipeana,,PNG,Central,Kairuku/Hiri,Mekeo Kuni Rural,146.55974300000003,-8.545377999999914
