geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
PRY-000000,1701016,,,PRY,ALTO PARAGUAY,Bahia Negra,,-58.1713924552568,-20.2419442519562
PRY-000001,1701007,,,PRY,ALTO PARAGUAY,Bahia Negra,,-58.0636070212589,-20.4055529505667
PRY-000002,1701005,,,PRY,ALTO PARAGUAY,Bahia Negra,,-58.1676228221078,-20.2281277450361
PRY-000003,1702030,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-57.9251645659378,-21.2813664817469
PRY-000004,1702027,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-57.8955119020459,-21.6959487356296
PRY-000005,1702024,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-57.9436125158115,-21.730002113714
PRY-000006,1702021,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-57.8874981509534,-21.6927756760746
PRY-000007,1702010,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-57.8874964905382,-21.6925046616244
PRY-000008,1702009,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-57.9146979406238,-21.6710996925642
PRY-000009,1702007,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-57.9091712436275,-21.6744455703832
PRY-000010,1702006,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-57.9240771009535,-21.2785627292471
PRY-000011,1702005,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-57.924821632048,-21.2820188474982
PRY-000012,1702011,,,PRY,ALTO PARAGUAY,Carmelo Peralta,,-58.0117868095964,-22.0333207903722
PRY-000013,1701013,,,PRY,ALTO PARAGUAY,Fuerte Olimpo,,-58.4838846853885,-21.0236088978461
PRY-000014,1701012,,,PRY,ALTO PARAGUAY,Fuerte Olimpo,,-57.966352403906,-20.7933996987824
PRY-000015,1701011,,,PRY,ALTO PARAGUAY,Fuerte Olimpo,,-58.6832481354538,-21.0255552440255
PRY-000016,1701004,,,PRY,ALTO PARAGUAY,Fuerte Olimpo,,-57.8708335161556,-21.0386136810894
PRY-000017,1701003,,,PRY,ALTO PARAGUAY,Fuerte Olimpo,,-57.8702784592168,-21.0391495785822
PRY-000018,1701002,,,PRY,ALTO PARAGUAY,Fuerte Olimpo,,-57.8777815857512,-21.0550032232639
PRY-000019,1701001,,,PRY,ALTO PARAGUAY,Fuerte Olimpo,,-57.8744485138841,-21.0347191840686
PRY-000020,1702026,,,PRY,ALTO PARAGUAY,Fuerte Olimpo,,-58.5256915934715,-20.6357775574381
PRY-000021,1656012,,,PRY,ALTO PARAGUAY,Puerto Casado,,-59.3224466589117,-22.0756277935591
PRY-000022,1603005,,,PRY,ALTO PARAGUAY,Puerto Casado,,-59.9400851272308,-21.8888134517127
PRY-000023,1702023,,,PRY,ALTO PARAGUAY,Puerto Casado,,-57.9407933347123,-22.2840897359909
PRY-000024,1702020,,,PRY,ALTO PARAGUAY,Puerto Casado,,-58.2288931254025,-22.2041662263717
PRY-000025,1702016,,,PRY,ALTO PARAGUAY,Puerto Casado,,-57.9705550788078,-22.1602745167098
PRY-000026,1702014,,,PRY,ALTO PARAGUAY,Puerto Casado,,-58.0941644097241,-22.1930592251456
PRY-000027,1702013,,,PRY,ALTO PARAGUAY,Puerto Casado,,-57.9591658074761,-22.1325006835935
PRY-000028,1702003,,,PRY,ALTO PARAGUAY,Puerto Casado,,-57.9486128781756,-22.2863929066322
PRY-000029,1702002,,,PRY,ALTO PARAGUAY,Puerto Casado,,-57.9391691567887,-22.2836113375869
PRY-000030,1702001,,,PRY,ALTO PARAGUAY,Puerto Casado,,-57.9410800439747,-22.2834196041102
