geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
SLE-000000,SLE_Seco_0001,Barri Islamic Secondary School,,SLE,Southern,Pujehun,Barri,-11.48365534,7.51020748
SLE-000001,SLE_Seco_0002,Holy Rosary Sec. School,,SLE,Southern,Pujehun,Panga Kabonde,-11.72079789,7.35207453
SLE-000002,SLE_Seco_0003,St. Paul's Secondary School,,SLE,Southern,Pujehun,Panga Kabonde,-11.72927561,7.36048955
SLE-000003,SLE_Scho_0004,Massaoma,,SLE,Southern,Pujehun,Malen,-11.88282465,7.42617576
SLE-000004,SLE_Seco_0005,Gobaru Secondary School,,SLE,Southern,Pujehun,Panga krim,-11.71113856,7.36662676
SLE-000005,SLE_Seco_0006,Sorogbema Secoundary School,,SLE,Southern,Pujehun,Soro Gbema,-11.40606229,7.09359567
SLE-000006,SLE_Prim_0007,D.E.C. Primary School,,SLE,Southern,Bonthe,Bendu-Cha,-12.39115409,7.4784856
SLE-000007,SLE_Prim_0008,UMC Primary School - Bendu,,SLE,Southern,Bonthe,Bendu-Cha,-12.45517354,7.48860188
SLE-000008,SLE_Prim_0009,Islamic Call Society Primary School,,SLE,Southern,Bonthe,Bum,-11.93669556,7.42072719
SLE-000009,SLE_Prim_0010,R.C. Primary School,,SLE,Southern,Bonthe,Bum,-11.90769502,7.41902081
SLE-000010,SLE_Prim_0011,D.E.C. Primary School,,SLE,Southern,Bonthe,Bum,-11.94355492,7.4626365
SLE-000011,SLE_Prim_0012,Methodist Primary School,,SLE,Southern,Bonthe,Bum,-11.97331967,7.43374529
SLE-000012,SLE_Prim_0013,Namya Islamic Primary School,,SLE,Southern,Bonthe,Bum,-11.94376159,7.46376439
SLE-000013,SLE_Prim_0014,Islamic Call Society Primary School,,SLE,Southern,Bonthe,Bum,-11.9260949,7.49525796
SLE-000014,SLE_Prim_0015,N.I.Primary School,,SLE,Southern,Bonthe,Bum,-11.90820778,7.51977864
SLE-000015,SLE_Prim_0016,R.C. Primary School,,SLE,Southern,Bonthe,Bum,-11.93155779,7.50402997
SLE-000016,SLE_Prim_0017,R.C. Primary School,,SLE,Southern,Bonthe,Bum,-11.92079118,7.5305994
SLE-000017,SLE_Prim_0018,Methodist Primary School,,SLE,Southern,Bonthe,Bum,-12.00573074,7.4147056
SLE-000018,SLE_Prim_0019,R.C. Primary School,,SLE,Southern,Bonthe,Bum,-12.00874492,7.41462653
SLE-000019,SLE_Prim_0020,Islamic Call Society Primary School,,SLE,Southern,Bonthe,Bum,-11.94244798,7.37785797
