geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
SOM-000364,Somalia - Education Facilities.365,Kulbiyow Primary Schoool,,SOM,Lower Juba,BADHADHE,,41.22177,-1.1327
SOM-000362,Somalia - Education Facilities.363,Badhaadhe Primary School,,SOM,Lower Juba,BADHADHE,,41.50047,-1.03537
SOM-000392,Somalia - Education Facilities.393,Al-Irshaad Primary School,,SOM,Lower Juba,KISMAYO,,42.54626,-0.36209
SOM-000390,Somalia - Education Facilities.391,Al Hudaa Primary School,,SOM,Lower Juba,KISMAYO,,42.54626,-0.36202
SOM-000393,Somalia - Education Facilities.394,Ahmed Bin Hanbal Primary School,,SOM,Lower Juba,KISMAYO,,42.54629,-0.36029
SOM-000389,Somalia - Education Facilities.390,Ibnu Mascuud Primary School,,SOM,Lower Juba,KISMAYO,,42.54626,-0.36029
SOM-000391,Somalia - Education Facilities.392,Gobweyn Primary School,,SOM,Lower Juba,KISMAYO,,42.60119,-0.24808
SOM-000363,Somalia - Education Facilities.364,Hoosingow Primary School,,SOM,Lower Juba,BADHADHE,,41.27012,-0.17382
SOM-000379,Somalia - Education Facilities.380,Gobanimo Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.63977,-0.03503
SOM-000381,Somalia - Education Facilities.382,Bander Jadid Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.60922,-0.01289
SOM-000385,Somalia - Education Facilities.386,Malaley Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.66156,0.00182
SOM-000382,Somalia - Education Facilities.383,Nafta - Quur Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.75004,0.02687
SOM-000367,Somalia - Education Facilities.368,Arare Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.6821,0.0289
SOM-000378,Somalia - Education Facilities.379,Osman Binu Afan Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.7382,0.06916
SOM-000369,Somalia - Education Facilities.370,Beled - Rahma Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.71225,0.07806
SOM-000366,Somalia - Education Facilities.367,Mogambo Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.71765,0.15619
SOM-000371,Somalia - Education Facilities.372,Moffi Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.75129,0.16415
SOM-000373,Somalia - Education Facilities.374,Wadajir Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.75365,0.17192
SOM-000372,Somalia - Education Facilities.373,Mashaqo Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.74764,0.19575
SOM-000377,Somalia - Education Facilities.378,Deema Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.76579,-0.01946
SOM-000384,Somalia - Education Facilities.385,Honqare Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.79458,0.01239
SOM-000375,Somalia - Education Facilities.376,Beled Amin Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.77055,0.19529
SOM-000374,Somalia - Education Facilities.375,Miguwa Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.76012,0.22178
SOM-000370,Somalia - Education Facilities.371,Sabatuni Primary School,,SOM,Lower Juba,JAMAAME EAST,,42.77542,0.22323
SOM-000376,Somalia - Education Facilities.377,Kamsuma Primary School,,SOM,Lower Juba,JAMAAME EAST,,42.77512,0.24935
SOM-000380,Somalia - Education Facilities.381,Burgan Primary School,,SOM,Lower Juba,JAMAAME EAST,,42.83449,0.25357
SOM-000368,Somalia - Education Facilities.369,Makalango Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.75822,0.25429
SOM-000439,Somalia - Education Facilities.440,Bander Salaama Primary School,,SOM,Middle Juba,JILIB EAST,,42.77064,0.36388
SOM-000440,Somalia - Education Facilities.441,Homboy Primary School,,SOM,Middle Juba,JILIB EAST,,42.86668,0.39788
SOM-000359,Somalia - Education Facilities.360,Qoqani Primary School,,SOM,Lower Juba,AFMADOW,,41.71361,0.28189
SOM-000365,Somalia - Education Facilities.366,Bardhere Primary School,,SOM,Lower Juba,JAMAAME WEST,,42.74185,0.29069
SOM-000387,Somalia - Education Facilities.388,Upper Hill Primary School (Dalcada),,SOM,Lower Juba,JILIB WEST,,42.54626,0.36029
SOM-000388,Somalia - Education Facilities.389,S. W. O Primary School,,SOM,Lower Juba,JILIB WEST,,42.54626,0.36202
SOM-000436,Somalia - Education Facilities.437,Kalanje Primary School,,SOM,Middle Juba,JILIB WEST,,42.73963,0.37135
SOM-000383,Somalia - Education Facilities.384,Bengeni Primary School,,SOM,Middle Juba,JILIB WEST,,42.72636,0.3911
SOM-000446,Somalia - Education Facilities.447,Mubaarak Primary School,,SOM,Middle Juba,JILIB WEST,,42.72734,0.42552
SOM-000437,Somalia - Education Facilities.438,Mareerey Primary School,,SOM,Middle Juba,JILIB WEST,,42.7154,0.42943
SOM-000357,Somalia - Education Facilities.358,Hayo Primary School,,SOM,Lower Juba,AFMADOW,,41.81446,0.43422
SOM-000451,Somalia - Education Facilities.452,Hargeesa Yerey Primary School,,SOM,Middle Juba,JILIB WEST,,42.70346,0.4473
SOM-000358,Somalia - Education Facilities.359,Al - Hudda Primary School,,SOM,Lower Juba,AFMADOW,,42.07301,0.51486
SOM-000441,Somalia - Education Facilities.442,Abdala Kakane Primary School,,SOM,Middle Juba,JILIB WEST,,42.75359,0.52403
SOM-000442,Somalia - Education Facilities.443,Osboley Primary School,,SOM,Middle Juba,JILIB WEST,,42.74954,0.53666
SOM-000450,Somalia - Education Facilities.451,B/Kariim Primary School,,SOM,Middle Juba,JILIB WEST,,42.73956,0.54448
SOM-000438,Somalia - Education Facilities.439,Buulo Balley Primary School,,SOM,Middle Juba,JILIB EAST,,42.74723,0.60948
SOM-000445,Somalia - Education Facilities.446,Wagade Primary School,,SOM,Lower Juba,AFMADOW,,42.40706,0.68395
SOM-000444,Somalia - Education Facilities.445,Osman Mote Primary School,,SOM,Middle Juba,JILIB WEST,,42.69456,0.69469
SOM-000360,Somalia - Education Facilities.361,Aden Geddi Primary School,,SOM,Lower Juba,HAGAR,,41.97531,0.87003
SOM-000361,Somalia - Education Facilities.362,Wadajir Primary School,,SOM,Lower Juba,HAGAR,,41.665,1.0
SOM-000459,Somalia - Education Facilities.460,Qaboobe Primary School,,SOM,Middle Juba,SAKOW,,42.44968,1.54715
SOM-000443,Somalia - Education Facilities.444,Sheik Noor (1) Primary School,,SOM,Middle Juba,JILIB EAST,,42.7702,0.49345
SOM-000448,Somalia - Education Facilities.449,B/Rahma primary School,,SOM,Middle Juba,JILIB WEST,,42.75757,0.49547
SOM-000447,Somalia - Education Facilities.448,Manyagabo Primary School,,SOM,Middle Juba,JILIB WEST,,42.76448,0.50685
SOM-000449,Somalia - Education Facilities.450,Madhoke Limole Primary School,,SOM,Middle Juba,JILIB EAST,,42.76406,0.54895
SOM-000281,Somalia - Education Facilities.282,Yaqbaraway,,SOM,Bay,DINSOOR,,43.1,1.9
SOM-000280,Somalia - Education Facilities.281,Waberi,,SOM,Bay,DINSOOR,,42.9,2.0
SOM-000278,Somalia - Education Facilities.279,Fathu - Rahman,,SOM,Bay,DINSOOR,,42.97,2.4
SOM-000286,Somalia - Education Facilities.287,Sheikh Ibrahim,,SOM,Bay,QANSAH DHEERE,,42.88,2.76
SOM-000263,Somalia - Education Facilities.264,Robay Gadud,,SOM,Bay,BAIDOA,,43.3,2.78
SOM-000285,Somalia - Education Facilities.286,Koringbood,,SOM,Bay,QANSAH DHEERE,,43.0,2.8
SOM-000453,Somalia - Education Facilities.454,Nusdunia Primary School,,SOM,Middle Juba,SAKOW,,42.42742,1.62255
SOM-000455,Somalia - Education Facilities.456,Towfiq Primary School,,SOM,Middle Juba,SAKOW,,42.45217,1.63938
SOM-000460,Somalia - Education Facilities.461,Birbiriso Primary School,,SOM,Middle Juba,SAKOW,,42.42952,1.67216
SOM-000457,Somalia - Education Facilities.458,Qeyt-Ajubo Primary School,,SOM,Middle Juba,SAKOW,,42.5224,1.67924
SOM-000456,Somalia - Education Facilities.457,Basra Primary School,,SOM,Middle Juba,SAKOW,,42.34105,1.68813
SOM-000454,Somalia - Education Facilities.455,Gurmeysa Primary School,,SOM,Middle Juba,SAKOW,,42.40564,1.69039
SOM-000452,Somalia - Education Facilities.453,Nebsoy Primary School,,SOM,Middle Juba,SAKOW,,42.50629,1.74871
SOM-000458,Somalia - Education Facilities.459,Salagle Primary School,,SOM,Middle Juba,SALAGLE,,42.29569,1.81187
SOM-000317,Somalia - Education Facilities.318,Sarinley Primary School,,SOM,Gedo,BARDERA,,42.28088,2.0
SOM-000313,Somalia - Education Facilities.314,Anole Primary School,,SOM,Gedo,BARDERA,,42.31422,2.01512
SOM-000282,Somalia - Education Facilities.283,Bulo - Gadud,,SOM,Bay,DINSOOR,,42.67,2.1
SOM-000315,Somalia - Education Facilities.316,Iftin Primary School,,SOM,Gedo,BARDERA,,41.62433,2.20526
SOM-000314,Somalia - Education Facilities.315,Bardere Primary School,,SOM,Gedo,BARDERA,,42.28502,2.33966
SOM-000279,Somalia - Education Facilities.280,Habibyal,,SOM,Bay,DINSOOR,,42.66,2.3522
SOM-000316,Somalia - Education Facilities.317,Mardha Primary School,,SOM,Gedo,BARDERA,,42.3309,2.4029
SOM-000321,Somalia - Education Facilities.322,El-Wak Primary School,,SOM,Gedo,EL WAK,,40.99829,2.78797
SOM-000325,Somalia - Education Facilities.326,Gorboharrey Primary School,,SOM,Gedo,BURDUBO,,42.21988,3.0
SOM-000323,Somalia - Education Facilities.324,El-Ade Primary School,,SOM,Gedo,GARBAHAREY,,41.86778,3.03672
SOM-000324,Somalia - Education Facilities.325,El Gadud Primary School,,SOM,Gedo,BURDUBO,,42.6,3.0798
SOM-000322,Somalia - Education Facilities.323,Bura Primary School,,SOM,Gedo,GARBAHAREY,,42.13948,3.17188
SOM-000264,Somalia - Education Facilities.265,Sabiyo,,SOM,Bay,BAIDOA,,43.3,2.8
SOM-000283,Somalia - Education Facilities.284,Durey Emid,,SOM,Bay,QANSAH DHEERE,,42.9294,2.83366
SOM-000284,Somalia - Education Facilities.285,Fathurahman,,SOM,Bay,QANSAH DHEERE,,43.0,2.87
SOM-000262,Somalia - Education Facilities.263,Manas,,SOM,Bay,BAIDOA,,43.46,2.89
SOM-000268,Somalia - Education Facilities.269,Gorisane,,SOM,Bay,BAIDOA,,43.4,2.9
SOM-000270,Somalia - Education Facilities.271,Alio Marayle,,SOM,Bay,BAIDOA,,43.33,2.9
SOM-000261,Somalia - Education Facilities.262,Kormare,,SOM,Bay,BAIDOA,,43.35,2.99
SOM-000266,Somalia - Education Facilities.267,Roble,,SOM,Bay,BAIDOA,,43.41,3.06
SOM-000274,Somalia - Education Facilities.275,Toswein,,SOM,Bay,BERDALE,,43.2,3.1
SOM-000271,Somalia - Education Facilities.272,Berdale,,SOM,Bay,BERDALE,,43.1,3.2
SOM-000320,Somalia - Education Facilities.321,Burdubo Primary School,,SOM,Gedo,BURDUBO,,42.50181,3.1728
SOM-000326,Somalia - Education Facilities.327,T/Barwaqo,,SOM,Gedo,GARBAHAREY,,42.4683,3.48314
SOM-000319,Somalia - Education Facilities.320,Khalid,,SOM,Gedo,BELET HAWA,,41.89431,3.78074
SOM-000329,Somalia - Education Facilities.330,Salaam,,SOM,Gedo,LUUQ,,42.54459,3.7999
SOM-000327,Somalia - Education Facilities.328,Ganane,,SOM,Gedo,LUUQ,,42.54459,3.79999
SOM-000318,Somalia - Education Facilities.319,Malka Hare,,SOM,Gedo,BELET HAWA,,41.9323,3.9794
SOM-000312,Somalia - Education Facilities.313,Ged/Wayne,,SOM,Gedo,BELET HAWA,,42.02942,4.0293
SOM-000429,Somalia - Education Facilities.430,Muungiye Primary School,,SOM,Lower Shebelle,MARKA,,44.62074,1.60907
SOM-000421,Somalia - Education Facilities.422,Golweyn,,SOM,Lower Shebelle,KURTUNWAAREY,,44.5,1.65
SOM-000410,Somalia - Education Facilities.411,Sh. Abdi Dhere,,SOM,Lower Shebelle,MARKA,,44.57,1.65
SOM-000422,Somalia - Education Facilities.423,Shalambod,,SOM,Lower Shebelle,MARKA,,44.69499,1.7
SOM-000420,Somalia - Education Facilities.421,Madulow,,SOM,Lower Shebelle,QORYOLEY,,44.55,1.7
SOM-000411,Somalia - Education Facilities.412,Ayub Orphanage,,SOM,Lower Shebelle,MARKA,,44.7,1.7
SOM-000423,Somalia - Education Facilities.424,Waagdaadi,,SOM,Lower Shebelle,MARKA,,44.64,1.7
SOM-000409,Somalia - Education Facilities.410,Badru - Diin,,SOM,Lower Shebelle,MARKA,,44.76,1.71
SOM-000407,Somalia - Education Facilities.408,J.M Barrow,,SOM,Lower Shebelle,MARKA,,44.76,1.7156
SOM-000406,Somalia - Education Facilities.407,New way's,,SOM,Lower Shebelle,MARKA,,44.7699,1.7156
SOM-000408,Somalia - Education Facilities.409,Sheik Abrone,,SOM,Lower Shebelle,MARKA,,44.7699,1.71567
SOM-000427,Somalia - Education Facilities.428,Gandaawe,,SOM,Lower Shebelle,MARKA,,44.7,1.72
SOM-000424,Somalia - Education Facilities.425,Mushani,,SOM,Lower Shebelle,MARKA,,44.6566,1.77
SOM-000428,Somalia - Education Facilities.429,Kay toy,,SOM,Lower Shebelle,MARKA,,44.67,1.78
SOM-000431,Somalia - Education Facilities.432,Majabto Primary School,,SOM,Lower Shebelle,MARKA,,44.63279,1.78251
SOM-000432,Somalia - Education Facilities.433,Tawakal Primary School,,SOM,Lower Shebelle,MARKA,,44.62099,1.79698
