geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
TAN-000000,EM.1865,BANGATA,,TZA,Arusha,Arusha,Bangata,36.74399954,-3.338421019
TAN-000003,EM.4582,MIDAWE,,TZA,Arusha,Arusha,Bangata,36.74861731,-3.332989554
TAN-000006,EM.3409,SASI,,TZA,Arusha,Arusha,Bangata,36.74510779,-3.365109643
TAN-000009,EM.4030,BWAWANI,,TZA,Arusha,Arusha,Bwawani,36.84478314,-3.607894651
TAN-000012,EM.11343,BWAWANI,,TZA,Arusha,Arusha,Bwawani,36.84478314,-3.607894651
TAN-000015,EM.18772,BWAWANI,,TZA,Arusha,Arusha,Bwawani,36.84478314,-3.607894651
TAN-000018,EM.4032,KIGONGONI,,TZA,Arusha,Arusha,Bwawani,36.77969169,-3.536971065
TAN-000021,EM.11082,LAMOLOKI,,TZA,Arusha,Arusha,Bwawani,36.8328811,-3.58017525
TAN-000024,EM.5790,MUNGUSHI,,TZA,Arusha,Arusha,Bwawani,36.83414089,-3.529985356
TAN-000027,EM.2012,OLOKII,,TZA,Arusha,Arusha,Bwawani,36.81145294,-3.589697902
TAN-000030,EM.13504,ALBEHIJE,,TZA,Arusha,Arusha,Kiranyi,36.671719,-3.352888
TAN-000033,EM.7602,ENYUATA,,TZA,Arusha,Arusha,Kiranyi,36.671719,-3.352888
TAN-000036,EM.10716,ILKIUREI,,TZA,Arusha,Arusha,Kiranyi,36.67412596,-3.354763761
TAN-000039,EM.13029,KIRANYI,,TZA,Arusha,Arusha,Kiranyi,36.671719,-3.352888
TAN-000042,EM.7604,NATEMA,,TZA,Arusha,Arusha,Olorieni,36.6726563,-3.329539931
TAN-000045,EM.3408,OLCHOKI,,TZA,Arusha,Arusha,Olorieni,36.67141831,-3.339634156
TAN-000048,EM.735,KISONGO,,TZA,Arusha,Arusha,Ilkiding'a,36.69511761,-3.317009675
TAN-000051,EM.4578,LESIRAA,,TZA,Arusha,Arusha,Kisongo,36.50537781,-3.397378302
TAN-000054,EM.14311,YAKINI,,TZA,Arusha,Arusha,Kisongo,36.524137,-3.379835
TAN-000057,EM.3022,LEMUGUR,,TZA,Arusha,Monduli,Moita,36.56140491,-3.431959762
TAN-000060,EM.2011,KISERIAN,,TZA,Arusha,Arusha,Mlangarini,36.74017041,-3.449549452
TAN-000063,EM.6944,MANYIRE,,TZA,Arusha,Arusha,Mlangarini,36.80627208,-3.454369582
TAN-000066,EM.4035,MLANGARINI,,TZA,Arusha,Arusha,Mlangarini,36.78700034,-3.447273332
