geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
YEM-000000,120621020.0,,,YEM,Abyan Governorate,Rassd,,45.27583,13.7605
YEM-000001,120621021.0,,,YEM,Abyan Governorate,Rassd,,45.27855,13.77162
YEM-000002,120621022.0,,,YEM,Abyan Governorate,Rassd,,45.27855,13.77162
YEM-000003,120621023.0,,,YEM,Abyan Governorate,Rassd,,45.25848,13.7721
YEM-000004,120621024.0,,,YEM,Abyan Governorate,Rassd,,45.26136,13.76801
YEM-000005,120621025.0,,,YEM,Abyan Governorate,Rassd,,45.25347,13.76624
YEM-000006,120621027.0,,,YEM,Abyan Governorate,Rassd,,45.24614,13.76508
YEM-000007,120621028.0,,,YEM,Abyan Governorate,Rassd,,45.25378,13.75633
YEM-000008,120621029.0,,,YEM,Abyan Governorate,Rassd,,45.24098,13.77036
YEM-000009,120621030.0,,,YEM,Abyan Governorate,Rassd,,45.25541,13.78986
YEM-000010,120621031.0,,,YEM,Abyan Governorate,Rassd,,45.26301,13.78889
YEM-000011,120621032.0,,,YEM,Abyan Governorate,Rassd,,45.28002,13.78567
YEM-000012,120621033.0,,,YEM,Abyan Governorate,Rassd,,45.24383,13.77694
YEM-000013,120121001.0,,,YEM,Abyan Governorate,Al Mahfad,,46.42488,13.97045
YEM-000014,120121002.0,,,YEM,Abyan Governorate,Al Mahfad,,46.45188,13.97567
YEM-000015,120121003.0,,,YEM,Abyan Governorate,Al Mahfad,,46.4971,13.97977
YEM-000016,120121004.0,,,YEM,Abyan Governorate,Al Mahfad,,46.53695,13.97305
YEM-000017,120121005.0,,,YEM,Abyan Governorate,Al Mahfad,,46.59774,13.99259
YEM-000018,120121006.0,,,YEM,Abyan Governorate,Al Mahfad,,46.764,14.04407
YEM-000019,120121007.0,,,YEM,Abyan Governorate,Al Mahfad,,46.80592,14.04291
YEM-000020,120121008.0,,,YEM,Abyan Governorate,Al Mahfad,,46.84607,14.05374
YEM-000021,120121009.0,,,YEM,Abyan Governorate,Al Mahfad,,46.45188,13.97567
YEM-000022,120121010.0,,,YEM,Abyan Governorate,Al Mahfad,,46.7763,14.11386
YEM-000023,120121011.0,,,YEM,Abyan Governorate,Al Mahfad,,46.62924,14.14722
YEM-000024,120121012.0,,,YEM,Abyan Governorate,Al Mahfad,,46.75467,14.10055
YEM-000025,120121013.0,,,YEM,Abyan Governorate,Al Mahfad,,46.85107,14.10696
YEM-000026,120121014.0,,,YEM,Abyan Governorate,Al Mahfad,,46.88395,14.15483
