geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
ZWE-000000,schoolsandtheircoordinates2020.1,ADMIRAL TAIT,,ZWE,Harare,Harare,Harare 2,31.08971,-17.82644
ZWE-000001,schoolsandtheircoordinates2020.2,ALEXANDRA PARK,,ZWE,Harare,Harare,Harare 7,31.05566,-17.79152
ZWE-000002,schoolsandtheircoordinates2020.3,ALFRED BEIT PRIMARY,,ZWE,Harare,Harare,Harare 16,31.00001,-17.78811
ZWE-000003,schoolsandtheircoordinates2020.4,ARDBENNIE,,ZWE,Harare,Harare,Harare 23,31.03505,-17.87671
ZWE-000004,schoolsandtheircoordinates2020.5,AVONDALE,,ZWE,Harare,Harare,Harare 7,31.03407,-17.79174
ZWE-000005,schoolsandtheircoordinates2020.6,AVONLEA,,ZWE,Harare,Harare,Harare 41,31.00813,-17.77002
ZWE-000006,schoolsandtheircoordinates2020.7,ST. CATHERINE SPEC.,,ZWE,Harare,Harare,Harare 8,31.07381,-17.81602
ZWE-000007,schoolsandtheircoordinates2020.8,BATSIRAI ZIMCARE TRUST SPECIAL,,ZWE,Harare,Harare,Harare 40,30.92285,-17.80474
ZWE-000008,schoolsandtheircoordinates2020.9,TINOKWIRIRA SPEC.,,ZWE,Harare,Harare,Harare 19,31.19596,-17.83321
ZWE-000009,schoolsandtheircoordinates2020.10,RUVIMBO SPECIAL,,ZWE,Harare,Harare,Harare 13,31.01185,-17.85632
ZWE-000010,schoolsandtheircoordinates2020.11,BATANAI,,ZWE,Harare,Harare,Harare 19,31.19255,-17.8336
ZWE-000011,schoolsandtheircoordinates2020.12,BELVEDERE PRIMARY,,ZWE,Harare,Harare,Harare 5,31.01632,-17.82522
ZWE-000012,schoolsandtheircoordinates2020.13,BLAKISTON  JUNIOR,,ZWE,Harare,Harare,Harare 6,31.03773,-17.8089
ZWE-000013,schoolsandtheircoordinates2020.14,BORROWDALE PRIMARY,,ZWE,Harare,Harare,Harare 8,31.0905,-17.77379
ZWE-000014,schoolsandtheircoordinates2020.15,CHEMBIRA,,ZWE,Harare,Harare,Harare 28,30.9651,-17.91313
ZWE-000015,schoolsandtheircoordinates2020.16,CHENGU,,ZWE,Harare,Harare,Harare 25,30.98931,-17.8916
ZWE-000016,schoolsandtheircoordinates2020.17,CHINEMBIRI,,ZWE,Harare,Chitungwiza,Chitungwiza 21,31.09572,-18.01473
ZWE-000017,schoolsandtheircoordinates2020.18,ST MARY,,ZWE,Harare,Chitungwiza,Chitungwiza 10,31.05849,-17.99326
ZWE-000018,schoolsandtheircoordinates2020.19,CHIPEMBERE,,ZWE,Harare,Harare,Harare 24,30.99782,-17.88971
ZWE-000019,schoolsandtheircoordinates2020.20,CHIRODZO,,ZWE,Harare,Harare,Harare 11,31.03135,-17.85855
ZWE-000020,schoolsandtheircoordinates2020.21,NYATSIME COLLEGE,,ZWE,Harare,Chitungwiza,Chitungwiza 15,31.08376,-18.0046
ZWE-000021,schoolsandtheircoordinates2020.22,CHITSERE,,ZWE,Harare,Harare,Harare 12,31.02775,-17.86527
ZWE-000022,schoolsandtheircoordinates2020.23,ST. PETERS KUBATANA HIGH,,ZWE,Harare,Harare,Harare 27,30.98402,-17.90543
