geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
ARG-000000,60000200,ESCUELA DE EDUCACIÓN PRIMARIA Nº2 DOMINGO FAUSTINO SARMIENTO,,ARG,Buenos Aires,AZUL,
ARG-000001,60000300,INSTITUTO PEDRO B. PALACIOS,,ARG,Buenos Aires,LA MATANZA,
ARG-000002,60000400,INSTITUTO JUANA DE IBARBOUROU,,ARG,Buenos Aires,LA MATANZA,
ARG-000003,60000700,INSTITUTO SAN JOSÉ,,ARG,Buenos Aires,MORON,
ARG-000004,60000900,PEDRO BONIFACIO PALACIOS ALMAFUERTE,,ARG,Buenos Aires,MORON,
ARG-000005,60001000,COLEGIO CREAR Y SER,,ARG,Buenos Aires,MORON,
ARG-000006,60001200,COLEGIO SAN JOSÉ DE CALASANZ,,ARG,Buenos Aires,HURLINGHAM,
ARG-000007,60001300,ESCUELA DE EDUCACIÓN PRIMARIA Nº10 SIR ALEXANDER FLEMING,,ARG,Buenos Aires,HURLINGHAM,
ARG-000008,60001500,ESCUELA DE EDUCACIÓN PRIMARIA Nº22 MARTÍN FIERRO,,ARG,Buenos Aires,HURLINGHAM,
ARG-000009,60001600,ESCUELA DE EDUCACIÓN PRIMARIA Nº21 ROSARIO VERA PEÑALOZA,,ARG,Buenos Aires,HURLINGHAM,
ARG-000010,60001700,ESCUELA DE EDUCACIÓN PRIMARIA Nº13 DR. TOMAS LE BRETON,,ARG,Buenos Aires,HURLINGHAM,
ARG-000011,60002000,ESCUELA DE EDUCACIÓN PRIMARIA Nº25 SUBTE. AVIADOR PABLO TEODORO FELS,,ARG,Buenos Aires,HURLINGHAM,
ARG-000012,60002200,ESCUELA DE EDUCACIÓN PRIMARIA Nº18 WILLIAM CASE MORRIS,,ARG,Buenos Aires,HURLINGHAM,
ARG-000013,60002700,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 DOMINGO FAUSTINO SARMIENTO,,ARG,Buenos Aires,LUJAN,
ARG-000014,60002900,INSTITUTO INMACULADA CONCEPCION,,ARG,Buenos Aires,LUJAN,
ARG-000015,60003000,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 JULIO STEVERLYNCK,,ARG,Buenos Aires,LUJAN,
ARG-000016,60003200,ESCUELA DE EDUCACIÓN PRIMARIA Nº10 ALMIRANTE GUILLERMO BROWN,,ARG,Buenos Aires,JUNIN,
ARG-000017,60003400,ESCUELA DE EDUCACIÓN PRIMARIA Nº30 25 DE MAYO,,ARG,Buenos Aires,JUNIN,
ARG-000018,60003700,ESCUELA DE EDUCACIÓN PRIMARIA Nº33 COMANDANTE ESCRIBANO,,ARG,Buenos Aires,JUNIN,
ARG-000019,60003800,ESCUELA DE EDUCACIÓN PRIMARIA Nº26 JUAN PASCUAL PRINGLES,,ARG,Buenos Aires,JUNIN,
ARG-000020,60004100,ESCUELA DE EDUCACIÓN PRIMARIA Nº9 MARIANO MORENO,,ARG,Buenos Aires,JUNIN,
ARG-000021,60004200,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 JOSÉ MANUEL ESTRADA,,ARG,Buenos Aires,ITUZAINGO,
ARG-000022,60004700,COLEGIO SAN FCO.DE XABIER,,ARG,Buenos Aires,25 DE MAYO,
ARG-000023,60004800,INSTITUTO STELLA MARIS ADORATRICES,,ARG,Buenos Aires,GENERAL PUEYRREDON,
