geo_id,deped_id,school_name
BHR-000000,1,AL BARAKA KINDERGARTEN
BHR-000001,2,AL BARAKA KINDERGARTEN
BHR-000002,3,AL BAWASIM KINDERGARTEN
BHR-000003,4,AL BUDOOR KINDERGARTEN
BHR-000004,5,AL BURAQ KINDERGARTEN
BHR-000005,6,AL DANA KINDERGARTEN
BHR-000006,7,AL DANA KINDERGARTEN
BHR-000007,8,AL DANA KINDERGARTEN
BHR-000008,9,AL EHSAN KINDERGARTEN
BHR-000009,10,AL EMAM AL HASAN MODEL KINDERGARTEN
BHR-000010,11,AL EMAM AL HUSSAIN KINDERGARTEN
BHR-000011,12,AL EMAM MUHAMMAD BIN SAʻUD KINDERGARTEN
BHR-000012,13,AL FARDOUS KINDERGARTEN
BHR-000013,14,AL FAROUQ KINDERGARTEN
BHR-000014,15,AL FATEH MODEL KINDERGARTEN
BHR-000015,16,AL HAKEEM KINDERGARTEN
BHR-000016,17,AL HANAN KINDERGARTEN
BHR-000017,18,AL HIDAYAH KINDERGARTEN
BHR-000018,19,AL JAWAHER KINDERGARTEN
BHR-000019,20,AL KHAIR KINDERGARTEN
BHR-000020,21,AL KHALEEJ KINDERGARTEN
BHR-000021,22,AL MAAʻALI GATE MODEL KINDERGARTEN
BHR-000022,23,AL MAʻAMEER KINDERGARTEN
BHR-000023,24,AL MAJD KINDERGARTEN
BHR-000024,25,AL MAJD MODEL KINDERGARTEN
BHR-000025,26,AL MANHAL KINDERGARTEN
BHR-000026,27,AL NAHDHA KINDERGARTEN
BHR-000027,28,AL NASSERIYAH KINDERGARTEN
BHR-000028,29,AL NASSERIYAH KINDERGARTEN
BHR-000029,30,AL NOORAIN KINDERGARTEN
BHR-000030,31,AL OLA KINDERGARTEN
BHR-000031,32,AL RAED KINDERGARTEN
BHR-000032,33,AL RAWABI KINDERGARTEN
BHR-000033,34,AL RAYYAN KINDERGARTEN
BHR-000034,35,AL SALAM KINDERGARTEN
BHR-000035,36,AL SANABEL KINDERGARTEN
BHR-000036,37,AL SANABEL SCHOOL
BHR-000037,38,AL SHOROOQ KINDERGARTEN
BHR-000038,39,AL WAFA KINDERGARTEN
BHR-000039,40,AL WALAA KINDERGARTEN
BHR-000040,41,AL YAQEEN KINDERGARTEN
BHR-000041,42,AL ZENJ NEW KINDERGARTEN
BHR-000042,43,ALAALDIN KINDERGARTEN
BHR-000043,44,ALAHAD KINDERGARTEN
BHR-000044,45,ALANJAAL KINDERGARTEN
BHR-000045,46,ALBARAEM ALSAGHEERA KINDERGARTEN
BHR-000046,47,ALBASHAYER KINDERGARTEN
BHR-000047,48,ALBATOOL KINDERGARTEN
BHR-000048,49,ALBAYADER KINDERGARTEN
BHR-000049,50,ALDUAA KINDERGARTEN
BHR-000050,51,ALFURQAN KINDERGARTEN
BHR-000051,52,ALGHADEER KINDERGARTEN
BHR-000052,53,ALGHADEER KINDERGARTEN
BHR-000053,54,ALHANEEN KINDERGARTEN
BHR-000054,55,ALHUDA KINDERGARTEN
BHR-000055,56,ALJINAN KINDERGARTEN
BHR-000056,57,ALL CHILDREN KINDERGARTEN
BHR-000057,58,ALMAHA KINDERGARTEN
BHR-000058,59,ALNAHDAH KINDERGARTEN
BHR-000059,60,ALSHAMOUSE KINDERGARTEN
BHR-000060,61,ALSIMAT KINDERGARTEN
BHR-000061,62,ALTOFOLAH ALSAEEDAH KINDERGARTEN
BHR-000062,63,ALWAHA FIRST STEPS
BHR-000063,64,ANWAR AL GHADEER KINDERGARTEN
BHR-000064,65,ATFAL ALMOHANNA KINDERGARTEN
BHR-000065,66,ATFAL AWAL KINDERGARTEN
BHR-000066,67,BANI JAMRAH KINDERGARTEN
BHR-000067,68,BEES KINGDOM KINDERGARTEN
BHR-000068,69,BIRDS KINGDOM KINDERGARTEN
BHR-000069,70,CAPITAL KINDERGARTEN
BHR-000070,71,CARE KINDERGARTEN
BHR-000071,72,CHILD HOUSE KINDERGARTEN
BHR-000072,73,CHILD MODEL KINDERGARTEN
BHR-000073,74,CHILDHOOD DREAMS KINDERGARTEN
BHR-000074,75,CHILDREN ISLAND KINDERGARTEN
BHR-000075,76,CHILDRENS HOME KINDERGARTEN
BHR-000076,77,CORNER KINDERGARTEN
BHR-000077,78,DUNYA ALATFAL KINDERGARTEN
BHR-000078,79,EARLY EDUCATION KINDERGARTEN
BHR-000079,80,ELEFRIENDS PRESCHOOL
BHR-000080,81,FRIENDSHIP KINDERGARTEN FOR BLIND CHILDREN
BHR-000081,82,FUTURE GENERATION KINDERGARTEN
BHR-000082,83,FUTURE KINDERGARTEN
BHR-000083,84,GULF PEARL HOTEL
BHR-000084,85,JANA KINDERGARTEN
BHR-000085,86,JANAT ALATFAL KINDERGARTEN
BHR-000086,87,JIDHAFS KINDERGARTEN
BHR-000087,88,KIDS 'R' KIDS KINDERGARTEN
BHR-000088,89,KIDZ WORLD KINDERGARTEN
BHR-000089,90,KINDERGARTEN BAHRAIN CLUB MODEL
BHR-000090,91,LITTLE EXPLORER KINDERGARTEN 
BHR-000091,92,MADELEINES KINDERGARTEN
BHR-000092,93,MAJID AL ZAYANI KINDERGARTEN
BHR-000093,94,MUHARRAQ CLUB KINDERGARTEN
BHR-000094,95,NOOR ALMAARIF KINDERGARTEN
