geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
BOL-000000,EstabEducativos.1,,,BOL,Tarija,Arce,Bermejo
BOL-000001,EstabEducativos.2,,,BOL,Tarija,Arce,Bermejo
BOL-000002,EstabEducativos.3,,,BOL,Tarija,Arce,Bermejo
BOL-000003,EstabEducativos.4,,,BOL,Tarija,Arce,Bermejo
BOL-000004,EstabEducativos.5,,,BOL,Tarija,Arce,Bermejo
BOL-000005,EstabEducativos.6,,,BOL,Tarija,Arce,Bermejo
BOL-000006,EstabEducativos.7,,,BOL,Tarija,Arce,Bermejo
BOL-000007,EstabEducativos.8,,,BOL,Tarija,Arce,Bermejo
BOL-000008,EstabEducativos.9,,,BOL,Tarija,Arce,Bermejo
BOL-000009,EstabEducativos.10,,,BOL,Tarija,Arce,Bermejo
BOL-000010,EstabEducativos.11,,,BOL,Tarija,Arce,Bermejo
BOL-000011,EstabEducativos.12,,,BOL,Tarija,Arce,Bermejo
BOL-000012,EstabEducativos.13,,,BOL,Tarija,Arce,Bermejo
BOL-000013,EstabEducativos.14,,,BOL,Tarija,Arce,Bermejo
BOL-000014,EstabEducativos.15,,,BOL,Tarija,Arce,Bermejo
BOL-000015,EstabEducativos.16,,,BOL,Tarija,Arce,Bermejo
BOL-000016,EstabEducativos.17,,,BOL,Tarija,Arce,Bermejo
BOL-000017,EstabEducativos.18,,,BOL,Tarija,Arce,Bermejo
BOL-000018,EstabEducativos.19,,,BOL,Tarija,Arce,Bermejo
BOL-000019,EstabEducativos.20,,,BOL,Tarija,Arce,Bermejo
BOL-000020,EstabEducativos.21,,,BOL,Tarija,Arce,Bermejo
BOL-000021,EstabEducativos.22,,,BOL,Tarija,Arce,Bermejo
BOL-000022,EstabEducativos.23,,,BOL,Tarija,Arce,Bermejo
BOL-000023,EstabEducativos.24,,,BOL,Tarija,Arce,Bermejo
BOL-000024,EstabEducativos.25,,,BOL,Tarija,Arce,Bermejo
BOL-000025,EstabEducativos.26,,,BOL,Tarija,Arce,Bermejo
BOL-000026,EstabEducativos.27,,,BOL,Tarija,Arce,Bermejo
BOL-000027,EstabEducativos.28,,,BOL,Tarija,Arce,Bermejo
BOL-000028,EstabEducativos.29,,,BOL,Tarija,Arce,Bermejo
BOL-000029,EstabEducativos.30,,,BOL,Tarija,Arce,Bermejo
BOL-000030,EstabEducativos.31,,,BOL,Tarija,Arce,Bermejo
BOL-000031,EstabEducativos.32,,,BOL,Tarija,Arce,Bermejo
BOL-000032,EstabEducativos.33,,,BOL,Tarija,Arce,Bermejo
BOL-000033,EstabEducativos.34,,,BOL,Tarija,Arce,Padcaya
BOL-000034,EstabEducativos.35,,,BOL,Tarija,Arce,Padcaya
BOL-000035,EstabEducativos.36,,,BOL,Tarija,Arce,Padcaya
BOL-000036,EstabEducativos.37,,,BOL,Tarija,Arce,Padcaya
BOL-000037,EstabEducativos.38,,,BOL,Tarija,Arce,Padcaya
BOL-000038,EstabEducativos.39,,,BOL,Tarija,Arce,Padcaya
BOL-000039,EstabEducativos.40,,,BOL,Tarija,Arce,Padcaya
BOL-000040,EstabEducativos.41,,,BOL,Tarija,Arce,Padcaya
BOL-000041,EstabEducativos.42,,,BOL,Tarija,Arce,Padcaya
BOL-000042,EstabEducativos.43,,,BOL,Tarija,Arce,Padcaya
BOL-000043,EstabEducativos.44,,,BOL,Potosí,Sur Lipez,San Antonio de Esmoruco
BOL-000044,EstabEducativos.45,,,BOL,Tarija,Arce,Padcaya
BOL-000045,EstabEducativos.46,,,BOL,Tarija,Arce,Padcaya
BOL-000046,EstabEducativos.47,,,BOL,Tarija,Arce,Padcaya
BOL-000047,EstabEducativos.48,,,BOL,Tarija,Arce,Padcaya
BOL-000048,EstabEducativos.49,,,BOL,Tarija,Arce,Padcaya
BOL-000049,EstabEducativos.50,,,BOL,Tarija,Arce,Padcaya
BOL-000050,EstabEducativos.51,,,BOL,Tarija,Arce,Padcaya
BOL-000051,EstabEducativos.52,,,BOL,Tarija,Arce,Padcaya
BOL-000052,EstabEducativos.53,,,BOL,Tarija,Arce,Padcaya
BOL-000053,EstabEducativos.54,,,BOL,Tarija,Arce,Padcaya
BOL-000054,EstabEducativos.55,,,BOL,Tarija,Arce,Padcaya
BOL-000055,EstabEducativos.56,,,BOL,Potosí,Sur Lipez,San Pablo
BOL-000056,EstabEducativos.57,,,BOL,Tarija,Gran Chaco,Villa Montes
BOL-000057,EstabEducativos.58,,,BOL,Tarija,Arce,Padcaya
BOL-000058,EstabEducativos.59,,,BOL,Tarija,Gran Chaco,Caraparí
BOL-000059,EstabEducativos.60,,,BOL,Tarija,Arce,Padcaya
BOL-000060,EstabEducativos.61,,,BOL,Tarija,Arce,Padcaya
BOL-000061,EstabEducativos.62,,,BOL,Tarija,Arce,Padcaya
BOL-000062,EstabEducativos.63,,,BOL,Tarija,Arce,Padcaya
BOL-000063,EstabEducativos.64,,,BOL,Tarija,Gran Chaco,Caraparí
BOL-000064,EstabEducativos.65,,,BOL,Tarija,Arce,Padcaya
BOL-000065,EstabEducativos.66,,,BOL,Tarija,Arce,Padcaya
BOL-000066,EstabEducativos.67,,,BOL,Tarija,Gran Chaco,Villa Montes
BOL-000067,EstabEducativos.68,,,BOL,Tarija,Gran Chaco,Caraparí
BOL-000068,EstabEducativos.69,,,BOL,Tarija,Arce,Padcaya
BOL-000069,EstabEducativos.70,,,BOL,Tarija,Arce,Padcaya
BOL-000070,EstabEducativos.71,,,BOL,Potosí,Sur Lipez,San Antonio de Esmoruco
BOL-000071,EstabEducativos.72,,,BOL,Tarija,Arce,Padcaya
BOL-000072,EstabEducativos.73,,,BOL,Tarija,Arce,Padcaya
BOL-000073,EstabEducativos.74,,,BOL,Tarija,Gran Chaco,Caraparí
BOL-000074,EstabEducativos.75,,,BOL,Tarija,Arce,Padcaya
BOL-000075,EstabEducativos.76,,,BOL,Potosí,Modesto Omiste,Villazón
BOL-000076,EstabEducativos.77,,,BOL,Potosí,Modesto Omiste,Villazón
BOL-000077,EstabEducativos.78,,,BOL,Potosí,Modesto Omiste,Villazón
