geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
CRI-000000,,C.T.P. JESUS OCAÑA ROJAS,,CRI,ALAJUELA,ALAJUELA,ALAJUELA
CRI-000001,,COLEGIO SAN LUIS GONZAGA,,CRI,CARTAGO,CARTAGO,OCCIDENTAL
CRI-000002,,LICEO DE NICOYA,,CRI,GUANACASTE,NICOYA,NICOYA
CRI-000003,,C.T.P. EDUCACION COMERCIAL Y DE SERVICIO,,CRI,SAN JOSE,SAN JOSE,MATA REDONDA
CRI-000004,,C.T.P. DE PURISCAL,,CRI,SAN JOSE,PURISCAL,SANTIAGO
CRI-000005,,C.T.P. PADRE ROBERTO EVANS,,CRI,LIMON,SIQUIRRES,SIQUIRRES
CRI-000006,,LICEO MONSEÑOR RUBEN ODIO HERRERA,,CRI,SAN JOSE,DESAMPARADOS,DESAMPARADOS
CRI-000007,,"LICEO SANTA CRUZ, CLIMACO A. PÉREZ",,CRI,GUANACASTE,SANTA CRUZ,SANTA CRUZ
CRI-000008,,LICEO LABORATORIO DE LIBERIA,,CRI,GUANACASTE,LIBERIA,LIBERIA
CRI-000009,,INSTITUTO JULIO ACOSTA GARCÍA,,CRI,ALAJUELA,SAN RAMON,SAN RAMON
CRI-000010,,LICEO ING. SAMUEL SÁENZ FLORES,,CRI,HEREDIA,HEREDIA,MERCEDES
CRI-000011,,LICEO SAN ANTONIO,,CRI,SAN JOSE,DESAMPARADOS,SAN ANTONIO
CRI-000012,,C.T.P. DE POCOCÍ,,CRI,LIMON,POCOCI,GUAPILES
CRI-000013,,C.T.P. COVAO DIURNO,,CRI,CARTAGO,CARTAGO,SAN NICOLAS
CRI-000014,,LICEO MAURILIO ALVARADO VARGAS,,CRI,GUANACASTE,TILARAN,TILARAN
CRI-000015,,INSTITUTO DE ALAJUELA,,CRI,ALAJUELA,ALAJUELA,ALAJUELA
CRI-000016,,LICEO DE SAN CARLOS,,CRI,ALAJUELA,SAN CARLOS,QUESADA
CRI-000017,,LICEO SANTA ANA,,CRI,SAN JOSE,SANTA ANA,URUCA
