geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
ECU-000000,10B00045,Jaime Chavez Granja,,ECU,Imbabura,Cotacachi,Plaza Gutierrez (Calvario)
ECU-000001,10B00153,Tarquino Idrobo,,ECU,Imbabura,Otavalo,San Pablo
ECU-000002,10H00776,"Centro De Educacion Inicial ""Casita De Chocolate Y Fresas""",,ECU,Imbabura,Ibarra,Caranqui
ECU-000003,21B00132,Ishkay Yaku,,ECU,Sucumbios,Cascales,El Dorado De Cascales
ECU-000004,21H00142,Unidad Educativa Napo,,ECU,Sucumbios,Lago Agrio,Nueva Loja
ECU-000005,21H00377,Amazonas,,ECU,Sucumbios,Gonzalo Pizarro,Gonzalo Pizarro
ECU-000006,21H00531,Escuela De Educación General Básica Quilindaña,,ECU,Sucumbios,Shushufindi,Shushufindi
ECU-000007,21H00682,9 De Octubre,,ECU,Sucumbios,Cascales,El Dorado De Cascales
ECU-000008,21H00694,Carlos Julio Arosemena Tola,,ECU,Sucumbios,Cascales,El Dorado De Cascales
ECU-000009,21H00699,Rafael Diaz Icaza,,ECU,Sucumbios,Cascales,El Dorado De Cascales
ECU-000010,21H00751,Unidad Educativa Cuyabeno,,ECU,Sucumbios,Cuyabeno,Tarapoa
ECU-000011,04B00001,La Corozala,,ECU,Carchi,Tulcan,Tobar Donoso (La Bocana De Camumbi)
ECU-000012,04B00002,El Oro Amarillo,,ECU,Carchi,Tulcan,Tobar Donoso (La Bocana De Camumbi)
ECU-000013,04B00003,Juan Alegria,,ECU,Carchi,Tulcan,Tobar Donoso (La Bocana De Camumbi)
ECU-000014,04B00004,Humberto Valenzuela Vera,,ECU,Carchi,Tulcan,Tobar Donoso (La Bocana De Camumbi)
ECU-000015,04B00005,Peña Negra,,ECU,Carchi,Tulcan,Tobar Donoso (La Bocana De Camumbi)
ECU-000016,04B00006,Ciudad Del Angel,,ECU,Carchi,Tulcan,El Chical
ECU-000017,04B00007,Rufino Taicuz,,ECU,Carchi,Tulcan,El Chical
ECU-000018,04B00008,Medardo Angel Silva,,ECU,Carchi,Tulcan,El Chical
ECU-000019,04B00009,Eduardo Fierro,,ECU,Carchi,Tulcan,El Chical
ECU-000020,04B00010,10 De Noviembre,,ECU,Carchi,Tulcan,El Chical
ECU-000021,04B00011,Playa Grande,,ECU,Carchi,Tulcan,El Chical
ECU-000022,04B00012,Juan Pay,,ECU,Carchi,Tulcan,El Chical
ECU-000023,04B00013,Rio Tronqueria,,ECU,Carchi,Tulcan,El Chical
ECU-000024,04B00014,Juan Bautista Aguirre,,ECU,Carchi,Tulcan,El Chical
ECU-000025,04H00001,Unidad Educativa Municipal“1Ro De Mayo” Pcei,,ECU,Carchi,Tulcan,Gonzalez Suarez
ECU-000026,04H00003,Unidad De Educacion Especializada Del Carchi,,ECU,Carchi,Tulcan,Tulcan
