geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
GUY-000000,,Baramita/C,Baramita Primary School,GUY,Barima-Waini,,
GUY-000001,,Hosororo,"Hosororo Hill, Barima River",GUY,Barima-Waini,,
GUY-000002,,Port Kaituma,"School Road,Port Kaituma, Matarkai",GUY,Barima-Waini,,
GUY-000003,,Wauna,"Wauna Scheme, Barima Waini",GUY,Barima-Waini,,
GUY-000004,,Fall Top/C,"Eclipse Falls, Port Kaituma",GUY,Barima-Waini,,
GUY-000005,,Koko,Santa Rosa Village,GUY,Barima-Waini,,
GUY-000006,,Assakata/C,Assakata Primary School,GUY,Barima-Waini,,
GUY-000007,,White Water,"White Water Village, Wauna",GUY,Barima-Waini,,
GUY-000008,,Wallaba/C,Wallaba Primary School,GUY,Barima-Waini,,
GUY-000009,,Four Miles,"Four Miles, Port Kaituma",GUY,Barima-Waini,,
GUY-000010,,Hobedia/C,Hobedia Primary School,GUY,Barima-Waini,,
GUY-000011,,"Barabina/C.,",Barabina Primary School,GUY,Barima-Waini,,
GUY-000012,,Sheba,Mabaruma Settlement,GUY,Barima-Waini,,
GUY-000013,,Santa Rosa,"Santa Rosa Mission, Kumaka, Moruca",GUY,Barima-Waini,,
GUY-000014,,Pakera,"Matthew'S Ridge, Barima Waini",GUY,Barima-Waini,,
GUY-000015,,Bumbury,"Bumbury Hill, Barima/Waini",GUY,Barima-Waini,,
GUY-000016,,St Margaret'S/C,St Maragaret'S Primary School,GUY,Barima-Waini,,
GUY-000017,,Kamwatta Mabaruma/C,Kamwatta Village..Mab,GUY,Barima-Waini,,
GUY-000018,,Kwebana,"Kwebana, Waini River Moruca",GUY,Barima-Waini,,
GUY-000019,,Waramuri,"Waramuri, Moruca",GUY,Barima-Waini,,
GUY-000020,,Peter & Paul /C,Peter & Paul Primary School,GUY,Barima-Waini,,
GUY-000021,,Arakaka/C,Arakaka Landing,GUY,Barima-Waini,,
GUY-000022,,St. Nicholas…..,"Manawarin Village,Moruca Creek",GUY,Barima-Waini,,
GUY-000023,,Yarakita/C,"Yarakita, Barima Waini",GUY,Barima-Waini,,
GUY-000024,,Karaburi..,6 Miles K/K Road Moruca,GUY,Barima-Waini,,
GUY-000025,,Hotoquai/C,Hotoquai Primary School,GUY,Barima-Waini,,
GUY-000026,,Warapoka/C,"Warapoka, Waini Village",GUY,Barima-Waini,,
GUY-000027,,Haimacabra/C,Haimacabra Primary School,GUY,Barima-Waini,,
GUY-000028,,Santa Cruz/C,Santa Cruz Primary,GUY,Barima-Waini,,
GUY-000029,,Unity Square/C,Unity Square Primary,GUY,Barima-Waini,,
