geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
KEN-000000,1,Bakwanin,,KEN,Baringo,Baringo Central,Sacho
KEN-000001,2,Bekibon,,KEN,Baringo,Baringo South,Marigat
KEN-000002,3,Bokorin,,KEN,Baringo,Baringo Central,Kapropita
KEN-000003,4,Borowonin,,KEN,Baringo,Baringo Central,Kapropita
KEN-000004,5,Bosin,,KEN,Baringo,Baringo Central,Sacho
KEN-000005,6,Buiwon,,KEN,Baringo,Baringo South,Marigat
KEN-000006,7,Chesongo,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000007,8,Eitui,,KEN,Baringo,Baringo Central,Tenges
KEN-000008,9,Emom,,KEN,Baringo,Baringo Central,Tenges
KEN-000009,10,Eron,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000010,11,Illiagat,,KEN,Baringo,Baringo South,Marigat
KEN-000011,12,Kabarbarma,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000012,13,Kabarnet Deaf Blind Sp,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000013,14,Kabasis D B,,KEN,Baringo,Baringo Central,Sacho
KEN-000014,15,Kabirmoi,,KEN,Baringo,Baringo Central,Sacho
KEN-000015,16,Kabirmet,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000016,17,Kabochony,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000017,18,Kaiso,,KEN,Baringo,Baringo Central,Tenges
KEN-000018,19,Kakwane,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000019,20,Kamgoin,,KEN,Baringo,Baringo Central,Kapropita
KEN-000020,21,Kamwen,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000021,22,Kapchemon,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000022,23,Kapcherebet,,KEN,Baringo,Baringo Central,Kapropita
KEN-000023,24,Kapchomuso,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000024,25,Kapkatit,,KEN,Baringo,Baringo Central,Tenges
KEN-000025,26,Kapkelelwa,,KEN,Baringo,Baringo Central,Sacho
KEN-000026,27,Kapkiai,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000027,28,Kapkoibai,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000028,29,Kapkomoi,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000029,30,Kapkony,,KEN,Baringo,Baringo Central,Kapropita
KEN-000030,31,Kapkut,,KEN,Baringo,Baringo Central,Kapropita
KEN-000031,32,Kaplel,,KEN,Baringo,Baringo Central,Sacho
KEN-000032,33,Kaploten,,KEN,Baringo,Baringo Central,Sacho
KEN-000033,34,Kapropita,,KEN,Baringo,Baringo Central,Kapropita
KEN-000034,35,Kapsigorian,,KEN,Baringo,Baringo Central,Kapropita
KEN-000035,36,Kapsogo,,KEN,Baringo,Baringo Central,Kapropita
KEN-000036,37,Kapsoo,,KEN,Baringo,Baringo Central,Kapropita
KEN-000037,38,Kaptara,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000038,39,Kaptich,,KEN,Baringo,Baringo Central,Sacho
KEN-000039,40,Kaptien,,KEN,Baringo,Baringo Central,Kapropita
KEN-000040,41,Kaptimbor,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000041,42,Kaptorokwo,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000042,43,Kaptumo,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000043,44,Kapyemit,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000044,45,Kaseret,,KEN,Baringo,Baringo Central,Tenges
KEN-000045,46,Kasore,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000046,47,Kesetan,,KEN,Baringo,Baringo Central,Sacho
KEN-000047,48,Ketindui,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000048,49,Kewamoi,,KEN,Baringo,Baringo Central,Sacho
KEN-000049,50,Kiboi,,KEN,Baringo,Baringo Central,Kapropita
KEN-000050,51,Kiboino,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000051,52,Kimagok,,KEN,Baringo,Baringo Central,Kapropita
KEN-000052,53,Kimoso,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000053,54,Kimotany,,KEN,Baringo,Baringo Central,Sacho
KEN-000054,55,Kipkaech B D,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000055,56,Kipkutuny,,KEN,Baringo,Baringo Central,Tenges
KEN-000056,57,Kiplabal,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000057,58,Kiponjos,,KEN,Baringo,Baringo Central,Sacho
KEN-000058,59,Kipsoit,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000059,60,Kiptilit,,KEN,Baringo,Baringo Central,Kapropita
KEN-000060,61,Kisok,,KEN,Baringo,Baringo Central,Kapropita
KEN-000061,62,Kisonei,,KEN,Baringo,Baringo Central,Tenges
KEN-000062,63,Kitumbei,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000063,64,Kituro D/B,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000064,65,Konoiyo,,KEN,Baringo,Baringo Central,Sacho
KEN-000065,66,Koyorus,,KEN,Baringo,Baringo Central,Sacho
KEN-000066,67,Kurumbopsoo,,KEN,Baringo,Baringo Central,Kapropita
KEN-000067,68,Lelbatai,,KEN,Baringo,Baringo Central,Tenges
KEN-000068,69,Lelgut,,KEN,Baringo,Baringo Central,Tenges
KEN-000069,70,Magonoi,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000070,71,Manaach,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000071,72,Mbechot,,KEN,Baringo,Baringo Central,Tenges
KEN-000072,73,Mogorwa,,KEN,Baringo,Baringo Central,Tenges
KEN-000073,74,Moi Teachers,,KEN,Baringo,Baringo Central,Ewalel/Chapchap
KEN-000074,75,Moi Timowo,,KEN,Baringo,Baringo Central,Kabarnet
KEN-000075,76,Mumol,,KEN,Baringo,Baringo Central,Kapropita
