geo_id,deped_id,school_name
NIG-000000,,CPS SWALI
NIG-000001,,NANA Basic Academy
NIG-000002,,L.E.A Primary School Pabeyi
NIG-000003,,L.E.A.PrimarySchoolPagadna
NIG-000004,,Syflora Academy
NIG-000005,,Nomadic Paiko Kore
NIG-000006,,Nomadic Jayi
NIG-000007,,Nomadic Kutunku
NIG-000008,,Bargada Primary School
NIG-000009,,Macbeth Intl School
NIG-000010,,Kel Rose Academy
NIG-000011,,Ideal Nursery/Primary/Junior Secodary School
NIG-000012,,Golden Hope Academy
NIG-000013,,Fely Ben Intl School
NIG-000014,,Divine Wisdom Academy
NIG-000015,,Catherina Intl Academy
NIG-000016,,Ambassadors Nur and Primary School
NIG-000017,,Patriot  Academy Nursery And Primary School
NIG-000018,,First Baptist Nursery & Primary School
NIG-000019,,PCN Primary school
NIG-000020,,Pcn primary school
NIG-000021,,PCN primary school
NIG-000022,,ST. COLMAN PRIM. SCH. UTUGWANG
NIG-000023,,UPE PRIM SCH. UKUTIA
NIG-000024,,GOVT. PRIM SCH. UKPIRINYI
NIG-000025,,Ojojo Primary School âA & Bâ
NIG-000026,,UPE Okwukwoetere Emohua
NIG-000027,,State school 1. Rumuewhor
NIG-000028,,State School 11 Ubimini
NIG-000029,,State School 1 Ubimini
NIG-000030,,State School Okporowo Ogbakiri
NIG-000031,,State School 3 Ibaa
NIG-000032,,UBE Pri. Sch. Ang. Maigashi
NIG-000033,,LEA Pri. Sch. Urana
NIG-000034,,UBE Pri. Sch. Ruwan Sha
NIG-000035,,Nomadic Pri. Sch. Mesawa
NIG-000036,,LEA Pri. Sch. Babban Padama
NIG-000037,,UBE
NIG-000038,,UBE Pri. Sch. Pindo Kawan
NIG-000039,,Seat of Wisdom
NIG-000040,,Hiltop International
NIG-000041,,Icon International School
NIG-000042,,Jorikol Primary School
NIG-000043,,FARU PRIMARY SCHOOL
NIG-000044,,MAGAMI PRIMARY SCHOOL
NIG-000045,,KUMA NOMADIC SCHOOL
NIG-000046,,Bilingual Standard Nursery and Prim Sch
NIG-000047,,Ube ungwar kwara
NIG-000048,,Day by day nursery/ primary
NIG-000049,,Elly Demonstration Academy
NIG-000050,,Saint Gabriel Mission College
NIG-000051,,Garbabi Primary School
NIG-000052,,ZAMBUK
NIG-000053,,Kolwa Pri School
NIG-000054,,Gari Gwacca PS
NIG-000055,,Kili PS
NIG-000056,,Bingi PS
NIG-000057,,Zira central PS
NIG-000058,,UBE JSS ABASAMA
NIG-000059,,Badas Pri. Sch
NIG-000060,,Girls nursery and primary sch.
NIG-000061,,Cesdawol nursery/ primary
NIG-000062,,RCM PRIMARY SCHOOL OKWERISENG UBANG
NIG-000063,,Abonde Community Grammar School
NIG-000064,,Elekuro High School V
NIG-000065,,Central School
NIG-000066,,Zumuratul-Hujaj Secondary School
NIG-000067,,Obiora Road End Primary School
NIG-000068,,First Baptist Church Nur & Pry School
NIG-000069,,Wilcox memoral comprehensive sec.sch
NIG-000070,,"OGO OLUWA BEST GROUP OF SCHOOLS,ODE-EKITI"
NIG-000071,,"Jobabeg International College,Aaisegba-Ekiti"
NIG-000072,,LEA Dungnoegoen
NIG-000073,,Science Primsry School Kwang
NIG-000074,,LEA primary school Gurapwana
NIG-000075,,GSS Luvu Madaki
NIG-000076,,LEA Pri Sch Durumi 2
NIG-000077,,Jamdangiji Pri. Sch.
NIG-000078,,Islamic Trist Fund Basic School
NIG-000079,,St Andrews state school2
NIG-000080,,Dako Primary School
NIG-000081,,Dadabiri Primary School
NIG-000082,,Junior Secondary School Dobi
NIG-000083,,Kwaimuku  Primary School
NIG-000084,,Divine favour nusery and primary school
NIG-000085,,Stelamaris primary school
NIG-000086,,Zappa primary school
NIG-000087,,Bramber international nursery and primary school
NIG-000088,,L.E.A Primary School GURFATA
NIG-000089,,State school1 umuoke
NIG-000090,,Community secomdary school Ulakwo
NIG-000091,,Community Primary school umuoga
NIG-000092,,Mega Brain Academy (MB)
NIG-000093,,St Michaels and all Angels nursery and primary school
NIG-000094,,Junior Sec. Sch. Ibwa 1
NIG-000095,,Nancy Day Care Nursery/Primary School
NIG-000096,,Community Secondary School Omademe
NIG-000097,,St Martinâs Model Primary School  Omagwa
NIG-000098,,Community Primary School Umuechi
NIG-000099,,State Primary School 
NIG-000100,,Gloryfield Group of Schools
