geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
NPL-000000,1000,PRIVATE TAPLEJUNG,,NGL,Mechi,Taplejung,
NPL-000001,1001,BALSUBODHINI SAN MA VI MEDIBUNG PHUNGLIN,,NGL,Mechi,Taplejung,
NPL-000002,1002,BHANUJAN MA VI AMBITAR,,NGL,Mechi,Taplejung,
NPL-000003,1003,MOTI MA VI KHOKLING,,NGL,Mechi,Taplejung,
NPL-000004,1004,SINAM MA VI SINAM,,NGL,Mechi,Taplejung,
NPL-000005,1005,GANESH MA VI KHEWANG,,NGL,Mechi,Taplejung,
NPL-000006,1006,THECHAMBU MA VI THECHAMBU,,NGL,Mechi,Taplejung,
NPL-000007,1007,MAIWAKHOLA MA VI TEMBE,,NGL,Mechi,Taplejung,
NPL-000008,1008,PRITHVI MA VI KHAMLUNG,,NGL,Mechi,Taplejung,
NPL-000009,1009,BHANJYANG MA VI LIMBUDIN,,NGL,Mechi,Taplejung,
NPL-000010,1010,NARAYANI MA VI SANGHU,,NGL,Mechi,Taplejung,
NPL-000011,1011,DURGA MA VI PHULBARI,,NGL,Mechi,Taplejung,
NPL-000012,1012,SARASWATI MA VI HANGPANG,,NGL,Mechi,Taplejung,
NPL-000013,1013,JANATA MA VI HANGDEWA,,NGL,Mechi,Taplejung,
NPL-000014,1014,SARASWATI MA VI LELEP,,NGL,Mechi,Taplejung,
NPL-000015,1015,SARASWATI MA VI SIKAICHA,,NGL,Mechi,Taplejung,
NPL-000016,1016,SANWA MA VI SANWA MEWAKHOLA,,NGL,Mechi,Taplejung,
NPL-000017,1017,TELLOK MA VI TELLOK,,NGL,Mechi,Taplejung,
NPL-000018,1018,NILGIRI MA VI MEHELE,,NGL,Mechi,Taplejung,
NPL-000019,1019,KALIKA MA VI NANGKHOLYANG,,NGL,Mechi,Taplejung,
NPL-000020,1020,NAVA JYOTI AWASIYA MA VI PHUNGLING,,NGL,Mechi,Taplejung,
NPL-000021,1021,SINWA MA VI LINGSIM SINWA,,NGL,Mechi,Taplejung,
NPL-000022,1022,MAHENDRA MA VI PHAKUMVA MAIWAKHOLA,,NGL,Mechi,Taplejung,
NPL-000023,1023,CHAKSIBOTE MA VI CHAKSIBOTE,,NGL,Mechi,Taplejung,
NPL-000024,1024,CHANGE MA VI CHANGE,,NGL,Mechi,Taplejung,
NPL-000025,1025,KALIKA MA VI TIRINGA,,NGL,Mechi,Taplejung,
NPL-000026,1026,SHARADA MA VI THUMBEDIN,,NGL,Mechi,Taplejung,
NPL-000027,1027,AMBEGUDIN MA VI RAJA,,NGL,Mechi,Taplejung,
NPL-000028,1028,TRIBHUVAN MA VI MEWAKHOLA THUKIYA,,NGL,Mechi,Taplejung,
NPL-000029,1029,BIRENDRA MA VI PHUNGLING-1 DEVLING,,NGL,Mechi,Taplejung,
NPL-000030,1030,KANCHANJUNGHA BOARDING SCHOOL PHUNGLING,,NGL,Mechi,Taplejung,
NPL-000031,1031,PARAM SINGHA DEVI MA VI NIGURADIN,,NGL,Mechi,Taplejung,
NPL-000032,1032,MECHI ST. MARY'S ENGLISH BOARDING SCHOOL P,,NGL,Mechi,Taplejung,
NPL-000033,1033,SIDDHAKALI MA VI DOKHU-5,,NGL,Mechi,Taplejung,
NPL-000034,1034,MAYAM MA VI FURUMBU-5,,NGL,Mechi,Taplejung,
NPL-000035,2000,PRIVATE PANCHTHAR,,NGL,Mechi,Panchthar,
NPL-000036,2001,PHIDIM MA VI PHIDIM,,NGL,Mechi,Panchthar,
NPL-000037,2002,AMARPUR MA VI DORAMBA AMARPUR,,NGL,Mechi,Panchthar,
NPL-000038,2003,BISHNU MA VI CHYANGTHAPU,,NGL,Mechi,Panchthar,
NPL-000039,2004,KHALANGATAR MA VI YANGNAM,,NGL,Mechi,Panchthar,
NPL-000040,2005,SIDDHA DEVI MA VI NAWAMIDADA,,NGL,Mechi,Panchthar,
NPL-000041,2006,SIDDHAKALI MA VI EAKTIN JORPATI,,NGL,Mechi,Panchthar,
NPL-000042,2007,NAYA NAMUNA MA VI PHIDIM BAZAR,,NGL,Mechi,Panchthar,
NPL-000043,2008,SIDDHA DEVI MA VI NANGIN PIPALBOTE,,NGL,Mechi,Panchthar,
NPL-000044,2009,SIDDHESWORI MA VI BHARPA TUWA,,NGL,Mechi,Panchthar,
NPL-000045,2010,GUPTESHWOR MA VI OYAM,,NGL,Mechi,Panchthar,
NPL-000046,2011,JAY NARAYAN ADARSHA MA VI MEHELBOTE,,NGL,Mechi,Panchthar,
NPL-000047,2012,DURGA MA VI RAVI,,NGL,Mechi,Panchthar,
NPL-000048,2013,PRITHIVI MA VI YASOK,,NGL,Mechi,Panchthar,
NPL-000049,2014,INDRANI MA VI MOUWA,,NGL,Mechi,Panchthar,
NPL-000050,2015,NILGIRI MA VI SUBHANG,,NGL,Mechi,Panchthar,
NPL-000051,2016,RANITAR MA VI RANITAR,,NGL,Mechi,Panchthar,
NPL-000052,2017,SARASWATI MA VI MACHHEBUNG,,NGL,Mechi,Panchthar,
NPL-000053,2018,THARPU MA VI THARPU,,NGL,Mechi,Panchthar,
NPL-000054,2019,SIRIJUNG MA VI GOPETAR,,NGL,Mechi,Panchthar,
NPL-000055,2020,DURGA MA VI SARANGDANDA,,NGL,Mechi,Panchthar,
NPL-000056,2021,SARASWATI MA VI CHOKMAGU,,NGL,Mechi,Panchthar,
NPL-000057,2022,SARATAP MA VI PAUWA,,NGL,Mechi,Panchthar,
NPL-000058,2023,KALIKA MA VI PRANGBUNG,,NGL,Mechi,Panchthar,
NPL-000059,2024,JANA KALYAN MA VI KOLBUNG PHAKTEP,,NGL,Mechi,Panchthar,
NPL-000060,2025,MECHI ENGLISH SCHOOL PHIDIM 4,,NGL,Mechi,Panchthar,
NPL-000061,2026,ARUBOTE MA VI ARUBOTE,,NGL,Mechi,Panchthar,
NPL-000062,2027,MAHENDRODAYA MA VI PIPALBOTE,,NGL,Mechi,Panchthar,
NPL-000063,2028,SINGHA SIDDHA MA VI ANSHUBHANJYANG LUWAPH,,NGL,Mechi,Panchthar,
NPL-000064,2029,GANESH MA VI NAGI CHITTOK,,NGL,Mechi,Panchthar,
NPL-000065,2030,KURUMBA MA VI KURUMBA,,NGL,Mechi,Panchthar,
NPL-000066,2031,GHURBISE PANCHAMI MA VI PHAKTEP,,NGL,Mechi,Panchthar,
NPL-000067,2032,MAHADEV GUPTESHWOR MA VI PHULPA LUNGRUP,,NGL,Mechi,Panchthar,
NPL-000068,2033,SIDDHA SARASWATI MA VI BARBHANJYANG MANGJ,,NGL,Mechi,Panchthar,
NPL-000069,2034,CHANDRESHWAR MA VI KHANDRONG,,NGL,Mechi,Panchthar,
NPL-000070,2035,VIDYA BARDAN ENGLISH BOARDING SCHOOL PHIDI,,NGL,Mechi,Panchthar,
NPL-000071,2037,ITHUNG MA VI RANITAR,,NGL,Mechi,Panchthar,
NPL-000072,2038,KALIKA SECONDARY SCHOOL BABUNGA NAGIN,,NGL,Mechi,Panchthar,
NPL-000073,2040,SIDDHA MA VI PANCHAMI,,NGL,Mechi,Panchthar,
NPL-000074,2041,INDRAWATI MA VI HANGUM,,NGL,Mechi,Panchthar,
NPL-000075,2042,SIDDHA DEVI MA VI SIDIN,,NGL,Mechi,Panchthar,
NPL-000076,2043,JALA SINGH MA VI PAUWA SARTAP,,NGL,Mechi,Panchthar,
NPL-000077,2044,SARSWATI MA VI KHUNGA EAKTIN,,NGL,Mechi,Panchthar,
NPL-000078,2045,SINGHA DEVI MA VI KURUMBA SIKTEMBA,,NGL,Mechi,Panchthar,
NPL-000079,2046,SARBAJANIK MA VI LIMBA,,NGL,Mechi,Panchthar,
NPL-000080,2047,SANTI BAL BIKASH SECONDARY ENGLISH BOARDIN,,NGL,Mechi,Panchthar,
NPL-000081,2048,SINGHPUR PASHUPATI MA VI AMARPUR,,NGL,Mechi,Panchthar,
NPL-000082,2049,SIDDHA MA VI TINGDEN RANIGAUN,,NGL,Mechi,Panchthar,
NPL-000083,2051,HOLY CHILD ENGLISH SECONDARY SCHOOL RABI,,NGL,Mechi,Panchthar,
NPL-000084,2052,JANAJYOTY SECONDARY ENGLISH BOARDING SCH,,NGL,Mechi,Panchthar,
NPL-000085,2053,BHAGAWATI MA VI DURDIMBA,,NGL,Mechi,Panchthar,
NPL-000086,2054,BUDDHA MA VI FALAICHA-3,,NGL,Mechi,Panchthar,
NPL-000087,2055,SATYA HANGMA MA VI ENABUNG,,NGL,Mechi,Panchthar,
NPL-000088,2056,NILAKANTHA ENGLISH BOARDING SCHOOL PHIDIM,,NGL,Mechi,Panchthar,
NPL-000089,3000,PRIVATE ILAM,,NGL,Mechi,Ilam,
NPL-000090,3001,ADARSHA MA VI ILAM,,NGL,Mechi,Ilam,
NPL-000091,3002,KARFOK VIDYAMANDIR MA VI PANCHAKANYA,,NGL,Mechi,Ilam,
NPL-000092,3003,NAMSALING MA VI NAMSALING,,NGL,Mechi,Ilam,
NPL-000093,3004,BHANUBHAKTA MA VI MANGALBARE,,NGL,Mechi,Ilam,
NPL-000094,3005,SINGHA DEVI MA VI AMCHOK,,NGL,Mechi,Ilam,
NPL-000095,3006,JITPUR MA VI JITPUR,,NGL,Mechi,Ilam,
NPL-000096,3007,BOUDDHADHAM MA VI PASHUPATINAGAR,,NGL,Mechi,Ilam,
NPL-000097,3008,SARASWATI MA VI SULUBUNG,,NGL,Mechi,Ilam,
NPL-000098,3009,AMAR KALYAN MA VI NAYABAZAR,,NGL,Mechi,Ilam,
NPL-000099,3010,MAHENDRODAYA MA VI GAJURMUKHI,,NGL,Mechi,Ilam,
NPL-000100,3011,JANAK MA VI SHREE ANTU,,NGL,Mechi,Ilam,
NPL-000101,3012,CHISOPANI MA VI MIKLUNG BANJHO,,NGL,Mechi,Ilam,
NPL-000102,3013,AMAR MA VI BARBOTE,,NGL,Mechi,Ilam,
