geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
PHL-000000,101746,"A. Diaz, Sr. ES",,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000001,102193,A. P. Santos ES (SPED Center),,PHL,Region I,Laoag City,Ilocos Norte
PHL-000002,101283,A.P. Guevara IS,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000003,100216,Ab-Abut ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000004,100043,Abaca ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000005,100554,Abaccan ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000006,101131,Abagatanen IS,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000007,102252,Abanon Central  School,,PHL,Region I,San Carlos City,Pangasinan
PHL-000008,100307,Abkir ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000009,100100,Ablan Community School,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000010,101531,Abonagan - Bobon,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000011,100217,Abucay ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000012,101223,Abunciang ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000013,100907,Acao Elementary School,,PHL,Region I,La Union,La Union
PHL-000014,100139,Acnam-Caray ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000015,101887,ACOP ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000016,100160,Adams CES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000017,100700,Ag-agrao ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000018,100762,AG-AGUMAN ELEM. SCHOOL,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000019,100891,Ag-Na Elem.School,,PHL,Region I,La Union,La Union
PHL-000020,100101,Agaga ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000021,102014,Agat ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000022,100161,Aggasi PS,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000023,101132,AGNO CENTRAL SCHOOL,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000024,102061,Agno ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000025,100801,Agoo East CES,,PHL,Region I,La Union,La Union
PHL-000026,100809,Agoo West CES,,PHL,Region I,La Union,La Union
