geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
PRY-000000,1701016,J J SANCHEZ,,PRY,Alto Paraguay,BAHÍA NEGRA,
PRY-000001,1701014,S/D COMUNIDAD IND. KARCHA BAHLUT,,PRY,Alto Paraguay,BAHÍA NEGRA,
PRY-000002,1701007,PUERTO ESPERANZA,,PRY,Alto Paraguay,BAHÍA NEGRA,
PRY-000003,1701006,PUERTO DIANA,,PRY,Alto Paraguay,BAHÍA NEGRA,
PRY-000004,1701005,AVDA. J.J.SANCHEZ,,PRY,Alto Paraguay,BAHÍA NEGRA,
PRY-000005,1702033,VIRGEN DEL CARMEN - LA VICTORIA,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000006,1702030,"PTO GUARANI, ALTO PARAGUAY",,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000007,1702027,,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000008,1702024,ALTO PARAGUAY -,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000009,1702021,VIRGEN DEL CARMEN - LA VICTORIA,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000010,1703449,CARMELO PERALTA,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000011,1702010,A 50M A ORILLAS DEL RIO PARAGUAY,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000012,1702009,CARMELO PERALTA,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000013,1702007,A 100M. A ORILLAS DEL RIO PARAGUAY,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000014,1702006,A 28 KM DE FUERTE OLIMPO A ORILLAS DEL RÍO PARAGUAY,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000015,1702005,[PUERTO GUARANI],,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000016,1702011,MARIA AUXILIADORA,,PRY,Alto Paraguay,CARMELO PERALTA,
PRY-000017,1703003,S/N [CNIA. SIERRA LEON - DPTO 17],,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000018,1701015,PTO MARIA ELENA,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000019,1701013,TORO PAMPA,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000020,1701012,95 KM DE FUERTE OLIMPO [SAN CARLOS - DPTO 17],,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000021,1701011,ÑU APUA,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000022,1701017,SN [COLONIA MARIA AUXILIADORA],,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000023,1701004,GRAL. BERNARDINO CABALLERO Y RIO PARAGUAY,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000024,1701003,GRAL. BERNARDINO CABALLERO  Y RÍO PARAGUAY,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000025,1701002,COM. INDIG. ISHIT - MISION SALESIANA [COM. INDG. FUERTE OLIMPO],,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000026,1701001,BARRIO SAN MIGUEL,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000027,1703582,COMUNIDAD INDIGENA ABUNDANCIA,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000028,1702026,COUMNIDAD INGIGENA MARIA AUXIIADORA KM. 40,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000029,1701023,S/D,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000030,1701022,TORO PAMPA,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000031,1701018,,,PRY,Alto Paraguay,FUERTE OLIMPO,
PRY-000032,1703004,TENIENTE MARTINEZ,,PRY,Alto Paraguay,MAYOR PABLO LAGERENZA,
PRY-000033,1702032,S/D,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000034,1656012,,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000035,1603005,18 KM DE TENIENTE MONTANIA - ALTO PARAGUAY [KM 18 - TENIENTE MONTANIA DPTO 17],,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000036,1702029,ALTO PARAGUAY -,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000037,1702023,SAN RAMON NONATO Y DE LA VICTORIA / BO DON BO [PUERTO CASADO],,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000038,1702020,S/N [COMUN. IND. SAN ISIDRO],,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000039,1702016,ALTO PARAGUAY -,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000040,1702014,ASENTAMIENTO MACHETE VAINA,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000041,1702013,35 KM DE PUERTO CASADO,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000042,1702008,S/N [PTO. MARIA AUXILIADORA],,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000043,1702003,ISLA PEÑA HERMOSA,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000044,1702002,BARRIO DON BOSCO,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000045,1702001,AVDA SAN RAMON ESQUINA AVDA.LA VICTORIA - BARRIO DON BOSCO,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000046,1702004,MANUEL LEZCANO C/ SAN RAMON,,PRY,Alto Paraguay,PUERTO CASADO,
PRY-000047,1011096,KM 12 MONDAY CONAVI LL,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000048,1703778,KM. 8MONDAY,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000049,1703700,KM. 7 MONDAY,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000050,1703614,S/D,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000051,1002065,KM 8 MONDAY  - PRESIDENTE FRANCO,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000052,1703613,S/D,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000053,1001999,S/D,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000054,1001998,,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000055,1001371,KM 9 MONDAY,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000056,1001369,KM 10 ACARAY,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000057,1001368,,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000058,1001367,MONDAY,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000059,1001366,KM 5.5 BARRIO LA BLANCA,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000060,1001365,29 DE SETIEMBRE CASI AVDA. GRAL. BERNARDINO CABALLERO.,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000061,1001364,,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000062,1001363,AVDA. EUGENIO A. GARAY ESQ. CHACO BOREAL,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000063,1001362,,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000064,1001361,,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000065,1703608,BARRIO SAN JOSÉ,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000066,1001359,WWW.RUE.MEC.GOV.PY,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000067,1001358,CALLE 25 DE AGOSTO,,PRY,Alto Paraná,CIUDAD DEL ESTE,
PRY-000068,1001355,,,PRY,Alto Paraná,CIUDAD DEL ESTE,
