geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
SLE-000000,SLE_Seco_0001,Barri Islamic Secondary School,None,SLE,Pujehun,Barri,Fallay
SLE-000001,SLE_Seco_0002,Holy Rosary Sec. School,None,SLE,Pujehun,Kpanga - Kabonde,Pamga
SLE-000002,SLE_Seco_0003,St. Paul's Secondary School,None,SLE,Pujehun,Kpanga - Kabonde,Pamga
SLE-000003,SLE_Scho_0004,Massaoma,None,SLE,Pujehun,Malen,Bahoin
SLE-000004,SLE_Seco_0005,Gobaru Secondary School,None,SLE,Pujehun,Panga Krim,Pemagbie
SLE-000005,SLE_Seco_0006,Sorogbema Secoundary School,None,SLE,Pujehun,Sorogbema,Zoker I
SLE-000006,SLE_Prim_0007,D.E.C. Primary School,None,SLE,Bonthe,Bendu - Cha,Sokenteh
SLE-000007,SLE_Prim_0008,UMC Primary School - Bendu,None,SLE,Bonthe,Bendu - Cha,Sokenteh
SLE-000008,SLE_Prim_0009,Islamic Call Society Primary School,None,SLE,Bonthe,Bum,Fikie
SLE-000009,SLE_Prim_0010,R.C. Primary School,None,SLE,Bonthe,Bum,Gbengain
SLE-000010,SLE_Prim_0011,D.E.C. Primary School,None,SLE,Bonthe,Bum,Gbondubum
SLE-000011,SLE_Prim_0012,Methodist Primary School,None,SLE,Bonthe,Bum,Gbondubum
SLE-000012,SLE_Prim_0013,Namya Islamic Primary School,None,SLE,Bonthe,Bum,Gbondubum
SLE-000013,SLE_Prim_0014,Islamic Call Society Primary School,None,SLE,Bonthe,Bum,Lanje
SLE-000014,SLE_Prim_0015,N.I.Primary School,None,SLE,Bonthe,Bum,Lanje
SLE-000015,SLE_Prim_0016,R.C. Primary School,None,SLE,Bonthe,Bum,Lanje
SLE-000016,SLE_Prim_0017,R.C. Primary School,None,SLE,Bonthe,Bum,Lanje
SLE-000017,SLE_Prim_0018,Methodist Primary School,None,SLE,Bonthe,Bum,Torma
SLE-000018,SLE_Prim_0019,R.C. Primary School,None,SLE,Bonthe,Bum,Torma
SLE-000019,SLE_Prim_0020,Islamic Call Society Primary School,None,SLE,Bonthe,Bum,Yargre
SLE-000020,SLE_Prim_0021,R.C. Primary School,None,SLE,Bonthe,Bum,Yargre
SLE-000021,SLE_Prim_0022,Methodist Primary School,None,SLE,Bonthe,Bum,Gbondubum
SLE-000022,SLE_Prim_0023,Islamic Primary School,None,SLE,Bonthe,Bum,Yawma
SLE-000023,SLE_Seco_0024,Imperri Secondary School - Moriba Town,None,SLE,Bonthe,Imperri,Babum
SLE-000024,SLE_Seco_0025,Islamic Call Society Secondary School - Nyorkovulahun,None,SLE,Bonthe,Imperri,Babum
SLE-000025,SLE_Scho_0026,Moriba -Town,None,SLE,Moyamba,Lower Banta,Ndendemoya
SLE-000026,SLE_Prim_0027,Adagorvie Memorial Pre & Primary School - Nyorkovulahun,None,SLE,Bonthe,Imperri,Babum
SLE-000027,SLE_Prim_0028,Ahmadiyya Muslim Primary School,None,SLE,Bonthe,Imperri,Babum
SLE-000028,SLE_Prim_0029,Ahmadiyya Muslim Primary School - Mbellebu,None,SLE,Bonthe,Imperri,Babum
SLE-000029,SLE_Prim_0030,Islamic Call Society Primary School - Nyorkovulahun,None,SLE,Bonthe,Imperri,Babum
SLE-000030,SLE_Prim_0031,Kankalay Islamic Primary School - Mogbwemo,None,SLE,Bonthe,Imperri,Babum
SLE-000031,SLE_Prim_0032,Saint James Roman Catholic Primary School - Mbellebu,None,SLE,Bonthe,Imperri,Babum
SLE-000032,SLE_Prim_0033,United Brethren Church Primary School - Gbangbaia,None,SLE,Bonthe,Imperri,Babum
SLE-000033,SLE_Prim_0034,United Brethren Church Primary School- Mogbwemo,None,SLE,Bonthe,Imperri,Babum
SLE-000034,SLE_Scho_0035,Forum for African Women Educationalist School - Mogbwemo,None,SLE,Bonthe,Imperri,Babum
SLE-000035,SLE_Prim_0036,Kanakalay Islamic Primary School - Mbelleh A (Yangatoke),None,SLE,Bonthe,Imperri,Bigo
SLE-000036,SLE_Prim_0037,Kankalay Islamic Primary School - Kanga,None,SLE,Bonthe,Imperri,Bigo
SLE-000037,SLE_Prim_0038,Roman Catholic Primary School - Mbelleh A (Yangatoke),None,SLE,Bonthe,Imperri,Bigo
SLE-000038,SLE_Prim_0039,Roman Catholic Primary School - Nyandehun,None,SLE,Bonthe,Imperri,Bigo
SLE-000039,SLE_Prim_0040,United Brethren Church Priamry School - Madina,None,SLE,Bonthe,Imperri,Bigo
SLE-000040,SLE_Prim_0041,United Brethren Church Primary School - Gbangbama,None,SLE,Bonthe,Imperri,Bigo
SLE-000041,SLE_Prim_0042,United Brethren Church Primary School - Mokaba,None,SLE,Bonthe,Imperri,Bigo
SLE-000042,SLE_Scho_0043,Mesima,None,SLE,Bonthe,Imperri,Moimaligie
SLE-000043,SLE_Prim_0044,Islamic Call Society Primary School - Teissor,None,SLE,Bonthe,Imperri,Moimaligie
SLE-000044,SLE_Prim_0045,Kankalay Islamic Primary School Yarg Keiga,None,SLE,Bonthe,Imperri,Moimaligie
SLE-000045,SLE_Prim_0046,Roman Catholic Primary School - Yargoi,None,SLE,Bonthe,Imperri,Moimaligie
SLE-000046,SLE_Prim_0047,United Brethren Church Primary School - Victoria,None,SLE,Bonthe,Imperri,Moimaligie
SLE-000047,SLE_Prim_0048,St. Michael Primary School R.C.,None,SLE,Bonthe,Imperri,Sokrapan
SLE-000048,SLE_Prim_0049,C.O.R.M. Primary School,None,SLE,Bonthe,Jong,Basiaka
SLE-000049,SLE_Prim_0050,Community Primary School,None,SLE,Bonthe,Jong,Basiaka
SLE-000050,SLE_Prim_0051,R.C. Primary School,None,SLE,Bonthe,Jong,Basiaka
SLE-000051,SLE_Prim_0052,S.L.U.I. M. Primary School,None,SLE,Bonthe,Jong,Basiaka
SLE-000052,SLE_Seco_0053,Timbo (A) Centennial Secondary School,None,SLE,Bonthe,Jong,Bayengbe
SLE-000053,SLE_Prim_0054,Fawe Primary School,None,SLE,Bonthe,Jong,Bayengbe
SLE-000054,SLE_Prim_0055,I.C.S Primary School and Secondary School,None,SLE,Bonthe,Jong,Bayengbe
SLE-000055,SLE_Prim_0056,U.B.C. Primary School,None,SLE,Bonthe,Jong,Bayengbe
SLE-000056,SLE_Prim_0057,Segbwema (A) B.N.D.E.C. School,None,SLE,Bonthe,Jong,Beyinga
SLE-000057,SLE_Prim_0058,U.B.C. Primary School,None,SLE,Bonthe,Jong,Beyinga
SLE-000058,SLE_Prim_0059,Lauwa (D) Primary School,None,SLE,Bonthe,Jong,Falewuja
SLE-000059,SLE_Prim_0060,Luawa (A) I.C.Islamic Primary School,None,SLE,Bonthe,Jong,Falewuja
SLE-000060,SLE_Prim_0061,R.C. Primary School,None,SLE,Bonthe,Jong,Falewuja
SLE-000061,SLE_Prim_0062,Semabu ( C) R.C. Primary School,None,SLE,Bonthe,Jong,Falewuja
SLE-000062,SLE_Prim_0063,St. Thomas Primary School/Church,None,SLE,Bonthe,Jong,Falewuja
SLE-000063,SLE_Prim_0064,U.B.C. Primary School,None,SLE,Bonthe,Jong,Falewuja
SLE-000064,SLE_Prim_0065,U.B.C. Primary School - Manse,None,SLE,Bonthe,Jong,Falewuja
SLE-000065,SLE_Prim_0066,Mosavie (B) D.E.C. Priamry School,None,SLE,Bonthe,Jong,Kumabeh - Kwe
SLE-000066,SLE_Prim_0067,Community Primary School,None,SLE,Bonthe,Jong,Landi - Ngere
