geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
SLV-000000,10001,"CENTRO ESCOLAR  ""ISIDRO MENÉNDEZ""","2A. AV.SUR Y CALLE SANTA LUISA DE MARILLAC, AHUACHAPAN",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000001,10002,"CENTRO ESCOLAR ""ALFREDO ESPINO""","10ª CALLE PONIENTE FRENTE AL MERCADO Nº1, J%2f HUACHAPAN, AHUACAHAPAN",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000002,10003,"CENTRO ESCOLAR ""ALEJANDRO DE HUMBOLDT""",FINAL 6 CALLE PONIENTE Y AVENIDA MORAZAN,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000003,10004,"CENTRO ESCOLAR ""1° DE JULIO DE 1823""",5a. CALLE ORIENTE Y 3a. AVENIDA SUR,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000004,10006,"CENTRO ESCOLAR ""RICARDO TRIGUEROS DE LEÓN""",COLONIA LLANOS DEL ESPINO,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000005,10007,"CENTRO ESCOLAR ""CARLOTA LEÓN VIUDA DE TRIGUEROS""","FINAL CALLE SAN ANTONIO, COLONIA EL NOPAL",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000006,10008,"ESCUELA DE EDUCACIÓN PARVULARIA ""MARÍA SALAZAR VIUDA DE MAGAÑA""",CALLE GERARDO BARRIOS PONIENTE CONTIGUO A PARQUE LA FAMILIA,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000007,10010,"CENTRO ESCOLAR ""CASERIO PUERTAS NEGRAS""","CASERIO PUERTAS NEGRAS, C%2f LA MONTAÑITA",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000008,10011,"CENTRO ESCOLAR ""CANTON LOS HUATALES""",CANTON LOS HUATALES,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000009,10012,"CENTRO ESCOLAR ""BERNARDINO E. ZAMORA""",CANTON EL BARRO,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000010,10013,"COMPLEJO EDUCATIVO ""GENERAL FABIO MORAN""",CANTON LAS CHINAMAS,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000011,10014,"CENTRO ESCOLAR ""ISABEL CARRILLO DE BOLAÑOS""","CASERIO LOS HORCONES, C%2f EL TIGRE",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000012,10015,"CENTRO ESCOLAR ""PROFESOR RICARDO ARGUETA LINARES""",CANTON LLANO DE DOÑA MARIA,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000013,10016,"CENTRO ESCOLAR ""CANTON EL ROBLE""","CALLE PRINCIPAL, CANTON EL ROBLE",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000014,10017,"CENTRO ESCOLAR ""CANTON EL JUNQUILLO""",CANTON EL JUNQUILLO,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000015,10019,"CENTRO ESCOLAR ""CANTON ASHAPUCO""",CANTON ASHAPUCO,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000016,10020,"CENTRO ESCOLAR ""CANTON LA COYOTERA""",CANTON LA COYOTERA,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000017,10021,"CENTRO ESCOLAR ""CANTON SUNTECUMAT""",CANTON SUNTECUMAT,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000018,10022,"CENTRO ESCOLAR ""CANTON LOS MAGUEYES""",CANTON LOS MAGUEYES,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000019,10023,"CENTRO ESCOLAR ""DOCTOR RENE VIRGILIO CORNEJO GRANADOS""",KM. 103 CARRETERA LAS CHINAMAS,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000020,10024,"CENTRO ESCOLAR ""CANTON PALO PIQUE""",CANTON PALO PIQUE,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000021,10025,"CENTRO ESCOLAR ""CANTON RIO FRIO""",CANTON RIO FRIO,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000022,10026,"CENTRO ESCOLAR ""ABELINA ARRIAZA""",CANTON SANTA CRUZ,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000023,10027,"COMPLEJO EDUCATIVO ""DOCTOR RAFAEL MEZA DELGADO""",CANTON LOMA DE LA GLORIA,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000024,10028,"CENTRO ESCOLAR ""CASERIO ZUNCUA EL PAJONAL, CANTON ASHAPUCO""","CASERIO ZUNCUA EL PAJONAL, C%2f  ASHAPUCO",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000025,10029,"CENTRO ESCOLAR ""CASERIO EL BOTADERO, CANTON EL ROBLE""","CASERIO EL BOTADERO, C%2f EL ROBLE",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000026,10031,"COMPLEJO EDUCATIVO ""DOCTOR ARTURO ROMERO""",CANTON CHANCUYO,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000027,10032,"CENTRO ESCOLAR ""CANTON SANTA ROSA ACACALCO""",CANTON SANTA ROSA ACACALCO,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000028,10033,COMPLEJO EDUCATIVO  HACIENDA LA LABOR,"HACIENDA LA LABOR, CANTON CHIPILAPA",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000029,10037,"CENTRO ESCOLAR ""CASERIO LAS CHINITAS, C%2f LLANO DE LA LAGUNA""","CASERIO LAS CHINITAS, C%2f LLANO DE LA LAGUNA",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000030,10038,"CENTRO ESCOLAR ""COLONIA SANTA MARIA""","4a. CALLE OTE. Y CALLE L, COL. SANTA MARIA",SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000031,10039,"CENTRO ESCOLAR ""CANTON LA DANTA""",CANTON LA DANTA,SLV,AHUACHAPAN,AHUACHAPAN,
SLV-000032,10042,"CENTRO ESCOLAR ""CANTON SAN LAZARO""",CANTON   SAN LAZARO,SLV,AHUACHAPAN,AHUACHAPAN,
