geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
TAN-000000,,BANGATA,,TAN,Arusha,Arusha,Bangata
TAN-000001,,ENGIKARETI,,TAN,Arusha,Arusha,Bangata
TAN-000003,,MIDAWE,,TAN,Arusha,Arusha,Bangata
TAN-000004,,SASI,,TAN,Arusha,Arusha,Bangata
TAN-000005,,BWAWANI,,TAN,Arusha,Arusha,Bwawani
TAN-000006,,KIGONGONI,,TAN,Arusha,Arusha,Bwawani
TAN-000007,,LAMOLOKI,,TAN,Arusha,Arusha,Bwawani
TAN-000008,,MUNGUSHI,,TAN,Arusha,Arusha,Bwawani
TAN-000009,,OLOKII,,TAN,Arusha,Arusha,Bwawani
TAN-000010,,SONGAMBELE,,TAN,Arusha,Arusha,Bwawani
TAN-000011,,THEMI YA SIMBA,,TAN,Arusha,Arusha,Bwawani
TAN-000012,,ILBORU,,TAN,Arusha,Arusha,Ilboru
TAN-000016,,ILKIDING'A,,TAN,Arusha,Arusha,Ilkiding'a
TAN-000017,,ILKISONGO,,TAN,Arusha,Arusha,Ilkiding'a
TAN-000018,,KIOGA,,TAN,Arusha,Arusha,Ilkiding'a
TAN-000020,,KIMNYAKI,,TAN,Arusha,Arusha,Kimnyaki
TAN-000022,,OLMRINGIRINGA,,TAN,Arusha,Arusha,Kimnyaki
TAN-000023,,SELIAN,,TAN,Arusha,Arusha,Kimnyaki
TAN-000026,,ENYUATA,,TAN,Arusha,Arusha,Kiranyi
TAN-000028,,ILKIUREI,,TAN,Arusha,Arusha,Kiranyi
TAN-000030,,KIRANYI,,TAN,Arusha,Arusha,Kiranyi
TAN-000033,,NATEMA,,TAN,Arusha,Arusha,Kiranyi
TAN-000034,,OLCHOKI,,TAN,Arusha,Arusha,Kiranyi
TAN-000037,,ILKERIN,,TAN,Arusha,Arusha,Kisongo
TAN-000038,,KISONGO,,TAN,Arusha,Arusha,Kisongo
TAN-000039,,LESIRAA,,TAN,Arusha,Arusha,Kisongo
TAN-000040,,LOOVILUKUNYI,,TAN,Arusha,Arusha,Kisongo
TAN-000047,,NAUREI,,TAN,Arusha,Arusha,Kiutu
TAN-000048,,OLGILAI,,TAN,Arusha,Arusha,Kiutu
TAN-000049,,SEKEI,,TAN,Arusha,Arusha,Kiutu
TAN-000051,,ENJORO,,TAN,Arusha,Arusha,Laroi
TAN-000052,,ERETO,,TAN,Arusha,Arusha,Laroi
TAN-000055,,LAROI,,TAN,Arusha,Arusha,Laroi
TAN-000056,,OLEMEDEYE,,TAN,Arusha,Arusha,Laroi
