geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
ZAF-000000,440101017,IMPUCUKO P/S,"1548A MABIZELA STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9702",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000001,440101018,THABANG P/S,"2171 BOSIU STREET , BETHLEHEM, BETHLEHEM, BETHLEHEM, 9701",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000002,440101019,UTOPIA PF/S,"UTOPIA FARM, BETHLEHEM, BETHLEHEM, BETHLEHEM, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000003,440101042,ARRAN PF/S,"ARRAN FARM C/O WARDEN ROAD, BETHLEHEM, BETHLEHEM, BETHLEHEM, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000004,440101057,DIHLABENG CHRISTIAN PI/S,"Saron Farm, Fouriesburg Road, Fouriesburg Road, CLARENS, 9707",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000005,440101074,HELENA SLABBERTS PF/S,"HELENA FARM, , , BETHLEHEM, 9703",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000006,440101087,MOTSHEPUWA P/S,"277 MLANGENI STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000007,440101089,IMPUMELELO P/S,"3306 Nhlabathi Street, Bohlokong, Bohlokong, BETHLEHEM, 9701",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000008,440101097,REABOKA PF/S,"SMALLFONTEIN FARM, , , BETHLEHEM, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000009,440101102,DUIKFONTEIN PF/S,"DUIKFONTEIN FARM, , , PAUL ROUX, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000010,440101104,LERALLA IF/S,"MEMIESRUST FARM, CLARENS, CLARENS, BETHLEHEM, 9707",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000011,440101108,THABO-THOKOZA S/S,"1163 B Manye Street, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9702",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000012,440101119,MATSWATHAKA P/S,"2812 Shupinyaneng Street, Bohlokong, Bohlokong, BETHLEHEM, 9701",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000013,440101120,BODIKELA  I/S,"2306 MOKGELE STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000014,440101138,BETHLEHEM CS/S,"3539 NTSHINGILA STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000015,440101141,YEDDO PF/S,"YEDDO FARM, , , BETHLEHEM, 9703",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000016,440101171,NTSU S/S,"28 PIENAAR STREET, MORELIG, MORELIG, BETHLEHEM, 9701",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000017,440101173,BOHLOKWA PF/S,"LISBON FARM, , , BETHLEHEM, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000018,440101179,NTHUTE P/S,"6832 Bohlokong, BETHLEHEM, BETHLEHEM, BETHLEHEM, 9702",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000019,440101183,TOKOLOHO PF/S,"P O BOX 215, , , BETHLEHEM, 9704",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000020,440101190,NKARABENG S/S,"1107 TLHOLONG, KESTELL, KESTELL, KESTELL, 9860",ZAF,Free State,THABO MOFUTSANYANA,Maluti a Phofung
ZAF-000021,440101192,TIISETSANG S/S,"1421A Phekolong Street, Bohlokong, Bohlokong, BETHLEHEM, 9701",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000022,440101194,SEKOKO P/S,"414 SCHOOL STREET, FATENG TSE NTSHO, FATENG TSE NTSHO, PAUL ROUX, 9800",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000023,440101195,DIPELANENG P/S,"269 NCALA STREET, , , KESTELL, 9860",ZAF,Free State,THABO MOFUTSANYANA,Maluti a Phofung
ZAF-000024,440101197,CLARENS I/S,"388 MALIBAMATSHO STREET, KGUBETSWANA, KGUBETSWANA, CLARENS, 9707",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000025,440101198,SPITSKRANS PF/S,"SPITSKRANS FARM, FARM   AREA, FARM   AREA, BETHLEHEM, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000026,440101200,LOCH LOMOND PF/S,"Small Grain Farm, Bohlokong, Bohlokong, BETHLEHEM, 9700",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000027,440101224,BOHLOKONG P/S,"276a Cotzee Street, Bohlokong, Bohlokong, BETHLEHEM, 9701",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
ZAF-000028,440101225,KHANYENG I/S,"1093 MANYE STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9701",ZAF,Free State,THABO MOFUTSANYANA,Dihlabeng
