geo_id,year,student_enrollment,female_student_enrollment,male_student_enrollment,num_teachers,st_ratio
CRI-000000,2014,946.0,487.0,459.0,,
CRI-000000,2015,994.0,474.0,520.0,,
CRI-000000,2016,1036.0,515.0,521.0,,
CRI-000000,2017,972.0,476.0,496.0,,
CRI-000000,2018,938.0,490.0,448.0,,
CRI-000000,2019,962.0,500.0,462.0,,
CRI-000000,2020,964.0,500.0,464.0,,
CRI-000000,2021,970.0,484.0,486.0,,
CRI-000000,2014,946.0,487.0,459.0,,
CRI-000000,2015,994.0,474.0,520.0,,
CRI-000000,2016,1036.0,515.0,521.0,,
CRI-000000,2017,972.0,476.0,496.0,,
CRI-000000,2018,938.0,490.0,448.0,,
CRI-000000,2019,962.0,500.0,462.0,,
CRI-000000,2020,964.0,500.0,464.0,,
CRI-000000,2021,970.0,484.0,486.0,,
CRI-000001,2014,2534.0,1239.0,1295.0,,
CRI-000001,2015,2384.0,1173.0,1211.0,,
CRI-000001,2016,2391.0,1132.0,1259.0,,
CRI-000001,2017,2424.0,1227.0,1197.0,,
CRI-000001,2018,2583.0,1227.0,1356.0,,
CRI-000001,2019,2642.0,1286.0,1356.0,,
CRI-000001,2020,2614.0,1290.0,1324.0,,
CRI-000001,2021,2505.0,1320.0,1185.0,,
CRI-000001,2014,2534.0,1239.0,1295.0,,
CRI-000001,2015,2384.0,1173.0,1211.0,,
CRI-000001,2016,2391.0,1132.0,1259.0,,
CRI-000001,2017,2424.0,1227.0,1197.0,,
CRI-000001,2018,2583.0,1227.0,1356.0,,
CRI-000001,2019,2642.0,1286.0,1356.0,,
CRI-000001,2020,2614.0,1290.0,1324.0,,
CRI-000001,2021,2505.0,1320.0,1185.0,,
CRI-000002,2014,932.0,478.0,454.0,,
CRI-000002,2015,890.0,459.0,431.0,,
CRI-000002,2016,1026.0,513.0,513.0,,
CRI-000002,2017,1022.0,513.0,509.0,,
CRI-000002,2018,956.0,490.0,466.0,,
CRI-000002,2019,1078.0,568.0,510.0,,
CRI-000002,2020,1107.0,566.0,541.0,,
CRI-000002,2021,1183.0,617.0,566.0,,
CRI-000002,2014,932.0,478.0,454.0,,
CRI-000002,2015,890.0,459.0,431.0,,
CRI-000002,2016,1026.0,513.0,513.0,,
CRI-000002,2017,1022.0,513.0,509.0,,
CRI-000002,2018,956.0,490.0,466.0,,
CRI-000002,2019,1078.0,568.0,510.0,,
CRI-000002,2020,1107.0,566.0,541.0,,
CRI-000002,2021,1183.0,617.0,566.0,,
CRI-000003,2014,514.0,356.0,158.0,,
CRI-000003,2014,514.0,356.0,158.0,,
CRI-000004,2014,1376.0,665.0,711.0,,
CRI-000004,2015,1318.0,638.0,680.0,,
CRI-000004,2016,1265.0,616.0,649.0,,
CRI-000004,2017,1237.0,589.0,648.0,,
CRI-000004,2018,1210.0,560.0,650.0,,
CRI-000004,2019,1298.0,604.0,694.0,,
CRI-000004,2020,1420.0,663.0,757.0,,
CRI-000004,2021,1529.0,717.0,812.0,,
CRI-000004,2014,1376.0,665.0,711.0,,
CRI-000004,2015,1318.0,638.0,680.0,,
CRI-000004,2016,1265.0,616.0,649.0,,
CRI-000004,2017,1237.0,589.0,648.0,,
CRI-000004,2018,1210.0,560.0,650.0,,
CRI-000004,2019,1298.0,604.0,694.0,,
CRI-000004,2020,1420.0,663.0,757.0,,
CRI-000004,2021,1529.0,717.0,812.0,,
CRI-000005,2014,1562.0,807.0,755.0,,
CRI-000005,2015,1597.0,836.0,761.0,,
CRI-000005,2016,1564.0,785.0,779.0,,
CRI-000005,2017,1496.0,733.0,763.0,,
CRI-000005,2018,1378.0,667.0,711.0,,
CRI-000005,2019,1457.0,715.0,742.0,,
CRI-000005,2020,1409.0,699.0,710.0,,
CRI-000005,2021,1466.0,710.0,756.0,,
CRI-000005,2014,1562.0,807.0,755.0,,
CRI-000005,2015,1597.0,836.0,761.0,,
CRI-000005,2016,1564.0,785.0,779.0,,
CRI-000005,2017,1496.0,733.0,763.0,,
CRI-000005,2018,1378.0,667.0,711.0,,
CRI-000005,2019,1457.0,715.0,742.0,,
CRI-000005,2020,1409.0,699.0,710.0,,
CRI-000005,2021,1466.0,710.0,756.0,,
CRI-000006,2014,1691.0,870.0,821.0,,
CRI-000006,2015,1825.0,973.0,852.0,,
CRI-000006,2016,1799.0,951.0,848.0,,
CRI-000006,2017,1781.0,950.0,831.0,,
CRI-000006,2018,1747.0,931.0,816.0,,
CRI-000006,2019,1704.0,894.0,810.0,,
CRI-000006,2020,1519.0,780.0,739.0,,
CRI-000006,2021,1524.0,785.0,739.0,,
CRI-000006,2014,1691.0,870.0,821.0,,
CRI-000006,2015,1825.0,973.0,852.0,,
CRI-000006,2016,1799.0,951.0,848.0,,
CRI-000006,2017,1781.0,950.0,831.0,,
CRI-000006,2018,1747.0,931.0,816.0,,
CRI-000006,2019,1704.0,894.0,810.0,,
CRI-000006,2020,1519.0,780.0,739.0,,
CRI-000006,2021,1524.0,785.0,739.0,,
CRI-000007,2014,1399.0,735.0,664.0,,
CRI-000007,2014,1399.0,735.0,664.0,,
CRI-000008,2014,755.0,434.0,321.0,,
CRI-000008,2015,732.0,404.0,328.0,,
CRI-000008,2016,750.0,398.0,352.0,,
CRI-000008,2017,737.0,400.0,337.0,,
CRI-000008,2018,734.0,386.0,348.0,,
CRI-000008,2019,744.0,396.0,348.0,,
CRI-000008,2020,740.0,389.0,351.0,,
CRI-000008,2021,732.0,371.0,361.0,,
CRI-000008,2014,755.0,434.0,321.0,,
CRI-000008,2015,732.0,404.0,328.0,,
CRI-000008,2016,750.0,398.0,352.0,,
CRI-000008,2017,737.0,400.0,337.0,,
CRI-000008,2018,734.0,386.0,348.0,,
CRI-000008,2019,744.0,396.0,348.0,,
CRI-000008,2020,740.0,389.0,351.0,,
CRI-000008,2021,732.0,371.0,361.0,,
CRI-000009,2014,1551.0,779.0,772.0,,
CRI-000009,2015,1481.0,732.0,749.0,,
CRI-000009,2016,1415.0,716.0,699.0,,
CRI-000009,2014,1551.0,779.0,772.0,,
CRI-000009,2015,1481.0,732.0,749.0,,
CRI-000009,2016,1415.0,716.0,699.0,,
CRI-000010,2014,1495.0,674.0,821.0,,
CRI-000010,2015,1515.0,720.0,795.0,,
CRI-000010,2014,1495.0,674.0,821.0,,
CRI-000010,2015,1515.0,720.0,795.0,,
CRI-000011,2014,1407.0,681.0,726.0,,
CRI-000011,2015,1338.0,646.0,692.0,,
CRI-000011,2016,1253.0,631.0,622.0,,
CRI-000011,2017,1310.0,638.0,672.0,,
CRI-000011,2018,1320.0,634.0,686.0,,
CRI-000011,2019,1251.0,596.0,655.0,,
CRI-000011,2020,1274.0,620.0,654.0,,
CRI-000011,2021,1298.0,617.0,681.0,,
CRI-000011,2014,1407.0,681.0,726.0,,
CRI-000011,2015,1338.0,646.0,692.0,,
CRI-000011,2016,1253.0,631.0,622.0,,
CRI-000011,2017,1310.0,638.0,672.0,,
CRI-000011,2018,1320.0,634.0,686.0,,
CRI-000011,2019,1251.0,596.0,655.0,,
CRI-000011,2020,1274.0,620.0,654.0,,
CRI-000011,2021,1298.0,617.0,681.0,,
CRI-000012,2014,1965.0,1022.0,943.0,,
CRI-000012,2015,2025.0,1056.0,969.0,,
CRI-000012,2016,1990.0,1009.0,981.0,,
CRI-000012,2017,1924.0,980.0,944.0,,
CRI-000012,2018,1912.0,979.0,933.0,,
CRI-000012,2019,1964.0,999.0,965.0,,
CRI-000012,2020,2064.0,1035.0,1029.0,,
CRI-000012,2021,2114.0,1033.0,1081.0,,
CRI-000012,2014,1965.0,1022.0,943.0,,
CRI-000012,2015,2025.0,1056.0,969.0,,
CRI-000012,2016,1990.0,1009.0,981.0,,
CRI-000012,2017,1924.0,980.0,944.0,,
CRI-000012,2018,1912.0,979.0,933.0,,
CRI-000012,2019,1964.0,999.0,965.0,,
