geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-000001,2010,10100002,3,16,19,245.0,270.0,515.0
HND-000002,2010,10100004,0,13,13,126.0,97.0,223.0
HND-000003,2010,10100005,4,26,30,204.0,175.0,379.0
HND-000004,2010,10100006,4,7,11,107.0,94.0,201.0
HND-000005,2010,10100007,1,13,14,178.0,195.0,373.0
HND-000006,2010,10100008,2,17,19,233.0,245.0,478.0
HND-000007,2010,10100009,3,9,12,116.0,100.0,216.0
HND-000008,2010,10100010,3,22,25,415.0,345.0,760.0
HND-000009,2010,10100011,7,17,24,255.0,199.0,454.0
HND-000010,2010,10100014,2,26,28,142.0,131.0,273.0
HND-000011,2010,10100016,5,30,35,442.0,460.0,902.0
HND-000012,2010,10100017,0,8,8,100.0,97.0,197.0
HND-000013,2010,10100018,2,0,2,36.0,24.0,60.0
HND-000014,2010,10100019,0,3,3,45.0,33.0,78.0
HND-000015,2010,10100020,0,2,2,61.0,29.0,90.0
HND-000016,2010,10100021,1,5,6,79.0,68.0,147.0
HND-000017,2010,10100022,2,5,7,82.0,62.0,144.0
HND-000018,2010,10100023,0,1,1,10.0,6.0,16.0
HND-000019,2010,10100024,0,2,2,39.0,26.0,65.0
HND-000020,2010,10100025,4,18,22,278.0,266.0,544.0
HND-000021,2010,10100026,3,5,8,106.0,100.0,206.0
HND-000022,2010,10100027,1,0,1,9.0,9.0,18.0
HND-000023,2010,10100028,3,11,14,201.0,177.0,378.0
HND-000024,2010,10100029,2,5,7,96.0,54.0,150.0
HND-000025,2010,10100030,1,2,3,75.0,67.0,142.0
HND-000026,2010,10100031,6,19,25,303.0,268.0,571.0
HND-000027,2010,10100032,6,22,28,388.0,425.0,813.0
HND-000028,2010,10100033,8,23,31,413.0,436.0,849.0
HND-000029,2010,10100034,6,16,22,280.0,302.0,582.0
HND-000030,2010,10100035,2,14,16,254.0,270.0,524.0
HND-000031,2010,10100036,0,3,3,62.0,53.0,115.0
HND-000032,2010,10100037,0,2,2,34.0,28.0,62.0
HND-000033,2010,10100038,2,1,3,42.0,30.0,72.0
HND-000034,2010,10100039,1,1,2,34.0,31.0,65.0
HND-000035,2010,10100040,2,2,4,63.0,63.0,126.0
HND-000036,2010,10100041,0,4,4,75.0,70.0,145.0
HND-000037,2010,10100042,8,26,34,187.0,208.0,395.0
HND-000038,2010,10100043,0,3,3,69.0,64.0,133.0
HND-000039,2010,10100045,0,1,1,420.0,433.0,853.0
HND-000040,2010,10100046,3,20,23,256.0,303.0,559.0
HND-000041,2010,10100047,5,7,12,130.0,127.0,257.0
HND-000042,2010,10100048,2,2,4,93.0,58.0,151.0
HND-000043,2010,10100049,1,5,6,87.0,93.0,180.0
HND-000044,2010,10100050,6,18,24,171.0,183.0,354.0
HND-000045,2010,10100051,0,1,1,6.0,9.0,15.0
HND-000046,2010,10100052,0,7,7,235.0,245.0,480.0
HND-000047,2010,10100053,19,83,102,682.0,781.0,1463.0
HND-000048,2010,10100054,1,1,2,30.0,27.0,57.0
HND-000049,2010,10100056,1,7,8,108.0,87.0,195.0
HND-000050,2010,10100057,1,0,1,11.0,10.0,21.0
HND-000051,2010,10100058,0,2,2,16.0,14.0,30.0
HND-000052,2010,10100060,0,3,3,52.0,44.0,96.0
HND-000053,2010,10100061,0,1,1,14.0,11.0,25.0
HND-000054,2010,10100062,0,1,1,12.0,6.0,18.0
HND-000055,2010,10100063,1,3,4,74.0,79.0,153.0
HND-000056,2010,10100067,1,2,3,46.0,50.0,96.0
HND-000057,2010,10100068,3,7,10,165.0,199.0,364.0
HND-000059,2010,10100071,4,25,29,478.0,484.0,962.0
HND-000060,2010,10100072,4,28,32,199.0,229.0,428.0
HND-000061,2010,10100075,0,3,3,41.0,31.0,72.0
HND-000062,2010,10100076,1,9,10,145.0,163.0,308.0
HND-000063,2010,10100078,1,24,25,446.0,441.0,887.0
HND-000064,2010,10100079,1,13,14,184.0,177.0,361.0
HND-000091,2010,10100141,0,5,5,26.0,55.0,81.0
HND-000097,2010,10100154,1,0,1,9.0,19.0,28.0
HND-000098,2010,10100157,1,6,7,87.0,95.0,182.0
HND-000099,2010,10100160,1,0,1,15.0,6.0,21.0
