geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
PRY-000000,2012,1701016,-99,-99,-99,-99.0,-99.0,-198.0
PRY-000000,2013,1701016,-99,-99,-99,-99.0,-99.0,-198.0
PRY-000000,2018,1701016,-99,-99,-99,-99.0,-99.0,-198.0
PRY-000000,2019,1701016,-99,-99,-99,-99.0,-99.0,-198.0
PRY-000000,2020,1701016,-99,-99,-99,-99.0,-99.0,-198.0
PRY-000000,2021,1701016,-99,-99,-99,-99.0,-99.0,-198.0
PRY-000000,2022,1701016,-99,-99,-99,-99.0,-99.0,-198.0
PRY-000000,2023,1701016,-99,-99,-99,-99.0,-99.0,-198.0
PRY-000001,2012,1701007,-99,-99,-99,83.0,84.0,167.0
PRY-000001,2013,1701007,-99,-99,-99,81.0,76.0,157.0
PRY-000001,2018,1701007,-99,-99,-99,42.0,54.0,96.0
PRY-000001,2019,1701007,-99,-99,-99,44.0,53.0,97.0
PRY-000001,2020,1701007,-99,-99,-99,48.0,50.0,98.0
PRY-000001,2021,1701007,-99,-99,-99,47.0,53.0,100.0
PRY-000001,2022,1701007,-99,-99,-99,53.0,66.0,119.0
PRY-000001,2023,1701007,-99,-99,-99,41.0,60.0,101.0
PRY-000002,2012,1701005,-99,-99,-99,66.0,54.0,120.0
PRY-000002,2012,1701005,-99,-99,-99,25.0,33.0,58.0
PRY-000002,2013,1701005,-99,-99,-99,63.0,52.0,115.0
PRY-000002,2013,1701005,-99,-99,-99,27.0,20.0,47.0
PRY-000002,2018,1701005,-99,-99,-99,10.0,16.0,26.0
PRY-000002,2018,1701005,-99,-99,-99,49.0,51.0,100.0
PRY-000002,2019,1701005,-99,-99,-99,14.0,20.0,34.0
PRY-000002,2019,1701005,-99,-99,-99,59.0,47.0,106.0
PRY-000002,2020,1701005,-99,-99,-99,12.0,15.0,27.0
PRY-000002,2020,1701005,-99,-99,-99,71.0,51.0,122.0
PRY-000002,2021,1701005,-99,-99,-99,16.0,19.0,35.0
PRY-000002,2021,1701005,-99,-99,-99,77.0,47.0,124.0
PRY-000002,2022,1701005,-99,-99,-99,20.0,26.0,46.0
PRY-000002,2022,1701005,-99,-99,-99,87.0,49.0,136.0
PRY-000002,2023,1701005,-99,-99,-99,20.0,23.0,43.0
PRY-000002,2023,1701005,-99,-99,-99,71.0,39.0,110.0
PRY-000003,2012,1702030,-99,-99,-99,-99.0,-99.0,-198.0
