geo_id,year,student_enrollment,female_student_enrollment,male_student_enrollment,num_teachers,st_ratio
SLV-000000,2018,1219.0,536.0,683.0,,
SLV-000001,2018,523.0,224.0,299.0,,
SLV-000002,2018,629.0,300.0,329.0,,
SLV-000003,2018,704.0,383.0,321.0,,
SLV-002351,2018,42.0,19.0,23.0,,
SLV-000004,2018,578.0,264.0,314.0,,
SLV-000005,2018,336.0,155.0,181.0,,
SLV-000006,2018,523.0,276.0,247.0,,
SLV-000007,2018,76.0,39.0,37.0,,
SLV-000008,2018,227.0,121.0,106.0,,
SLV-000009,2018,285.0,145.0,140.0,,
SLV-000010,2018,825.0,411.0,414.0,,
SLV-000011,2018,382.0,177.0,205.0,,
SLV-000012,2018,596.0,266.0,330.0,,
SLV-000013,2018,247.0,108.0,139.0,,
SLV-000014,2018,298.0,147.0,151.0,,
SLV-011261,2018,22.0,15.0,7.0,,
SLV-000015,2018,209.0,101.0,108.0,,
SLV-000016,2018,39.0,18.0,21.0,,
SLV-000017,2018,92.0,38.0,54.0,,
SLV-000018,2018,1289.0,607.0,682.0,,
SLV-000019,2018,901.0,459.0,442.0,,
SLV-000020,2018,259.0,116.0,143.0,,
SLV-000021,2018,362.0,161.0,201.0,,
SLV-000022,2018,140.0,57.0,83.0,,
SLV-000023,2018,452.0,222.0,230.0,,
SLV-000025,2018,50.0,26.0,24.0,,
SLV-000026,2018,1978.0,980.0,998.0,,
SLV-000027,2018,320.0,157.0,163.0,,
SLV-000028,2018,774.0,380.0,394.0,,
SLV-003028,2018,340.0,156.0,184.0,,
SLV-000029,2018,543.0,264.0,279.0,,
SLV-000030,2018,806.0,392.0,414.0,,
SLV-000031,2018,221.0,118.0,103.0,,
SLV-010464,2018,12.0,4.0,8.0,,
SLV-000032,2018,141.0,75.0,66.0,,
SLV-000033,2018,58.0,32.0,26.0,,
SLV-000034,2018,148.0,68.0,80.0,,
SLV-000036,2018,161.0,67.0,94.0,,
SLV-002335,2018,80.0,37.0,43.0,,
SLV-003029,2018,888.0,439.0,449.0,,
SLV-006541,2018,514.0,258.0,256.0,,
SLV-000037,2018,1313.0,615.0,698.0,,
SLV-000038,2018,280.0,118.0,162.0,,
SLV-000146,2018,151.0,62.0,89.0,,
SLV-008307,2018,641.0,316.0,325.0,,
SLV-003416,2018,139.0,63.0,76.0,,
SLV-000308,2018,352.0,177.0,175.0,,
SLV-000147,2018,139.0,57.0,82.0,,
SLV-000148,2018,596.0,270.0,326.0,,
SLV-000167,2018,522.0,246.0,276.0,,
SLV-000168,2018,248.0,110.0,138.0,,
SLV-000169,2018,297.0,149.0,148.0,,
SLV-007003,2018,219.0,114.0,105.0,,
SLV-000170,2018,136.0,69.0,67.0,,
SLV-000171,2018,150.0,66.0,84.0,,
SLV-007356,2018,303.0,143.0,160.0,,
SLV-000172,2018,70.0,22.0,48.0,,
SLV-000173,2018,117.0,47.0,70.0,,
SLV-000174,2018,108.0,57.0,51.0,,
SLV-000176,2018,653.0,267.0,386.0,,
SLV-000039,2018,286.0,147.0,139.0,,
SLV-000177,2018,65.0,32.0,33.0,,
SLV-000178,2018,867.0,422.0,445.0,,
SLV-000179,2018,935.0,479.0,456.0,,
SLV-000180,2018,485.0,245.0,240.0,,
SLV-000181,2018,372.0,185.0,187.0,,
SLV-006542,2018,1062.0,503.0,559.0,,
SLV-000182,2018,512.0,248.0,264.0,,
SLV-000183,2018,48.0,18.0,30.0,,
SLV-000184,2018,83.0,41.0,42.0,,
SLV-003993,2018,482.0,222.0,260.0,,
SLV-000211,2018,203.0,96.0,107.0,,
SLV-008308,2018,117.0,44.0,73.0,,
SLV-000212,2018,109.0,57.0,52.0,,
SLV-002304,2018,94.0,58.0,36.0,,
SLV-008705,2018,312.0,156.0,156.0,,
SLV-000213,2018,35.0,17.0,18.0,,
SLV-000214,2018,51.0,21.0,30.0,,
SLV-010611,2018,1226.0,603.0,623.0,,
SLV-010612,2018,678.0,352.0,326.0,,
SLV-000215,2018,62.0,33.0,29.0,,
SLV-000216,2018,1262.0,575.0,687.0,,
SLV-008309,2018,433.0,208.0,225.0,,
SLV-000235,2018,1149.0,548.0,601.0,,
SLV-000236,2018,133.0,60.0,73.0,,
SLV-000243,2018,918.0,426.0,492.0,,
SLV-000244,2018,480.0,237.0,243.0,,
SLV-001777,2018,33.0,18.0,15.0,,
SLV-005983,2018,104.0,56.0,48.0,,
SLV-011342,2018,53.0,27.0,26.0,,
SLV-000245,2018,268.0,138.0,130.0,,
SLV-008827,2018,27.0,14.0,13.0,,
SLV-010794,2018,20.0,7.0,13.0,,
SLV-000266,2018,536.0,288.0,248.0,,
SLV-000267,2018,223.0,101.0,122.0,,
SLV-000268,2018,576.0,249.0,327.0,,
SLV-000269,2018,50.0,29.0,21.0,,
SLV-000270,2018,95.0,45.0,50.0,,
SLV-000271,2018,77.0,34.0,43.0,,
SLV-000272,2018,124.0,65.0,59.0,,
SLV-000273,2018,31.0,16.0,15.0,,
SLV-001109,2018,83.0,41.0,42.0,,
SLV-000237,2018,184.0,95.0,89.0,,
SLV-000274,2018,161.0,73.0,88.0,,
SLV-000275,2018,355.0,180.0,175.0,,
SLV-000276,2018,683.0,327.0,356.0,,
SLV-000277,2018,347.0,170.0,177.0,,
SLV-000278,2018,125.0,61.0,64.0,,
SLV-007004,2018,382.0,197.0,185.0,,
SLV-010465,2018,221.0,112.0,109.0,,
SLV-000309,2018,214.0,95.0,119.0,,
SLV-002444,2018,45.0,21.0,24.0,,
SLV-000310,2018,166.0,82.0,84.0,,
SLV-003825,2018,92.0,41.0,51.0,,
SLV-000311,2018,81.0,36.0,45.0,,
SLV-003444,2018,228.0,126.0,102.0,,
SLV-000312,2018,324.0,138.0,186.0,,
SLV-000313,2018,63.0,38.0,25.0,,
SLV-010730,2018,52.0,32.0,20.0,,
SLV-000314,2018,465.0,224.0,241.0,,
SLV-000315,2018,81.0,32.0,49.0,,
SLV-004220,2018,101.0,54.0,47.0,,
SLV-000316,2018,1015.0,513.0,502.0,,
SLV-000317,2018,423.0,225.0,198.0,,
SLV-007160,2018,271.0,144.0,127.0,,
SLV-000318,2018,497.0,239.0,258.0,,
SLV-000319,2018,230.0,114.0,116.0,,
SLV-000320,2018,410.0,196.0,214.0,,
SLV-003682,2018,21.0,7.0,14.0,,
SLV-000321,2018,128.0,60.0,68.0,,
SLV-000322,2018,306.0,164.0,142.0,,
SLV-000323,2018,204.0,98.0,106.0,,
SLV-000324,2018,426.0,185.0,241.0,,
SLV-000384,2018,94.0,51.0,43.0,,
SLV-000385,2018,51.0,27.0,24.0,,
SLV-000386,2018,462.0,221.0,241.0,,
SLV-000387,2018,451.0,210.0,241.0,,
SLV-000388,2018,75.0,30.0,45.0,,
SLV-000389,2018,79.0,36.0,43.0,,
SLV-000390,2018,561.0,265.0,296.0,,
SLV-000397,2018,894.0,427.0,467.0,,
SLV-000398,2018,370.0,172.0,198.0,,
SLV-000399,2018,50.0,23.0,27.0,,
SLV-007715,2018,1048.0,516.0,532.0,,
SLV-010394,2018,196.0,87.0,109.0,,
SLV-007812,2018,51.0,25.0,26.0,,
SLV-000424,2018,41.0,19.0,22.0,,
SLV-000497,2018,46.0,23.0,23.0,,
SLV-000425,2018,131.0,56.0,75.0,,
SLV-000426,2018,256.0,107.0,149.0,,
SLV-000427,2018,150.0,69.0,81.0,,
SLV-000428,2018,1007.0,463.0,544.0,,
SLV-000429,2018,689.0,324.0,365.0,,
